"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","CO","0.018","0.0009","0.016","0.019","0.018","0.0009","0.016","0.019","1","0","N/A","N/A","4806000","N/A","245000"
"1 - White, Not Hispanic","CO","0.012","0.0008","0.011","0.014","0.02","0.0013","0.017","0.022","0.7","0.0228","0.654","0.743","3365000","N/A","219000"
"2 - Black, Not Hispanic","CO","0.001","0.0001","0","0.001","0.005","0.0011","0.004","0.008","0.038","0.0073","0.026","0.055","181000","N/A","36000"
"3 - Other or Multiple, Not Hispanic","CO","0.001","0.0002","0.001","0.001","0.012","0.002","0.009","0.017","0.061","0.0093","0.045","0.082","293000","N/A","48000"
"4 - Hispanic","CO","0.004","0.0004","0.003","0.004","0.021","0.0022","0.017","0.025","0.201","0.0212","0.163","0.246","966000","N/A","104000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3060000","N/A","137000"
"1 - White, Not Hispanic","CT","0.008","0.0004","0.007","0.009","0.012","0.0007","0.011","0.014","0.683","0.0234","0.636","0.728","2092000","N/A","118000"
"2 - Black, Not Hispanic","CT","0.001","0.0002","0.001","0.002","0.009","0.0015","0.007","0.013","0.099","0.0162","0.072","0.136","304000","N/A","51000"
"3 - Other or Multiple, Not Hispanic","CT","0.001","0.0001","0.001","0.001","0.008","0.0015","0.006","0.012","0.065","0.0115","0.045","0.091","198000","N/A","36000"
"4 - Hispanic","CT","0.002","0.0002","0.001","0.002","0.01","0.0011","0.008","0.012","0.153","0.0143","0.127","0.183","467000","N/A","50000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","598000","N/A","29000"
"1 - White, Not Hispanic","DC","0.001","0.0001","0.001","0.001","0.001","0.0001","0.001","0.002","0.392","0.0243","0.346","0.441","234000","N/A","19000"
"2 - Black, Not Hispanic","DC","0.001","0.0001","0.001","0.001","0.008","0.0006","0.007","0.009","0.436","0.0258","0.386","0.487","261000","N/A","18000"
"3 - Other or Multiple, Not Hispanic","DC","0","0","0","0","0.002","0.0002","0.001","0.002","0.068","0.0072","0.056","0.084","41000","N/A","5000"
"4 - Hispanic","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.103","0.0103","0.085","0.125","62000","N/A","7000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","822000","N/A","45000"
"1 - White, Not Hispanic","DE","0.002","0.0001","0.002","0.002","0.003","0.0002","0.003","0.004","0.641","0.0238","0.593","0.687","527000","N/A","38000"
"2 - Black, Not Hispanic","DE","0.001","0.0001","0.001","0.001","0.005","0.0006","0.004","0.006","0.211","0.0211","0.173","0.256","174000","N/A","18000"
"3 - Other or Multiple, Not Hispanic","DE","0","0","0","0","0.002","0.0003","0.002","0.003","0.062","0.0084","0.048","0.081","51000","N/A","7000"
"4 - Hispanic","DE","0","0","0","0","0.001","0.0002","0.001","0.002","0.085","0.0094","0.068","0.105","70000","N/A","8000"
"Overall","FL","0.067","0.0019","0.063","0.071","0.067","0.0019","0.063","0.071","1","0","N/A","N/A","18293000","N/A","544000"
"1 - White, Not Hispanic","FL","0.037","0.0018","0.033","0.041","0.059","0.0028","0.054","0.065","0.553","0.0174","0.519","0.587","10118000","N/A","503000"
"2 - Black, Not Hispanic","FL","0.01","0.0009","0.008","0.012","0.08","0.0067","0.068","0.095","0.146","0.0131","0.122","0.173","2662000","N/A","235000"
"3 - Other or Multiple, Not Hispanic","FL","0.003","0.0003","0.002","0.004","0.035","0.0038","0.029","0.044","0.046","0.0047","0.037","0.056","837000","N/A","89000"
"4 - Hispanic","FL","0.017","0.0008","0.015","0.019","0.099","0.0047","0.09","0.109","0.256","0.012","0.233","0.28","4676000","N/A","234000"
"Overall","GA","0.032","0.0011","0.03","0.034","0.032","0.0011","0.03","0.034","1","0","N/A","N/A","8732000","N/A","317000"
"1 - White, Not Hispanic","GA","0.017","0.0009","0.016","0.019","0.028","0.0015","0.025","0.031","0.541","0.0188","0.504","0.578","4723000","N/A","251000"
"2 - Black, Not Hispanic","GA","0.01","0.0007","0.009","0.011","0.082","0.0055","0.072","0.093","0.31","0.0188","0.274","0.348","2705000","N/A","189000"
"3 - Other or Multiple, Not Hispanic","GA","0.002","0.0002","0.002","0.002","0.023","0.0025","0.018","0.028","0.062","0.0068","0.049","0.076","537000","N/A","59000"
"4 - Hispanic","GA","0.003","0.0003","0.002","0.003","0.016","0.0018","0.013","0.02","0.088","0.0097","0.071","0.109","767000","N/A","88000"
"Overall","HI","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1156000","N/A","59000"
"1 - White, Not Hispanic","HI","0.001","0.0001","0.001","0.001","0.001","0.0002","0.001","0.002","0.216","0.0225","0.175","0.263","249000","N/A","30000"
"2 - Black, Not Hispanic","HI","0","0","0","0","0.001","0.0002","0","0.001","0.014","0.0049","0.007","0.028","17000","N/A","6000"
"3 - Other or Multiple, Not Hispanic","HI","0.003","0.0002","0.003","0.003","0.033","0.0021","0.029","0.038","0.682","0.0215","0.638","0.722","788000","N/A","47000"
"4 - Hispanic","HI","0","0","0","0","0.002","0.0002","0.002","0.003","0.088","0.0093","0.072","0.108","102000","N/A","11000"
"Overall","IA","0.01","0.0004","0.009","0.01","0.01","0.0004","0.009","0.01","1","0","N/A","N/A","2632000","N/A","119000"
"1 - White, Not Hispanic","IA","0.008","0.0004","0.008","0.009","0.013","0.0006","0.012","0.015","0.868","0.0149","0.836","0.894","2283000","N/A","108000"
"2 - Black, Not Hispanic","IA","0","0.0001","0","0.001","0.003","0.0006","0.002","0.004","0.034","0.0079","0.022","0.054","90000","N/A","21000"
"3 - Other or Multiple, Not Hispanic","IA","0","0.0001","0","0.001","0.005","0.001","0.003","0.007","0.043","0.0089","0.029","0.065","114000","N/A","24000"
"4 - Hispanic","IA","0.001","0.0001","0","0.001","0.003","0.0006","0.002","0.004","0.055","0.0094","0.039","0.076","144000","N/A","27000"
"Overall","ID","0.005","0.0002","0.005","0.006","0.005","0.0002","0.005","0.006","1","0","N/A","N/A","1458000","N/A","61000"
"1 - White, Not Hispanic","ID","0.004","0.0002","0.004","0.005","0.007","0.0003","0.006","0.008","0.832","0.0163","0.797","0.862","1213000","N/A","55000"
"2 - Black, Not Hispanic","ID","0","0","0","0","0","0.0001","0","0.001","0.007","0.0023","0.003","0.013","10000","N/A","3000"
"3 - Other or Multiple, Not Hispanic","ID","0","0.0001","0","0","0.003","0.0006","0.002","0.004","0.045","0.0093","0.03","0.067","66000","N/A","14000"
"4 - Hispanic","ID","0.001","0.0001","0","0.001","0.004","0.0004","0.003","0.004","0.116","0.0119","0.094","0.141","169000","N/A","19000"
"Overall","IL","0.039","0.0011","0.037","0.041","0.039","0.0011","0.037","0.041","1","0","N/A","N/A","10672000","N/A","299000"
"1 - White, Not Hispanic","IL","0.024","0.001","0.022","0.027","0.039","0.0017","0.036","0.043","0.627","0.0189","0.589","0.664","6695000","N/A","286000"
"2 - Black, Not Hispanic","IL","0.005","0.0006","0.004","0.007","0.044","0.0046","0.035","0.054","0.135","0.0141","0.11","0.166","1444000","N/A","157000"
"3 - Other or Multiple, Not Hispanic","IL","0.003","0.0004","0.002","0.004","0.033","0.0043","0.026","0.043","0.074","0.0091","0.058","0.094","791000","N/A","104000"
"4 - Hispanic","IL","0.006","0.0005","0.005","0.007","0.037","0.0027","0.032","0.043","0.163","0.013","0.139","0.19","1742000","N/A","133000"
"Overall","IN","0.02","0.0008","0.019","0.022","0.02","0.0008","0.019","0.022","1","0","N/A","N/A","5586000","N/A","209000"
"1 - White, Not Hispanic","IN","0.016","0.0008","0.015","0.018","0.026","0.0013","0.024","0.029","0.803","0.0197","0.761","0.839","4486000","N/A","217000"
"2 - Black, Not Hispanic","IN","0.002","0.0002","0.001","0.002","0.015","0.0017","0.012","0.019","0.09","0.0105","0.072","0.113","505000","N/A","56000"
"3 - Other or Multiple, Not Hispanic","IN","0.001","0.0002","0.001","0.001","0.01","0.0026","0.006","0.016","0.042","0.0106","0.026","0.068","235000","N/A","61000"
"4 - Hispanic","IN","0.001","0.0002","0.001","0.002","0.008","0.0013","0.005","0.011","0.065","0.0113","0.046","0.091","361000","N/A","62000"
"Overall","KS","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.009","1","0","N/A","N/A","2384000","N/A","103000"
"1 - White, Not Hispanic","KS","0.007","0.0004","0.006","0.007","0.011","0.0006","0.01","0.012","0.775","0.0241","0.724","0.819","1849000","N/A","101000"
"2 - Black, Not Hispanic","KS","0","0.0001","0","0.001","0.004","0.0011","0.002","0.007","0.055","0.0157","0.031","0.095","130000","N/A","38000"
"3 - Other or Multiple, Not Hispanic","KS","0.001","0.0001","0","0.001","0.006","0.0011","0.004","0.009","0.061","0.0109","0.043","0.086","145000","N/A","25000"
"4 - Hispanic","KS","0.001","0.0001","0.001","0.001","0.006","0.0008","0.004","0.007","0.109","0.0157","0.082","0.144","260000","N/A","40000"
"Overall","KY","0.014","0.0006","0.012","0.015","0.014","0.0006","0.012","0.015","1","0","N/A","N/A","3719000","N/A","168000"
"1 - White, Not Hispanic","KY","0.012","0.0005","0.011","0.013","0.019","0.0009","0.017","0.02","0.857","0.023","0.806","0.897","3188000","N/A","146000"
"2 - Black, Not Hispanic","KY","0.001","0.0002","0.001","0.001","0.009","0.0014","0.006","0.012","0.076","0.0115","0.056","0.102","283000","N/A","46000"
"3 - Other or Multiple, Not Hispanic","KY","0","0.0001","0","0.001","0.005","0.0016","0.003","0.01","0.034","0.0097","0.019","0.059","125000","N/A","38000"
"4 - Hispanic","KY","0","0.0001","0","0.001","0.003","0.0007","0.002","0.004","0.033","0.008","0.021","0.053","124000","N/A","32000"
"Overall","LA","0.014","0.0007","0.013","0.015","0.014","0.0007","0.013","0.015","1","0","N/A","N/A","3821000","N/A","200000"
"1 - White, Not Hispanic","LA","0.008","0.0006","0.007","0.01","0.014","0.001","0.012","0.016","0.606","0.0344","0.537","0.671","2315000","N/A","166000"
"2 - Black, Not Hispanic","LA","0.004","0.0006","0.003","0.006","0.036","0.0048","0.028","0.047","0.311","0.0358","0.245","0.385","1187000","N/A","163000"
"3 - Other or Multiple, Not Hispanic","LA","0","0.0001","0","0.001","0.006","0.0009","0.004","0.008","0.035","0.0055","0.026","0.048","136000","N/A","20000"
"4 - Hispanic","LA","0.001","0.0001","0","0.001","0.004","0.0006","0.003","0.005","0.048","0.008","0.034","0.066","183000","N/A","30000"
"Overall","MA","0.022","0.0008","0.02","0.023","0.022","0.0008","0.02","0.023","1","0","N/A","N/A","5947000","N/A","212000"
"1 - White, Not Hispanic","MA","0.016","0.0008","0.014","0.017","0.025","0.0013","0.023","0.028","0.73","0.0204","0.688","0.768","4339000","N/A","223000"
"2 - Black, Not Hispanic","MA","0.002","0.0003","0.001","0.002","0.013","0.0021","0.009","0.017","0.07","0.0117","0.05","0.097","417000","N/A","70000"
"3 - Other or Multiple, Not Hispanic","MA","0.002","0.0002","0.001","0.002","0.022","0.0028","0.017","0.028","0.088","0.0107","0.069","0.111","523000","N/A","68000"
"4 - Hispanic","MA","0.002","0.0002","0.002","0.003","0.014","0.0014","0.012","0.017","0.112","0.012","0.091","0.138","667000","N/A","63000"
"Overall","MD","0.018","0.0008","0.017","0.02","0.018","0.0008","0.017","0.02","1","0","N/A","N/A","5059000","N/A","209000"
"1 - White, Not Hispanic","MD","0.01","0.0007","0.008","0.011","0.015","0.0011","0.013","0.018","0.52","0.0303","0.46","0.579","2630000","N/A","192000"
"2 - Black, Not Hispanic","MD","0.005","0.0006","0.004","0.007","0.045","0.0045","0.037","0.055","0.296","0.0266","0.246","0.351","1497000","N/A","153000"
"3 - Other or Multiple, Not Hispanic","MD","0.002","0.0002","0.001","0.002","0.019","0.0023","0.015","0.024","0.09","0.0109","0.071","0.114","457000","N/A","55000"
"4 - Hispanic","MD","0.002","0.0002","0.001","0.002","0.01","0.0014","0.008","0.013","0.094","0.0132","0.071","0.123","476000","N/A","66000"
"Overall","ME","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1166000","N/A","50000"
"1 - White, Not Hispanic","ME","0.004","0.0002","0.004","0.004","0.006","0.0003","0.006","0.007","0.938","0.0092","0.917","0.954","1094000","N/A","49000"
"2 - Black, Not Hispanic","ME","0","0","0","0","0","0.0001","0","0.001","0.013","0.0038","0.008","0.023","16000","N/A","4000"
"3 - Other or Multiple, Not Hispanic","ME","0","0","0","0","0.002","0.0004","0.001","0.003","0.033","0.0076","0.021","0.052","38000","N/A","9000"
"4 - Hispanic","ME","0","0","0","0","0","0.0001","0","0.001","0.016","0.0037","0.01","0.025","18000","N/A","4000"
"Overall","MI","0.031","0.0007","0.03","0.032","0.031","0.0007","0.03","0.032","1","0","N/A","N/A","8488000","N/A","201000"
"1 - White, Not Hispanic","MI","0.024","0.0007","0.022","0.025","0.038","0.0012","0.036","0.04","0.764","0.0133","0.737","0.789","6488000","N/A","203000"
"2 - Black, Not Hispanic","MI","0.004","0.0003","0.003","0.005","0.033","0.0028","0.028","0.04","0.131","0.0113","0.11","0.155","1109000","N/A","94000"
"3 - Other or Multiple, Not Hispanic","MI","0.002","0.0002","0.001","0.002","0.021","0.002","0.017","0.025","0.058","0.0054","0.048","0.069","492000","N/A","46000"
"4 - Hispanic","MI","0.001","0.0002","0.001","0.002","0.009","0.0011","0.007","0.011","0.047","0.0056","0.037","0.06","400000","N/A","50000"
"Overall","MN","0.017","0.0007","0.016","0.019","0.017","0.0007","0.016","0.019","1","0","N/A","N/A","4706000","N/A","192000"
"1 - White, Not Hispanic","MN","0.014","0.0007","0.013","0.015","0.022","0.0011","0.02","0.025","0.814","0.0178","0.777","0.847","3832000","N/A","189000"
"2 - Black, Not Hispanic","MN","0.001","0.0002","0.001","0.001","0.008","0.0016","0.006","0.012","0.059","0.011","0.041","0.085","279000","N/A","54000"
"3 - Other or Multiple, Not Hispanic","MN","0.001","0.0002","0.001","0.002","0.015","0.0022","0.012","0.02","0.077","0.0115","0.057","0.103","363000","N/A","52000"
"4 - Hispanic","MN","0.001","0.0001","0.001","0.001","0.005","0.0008","0.004","0.007","0.049","0.0081","0.035","0.068","231000","N/A","38000"
"Overall","MO","0.019","0.0007","0.017","0.02","0.019","0.0007","0.017","0.02","1","0","N/A","N/A","5116000","N/A","192000"
"1 - White, Not Hispanic","MO","0.015","0.0007","0.014","0.017","0.024","0.0011","0.022","0.027","0.807","0.0199","0.765","0.843","4128000","N/A","196000"
"2 - Black, Not Hispanic","MO","0.002","0.0003","0.001","0.003","0.017","0.0027","0.012","0.023","0.109","0.0175","0.079","0.149","559000","N/A","91000"
"3 - Other or Multiple, Not Hispanic","MO","0.001","0.0001","0.001","0.001","0.01","0.0012","0.008","0.012","0.045","0.0054","0.036","0.057","231000","N/A","28000"
"4 - Hispanic","MO","0.001","0.0001","0.001","0.001","0.004","0.0007","0.003","0.006","0.039","0.0062","0.028","0.053","197000","N/A","31000"
"Overall","MS","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2453000","N/A","96000"
"1 - White, Not Hispanic","MS","0.005","0.0004","0.004","0.006","0.008","0.0007","0.007","0.01","0.585","0.0323","0.52","0.646","1434000","N/A","112000"
"2 - Black, Not Hispanic","MS","0.003","0.0003","0.003","0.004","0.027","0.0022","0.023","0.032","0.363","0.031","0.304","0.425","890000","N/A","74000"
"3 - Other or Multiple, Not Hispanic","MS","0","0","0","0","0.003","0.0005","0.002","0.004","0.024","0.0049","0.016","0.036","60000","N/A","12000"
"4 - Hispanic","MS","0","0.0001","0","0","0.001","0.0003","0.001","0.002","0.028","0.0063","0.018","0.044","70000","N/A","15000"
"Overall","MT","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","1","0","N/A","N/A","898000","N/A","30000"
"1 - White, Not Hispanic","MT","0.003","0.0001","0.003","0.003","0.005","0.0002","0.004","0.005","0.875","0.0184","0.834","0.907","786000","N/A","29000"
"2 - Black, Not Hispanic","MT","0","0","0","0","0","0.0001","0","0","0.004","0.0021","0.002","0.011","4000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","MT","0","0.0001","0","0","0.003","0.0007","0.002","0.005","0.085","0.0174","0.057","0.126","77000","N/A","16000"
"4 - Hispanic","MT","0","0","0","0","0.001","0.0001","0","0.001","0.035","0.0053","0.026","0.047","32000","N/A","5000"
"Overall","NC","0.032","0.0012","0.029","0.034","0.032","0.0012","0.029","0.034","1","0","N/A","N/A","8726000","N/A","344000"
"1 - White, Not Hispanic","NC","0.021","0.0012","0.018","0.023","0.033","0.0019","0.03","0.037","0.649","0.0217","0.605","0.69","5664000","N/A","331000"
"2 - Black, Not Hispanic","NC","0.007","0.0005","0.006","0.008","0.055","0.0042","0.048","0.064","0.21","0.0163","0.18","0.244","1831000","N/A","140000"
"3 - Other or Multiple, Not Hispanic","NC","0.002","0.0003","0.001","0.002","0.021","0.0029","0.016","0.028","0.058","0.0073","0.045","0.074","502000","N/A","70000"
"4 - Hispanic","NC","0.003","0.0003","0.002","0.003","0.016","0.0018","0.012","0.02","0.084","0.0104","0.065","0.107","730000","N/A","87000"
"Overall","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","619000","N/A","26000"
"1 - White, Not Hispanic","ND","0.002","0.0001","0.002","0.002","0.003","0.0002","0.003","0.003","0.857","0.0171","0.821","0.888","531000","N/A","25000"
"2 - Black, Not Hispanic","ND","0","0","0","0","0.001","0.0001","0","0.001","0.028","0.0059","0.019","0.042","17000","N/A","4000"
"3 - Other or Multiple, Not Hispanic","ND","0","0","0","0","0.002","0.0003","0.002","0.003","0.08","0.0125","0.059","0.108","50000","N/A","8000"
"4 - Hispanic","ND","0","0","0","0","0","0.0001","0","0.001","0.034","0.0065","0.024","0.05","21000","N/A","4000"
"Overall","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1584000","N/A","60000"
"1 - White, Not Hispanic","NE","0.005","0.0002","0.004","0.005","0.007","0.0004","0.007","0.008","0.807","0.017","0.771","0.838","1277000","N/A","60000"
"2 - Black, Not Hispanic","NE","0","0.0001","0","0","0.002","0.0005","0.001","0.004","0.046","0.0111","0.028","0.073","73000","N/A","17000"
"3 - Other or Multiple, Not Hispanic","NE","0","0.0001","0","0","0.003","0.0006","0.002","0.005","0.049","0.0097","0.033","0.072","77000","N/A","15000"
"4 - Hispanic","NE","0.001","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.099","0.0121","0.078","0.125","157000","N/A","20000"
"Overall","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1180000","N/A","47000"
"1 - White, Not Hispanic","NH","0.004","0.0002","0.004","0.004","0.006","0.0002","0.006","0.007","0.907","0.0113","0.882","0.927","1070000","N/A","41000"
"2 - Black, Not Hispanic","NH","0","0","0","0","0","0.0001","0","0.001","0.013","0.0039","0.007","0.023","15000","N/A","5000"
"3 - Other or Multiple, Not Hispanic","NH","0","0","0","0","0.002","0.0005","0.002","0.003","0.045","0.0084","0.031","0.065","53000","N/A","11000"
"4 - Hispanic","NH","0","0","0","0","0.001","0.0002","0.001","0.001","0.036","0.0074","0.023","0.053","42000","N/A","9000"
"Overall","NJ","0.027","0.001","0.026","0.029","0.027","0.001","0.026","0.029","1","0","N/A","N/A","7526000","N/A","278000"
"1 - White, Not Hispanic","NJ","0.016","0.001","0.014","0.018","0.025","0.0016","0.022","0.028","0.566","0.0257","0.515","0.615","4257000","N/A","276000"
"2 - Black, Not Hispanic","NJ","0.003","0.0004","0.003","0.004","0.029","0.0031","0.023","0.035","0.126","0.0133","0.102","0.154","947000","N/A","105000"
"3 - Other or Multiple, Not Hispanic","NJ","0.003","0.0003","0.003","0.004","0.036","0.0036","0.03","0.044","0.114","0.0112","0.093","0.137","855000","N/A","86000"
"4 - Hispanic","NJ","0.005","0.0006","0.004","0.007","0.031","0.0034","0.025","0.038","0.195","0.0212","0.157","0.24","1466000","N/A","159000"
"Overall","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","1","0","N/A","N/A","1747000","N/A","87000"
"1 - White, Not Hispanic","NM","0.002","0.0002","0.002","0.003","0.004","0.0004","0.003","0.005","0.391","0.0231","0.347","0.437","683000","N/A","60000"
"2 - Black, Not Hispanic","NM","0","0","0","0","0.001","0.0003","0","0.002","0.017","0.0051","0.009","0.03","29000","N/A","9000"
"3 - Other or Multiple, Not Hispanic","NM","0.001","0.0001","0.001","0.001","0.009","0.001","0.007","0.011","0.118","0.0131","0.094","0.146","205000","N/A","24000"
"4 - Hispanic","NM","0.003","0.0002","0.003","0.003","0.018","0.0011","0.016","0.02","0.475","0.0234","0.429","0.521","830000","N/A","50000"
"Overall","NV","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2561000","N/A","126000"
"1 - White, Not Hispanic","NV","0.005","0.0004","0.004","0.006","0.008","0.0007","0.006","0.009","0.508","0.0281","0.453","0.563","1302000","N/A","115000"
"2 - Black, Not Hispanic","NV","0.001","0.0001","0.001","0.001","0.007","0.0009","0.005","0.009","0.087","0.0112","0.068","0.112","224000","N/A","29000"
"3 - Other or Multiple, Not Hispanic","NV","0.001","0.0002","0.001","0.002","0.014","0.0018","0.011","0.018","0.133","0.0151","0.106","0.165","340000","N/A","43000"
"4 - Hispanic","NV","0.003","0.0002","0.002","0.003","0.015","0.0011","0.013","0.017","0.272","0.0223","0.23","0.318","696000","N/A","49000"
"Overall","NY","0.06","0.0015","0.058","0.063","0.06","0.0015","0.058","0.063","1","0","N/A","N/A","16572000","N/A","424000"
"1 - White, Not Hispanic","NY","0.034","0.0014","0.032","0.037","0.055","0.0022","0.051","0.06","0.568","0.0165","0.535","0.6","9412000","N/A","397000"
"2 - Black, Not Hispanic","NY","0.009","0.0007","0.007","0.01","0.071","0.0054","0.061","0.082","0.142","0.0112","0.121","0.165","2351000","N/A","184000"
"3 - Other or Multiple, Not Hispanic","NY","0.007","0.0006","0.005","0.008","0.076","0.0066","0.064","0.089","0.108","0.0091","0.091","0.127","1786000","N/A","162000"
"4 - Hispanic","NY","0.011","0.0006","0.01","0.012","0.064","0.0037","0.057","0.072","0.182","0.0104","0.163","0.204","3023000","N/A","177000"
"Overall","OH","0.036","0.0009","0.034","0.038","0.036","0.0009","0.034","0.038","1","0","N/A","N/A","9825000","N/A","260000"
"1 - White, Not Hispanic","OH","0.029","0.001","0.027","0.031","0.046","0.0015","0.043","0.049","0.802","0.0143","0.772","0.828","7878000","N/A","264000"
