"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - White, Not Hispanic","IN","0.016","0.0013","0.013","0.019","0.026","0.0022","0.022","0.031","0.781","0.0216","0.736","0.821","4484000","N/A","373000"
"2 - Black, Not Hispanic","IN","0.002","0.0004","0.001","0.003","0.016","0.0035","0.01","0.024","0.095","0.0199","0.062","0.142","543000","N/A","122000"
"3 - Other or Multiple, Not Hispanic","IN","0.001","0.0002","0.001","0.002","0.01","0.0026","0.006","0.017","0.047","0.012","0.028","0.077","269000","N/A","68000"
"4 - Hispanic","IN","0.002","0.0002","0.001","0.002","0.009","0.0011","0.007","0.011","0.077","0.0082","0.062","0.095","442000","N/A","58000"
"Overall","KS","0.009","0.0007","0.007","0.01","0.009","0.0007","0.007","0.01","1","0","N/A","N/A","2434000","N/A","207000"
"1 - White, Not Hispanic","KS","0.007","0.0006","0.005","0.008","0.011","0.001","0.009","0.013","0.759","0.0177","0.722","0.792","1847000","N/A","168000"
"2 - Black, Not Hispanic","KS","0","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.056","0.0078","0.042","0.073","135000","N/A","18000"
"3 - Other or Multiple, Not Hispanic","KS","0.001","0.0001","0","0.001","0.006","0.0014","0.004","0.009","0.063","0.0129","0.042","0.093","153000","N/A","36000"
"4 - Hispanic","KS","0.001","0.0002","0.001","0.001","0.006","0.0008","0.004","0.008","0.123","0.0151","0.096","0.156","299000","N/A","43000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3780000","N/A","200000"
"1 - White, Not Hispanic","KY","0.011","0.0007","0.01","0.013","0.019","0.0011","0.017","0.021","0.842","0.0181","0.804","0.875","3184000","N/A","190000"
"2 - Black, Not Hispanic","KY","0.001","0.0002","0.001","0.001","0.009","0.0014","0.006","0.012","0.079","0.0127","0.057","0.108","299000","N/A","49000"
"3 - Other or Multiple, Not Hispanic","KY","0","0.0001","0","0.001","0.005","0.0008","0.004","0.007","0.037","0.005","0.029","0.048","141000","N/A","20000"
"4 - Hispanic","KY","0.001","0.0001","0","0.001","0.003","0.0006","0.002","0.005","0.041","0.0088","0.027","0.062","155000","N/A","33000"
"Overall","LA","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3797000","N/A","208000"
"1 - White, Not Hispanic","LA","0.008","0.0006","0.007","0.009","0.013","0.001","0.011","0.015","0.591","0.0257","0.539","0.64","2242000","N/A","170000"
"2 - Black, Not Hispanic","LA","0.004","0.0004","0.003","0.005","0.034","0.0032","0.028","0.041","0.31","0.0258","0.262","0.363","1178000","N/A","109000"
"3 - Other or Multiple, Not Hispanic","LA","0.001","0.0001","0","0.001","0.006","0.001","0.004","0.008","0.04","0.0065","0.029","0.055","151000","N/A","25000"
"4 - Hispanic","LA","0.001","0.0001","0.001","0.001","0.004","0.0006","0.003","0.006","0.059","0.0076","0.046","0.076","225000","N/A","31000"
"Overall","MA","0.021","0.0015","0.019","0.025","0.021","0.0015","0.019","0.025","1","0","N/A","N/A","6074000","N/A","436000"
"1 - White, Not Hispanic","MA","0.015","0.0012","0.013","0.018","0.025","0.002","0.022","0.029","0.711","0.0215","0.667","0.751","4317000","N/A","345000"
"2 - Black, Not Hispanic","MA","0.002","0.0003","0.001","0.002","0.013","0.0025","0.009","0.019","0.073","0.0128","0.051","0.102","441000","N/A","88000"
"3 - Other or Multiple, Not Hispanic","MA","0.002","0.0003","0.002","0.003","0.022","0.0034","0.017","0.03","0.096","0.0142","0.071","0.127","580000","N/A","89000"
"4 - Hispanic","MA","0.003","0.0004","0.002","0.003","0.014","0.0021","0.011","0.019","0.121","0.0161","0.093","0.157","737000","N/A","109000"
"Overall","MD","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5208000","N/A","376000"
"1 - White, Not Hispanic","MD","0.009","0.0009","0.007","0.011","0.015","0.0015","0.012","0.018","0.493","0.0285","0.437","0.548","2566000","N/A","258000"
"2 - Black, Not Hispanic","MD","0.006","0.0005","0.005","0.007","0.046","0.0042","0.038","0.055","0.302","0.0228","0.26","0.349","1575000","N/A","147000"
"3 - Other or Multiple, Not Hispanic","MD","0.002","0.0003","0.001","0.002","0.019","0.003","0.014","0.026","0.096","0.0136","0.072","0.126","498000","N/A","79000"
"4 - Hispanic","MD","0.002","0.0003","0.002","0.003","0.011","0.0016","0.008","0.015","0.109","0.0139","0.085","0.14","569000","N/A","82000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1217000","N/A","110000"
"1 - White, Not Hispanic","ME","0.004","0.0004","0.003","0.005","0.007","0.0006","0.006","0.008","0.927","0.0137","0.895","0.95","1129000","N/A","99000"
"2 - Black, Not Hispanic","ME","0","0","0","0","0.001","0.0002","0","0.001","0.017","0.0046","0.01","0.029","21000","N/A","6000"
"3 - Other or Multiple, Not Hispanic","ME","0","0","0","0","0.002","0.0004","0.001","0.003","0.035","0.0078","0.023","0.054","43000","N/A","11000"
"4 - Hispanic","ME","0","0","0","0","0","0.0002","0","0.001","0.02","0.0074","0.01","0.041","25000","N/A","10000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8581000","N/A","377000"
"1 - White, Not Hispanic","MI","0.023","0.0012","0.021","0.025","0.038","0.002","0.034","0.042","0.754","0.0164","0.72","0.785","6468000","N/A","353000"
"2 - Black, Not Hispanic","MI","0.004","0.0004","0.003","0.005","0.032","0.0033","0.027","0.039","0.131","0.0135","0.106","0.159","1120000","N/A","116000"
"3 - Other or Multiple, Not Hispanic","MI","0.002","0.0002","0.002","0.002","0.02","0.0022","0.016","0.025","0.062","0.0067","0.05","0.076","531000","N/A","58000"
"4 - Hispanic","MI","0.002","0.0002","0.001","0.002","0.009","0.0009","0.007","0.011","0.054","0.0051","0.045","0.065","462000","N/A","46000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4833000","N/A","362000"
"1 - White, Not Hispanic","MN","0.014","0.001","0.012","0.016","0.022","0.0017","0.019","0.026","0.794","0.0195","0.753","0.83","3837000","N/A","297000"
"2 - Black, Not Hispanic","MN","0.001","0.0003","0.001","0.002","0.009","0.0021","0.006","0.015","0.067","0.0136","0.045","0.1","326000","N/A","72000"
"3 - Other or Multiple, Not Hispanic","MN","0.001","0.0002","0.001","0.002","0.015","0.0025","0.011","0.021","0.082","0.0119","0.062","0.109","398000","N/A","66000"
"4 - Hispanic","MN","0.001","0.0002","0.001","0.001","0.005","0.0009","0.004","0.007","0.056","0.0092","0.041","0.077","272000","N/A","48000"
"Overall","MO","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5211000","N/A","385000"
"1 - White, Not Hispanic","MO","0.015","0.0013","0.012","0.017","0.024","0.0021","0.021","0.029","0.796","0.0257","0.741","0.842","4148000","N/A","365000"
"2 - Black, Not Hispanic","MO","0.002","0.0004","0.001","0.003","0.017","0.0033","0.011","0.024","0.11","0.0221","0.073","0.161","572000","N/A","116000"
"3 - Other or Multiple, Not Hispanic","MO","0.001","0.0001","0.001","0.001","0.01","0.0016","0.007","0.013","0.048","0.008","0.035","0.067","251000","N/A","42000"
"4 - Hispanic","MO","0.001","0.0002","0.001","0.001","0.005","0.0009","0.003","0.007","0.046","0.0084","0.032","0.066","240000","N/A","46000"
"Overall","MS","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2444000","N/A","157000"
"1 - White, Not Hispanic","MS","0.005","0.0004","0.004","0.006","0.008","0.0007","0.007","0.01","0.573","0.0296","0.514","0.63","1401000","N/A","115000"
"2 - Black, Not Hispanic","MS","0.003","0.0003","0.003","0.004","0.026","0.0026","0.021","0.032","0.368","0.0305","0.31","0.429","899000","N/A","91000"
"3 - Other or Multiple, Not Hispanic","MS","0","0","0","0","0.003","0.0005","0.002","0.004","0.027","0.0047","0.019","0.038","65000","N/A","13000"
"4 - Hispanic","MS","0","0.0001","0","0","0.002","0.0004","0.001","0.003","0.032","0.0084","0.019","0.054","79000","N/A","22000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","961000","N/A","80000"
"1 - White, Not Hispanic","MT","0.003","0.0003","0.002","0.003","0.005","0.0004","0.004","0.006","0.867","0.0175","0.829","0.897","833000","N/A","70000"
"2 - Black, Not Hispanic","MT","0","0","0","0","0","0.0001","0","0","0.004","0.0022","0.002","0.012","4000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","MT","0","0.0001","0","0","0.003","0.0007","0.002","0.005","0.088","0.0169","0.06","0.128","85000","N/A","18000"
"4 - Hispanic","MT","0","0","0","0","0.001","0.0001","0.001","0.001","0.04","0.0066","0.029","0.055","39000","N/A","7000"
"Overall","NC","0.032","0.002","0.028","0.036","0.032","0.002","0.028","0.036","1","0","N/A","N/A","9074000","N/A","578000"
"1 - White, Not Hispanic","NC","0.02","0.0016","0.017","0.024","0.034","0.0027","0.029","0.039","0.632","0.029","0.573","0.687","5732000","N/A","466000"
"2 - Black, Not Hispanic","NC","0.007","0.0008","0.005","0.008","0.055","0.0064","0.043","0.069","0.208","0.0219","0.168","0.254","1887000","N/A","228000"
"3 - Other or Multiple, Not Hispanic","NC","0.002","0.0004","0.001","0.003","0.022","0.0038","0.016","0.031","0.063","0.0105","0.046","0.088","575000","N/A","100000"
"4 - Hispanic","NC","0.003","0.0004","0.002","0.004","0.017","0.0022","0.013","0.022","0.097","0.0114","0.077","0.122","880000","N/A","115000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","641000","N/A","59000"
"1 - White, Not Hispanic","ND","0.002","0.0002","0.002","0.002","0.003","0.0003","0.003","0.004","0.851","0.0232","0.799","0.891","546000","N/A","55000"
"2 - Black, Not Hispanic","ND","0","0","0","0","0.001","0.0001","0","0.001","0.032","0.0065","0.021","0.047","20000","N/A","5000"
"3 - Other or Multiple, Not Hispanic","ND","0","0","0","0","0.002","0.0004","0.001","0.003","0.078","0.0185","0.049","0.123","50000","N/A","11000"
"4 - Hispanic","ND","0","0","0","0","0","0.0001","0","0.001","0.039","0.0091","0.025","0.061","25000","N/A","6000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1635000","N/A","102000"
"1 - White, Not Hispanic","NE","0.005","0.0003","0.004","0.005","0.008","0.0005","0.007","0.009","0.789","0.0201","0.746","0.825","1289000","N/A","88000"
"2 - Black, Not Hispanic","NE","0","0.0001","0","0","0.002","0.0006","0.001","0.004","0.044","0.0118","0.026","0.074","73000","N/A","20000"
"3 - Other or Multiple, Not Hispanic","NE","0","0.0001","0","0","0.003","0.0007","0.002","0.005","0.055","0.0112","0.037","0.082","90000","N/A","19000"
"4 - Hispanic","NE","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.112","0.0147","0.086","0.144","183000","N/A","26000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1225000","N/A","74000"
"1 - White, Not Hispanic","NH","0.004","0.0002","0.003","0.004","0.006","0.0004","0.006","0.007","0.894","0.0107","0.871","0.913","1095000","N/A","67000"
"2 - Black, Not Hispanic","NH","0","0","0","0","0.001","0.0002","0","0.001","0.016","0.0051","0.008","0.029","19000","N/A","6000"
"3 - Other or Multiple, Not Hispanic","NH","0","0","0","0","0.002","0.0004","0.002","0.003","0.048","0.0073","0.035","0.064","59000","N/A","10000"
"4 - Hispanic","NH","0","0","0","0","0.001","0.0002","0.001","0.001","0.043","0.0076","0.03","0.06","52000","N/A","10000"
"Overall","NJ","0.028","0.0013","0.026","0.031","0.028","0.0013","0.026","0.031","1","0","N/A","N/A","7902000","N/A","366000"
"1 - White, Not Hispanic","NJ","0.015","0.0008","0.014","0.017","0.025","0.0014","0.022","0.028","0.541","0.0242","0.493","0.588","4274000","N/A","239000"
"2 - Black, Not Hispanic","NJ","0.004","0.0006","0.003","0.005","0.029","0.0045","0.022","0.039","0.128","0.0184","0.096","0.168","1007000","N/A","158000"
"3 - Other or Multiple, Not Hispanic","NJ","0.003","0.0005","0.002","0.005","0.037","0.0055","0.027","0.049","0.12","0.0168","0.091","0.158","951000","N/A","145000"
"4 - Hispanic","NJ","0.006","0.0006","0.005","0.007","0.032","0.0033","0.026","0.04","0.211","0.0187","0.177","0.25","1669000","N/A","173000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1794000","N/A","109000"
"1 - White, Not Hispanic","NM","0.002","0.0002","0.002","0.003","0.004","0.0003","0.003","0.005","0.382","0.0258","0.332","0.433","684000","N/A","59000"
"2 - Black, Not Hispanic","NM","0","0","0","0","0.001","0.0002","0.001","0.002","0.019","0.004","0.013","0.029","35000","N/A","7000"
"3 - Other or Multiple, Not Hispanic","NM","0.001","0.0001","0.001","0.001","0.008","0.0013","0.006","0.011","0.122","0.017","0.092","0.159","219000","N/A","33000"
"4 - Hispanic","NM","0.003","0.0003","0.003","0.004","0.017","0.0015","0.014","0.02","0.477","0.0274","0.424","0.531","856000","N/A","76000"
"Overall","NV","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2709000","N/A","176000"
"1 - White, Not Hispanic","NV","0.005","0.0003","0.004","0.005","0.008","0.0006","0.007","0.009","0.48","0.0189","0.443","0.517","1299000","N/A","98000"
"2 - Black, Not Hispanic","NV","0.001","0.0001","0.001","0.001","0.007","0.001","0.006","0.009","0.093","0.0095","0.076","0.114","252000","N/A","33000"
"3 - Other or Multiple, Not Hispanic","NV","0.001","0.0001","0.001","0.002","0.015","0.0016","0.012","0.018","0.143","0.0136","0.119","0.172","388000","N/A","39000"
"4 - Hispanic","NV","0.003","0.0003","0.002","0.003","0.015","0.0015","0.012","0.018","0.284","0.0185","0.249","0.321","769000","N/A","75000"
"Overall","NY","0.06","0.0027","0.055","0.065","0.06","0.0027","0.055","0.065","1","0","N/A","N/A","16838000","N/A","783000"
"1 - White, Not Hispanic","NY","0.033","0.002","0.029","0.037","0.055","0.0033","0.048","0.062","0.554","0.0192","0.516","0.591","9324000","N/A","595000"
"2 - Black, Not Hispanic","NY","0.008","0.0009","0.007","0.01","0.069","0.007","0.057","0.084","0.142","0.0142","0.116","0.172","2392000","N/A","255000"
"3 - Other or Multiple, Not Hispanic","NY","0.007","0.0006","0.006","0.008","0.075","0.0068","0.063","0.089","0.115","0.0102","0.097","0.137","1944000","N/A","184000"
"4 - Hispanic","NY","0.011","0.0008","0.01","0.013","0.062","0.0041","0.054","0.07","0.189","0.0108","0.168","0.211","3179000","N/A","216000"
"Overall","OH","0.035","0.0016","0.032","0.038","0.035","0.0016","0.032","0.038","1","0","N/A","N/A","9952000","N/A","445000"
"1 - White, Not Hispanic","OH","0.028","0.0013","0.025","0.03","0.046","0.0022","0.042","0.05","0.786","0.0144","0.757","0.813","7826000","N/A","372000"
"2 - Black, Not Hispanic","OH","0.004","0.0005","0.003","0.005","0.035","0.0041","0.028","0.044","0.122","0.0134","0.098","0.151","1217000","N/A","146000"
"3 - Other or Multiple, Not Hispanic","OH","0.002","0.0002","0.001","0.002","0.019","0.0021","0.015","0.023","0.049","0.0049","0.04","0.06","489000","N/A","53000"
"4 - Hispanic","OH","0.001","0.0002","0.001","0.002","0.008","0.001","0.006","0.01","0.042","0.0045","0.034","0.052","419000","N/A","49000"
"Overall","OK","0.012","0.0008","0.01","0.013","0.012","0.0008","0.01","0.013","1","0","N/A","N/A","3334000","N/A","220000"
"1 - White, Not Hispanic","OK","0.008","0.0006","0.007","0.009","0.013","0.001","0.011","0.015","0.657","0.0228","0.611","0.7","2190000","N/A","173000"
"2 - Black, Not Hispanic","OK","0.001","0.0001","0.001","0.001","0.007","0.0012","0.005","0.01","0.071","0.0123","0.051","0.1","237000","N/A","40000"
"3 - Other or Multiple, Not Hispanic","OK","0.002","0.0003","0.001","0.002","0.021","0.0029","0.016","0.027","0.161","0.0176","0.129","0.199","537000","N/A","74000"
"4 - Hispanic","OK","0.001","0.0002","0.001","0.002","0.007","0.0009","0.006","0.009","0.111","0.0133","0.087","0.14","370000","N/A","44000"
"Overall","OR","0.013","0.0006","0.012","0.014","0.013","0.0006","0.012","0.014","1","0","N/A","N/A","3668000","N/A","178000"
"1 - White, Not Hispanic","OR","0.01","0.0005","0.009","0.011","0.016","0.0009","0.015","0.018","0.751","0.0211","0.707","0.79","2753000","N/A","145000"
"2 - Black, Not Hispanic","OR","0","0.0001","0","0","0.002","0.0007","0.001","0.004","0.018","0.0063","0.009","0.036","66000","N/A","23000"
"3 - Other or Multiple, Not Hispanic","OR","0.001","0.0002","0.001","0.002","0.014","0.0018","0.011","0.018","0.098","0.0127","0.076","0.126","361000","N/A","48000"
"4 - Hispanic","OR","0.002","0.0002","0.001","0.002","0.009","0.0013","0.007","0.012","0.133","0.0158","0.105","0.167","488000","N/A","69000"
"Overall","PA","0.039","0.0018","0.036","0.043","0.039","0.0018","0.036","0.043","1","0","N/A","N/A","11105000","N/A","505000"
"1 - White, Not Hispanic","PA","0.03","0.0014","0.027","0.033","0.05","0.0024","0.045","0.054","0.761","0.0189","0.722","0.796","8452000","N/A","407000"
"2 - Black, Not Hispanic","PA","0.004","0.0006","0.003","0.005","0.033","0.0046","0.025","0.044","0.103","0.0138","0.079","0.133","1144000","N/A","165000"
"3 - Other or Multiple, Not Hispanic","PA","0.002","0.0003","0.002","0.003","0.025","0.0034","0.019","0.032","0.057","0.0077","0.044","0.075","638000","N/A","89000"
"4 - Hispanic","PA","0.003","0.0005","0.002","0.004","0.017","0.0029","0.012","0.024","0.078","0.0127","0.057","0.107","871000","N/A","153000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","949000","N/A","58000"
"1 - White, Not Hispanic","RI","0.002","0.0002","0.002","0.003","0.004","0.0003","0.003","0.005","0.719","0.0241","0.669","0.764","682000","N/A","47000"
"2 - Black, Not Hispanic","RI","0","0","0","0","0.002","0.0004","0.001","0.003","0.061","0.0135","0.04","0.094","58000","N/A","14000"
"3 - Other or Multiple, Not Hispanic","RI","0","0","0","0","0.002","0.0004","0.002","0.003","0.059","0.0099","0.042","0.082","56000","N/A","9000"
"4 - Hispanic","RI","0.001","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.16","0.018","0.128","0.199","152000","N/A","20000"
"Overall","SC","0.016","0.0012","0.014","0.019","0.016","0.0012","0.014","0.019","1","0","N/A","N/A","4514000","N/A","343000"
"1 - White, Not Hispanic","SC","0.01","0.0009","0.009","0.012","0.017","0.0015","0.014","0.02","0.65","0.0264","0.596","0.699","2932000","N/A","267000"
"2 - Black, Not Hispanic","SC","0.004","0.0005","0.003","0.005","0.033","0.0038","0.026","0.041","0.249","0.0246","0.204","0.3","1123000","N/A","131000"
"3 - Other or Multiple, Not Hispanic","SC","0.001","0.0001","0","0.001","0.007","0.0015","0.004","0.01","0.039","0.008","0.026","0.059","177000","N/A","39000"
"4 - Hispanic","SC","0.001","0.0002","0.001","0.002","0.005","0.0012","0.004","0.008","0.062","0.0126","0.042","0.092","281000","N/A","60000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","751000","N/A","47000"
"1 - White, Not Hispanic","SD","0.002","0.0001","0.002","0.003","0.004","0.0002","0.003","0.004","0.832","0.018","0.794","0.864","625000","N/A","40000"
