"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282732000","N/A","2772000"
"0 - Did not misuse in the past year","Overall","0.97","0.0009","0.968","0.971","1","0","N/A","N/A","0.97","0.0009","0.968","0.971","274184000","N/A","2709000"
"1 - Misused within the past year","Overall","0.03","0.0009","0.029","0.032","1","0","N/A","N/A","0.03","0.0009","0.029","0.032","8548000","N/A","251000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","587000","N/A","47000"
"0 - Did not misuse in the past year","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","0.956","0.0101","0.931","0.972","561000","N/A","44000"
"1 - Misused within the past year","AK","0","0","0","0","0.003","0.0008","0.002","0.005","0.044","0.0101","0.028","0.069","26000","N/A","7000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4288000","N/A","223000"
"0 - Did not misuse in the past year","AL","0.014","0.0008","0.013","0.016","0.015","0.0008","0.013","0.017","0.952","0.0083","0.933","0.966","4083000","N/A","214000"
"1 - Misused within the past year","AL","0.001","0.0001","0.001","0.001","0.024","0.0043","0.017","0.034","0.048","0.0083","0.034","0.067","205000","N/A","37000"
"Overall","AR","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2553000","N/A","151000"
"0 - Did not misuse in the past year","AR","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","0.967","0.0056","0.954","0.976","2468000","N/A","146000"
"1 - Misused within the past year","AR","0","0.0001","0","0","0.01","0.0018","0.007","0.014","0.033","0.0056","0.024","0.046","85000","N/A","16000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6286000","N/A","461000"
"0 - Did not misuse in the past year","AZ","0.021","0.0016","0.018","0.025","0.022","0.0016","0.019","0.025","0.959","0.0093","0.936","0.974","6027000","N/A","452000"
"1 - Misused within the past year","AZ","0.001","0.0002","0.001","0.001","0.03","0.0069","0.019","0.047","0.041","0.0093","0.026","0.064","259000","N/A","60000"
"Overall","CA","0.117","0.004","0.11","0.125","0.117","0.004","0.11","0.125","1","0","N/A","N/A","33130000","N/A","1234000"
"0 - Did not misuse in the past year","CA","0.114","0.0039","0.107","0.122","0.118","0.004","0.11","0.126","0.974","0.0026","0.968","0.978","32261000","N/A","1204000"
"1 - Misused within the past year","CA","0.003","0.0003","0.003","0.004","0.102","0.0099","0.084","0.123","0.026","0.0026","0.022","0.032","869000","N/A","92000"
"Overall","CO","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","4993000","N/A","315000"
"0 - Did not misuse in the past year","CO","0.017","0.0011","0.015","0.019","0.018","0.0011","0.016","0.02","0.969","0.0062","0.955","0.979","4840000","N/A","308000"
"1 - Misused within the past year","CO","0.001","0.0001","0","0.001","0.018","0.0037","0.012","0.027","0.031","0.0062","0.021","0.045","153000","N/A","32000"
"Overall","CT","0.011","0.0006","0.01","0.012","0.011","0.0006","0.01","0.012","1","0","N/A","N/A","3123000","N/A","182000"
"0 - Did not misuse in the past year","CT","0.011","0.0006","0.01","0.012","0.011","0.0007","0.01","0.012","0.975","0.0051","0.963","0.983","3045000","N/A","178000"
"1 - Misused within the past year","CT","0","0.0001","0","0","0.009","0.002","0.006","0.014","0.025","0.0051","0.017","0.037","78000","N/A","17000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","577000","N/A","36000"
"0 - Did not misuse in the past year","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.97","0.0075","0.952","0.982","560000","N/A","35000"
"1 - Misused within the past year","DC","0","0","0","0","0.002","0.0005","0.001","0.003","0.03","0.0075","0.018","0.048","17000","N/A","4000"
"Overall","DE","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","877000","N/A","61000"
"0 - Did not misuse in the past year","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.004","0.961","0.0069","0.945","0.972","842000","N/A","57000"
"1 - Misused within the past year","DE","0","0","0","0","0.004","0.0008","0.003","0.006","0.039","0.0069","0.028","0.055","35000","N/A","7000"
"Overall","FL","0.068","0.003","0.063","0.075","0.068","0.003","0.063","0.075","1","0","N/A","N/A","19317000","N/A","896000"
"0 - Did not misuse in the past year","FL","0.066","0.003","0.061","0.073","0.069","0.0031","0.063","0.075","0.973","0.0034","0.966","0.979","18799000","N/A","884000"
"1 - Misused within the past year","FL","0.002","0.0002","0.001","0.002","0.061","0.0076","0.047","0.077","0.027","0.0034","0.021","0.034","518000","N/A","67000"
"Overall","GA","0.032","0.002","0.029","0.037","0.032","0.002","0.029","0.037","1","0","N/A","N/A","9173000","N/A","577000"
"0 - Did not misuse in the past year","GA","0.031","0.0019","0.028","0.035","0.032","0.002","0.029","0.036","0.964","0.0045","0.954","0.972","8843000","N/A","558000"
"1 - Misused within the past year","GA","0.001","0.0002","0.001","0.002","0.039","0.0053","0.029","0.051","0.036","0.0045","0.028","0.046","331000","N/A","46000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1189000","N/A","82000"
"0 - Did not misuse in the past year","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","0.974","0.0056","0.961","0.983","1159000","N/A","81000"
"1 - Misused within the past year","HI","0","0","0","0","0.004","0.0008","0.002","0.006","0.026","0.0056","0.017","0.039","31000","N/A","7000"
"Overall","IA","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2693000","N/A","162000"
"0 - Did not misuse in the past year","IA","0.009","0.0005","0.008","0.01","0.009","0.0006","0.008","0.011","0.964","0.0088","0.942","0.977","2595000","N/A","151000"
"1 - Misused within the past year","IA","0","0.0001","0","0.001","0.011","0.003","0.007","0.019","0.036","0.0088","0.023","0.058","98000","N/A","26000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1633000","N/A","111000"
"0 - Did not misuse in the past year","ID","0.006","0.0004","0.005","0.006","0.006","0.0004","0.005","0.006","0.954","0.0085","0.934","0.968","1557000","N/A","105000"
"1 - Misused within the past year","ID","0","0.0001","0","0","0.009","0.0018","0.006","0.013","0.046","0.0085","0.032","0.066","76000","N/A","16000"
"Overall","IL","0.038","0.0019","0.034","0.042","0.038","0.0019","0.034","0.042","1","0","N/A","N/A","10679000","N/A","547000"
"0 - Did not misuse in the past year","IL","0.037","0.0019","0.033","0.04","0.038","0.0019","0.034","0.042","0.97","0.004","0.961","0.977","10356000","N/A","534000"
"1 - Misused within the past year","IL","0.001","0.0002","0.001","0.002","0.038","0.0052","0.029","0.049","0.03","0.004","0.023","0.039","323000","N/A","45000"
"Overall","IN","0.02","0.0015","0.018","0.024","0.02","0.0015","0.018","0.024","1","0","N/A","N/A","5738000","N/A","435000"
"0 - Did not misuse in the past year","IN","0.02","0.0015","0.017","0.023","0.02","0.0015","0.018","0.024","0.971","0.0044","0.961","0.979","5573000","N/A","423000"
"1 - Misused within the past year","IN","0.001","0.0001","0","0.001","0.019","0.0033","0.014","0.027","0.029","0.0044","0.021","0.039","165000","N/A","28000"
"Overall","KS","0.009","0.0007","0.007","0.01","0.009","0.0007","0.007","0.01","1","0","N/A","N/A","2434000","N/A","207000"
"0 - Did not misuse in the past year","KS","0.008","0.0007","0.007","0.01","0.009","0.0007","0.007","0.01","0.977","0.0044","0.967","0.984","2378000","N/A","204000"
"1 - Misused within the past year","KS","0","0","0","0","0.007","0.0013","0.004","0.01","0.023","0.0044","0.016","0.033","56000","N/A","11000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3780000","N/A","200000"
"0 - Did not misuse in the past year","KY","0.013","0.0007","0.011","0.014","0.013","0.0007","0.012","0.015","0.952","0.0094","0.93","0.968","3600000","N/A","194000"
"1 - Misused within the past year","KY","0.001","0.0001","0","0.001","0.021","0.0043","0.014","0.031","0.048","0.0094","0.032","0.07","180000","N/A","37000"
"Overall","LA","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3797000","N/A","208000"
"0 - Did not misuse in the past year","LA","0.013","0.0007","0.011","0.014","0.013","0.0007","0.012","0.015","0.945","0.008","0.927","0.959","3590000","N/A","204000"
"1 - Misused within the past year","LA","0.001","0.0001","0.001","0.001","0.024","0.0035","0.018","0.032","0.055","0.008","0.041","0.073","207000","N/A","31000"
"Overall","MA","0.021","0.0015","0.019","0.025","0.021","0.0015","0.019","0.025","1","0","N/A","N/A","6074000","N/A","436000"
"0 - Did not misuse in the past year","MA","0.021","0.0015","0.018","0.024","0.022","0.0015","0.019","0.025","0.974","0.0049","0.963","0.982","5917000","N/A","422000"
"1 - Misused within the past year","MA","0.001","0.0001","0","0.001","0.018","0.0038","0.012","0.028","0.026","0.0049","0.018","0.037","157000","N/A","33000"
"Overall","MD","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5208000","N/A","376000"
"0 - Did not misuse in the past year","MD","0.018","0.0012","0.016","0.02","0.018","0.0013","0.016","0.021","0.967","0.0072","0.949","0.978","5035000","N/A","360000"
