"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - Unemployed","AL","0.001","0.0001","0.001","0.001","0.015","0.0019","0.012","0.019","0.044","0.0055","0.034","0.056","189000","N/A","24000"
"4 - Other","AL","0.006","0.0004","0.006","0.007","0.018","0.0011","0.016","0.02","0.422","0.0161","0.391","0.454","1810000","N/A","116000"
"99 - 12-14 year olds","AL","0.001","0.0001","0.001","0.001","0.015","0.0016","0.012","0.018","0.045","0.0045","0.037","0.054","191000","N/A","20000"
"Overall","AR","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2553000","N/A","151000"
"1 - Employed full time","AR","0.004","0.0003","0.003","0.004","0.009","0.0008","0.007","0.01","0.411","0.0208","0.371","0.452","1050000","N/A","91000"
"2 - Employed part time","AR","0.001","0.0001","0.001","0.001","0.007","0.0008","0.005","0.008","0.093","0.0094","0.076","0.113","238000","N/A","29000"
"3 - Unemployed","AR","0.001","0.0001","0","0.001","0.011","0.002","0.008","0.016","0.056","0.01","0.039","0.079","142000","N/A","26000"
"4 - Other","AR","0.004","0.0003","0.003","0.004","0.01","0.0007","0.009","0.011","0.394","0.0191","0.358","0.433","1007000","N/A","73000"
"99 - 12-14 year olds","AR","0","0.0001","0","0.001","0.009","0.0013","0.007","0.012","0.046","0.007","0.034","0.062","116000","N/A","17000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6286000","N/A","461000"
"1 - Employed full time","AZ","0.009","0.0009","0.008","0.011","0.022","0.002","0.018","0.026","0.421","0.0193","0.384","0.46","2649000","N/A","247000"
"2 - Employed part time","AZ","0.002","0.0003","0.002","0.003","0.017","0.0025","0.012","0.022","0.094","0.0126","0.072","0.122","591000","N/A","90000"
"3 - Unemployed","AZ","0.001","0.0002","0.001","0.002","0.024","0.0042","0.017","0.034","0.048","0.0079","0.034","0.066","301000","N/A","55000"
"4 - Other","AZ","0.009","0.0008","0.007","0.01","0.024","0.0022","0.02","0.029","0.389","0.0251","0.341","0.439","2445000","N/A","227000"
"99 - 12-14 year olds","AZ","0.001","0.0001","0.001","0.001","0.024","0.0029","0.019","0.03","0.048","0.0055","0.038","0.06","301000","N/A","37000"
"Overall","CA","0.117","0.004","0.11","0.125","0.117","0.004","0.11","0.125","1","0","N/A","N/A","33130000","N/A","1234000"
"1 - Employed full time","CA","0.048","0.0022","0.044","0.053","0.114","0.005","0.104","0.124","0.412","0.0094","0.394","0.431","13657000","N/A","657000"
"2 - Employed part time","CA","0.015","0.0009","0.014","0.017","0.12","0.0067","0.108","0.134","0.13","0.0059","0.119","0.142","4302000","N/A","259000"
"3 - Unemployed","CA","0.006","0.0005","0.005","0.007","0.134","0.0105","0.115","0.156","0.052","0.0044","0.043","0.061","1707000","N/A","148000"
"4 - Other","CA","0.043","0.0016","0.04","0.046","0.12","0.0045","0.111","0.129","0.367","0.0095","0.349","0.386","12158000","N/A","494000"
"99 - 12-14 year olds","CA","0.005","0.0004","0.004","0.005","0.102","0.0076","0.088","0.118","0.039","0.0026","0.035","0.045","1306000","N/A","105000"
"Overall","CO","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","4993000","N/A","315000"
"1 - Employed full time","CO","0.008","0.0006","0.007","0.009","0.019","0.0014","0.017","0.022","0.46","0.0247","0.412","0.509","2297000","N/A","171000"
"2 - Employed part time","CO","0.003","0.0003","0.002","0.003","0.02","0.0021","0.017","0.025","0.146","0.0113","0.125","0.17","729000","N/A","75000"
"3 - Unemployed","CO","0.001","0.0001","0","0.001","0.013","0.0026","0.009","0.019","0.034","0.006","0.024","0.048","168000","N/A","33000"
"4 - Other","CO","0.006","0.0005","0.005","0.007","0.016","0.0015","0.013","0.019","0.32","0.0211","0.28","0.363","1599000","N/A","154000"
"99 - 12-14 year olds","CO","0.001","0.0001","0.001","0.001","0.016","0.0021","0.012","0.02","0.04","0.0042","0.033","0.049","200000","N/A","27000"
"Overall","CT","0.011","0.0006","0.01","0.012","0.011","0.0006","0.01","0.012","1","0","N/A","N/A","3123000","N/A","182000"
"1 - Employed full time","CT","0.005","0.0003","0.004","0.006","0.011","0.0008","0.01","0.013","0.439","0.0182","0.403","0.474","1370000","N/A","91000"
"2 - Employed part time","CT","0.002","0.0002","0.001","0.002","0.014","0.0013","0.011","0.017","0.156","0.0129","0.133","0.183","489000","N/A","48000"
"3 - Unemployed","CT","0","0.0001","0","0.001","0.009","0.0019","0.006","0.014","0.037","0.0076","0.025","0.055","115000","N/A","24000"
"4 - Other","CT","0.004","0.0004","0.003","0.004","0.01","0.001","0.008","0.012","0.327","0.0228","0.283","0.373","1020000","N/A","101000"
"99 - 12-14 year olds","CT","0","0","0","0.001","0.01","0.0011","0.008","0.013","0.042","0.0039","0.035","0.05","130000","N/A","14000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","577000","N/A","36000"
"1 - Employed full time","DC","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.525","0.0227","0.481","0.57","303000","N/A","24000"
"2 - Employed part time","DC","0","0","0","0","0.002","0.0003","0.002","0.003","0.139","0.0149","0.112","0.171","80000","N/A","10000"
"3 - Unemployed","DC","0","0","0","0","0.003","0.0004","0.002","0.004","0.06","0.0093","0.045","0.082","35000","N/A","5000"
"4 - Other","DC","0","0","0","0.001","0.001","0.0001","0.001","0.002","0.242","0.018","0.209","0.279","140000","N/A","13000"
"99 - 12-14 year olds","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.033","0.0041","0.026","0.042","19000","N/A","3000"
"Overall","DE","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","877000","N/A","61000"
"1 - Employed full time","DE","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.435","0.0194","0.398","0.474","382000","N/A","30000"
"2 - Employed part time","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.116","0.0123","0.094","0.143","102000","N/A","12000"
"3 - Unemployed","DE","0","0","0","0","0.002","0.0004","0.002","0.003","0.035","0.0045","0.027","0.045","31000","N/A","5000"
"4 - Other","DE","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.37","0.0194","0.333","0.409","324000","N/A","30000"
"99 - 12-14 year olds","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.043","0.0039","0.036","0.051","38000","N/A","4000"
"Overall","FL","0.068","0.003","0.063","0.075","0.068","0.003","0.063","0.075","1","0","N/A","N/A","19317000","N/A","896000"
"1 - Employed full time","FL","0.028","0.0013","0.025","0.031","0.066","0.0031","0.06","0.072","0.408","0.0113","0.386","0.43","7879000","N/A","395000"
"2 - Employed part time","FL","0.008","0.0006","0.007","0.009","0.063","0.0044","0.055","0.072","0.116","0.007","0.103","0.131","2246000","N/A","167000"
"3 - Unemployed","FL","0.003","0.0003","0.003","0.004","0.077","0.0072","0.064","0.092","0.051","0.0045","0.042","0.06","976000","N/A","96000"
"4 - Other","FL","0.026","0.0015","0.023","0.03","0.074","0.0042","0.066","0.082","0.386","0.0111","0.364","0.407","7448000","N/A","445000"
"99 - 12-14 year olds","FL","0.003","0.0002","0.002","0.003","0.06","0.0039","0.053","0.068","0.04","0.002","0.036","0.044","768000","N/A","51000"
"Overall","GA","0.032","0.002","0.029","0.037","0.032","0.002","0.029","0.037","1","0","N/A","N/A","9173000","N/A","577000"
"1 - Employed full time","GA","0.014","0.0009","0.013","0.016","0.034","0.0022","0.03","0.039","0.445","0.0154","0.415","0.475","4082000","N/A","270000"
"2 - Employed part time","GA","0.004","0.0004","0.003","0.005","0.029","0.0034","0.023","0.037","0.114","0.0117","0.093","0.139","1043000","N/A","125000"
"3 - Unemployed","GA","0.001","0.0002","0.001","0.002","0.032","0.0047","0.024","0.043","0.045","0.0054","0.035","0.057","411000","N/A","61000"
"4 - Other","GA","0.011","0.0009","0.01","0.013","0.031","0.0025","0.027","0.037","0.347","0.0127","0.322","0.372","3180000","N/A","255000"
"99 - 12-14 year olds","GA","0.002","0.0001","0.001","0.002","0.036","0.0027","0.031","0.042","0.05","0.0035","0.043","0.057","457000","N/A","34000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1189000","N/A","82000"
"1 - Employed full time","HI","0.002","0.0001","0.001","0.002","0.004","0.0003","0.003","0.005","0.406","0.0196","0.368","0.445","483000","N/A","41000"
"2 - Employed part time","HI","0.001","0","0","0.001","0.004","0.0004","0.003","0.005","0.125","0.0105","0.106","0.147","149000","N/A","13000"
"3 - Unemployed","HI","0","0","0","0","0.003","0.0006","0.002","0.004","0.03","0.0056","0.02","0.043","35000","N/A","7000"
"4 - Other","HI","0.002","0.0002","0.001","0.002","0.005","0.0005","0.004","0.006","0.394","0.0234","0.349","0.441","468000","N/A","47000"
"99 - 12-14 year olds","HI","0","0","0","0","0.004","0.0005","0.003","0.005","0.046","0.0048","0.037","0.056","54000","N/A","6000"
"Overall","IA","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2693000","N/A","162000"
"1 - Employed full time","IA","0.004","0.0003","0.004","0.005","0.01","0.0008","0.009","0.012","0.452","0.0215","0.41","0.494","1216000","N/A","91000"
"2 - Employed part time","IA","0.001","0.0001","0.001","0.002","0.01","0.0011","0.008","0.013","0.133","0.0146","0.107","0.165","359000","N/A","41000"
"3 - Unemployed","IA","0","0.0001","0","0","0.007","0.0014","0.004","0.01","0.032","0.0062","0.022","0.046","85000","N/A","18000"
"4 - Other","IA","0.003","0.0003","0.003","0.004","0.009","0.0009","0.007","0.011","0.335","0.0231","0.291","0.381","902000","N/A","88000"
"99 - 12-14 year olds","IA","0","0.0001","0","0.001","0.01","0.0012","0.008","0.013","0.049","0.005","0.04","0.06","131000","N/A","15000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1633000","N/A","111000"
"1 - Employed full time","ID","0.002","0.0002","0.002","0.003","0.006","0.0004","0.005","0.007","0.428","0.02","0.389","0.467","698000","N/A","51000"
"2 - Employed part time","ID","0.001","0.0001","0.001","0.001","0.007","0.0009","0.005","0.009","0.153","0.0152","0.126","0.186","250000","N/A","32000"
"3 - Unemployed","ID","0","0","0","0","0.004","0.0006","0.003","0.006","0.032","0.0049","0.024","0.043","53000","N/A","8000"
"4 - Other","ID","0.002","0.0002","0.002","0.002","0.005","0.0005","0.004","0.006","0.329","0.0179","0.295","0.365","537000","N/A","51000"
"99 - 12-14 year olds","ID","0","0","0","0","0.007","0.0009","0.006","0.009","0.058","0.0062","0.047","0.072","95000","N/A","12000"
"Overall","IL","0.038","0.0019","0.034","0.042","0.038","0.0019","0.034","0.042","1","0","N/A","N/A","10679000","N/A","547000"
"1 - Employed full time","IL","0.016","0.0009","0.014","0.018","0.038","0.0022","0.034","0.042","0.427","0.0141","0.4","0.455","4564000","N/A","266000"
"2 - Employed part time","IL","0.005","0.0004","0.004","0.006","0.04","0.0032","0.034","0.047","0.135","0.0085","0.119","0.152","1440000","N/A","116000"
"3 - Unemployed","IL","0.002","0.0003","0.002","0.003","0.047","0.0054","0.037","0.059","0.056","0.0061","0.045","0.069","597000","N/A","71000"
"4 - Other","IL","0.013","0.0009","0.011","0.015","0.036","0.0025","0.031","0.041","0.339","0.0154","0.31","0.37","3622000","N/A","261000"
"99 - 12-14 year olds","IL","0.002","0.0001","0.001","0.002","0.036","0.0032","0.03","0.043","0.043","0.0033","0.037","0.05","456000","N/A","42000"
"Overall","IN","0.02","0.0015","0.018","0.024","0.02","0.0015","0.018","0.024","1","0","N/A","N/A","5738000","N/A","435000"
"1 - Employed full time","IN","0.009","0.0007","0.008","0.01","0.021","0.0016","0.018","0.024","0.436","0.0157","0.405","0.467","2501000","N/A","198000"
"2 - Employed part time","IN","0.002","0.0003","0.002","0.003","0.019","0.0022","0.015","0.024","0.121","0.0124","0.099","0.147","693000","N/A","81000"
"3 - Unemployed","IN","0.001","0.0002","0.001","0.001","0.02","0.0037","0.014","0.029","0.044","0.0068","0.033","0.06","253000","N/A","48000"
"4 - Other","IN","0.007","0.0007","0.006","0.009","0.02","0.0019","0.017","0.024","0.351","0.018","0.316","0.387","2012000","N/A","191000"
"99 - 12-14 year olds","IN","0.001","0.0001","0.001","0.001","0.022","0.0029","0.017","0.028","0.049","0.0046","0.04","0.058","278000","N/A","37000"
"Overall","KS","0.009","0.0007","0.007","0.01","0.009","0.0007","0.007","0.01","1","0","N/A","N/A","2434000","N/A","207000"
"1 - Employed full time","KS","0.004","0.0004","0.003","0.005","0.009","0.0009","0.007","0.011","0.445","0.0174","0.411","0.48","1084000","N/A","105000"
"2 - Employed part time","KS","0.001","0.0001","0.001","0.001","0.009","0.0011","0.007","0.011","0.126","0.0127","0.103","0.153","307000","N/A","38000"
"3 - Unemployed","KS","0","0.0001","0","0.001","0.008","0.002","0.005","0.013","0.042","0.0084","0.028","0.062","102000","N/A","25000"
"4 - Other","KS","0.003","0.0003","0.002","0.004","0.008","0.0008","0.007","0.01","0.339","0.0182","0.304","0.376","825000","N/A","78000"
"99 - 12-14 year olds","KS","0","0.0001","0","0.001","0.009","0.0014","0.007","0.012","0.047","0.0065","0.036","0.062","115000","N/A","18000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3780000","N/A","200000"
"1 - Employed full time","KY","0.005","0.0003","0.005","0.006","0.012","0.0008","0.011","0.014","0.394","0.016","0.363","0.426","1491000","N/A","95000"
"2 - Employed part time","KY","0.001","0.0001","0.001","0.002","0.011","0.0012","0.009","0.013","0.101","0.0107","0.082","0.124","380000","N/A","42000"
"3 - Unemployed","KY","0","0.0001","0","0.001","0.011","0.002","0.008","0.016","0.037","0.0066","0.026","0.052","139000","N/A","25000"
"4 - Other","KY","0.006","0.0004","0.005","0.007","0.016","0.0012","0.014","0.018","0.421","0.018","0.386","0.457","1592000","N/A","121000"
"99 - 12-14 year olds","KY","0.001","0.0001","0.001","0.001","0.014","0.0013","0.012","0.017","0.047","0.0039","0.04","0.055","178000","N/A","17000"
"Overall","LA","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3797000","N/A","208000"
"1 - Employed full time","LA","0.005","0.0003","0.004","0.006","0.012","0.0008","0.01","0.013","0.366","0.0181","0.332","0.403","1391000","N/A","95000"
"2 - Employed part time","LA","0.002","0.0002","0.002","0.002","0.015","0.0016","0.012","0.018","0.14","0.0126","0.117","0.167","533000","N/A","57000"
"3 - Unemployed","LA","0.001","0.0001","0.001","0.001","0.019","0.0025","0.015","0.025","0.065","0.0076","0.052","0.082","247000","N/A","32000"
"4 - Other","LA","0.005","0.0004","0.004","0.006","0.014","0.0012","0.012","0.017","0.381","0.0208","0.341","0.423","1447000","N/A","121000"
"99 - 12-14 year olds","LA","0.001","0.0001","0","0.001","0.014","0.0018","0.011","0.018","0.047","0.006","0.037","0.06","179000","N/A","23000"
"Overall","MA","0.021","0.0015","0.019","0.025","0.021","0.0015","0.019","0.025","1","0","N/A","N/A","6074000","N/A","436000"
"1 - Employed full time","MA","0.01","0.0007","0.008","0.011","0.023","0.0017","0.02","0.026","0.446","0.0187","0.41","0.483","2712000","N/A","202000"
"2 - Employed part time","MA","0.003","0.0004","0.003","0.004","0.027","0.003","0.022","0.033","0.158","0.0135","0.134","0.187","962000","N/A","109000"
"3 - Unemployed","MA","0.001","0.0001","0.001","0.001","0.019","0.003","0.014","0.025","0.039","0.0062","0.028","0.053","237000","N/A","38000"
"4 - Other","MA","0.007","0.0007","0.006","0.008","0.019","0.0019","0.016","0.023","0.319","0.0185","0.284","0.356","1937000","N/A","199000"
"99 - 12-14 year olds","MA","0.001","0.0001","0.001","0.001","0.018","0.0031","0.013","0.025","0.037","0.0058","0.028","0.051","228000","N/A","40000"
"Overall","MD","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5208000","N/A","376000"
"1 - Employed full time","MD","0.009","0.0007","0.007","0.01","0.02","0.0016","0.017","0.024","0.464","0.0176","0.43","0.499","2417000","N/A","198000"
"2 - Employed part time","MD","0.002","0.0003","0.002","0.003","0.018","0.0025","0.014","0.024","0.123","0.015","0.096","0.156","641000","N/A","91000"
"3 - Unemployed","MD","0.001","0.0001","0.001","0.001","0.022","0.0033","0.017","0.03","0.054","0.0076","0.041","0.071","281000","N/A","42000"
"4 - Other","MD","0.006","0.0006","0.005","0.007","0.016","0.0016","0.013","0.019","0.308","0.0206","0.269","0.35","1605000","N/A","168000"
"99 - 12-14 year olds","MD","0.001","0.0001","0.001","0.001","0.021","0.0021","0.017","0.025","0.051","0.0052","0.042","0.062","265000","N/A","27000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1217000","N/A","110000"
"1 - Employed full time","ME","0.002","0.0002","0.002","0.002","0.004","0.0005","0.004","0.005","0.441","0.0209","0.401","0.482","537000","N/A","55000"
"2 - Employed part time","ME","0.001","0.0001","0","0.001","0.004","0.0006","0.003","0.006","0.131","0.0138","0.106","0.16","159000","N/A","23000"
"3 - Unemployed","ME","0","0","0","0","0.002","0.0004","0.001","0.003","0.022","0.0037","0.016","0.031","27000","N/A","6000"
"4 - Other","ME","0.002","0.0002","0.001","0.002","0.004","0.0005","0.004","0.005","0.363","0.023","0.319","0.41","442000","N/A","48000"
"99 - 12-14 year olds","ME","0","0","0","0","0.004","0.0005","0.003","0.005","0.043","0.0035","0.036","0.05","52000","N/A","6000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8581000","N/A","377000"
"1 - Employed full time","MI","0.012","0.0006","0.011","0.013","0.028","0.0015","0.025","0.031","0.387","0.0115","0.365","0.41","3320000","N/A","185000"
"2 - Employed part time","MI","0.005","0.0003","0.004","0.005","0.036","0.0024","0.032","0.041","0.151","0.0087","0.134","0.168","1292000","N/A","87000"
"3 - Unemployed","MI","0.001","0.0002","0.001","0.002","0.028","0.0034","0.022","0.035","0.041","0.0047","0.033","0.052","354000","N/A","43000"
"4 - Other","MI","0.011","0.0007","0.01","0.013","0.032","0.0018","0.029","0.036","0.377","0.0134","0.351","0.404","3235000","N/A","185000"
"99 - 12-14 year olds","MI","0.001","0.0001","0.001","0.002","0.03","0.0023","0.026","0.035","0.044","0.0029","0.039","0.05","381000","N/A","29000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4833000","N/A","362000"
"1 - Employed full time","MN","0.008","0.0006","0.007","0.009","0.018","0.0015","0.016","0.021","0.456","0.0243","0.408","0.503","2202000","N/A","178000"
"2 - Employed part time","MN","0.002","0.0004","0.002","0.003","0.019","0.0029","0.014","0.026","0.144","0.0166","0.114","0.18","696000","N/A","106000"
"3 - Unemployed","MN","0","0.0001","0","0.001","0.01","0.0021","0.007","0.015","0.027","0.0051","0.018","0.039","129000","N/A","27000"
"4 - Other","MN","0.006","0.0007","0.004","0.007","0.015","0.0018","0.012","0.019","0.325","0.0285","0.272","0.383","1569000","N/A","187000"
"99 - 12-14 year olds","MN","0.001","0.0001","0.001","0.001","0.019","0.0023","0.015","0.024","0.049","0.0053","0.04","0.061","237000","N/A","30000"
"Overall","MO","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5211000","N/A","385000"
"1 - Employed full time","MO","0.008","0.0006","0.007","0.009","0.018","0.0013","0.016","0.021","0.423","0.0171","0.39","0.457","2206000","N/A","160000"
"2 - Employed part time","MO","0.002","0.0003","0.002","0.003","0.019","0.0023","0.015","0.024","0.133","0.0125","0.11","0.159","692000","N/A","85000"
"3 - Unemployed","MO","0.001","0.0002","0.001","0.001","0.021","0.0037","0.014","0.029","0.05","0.0091","0.035","0.072","262000","N/A","48000"
"4 - Other","MO","0.006","0.0007","0.005","0.008","0.018","0.0018","0.014","0.022","0.342","0.0167","0.31","0.375","1781000","N/A","186000"
"99 - 12-14 year olds","MO","0.001","0.0001","0.001","0.001","0.021","0.0024","0.017","0.026","0.052","0.0055","0.042","0.063","269000","N/A","32000"
"Overall","MS","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2444000","N/A","157000"
"1 - Employed full time","MS","0.003","0.0003","0.003","0.004","0.008","0.0006","0.006","0.009","0.371","0.0198","0.333","0.41","906000","N/A","77000"
"2 - Employed part time","MS","0.001","0.0001","0.001","0.001","0.007","0.0008","0.005","0.008","0.095","0.0095","0.078","0.116","233000","N/A","29000"
"3 - Unemployed","MS","0.001","0.0001","0","0.001","0.013","0.0019","0.009","0.017","0.066","0.0089","0.05","0.086","161000","N/A","24000"
"4 - Other","MS","0.004","0.0003","0.003","0.004","0.01","0.0008","0.009","0.012","0.422","0.0206","0.383","0.463","1033000","N/A","81000"
"99 - 12-14 year olds","MS","0","0","0","0","0.009","0.001","0.007","0.011","0.046","0.0047","0.037","0.056","112000","N/A","13000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","961000","N/A","80000"
"1 - Employed full time","MT","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.417","0.0238","0.371","0.465","401000","N/A","40000"
"2 - Employed part time","MT","0.001","0.0001","0","0.001","0.004","0.0006","0.003","0.006","0.161","0.017","0.13","0.197","154000","N/A","21000"
"3 - Unemployed","MT","0","0","0","0","0.002","0.0005","0.002","0.004","0.031","0.0057","0.021","0.044","29000","N/A","6000"
"4 - Other","MT","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.346","0.0253","0.298","0.397","333000","N/A","36000"
"99 - 12-14 year olds","MT","0","0","0","0","0.003","0.0005","0.003","0.004","0.045","0.0047","0.037","0.056","44000","N/A","6000"
"Overall","NC","0.032","0.002","0.028","0.036","0.032","0.002","0.028","0.036","1","0","N/A","N/A","9074000","N/A","578000"
"1 - Employed full time","NC","0.014","0.001","0.012","0.016","0.033","0.0024","0.029","0.038","0.439","0.0168","0.406","0.472","3980000","N/A","296000"
"2 - Employed part time","NC","0.003","0.0004","0.003","0.004","0.026","0.0028","0.022","0.032","0.104","0.0093","0.087","0.124","945000","N/A","100000"
"3 - Unemployed","NC","0.001","0.0002","0.001","0.002","0.029","0.0047","0.021","0.04","0.04","0.0063","0.03","0.055","366000","N/A","61000"
"4 - Other","NC","0.012","0.0009","0.01","0.014","0.033","0.0026","0.028","0.039","0.369","0.0173","0.336","0.404","3352000","N/A","270000"
"99 - 12-14 year olds","NC","0.002","0.0002","0.001","0.002","0.034","0.0034","0.028","0.041","0.048","0.004","0.04","0.056","431000","N/A","45000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","641000","N/A","59000"
"1 - Employed full time","ND","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.003","0.493","0.0228","0.448","0.537","316000","N/A","36000"
"2 - Employed part time","ND","0","0","0","0","0.003","0.0004","0.002","0.003","0.15","0.0186","0.117","0.19","96000","N/A","12000"
"3 - Unemployed","ND","0","0","0","0","0.001","0.0002","0.001","0.001","0.017","0.0046","0.01","0.029","11000","N/A","3000"
"4 - Other","ND","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.292","0.0251","0.245","0.344","187000","N/A","23000"
"99 - 12-14 year olds","ND","0","0","0","0","0.002","0.0005","0.002","0.004","0.049","0.0089","0.034","0.069","31000","N/A","7000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1635000","N/A","102000"
"1 - Employed full time","NE","0.003","0.0002","0.002","0.003","0.006","0.0004","0.006","0.007","0.463","0.0195","0.425","0.502","757000","N/A","51000"
"2 - Employed part time","NE","0.001","0.0001","0.001","0.001","0.006","0.0007","0.005","0.008","0.14","0.0111","0.12","0.163","229000","N/A","23000"
"3 - Unemployed","NE","0","0","0","0","0.004","0.001","0.002","0.006","0.03","0.0068","0.019","0.047","50000","N/A","12000"
"4 - Other","NE","0.002","0.0002","0.002","0.002","0.005","0.0004","0.004","0.006","0.311","0.0165","0.28","0.344","508000","N/A","45000"
"99 - 12-14 year olds","NE","0","0","0","0","0.007","0.0009","0.005","0.009","0.055","0.0063","0.044","0.069","91000","N/A","12000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1225000","N/A","74000"
"1 - Employed full time","NH","0.002","0.0002","0.002","0.002","0.005","0.0004","0.004","0.005","0.457","0.0171","0.424","0.491","560000","N/A","43000"
"2 - Employed part time","NH","0.001","0.0001","0.001","0.001","0.005","0.0004","0.004","0.006","0.139","0.0112","0.118","0.162","170000","N/A","15000"
"3 - Unemployed","NH","0","0","0","0","0.002","0.0004","0.001","0.003","0.021","0.0042","0.014","0.031","26000","N/A","5000"
