"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","AR","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2553000","N/A","151000"
"1 - Yes","AR","0.002","0.0002","0.002","0.003","0.012","0.0012","0.01","0.015","0.272","0.0256","0.225","0.325","694000","N/A","69000"
"2 - No","AR","0.006","0.0005","0.005","0.007","0.008","0.0007","0.007","0.01","0.69","0.0264","0.636","0.739","1762000","N/A","142000"
"85 - BAD DATA Logically assigned","AR","0","0.0001","0","0","0.034","0.0329","0.005","0.2","0.006","0.0061","0.001","0.042","16000","N/A","16000"
"94 - DON T KNOW","AR","0","0","0","0","0.013","0.0058","0.006","0.031","0.006","0.0029","0.003","0.015","16000","N/A","7000"
"97 - REFUSED","AR","0","0","0","0","0.002","0.0022","0","0.016","0","0.0002","0","0.002","1000","N/A","1000"
"98 - BLANK","AR","0","0","0","0","0.01","0.002","0.006","0.014","0.025","0.0055","0.017","0.039","65000","N/A","14000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6286000","N/A","461000"
"1 - Yes","AZ","0.006","0.0006","0.005","0.007","0.029","0.003","0.023","0.035","0.265","0.0228","0.223","0.312","1665000","N/A","175000"
"2 - No","AZ","0.016","0.0014","0.013","0.019","0.021","0.0018","0.018","0.025","0.716","0.0233","0.668","0.76","4502000","N/A","389000"
"85 - BAD DATA Logically assigned","AZ","0","0","0","0","0.003","0.0032","0","0.023","0","0.0002","0","0.002","1000","N/A","1000"
"94 - DON T KNOW","AZ","0","0","0","0","0.018","0.0063","0.009","0.035","0.003","0.0012","0.002","0.007","21000","N/A","8000"
"97 - REFUSED","AZ","0","0","0","0","0.013","0.007","0.004","0.037","0.001","0.0003","0","0.001","3000","N/A","2000"
"98 - BLANK","AZ","0","0.0001","0","0.001","0.014","0.0029","0.009","0.021","0.015","0.0035","0.009","0.023","93000","N/A","20000"
"Overall","CA","0.117","0.004","0.11","0.125","0.117","0.004","0.11","0.125","1","0","N/A","N/A","33130000","N/A","1234000"
"1 - Yes","CA","0.03","0.0016","0.027","0.034","0.148","0.007","0.135","0.163","0.259","0.0118","0.237","0.283","8582000","N/A","452000"
"2 - No","CA","0.083","0.0035","0.076","0.09","0.108","0.0045","0.1","0.117","0.705","0.0119","0.681","0.728","23353000","N/A","1061000"
"85 - BAD DATA Logically assigned","CA","0","0","0","0","0.003","0.0029","0","0.021","0","0","0","0","1000","N/A","1000"
"94 - DON T KNOW","CA","0","0.0001","0","0.001","0.105","0.0196","0.072","0.15","0.004","0.0008","0.003","0.006","127000","N/A","25000"
"97 - REFUSED","CA","0","0.0001","0","0","0.159","0.0598","0.073","0.313","0.001","0.0005","0.001","0.003","40000","N/A","16000"
"98 - BLANK","CA","0.004","0.0004","0.003","0.005","0.151","0.0155","0.123","0.184","0.031","0.0038","0.024","0.039","1027000","N/A","120000"
"Overall","CO","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","4993000","N/A","315000"
"1 - Yes","CO","0.004","0.0004","0.003","0.005","0.019","0.002","0.016","0.023","0.222","0.0223","0.181","0.268","1106000","N/A","114000"
"2 - No","CO","0.013","0.001","0.012","0.016","0.018","0.0013","0.015","0.02","0.758","0.0224","0.711","0.799","3784000","N/A","295000"
"85 - BAD DATA Logically assigned","CO","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","CO","0","0","0","0","0.011","0.0044","0.005","0.024","0.003","0.0011","0.001","0.006","14000","N/A","5000"
"97 - REFUSED","CO","0","0","0","0","0.014","0.0084","0.004","0.045","0.001","0.0004","0","0.002","3000","N/A","2000"
"98 - BLANK","CO","0","0.0001","0","0","0.013","0.0032","0.008","0.021","0.017","0.0045","0.01","0.028","86000","N/A","22000"
"Overall","CT","0.011","0.0006","0.01","0.012","0.011","0.0006","0.01","0.012","1","0","N/A","N/A","3123000","N/A","182000"
"1 - Yes","CT","0.002","0.0003","0.002","0.003","0.012","0.0014","0.01","0.015","0.222","0.0215","0.182","0.267","692000","N/A","80000"
"2 - No","CT","0.008","0.0005","0.007","0.009","0.011","0.0007","0.01","0.012","0.753","0.0218","0.707","0.793","2351000","N/A","152000"
"85 - BAD DATA Logically assigned","CT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","CT","0","0","0","0","0.002","0.001","0.001","0.005","0.001","0.0004","0","0.002","2000","N/A","1000"
"97 - REFUSED","CT","0","0","0","0","0.015","0.0146","0.002","0.097","0.001","0.0012","0","0.008","4000","N/A","4000"
"98 - BLANK","CT","0","0.0001","0","0","0.011","0.0029","0.007","0.018","0.024","0.0063","0.014","0.04","75000","N/A","20000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","577000","N/A","36000"
"1 - Yes","DC","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.292","0.0237","0.248","0.341","169000","N/A","14000"
"2 - No","DC","0.001","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.68","0.0247","0.63","0.726","392000","N/A","31000"
"85 - BAD DATA Logically assigned","DC","0","0","0","0","0.017","0.0126","0.004","0.071","0.013","0.0098","0.003","0.055","8000","N/A","6000"
"94 - DON T KNOW","DC","0","0","0","0","0.002","0.0011","0.001","0.006","0.005","0.0022","0.002","0.012","3000","N/A","1000"
"97 - REFUSED","DC","0","0","0","0","0.004","0.0041","0.001","0.029","0.002","0.0018","0","0.012","1000","N/A","1000"
"98 - BLANK","DC","0","0","0","0","0.001","0.0002","0","0.001","0.008","0.0024","0.004","0.014","5000","N/A","1000"
"Overall","DE","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","877000","N/A","61000"
"1 - Yes","DE","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.004","0.196","0.0178","0.163","0.233","172000","N/A","18000"
"2 - No","DE","0.002","0.0002","0.002","0.003","0.003","0.0003","0.003","0.004","0.772","0.019","0.733","0.808","677000","N/A","55000"
"85 - BAD DATA Logically assigned","DE","0","0","0","0","0.007","0.0032","0.003","0.017","0.004","0.0016","0.001","0.009","3000","N/A","1000"
"94 - DON T KNOW","DE","0","0","0","0","0.002","0.0009","0","0.005","0.002","0.0013","0.001","0.007","2000","N/A","1000"
"97 - REFUSED","DE","0","0","0","0","0.009","0.0055","0.002","0.03","0.002","0.0016","0.001","0.008","2000","N/A","1000"
"98 - BLANK","DE","0","0","0","0","0.003","0.0007","0.002","0.005","0.024","0.0055","0.015","0.037","21000","N/A","4000"
"Overall","FL","0.068","0.003","0.063","0.075","0.068","0.003","0.063","0.075","1","0","N/A","N/A","19317000","N/A","896000"
"1 - Yes","FL","0.012","0.0009","0.01","0.014","0.057","0.0043","0.05","0.066","0.172","0.01","0.153","0.193","3325000","N/A","256000"
"2 - No","FL","0.055","0.0025","0.05","0.06","0.072","0.0033","0.066","0.079","0.805","0.0103","0.784","0.825","15556000","N/A","744000"
"85 - BAD DATA Logically assigned","FL","0","0.0001","0","0","0.089","0.0503","0.028","0.248","0.002","0.0012","0.001","0.007","41000","N/A","24000"
"94 - DON T KNOW","FL","0","0.0001","0","0.001","0.09","0.0267","0.049","0.158","0.006","0.0017","0.003","0.01","108000","N/A","33000"
"97 - REFUSED","FL","0","0","0","0","0.072","0.0313","0.03","0.163","0.001","0.0004","0","0.002","18000","N/A","8000"
"98 - BLANK","FL","0.001","0.0002","0.001","0.001","0.039","0.0081","0.026","0.059","0.014","0.003","0.009","0.021","268000","N/A","56000"
"Overall","GA","0.032","0.002","0.029","0.037","0.032","0.002","0.029","0.037","1","0","N/A","N/A","9173000","N/A","577000"
"1 - Yes","GA","0.005","0.0005","0.004","0.006","0.026","0.0027","0.021","0.031","0.162","0.0119","0.14","0.187","1484000","N/A","157000"
"2 - No","GA","0.026","0.0016","0.023","0.03","0.034","0.0022","0.03","0.039","0.811","0.0119","0.786","0.833","7439000","N/A","473000"
"85 - BAD DATA Logically assigned","GA","0","0","0","0","0.037","0.0255","0.01","0.135","0.002","0.0013","0.001","0.007","17000","N/A","12000"
"94 - DON T KNOW","GA","0","0.0001","0","0","0.038","0.0189","0.014","0.098","0.005","0.0025","0.002","0.013","46000","N/A","23000"
"97 - REFUSED","GA","0","0","0","0","0.02","0.0152","0.004","0.086","0.001","0.0004","0","0.002","5000","N/A","4000"
"98 - BLANK","GA","0.001","0.0001","0","0.001","0.027","0.0045","0.019","0.037","0.02","0.0035","0.014","0.028","182000","N/A","31000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1189000","N/A","82000"
"1 - Yes","HI","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.006","0.211","0.0212","0.172","0.255","251000","N/A","31000"
"2 - No","HI","0.003","0.0002","0.003","0.004","0.004","0.0003","0.004","0.005","0.762","0.0202","0.72","0.799","906000","N/A","68000"
"85 - BAD DATA Logically assigned","HI","0","0","0","0","0.017","0.0101","0.005","0.053","0.007","0.0038","0.002","0.02","8000","N/A","5000"
"94 - DON T KNOW","HI","0","0","0","0","0.003","0.0009","0.001","0.005","0.003","0.0009","0.001","0.005","3000","N/A","1000"
"97 - REFUSED","HI","0","0","0","0","0.001","0.0008","0","0.005","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","HI","0","0","0","0","0.003","0.001","0.002","0.006","0.018","0.0055","0.01","0.033","21000","N/A","7000"
"Overall","IA","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2693000","N/A","162000"
"1 - Yes","IA","0.002","0.0002","0.002","0.002","0.009","0.001","0.007","0.011","0.199","0.0187","0.165","0.238","535000","N/A","57000"
"2 - No","IA","0.007","0.0005","0.006","0.008","0.01","0.0007","0.008","0.011","0.772","0.0211","0.728","0.81","2078000","N/A","144000"
"85 - BAD DATA Logically assigned","IA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","IA","0","0","0","0","0.018","0.0112","0.006","0.06","0.008","0.005","0.003","0.027","22000","N/A","14000"
"97 - REFUSED","IA","0","0","0","0","0.004","0.0034","0.001","0.02","0","0.0003","0","0.002","1000","N/A","1000"
"98 - BLANK","IA","0","0","0","0","0.008","0.0017","0.006","0.012","0.021","0.0045","0.014","0.032","57000","N/A","12000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1633000","N/A","111000"
"1 - Yes","ID","0.001","0.0002","0.001","0.001","0.006","0.0007","0.004","0.007","0.197","0.0208","0.16","0.241","322000","N/A","42000"
"2 - No","ID","0.005","0.0003","0.004","0.005","0.006","0.0004","0.005","0.007","0.793","0.0205","0.75","0.831","1296000","N/A","91000"
"85 - BAD DATA Logically assigned","ID","0","0","0","0","0.005","0.0051","0.001","0.036","0.001","0.0014","0","0.01","2000","N/A","2000"
"94 - DON T KNOW","ID","0","0","0","0","0.004","0.0015","0.002","0.008","0.003","0.0011","0.001","0.006","4000","N/A","2000"
"97 - REFUSED","ID","0","0","0","0","0.003","0.0024","0.001","0.014","0","0.0004","0","0.002","1000","N/A","1000"
"98 - BLANK","ID","0","0","0","0","0.001","0.0002","0.001","0.002","0.005","0.001","0.003","0.007","7000","N/A","2000"
"Overall","IL","0.038","0.0019","0.034","0.042","0.038","0.0019","0.034","0.042","1","0","N/A","N/A","10679000","N/A","547000"
"1 - Yes","IL","0.007","0.0007","0.006","0.009","0.035","0.0031","0.03","0.042","0.192","0.0146","0.165","0.222","2051000","N/A","186000"
"2 - No","IL","0.029","0.0016","0.026","0.033","0.038","0.0021","0.034","0.043","0.774","0.0147","0.744","0.801","8262000","N/A","459000"
"85 - BAD DATA Logically assigned","IL","0","0","0","0","0.019","0.0094","0.007","0.05","0.001","0.0004","0","0.002","9000","N/A","4000"
"94 - DON T KNOW","IL","0","0.0001","0","0.001","0.054","0.0206","0.025","0.112","0.006","0.0024","0.003","0.013","65000","N/A","26000"
"97 - REFUSED","IL","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","IL","0.001","0.0001","0.001","0.001","0.043","0.0059","0.033","0.056","0.027","0.0037","0.021","0.036","292000","N/A","40000"
"Overall","IN","0.02","0.0015","0.018","0.024","0.02","0.0015","0.018","0.024","1","0","N/A","N/A","5738000","N/A","435000"
"1 - Yes","IN","0.004","0.0005","0.003","0.006","0.021","0.0026","0.016","0.027","0.213","0.018","0.179","0.25","1220000","N/A","154000"
"2 - No","IN","0.015","0.0011","0.013","0.017","0.02","0.0015","0.017","0.023","0.742","0.0197","0.702","0.779","4260000","N/A","326000"
"85 - BAD DATA Logically assigned","IN","0","0","0","0","0.005","0.0028","0.002","0.015","0","0.0002","0","0.001","2000","N/A","1000"
"94 - DON T KNOW","IN","0","0","0","0","0.017","0.0104","0.005","0.056","0.004","0.0022","0.001","0.012","20000","N/A","13000"
"97 - REFUSED","IN","0","0","0","0","0.046","0.0313","0.012","0.163","0.002","0.0014","0.001","0.008","12000","N/A","8000"
"98 - BLANK","IN","0.001","0.0001","0.001","0.001","0.033","0.0049","0.025","0.044","0.039","0.006","0.029","0.053","224000","N/A","33000"
"Overall","KS","0.009","0.0007","0.007","0.01","0.009","0.0007","0.007","0.01","1","0","N/A","N/A","2434000","N/A","207000"
"1 - Yes","KS","0.001","0.0002","0.001","0.002","0.006","0.0008","0.005","0.008","0.147","0.016","0.119","0.182","359000","N/A","46000"
"2 - No","KS","0.007","0.0007","0.006","0.008","0.009","0.0009","0.008","0.011","0.81","0.0173","0.774","0.842","1972000","N/A","184000"
"85 - BAD DATA Logically assigned","KS","0","0","0","0","0.014","0.0085","0.004","0.045","0.003","0.0016","0.001","0.008","6000","N/A","4000"
"94 - DON T KNOW","KS","0","0","0","0","0.018","0.0057","0.01","0.034","0.009","0.0027","0.005","0.016","22000","N/A","7000"
"97 - REFUSED","KS","0","0","0","0","0.027","0.025","0.004","0.153","0.003","0.0027","0","0.018","7000","N/A","6000"
"98 - BLANK","KS","0","0","0","0","0.01","0.002","0.007","0.015","0.028","0.0059","0.018","0.042","68000","N/A","14000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3780000","N/A","200000"
"1 - Yes","KY","0.004","0.0003","0.003","0.004","0.018","0.0015","0.015","0.021","0.278","0.0207","0.239","0.32","1050000","N/A","86000"
"2 - No","KY","0.009","0.0006","0.008","0.01","0.012","0.0008","0.01","0.013","0.667","0.0228","0.621","0.71","2520000","N/A","172000"
"85 - BAD DATA Logically assigned","KY","0","0.0001","0","0","0.082","0.0466","0.026","0.231","0.01","0.0059","0.003","0.032","38000","N/A","23000"
"94 - DON T KNOW","KY","0","0","0","0","0.021","0.0086","0.009","0.047","0.007","0.0027","0.003","0.015","25000","N/A","10000"
"97 - REFUSED","KY","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","KY","0.001","0.0001","0","0.001","0.022","0.0045","0.014","0.032","0.039","0.008","0.026","0.058","147000","N/A","31000"
"Overall","LA","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3797000","N/A","208000"
"1 - Yes","LA","0.005","0.0005","0.004","0.006","0.025","0.0022","0.021","0.029","0.375","0.0233","0.33","0.422","1423000","N/A","133000"
"2 - No","LA","0.008","0.0005","0.007","0.009","0.011","0.0006","0.009","0.012","0.607","0.0233","0.56","0.651","2304000","N/A","135000"
"85 - BAD DATA Logically assigned","LA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","LA","0","0","0","0","0.011","0.0043","0.005","0.024","0.004","0.0013","0.002","0.007","13000","N/A","5000"
"97 - REFUSED","LA","0","0","0","0","0.008","0.008","0.001","0.054","0.001","0.0005","0","0.004","2000","N/A","2000"
"98 - BLANK","LA","0","0","0","0","0.008","0.0019","0.005","0.013","0.014","0.0035","0.009","0.023","54000","N/A","13000"
"Overall","MA","0.021","0.0015","0.019","0.025","0.021","0.0015","0.019","0.025","1","0","N/A","N/A","6074000","N/A","436000"
"1 - Yes","MA","0.004","0.0006","0.003","0.006","0.021","0.0028","0.016","0.027","0.2","0.0218","0.161","0.246","1214000","N/A","162000"
"2 - No","MA","0.016","0.0013","0.014","0.019","0.022","0.0016","0.019","0.025","0.767","0.0208","0.724","0.805","4660000","N/A","360000"
"85 - BAD DATA Logically assigned","MA","0","0","0","0","0.028","0.0234","0.006","0.134","0.002","0.0018","0","0.011","13000","N/A","11000"
"94 - DON T KNOW","MA","0","0","0","0","0.023","0.0091","0.011","0.05","0.005","0.0018","0.002","0.01","28000","N/A","11000"
"97 - REFUSED","MA","0","0","0","0","0.025","0.0216","0.005","0.127","0.001","0.0009","0","0.006","6000","N/A","5000"
"98 - BLANK","MA","0.001","0.0001","0","0.001","0.022","0.0055","0.014","0.036","0.025","0.0063","0.015","0.041","152000","N/A","38000"
"Overall","MD","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5208000","N/A","376000"
"1 - Yes","MD","0.004","0.0004","0.003","0.005","0.018","0.002","0.014","0.022","0.197","0.0173","0.165","0.233","1026000","N/A","117000"
"2 - No","MD","0.014","0.0011","0.012","0.016","0.018","0.0014","0.016","0.021","0.767","0.0179","0.73","0.801","3996000","N/A","306000"
"85 - BAD DATA Logically assigned","MD","0","0.0001","0","0.001","0.058","0.0497","0.01","0.268","0.005","0.0047","0.001","0.03","27000","N/A","24000"
"94 - DON T KNOW","MD","0","0","0","0","0.034","0.0111","0.018","0.064","0.008","0.0027","0.004","0.015","41000","N/A","14000"
"97 - REFUSED","MD","0","0","0","0","0.002","0.0019","0","0.013","0","0.0001","0","0.001","0","N/A","0"
"98 - BLANK","MD","0","0.0001","0","0.001","0.017","0.0043","0.011","0.028","0.022","0.0053","0.014","0.035","117000","N/A","30000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1217000","N/A","110000"
"1 - Yes","ME","0.001","0.0001","0.001","0.001","0.005","0.0007","0.004","0.006","0.235","0.0197","0.199","0.276","286000","N/A","39000"
"2 - No","ME","0.003","0.0003","0.003","0.004","0.004","0.0004","0.004","0.005","0.748","0.0188","0.709","0.783","910000","N/A","80000"
"85 - BAD DATA Logically assigned","ME","0","0","0","0","0.003","0.0021","0.001","0.011","0.001","0.0008","0","0.004","2000","N/A","1000"
"94 - DON T KNOW","ME","0","0","0","0","0.001","0.0004","0","0.002","0.001","0.0004","0","0.002","1000","N/A","0"
"97 - REFUSED","ME","0","0","0","0","0.001","0.0007","0","0.004","0","0.0001","0","0.001","0","N/A","0"
"98 - BLANK","ME","0","0","0","0","0.003","0.0007","0.002","0.004","0.015","0.0034","0.01","0.023","18000","N/A","4000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8581000","N/A","377000"
"1 - Yes","MI","0.008","0.0006","0.007","0.009","0.037","0.0027","0.032","0.043","0.25","0.0137","0.224","0.278","2147000","N/A","159000"
"2 - No","MI","0.022","0.001","0.02","0.024","0.029","0.0013","0.026","0.031","0.723","0.0132","0.697","0.748","6207000","N/A","291000"
"85 - BAD DATA Logically assigned","MI","0","0","0","0","0.005","0.0033","0.001","0.019","0","0.0002","0","0.001","2000","N/A","1000"
"94 - DON T KNOW","MI","0","0.0001","0","0","0.045","0.013","0.025","0.078","0.006","0.0019","0.004","0.011","54000","N/A","16000"
"97 - REFUSED","MI","0","0","0","0","0.035","0.0173","0.013","0.09","0.001","0.0005","0","0.003","9000","N/A","4000"
"98 - BLANK","MI","0.001","0.0001","0","0.001","0.024","0.0038","0.017","0.033","0.019","0.0032","0.014","0.026","162000","N/A","26000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4833000","N/A","362000"
"1 - Yes","MN","0.002","0.0003","0.002","0.003","0.011","0.0014","0.008","0.014","0.129","0.0135","0.105","0.158","626000","N/A","81000"
"2 - No","MN","0.014","0.0011","0.012","0.017","0.019","0.0014","0.016","0.022","0.841","0.0142","0.811","0.867","4064000","N/A","316000"
"85 - BAD DATA Logically assigned","MN","0","0","0","0","0.002","0.0024","0","0.017","0","0.0002","0","0.002","1000","N/A","1000"
"94 - DON T KNOW","MN","0","0","0","0","0.025","0.0096","0.012","0.053","0.006","0.0025","0.003","0.014","30000","N/A","12000"
"97 - REFUSED","MN","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","MN","0","0.0001","0","0.001","0.017","0.0048","0.009","0.029","0.023","0.0067","0.013","0.041","113000","N/A","33000"
"Overall","MO","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5211000","N/A","385000"
"1 - Yes","MO","0.003","0.0003","0.003","0.004","0.016","0.0017","0.013","0.02","0.181","0.0154","0.153","0.213","943000","N/A","99000"
"2 - No","MO","0.015","0.0012","0.012","0.017","0.019","0.0015","0.016","0.022","0.789","0.0189","0.75","0.824","4113000","N/A","337000"
"85 - BAD DATA Logically assigned","MO","0","0","0","0","0.005","0.0046","0.001","0.032","0","0.0004","0","0.003","2000","N/A","2000"
"94 - DON T KNOW","MO","0","0","0","0","0.008","0.0041","0.003","0.022","0.002","0.001","0.001","0.005","10000","N/A","5000"
"97 - REFUSED","MO","0","0","0","0","0.004","0.0028","0.001","0.016","0","0.0001","0","0.001","1000","N/A","1000"
"98 - BLANK","MO","0.001","0.0001","0","0.001","0.021","0.0052","0.013","0.034","0.027","0.007","0.016","0.045","142000","N/A","36000"
"Overall","MS","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2444000","N/A","157000"
"1 - Yes","MS","0.002","0.0002","0.001","0.002","0.009","0.0009","0.007","0.011","0.208","0.0161","0.178","0.242","509000","N/A","50000"
"2 - No","MS","0.006","0.0005","0.006","0.007","0.009","0.0006","0.007","0.01","0.752","0.0148","0.722","0.78","1838000","N/A","130000"
"85 - BAD DATA Logically assigned","MS","0","0","0","0","0.008","0.0066","0.002","0.039","0.002","0.0012","0","0.007","4000","N/A","3000"
"94 - DON T KNOW","MS","0","0","0","0","0.006","0.0028","0.003","0.015","0.003","0.0014","0.001","0.007","8000","N/A","3000"
"97 - REFUSED","MS","0","0","0","0","0.009","0.0062","0.002","0.034","0.001","0.0006","0","0.004","2000","N/A","2000"
"98 - BLANK","MS","0","0.0001","0","0","0.012","0.0022","0.009","0.017","0.034","0.0062","0.024","0.049","84000","N/A","15000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","961000","N/A","80000"
"1 - Yes","MT","0.001","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.172","0.0179","0.14","0.21","166000","N/A","23000"
"2 - No","MT","0.003","0.0002","0.002","0.003","0.003","0.0003","0.003","0.004","0.76","0.0216","0.715","0.8","730000","N/A","66000"
"85 - BAD DATA Logically assigned","MT","0","0","0","0","0.01","0.0094","0.002","0.06","0.005","0.0044","0.001","0.029","5000","N/A","4000"
"94 - DON T KNOW","MT","0","0","0","0","0.001","0.0005","0","0.002","0.001","0.0006","0","0.003","1000","N/A","1000"
"97 - REFUSED","MT","0","0","0","0","0","0.0005","0","0.004","0","0.0001","0","0.001","0","N/A","0"
"98 - BLANK","MT","0","0","0","0","0.009","0.0018","0.006","0.013","0.062","0.0136","0.04","0.095","59000","N/A","13000"
"Overall","NC","0.032","0.002","0.028","0.036","0.032","0.002","0.028","0.036","1","0","N/A","N/A","9074000","N/A","578000"
"1 - Yes","NC","0.005","0.0006","0.004","0.007","0.026","0.0031","0.021","0.033","0.166","0.0176","0.135","0.204","1510000","N/A","185000"
"2 - No","NC","0.025","0.0017","0.022","0.029","0.033","0.0022","0.029","0.038","0.786","0.0179","0.748","0.819","7127000","N/A","486000"
"85 - BAD DATA Logically assigned","NC","0","0","0","0","0.017","0.0123","0.004","0.068","0.001","0.0006","0","0.003","8000","N/A","6000"
