"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - Income More Than 2X Fed Pov Thresh","CO","0.013","0.0009","0.011","0.015","0.02","0.0015","0.017","0.023","0.723","0.0201","0.681","0.76","3649000","N/A","273000"
"Overall","CT","0.011","0.001","0.009","0.013","0.011","0.001","0.009","0.013","1","0","N/A","N/A","3146000","N/A","275000"
"1 - Living in Poverty","CT","0.001","0.0002","0.001","0.002","0.007","0.0013","0.005","0.01","0.105","0.0164","0.077","0.142","331000","N/A","62000"
"2 - Income Up to 2X Fed Pov Thresh","CT","0.002","0.0002","0.001","0.002","0.008","0.0012","0.006","0.011","0.137","0.0162","0.109","0.172","432000","N/A","65000"
"3 - Income More Than 2X Fed Pov Thresh","CT","0.008","0.0008","0.007","0.01","0.013","0.0012","0.011","0.015","0.757","0.0274","0.7","0.807","2383000","N/A","218000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","590000","N/A","41000"
"1 - Living in Poverty","DC","0.001","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.255","0.0226","0.213","0.302","150000","N/A","17000"
"2 - Income Up to 2X Fed Pov Thresh","DC","0","0","0","0","0.001","0.0001","0.001","0.001","0.09","0.0127","0.068","0.119","53000","N/A","8000"
"3 - Income More Than 2X Fed Pov Thresh","DC","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.655","0.0244","0.606","0.701","386000","N/A","32000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","892000","N/A","42000"
"1 - Living in Poverty","DE","0","0","0","0.001","0.003","0.0003","0.002","0.003","0.139","0.0137","0.114","0.168","124000","N/A","14000"
"2 - Income Up to 2X Fed Pov Thresh","DE","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.003","0.165","0.0164","0.135","0.2","147000","N/A","18000"
"3 - Income More Than 2X Fed Pov Thresh","DE","0.002","0.0001","0.002","0.002","0.003","0.0002","0.003","0.004","0.697","0.0236","0.648","0.741","621000","N/A","31000"
"Overall","FL","0.069","0.0027","0.064","0.075","0.069","0.0027","0.064","0.075","1","0","N/A","N/A","19799000","N/A","803000"
"1 - Living in Poverty","FL","0.011","0.0009","0.01","0.013","0.071","0.0053","0.061","0.082","0.165","0.0111","0.144","0.188","3267000","N/A","251000"
"2 - Income Up to 2X Fed Pov Thresh","FL","0.015","0.001","0.013","0.017","0.076","0.0049","0.067","0.087","0.212","0.0106","0.192","0.234","4207000","N/A","281000"
"3 - Income More Than 2X Fed Pov Thresh","FL","0.043","0.0019","0.039","0.047","0.067","0.003","0.061","0.073","0.623","0.0153","0.592","0.652","12325000","N/A","580000"
"Overall","GA","0.033","0.0017","0.029","0.036","0.033","0.0017","0.029","0.036","1","0","N/A","N/A","9294000","N/A","506000"
"1 - Living in Poverty","GA","0.006","0.0006","0.005","0.007","0.035","0.0038","0.029","0.044","0.176","0.0162","0.146","0.21","1634000","N/A","178000"
"2 - Income Up to 2X Fed Pov Thresh","GA","0.008","0.0007","0.006","0.009","0.039","0.0034","0.033","0.047","0.233","0.0139","0.207","0.261","2162000","N/A","192000"
"3 - Income More Than 2X Fed Pov Thresh","GA","0.019","0.0011","0.017","0.022","0.03","0.0017","0.027","0.033","0.592","0.0197","0.552","0.63","5498000","N/A","321000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1196000","N/A","87000"
"1 - Living in Poverty","HI","0.001","0.0001","0","0.001","0.003","0.0006","0.002","0.005","0.132","0.0206","0.096","0.178","158000","N/A","26000"
"2 - Income Up to 2X Fed Pov Thresh","HI","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.003","0.12","0.0154","0.092","0.153","143000","N/A","19000"
"3 - Income More Than 2X Fed Pov Thresh","HI","0.003","0.0003","0.003","0.004","0.005","0.0004","0.004","0.006","0.749","0.0272","0.692","0.798","895000","N/A","79000"
"Overall","IA","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2710000","N/A","192000"
"1 - Living in Poverty","IA","0.001","0.0002","0.001","0.002","0.008","0.0012","0.006","0.011","0.143","0.0187","0.11","0.184","388000","N/A","55000"
"2 - Income Up to 2X Fed Pov Thresh","IA","0.002","0.0002","0.001","0.002","0.009","0.001","0.008","0.011","0.19","0.0149","0.162","0.221","514000","N/A","53000"
"3 - Income More Than 2X Fed Pov Thresh","IA","0.006","0.0005","0.005","0.007","0.01","0.0008","0.008","0.012","0.667","0.0267","0.613","0.717","1808000","N/A","153000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1660000","N/A","128000"
"1 - Living in Poverty","ID","0.001","0.0001","0.001","0.001","0.004","0.0006","0.003","0.006","0.124","0.0129","0.101","0.152","206000","N/A","30000"
"2 - Income Up to 2X Fed Pov Thresh","ID","0.001","0.0002","0.001","0.002","0.008","0.0011","0.006","0.01","0.256","0.0226","0.214","0.302","424000","N/A","58000"
"3 - Income More Than 2X Fed Pov Thresh","ID","0.004","0.0003","0.003","0.004","0.006","0.0004","0.005","0.006","0.62","0.0287","0.562","0.675","1030000","N/A","74000"
"Overall","IL","0.038","0.0017","0.034","0.041","0.038","0.0017","0.034","0.041","1","0","N/A","N/A","10747000","N/A","501000"
"1 - Living in Poverty","IL","0.005","0.0005","0.004","0.006","0.032","0.003","0.026","0.038","0.136","0.0114","0.115","0.16","1462000","N/A","138000"
"2 - Income Up to 2X Fed Pov Thresh","IL","0.007","0.0005","0.006","0.008","0.036","0.0024","0.031","0.041","0.182","0.0103","0.162","0.203","1952000","N/A","135000"
"3 - Income More Than 2X Fed Pov Thresh","IL","0.026","0.0014","0.023","0.029","0.04","0.0022","0.036","0.044","0.682","0.0173","0.647","0.715","7332000","N/A","404000"
"Overall","IN","0.02","0.0013","0.018","0.023","0.02","0.0013","0.018","0.023","1","0","N/A","N/A","5777000","N/A","364000"
"1 - Living in Poverty","IN","0.004","0.0004","0.003","0.004","0.022","0.0025","0.017","0.028","0.175","0.0175","0.143","0.212","1010000","N/A","118000"
"2 - Income Up to 2X Fed Pov Thresh","IN","0.005","0.0005","0.004","0.006","0.024","0.0026","0.019","0.03","0.228","0.0175","0.196","0.265","1320000","N/A","143000"
"3 - Income More Than 2X Fed Pov Thresh","IN","0.012","0.0009","0.01","0.014","0.019","0.0014","0.016","0.022","0.597","0.0263","0.544","0.647","3447000","N/A","251000"
"Overall","KS","0.009","0.0006","0.007","0.01","0.009","0.0006","0.007","0.01","1","0","N/A","N/A","2451000","N/A","166000"
"1 - Living in Poverty","KS","0.001","0.0001","0.001","0.001","0.007","0.0009","0.006","0.009","0.14","0.0154","0.112","0.173","342000","N/A","39000"
"2 - Income Up to 2X Fed Pov Thresh","KS","0.002","0.0002","0.001","0.002","0.009","0.0009","0.008","0.011","0.207","0.0159","0.177","0.24","507000","N/A","50000"
"3 - Income More Than 2X Fed Pov Thresh","KS","0.006","0.0005","0.005","0.007","0.009","0.0007","0.007","0.01","0.654","0.0194","0.615","0.691","1602000","N/A","130000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3810000","N/A","210000"
"1 - Living in Poverty","KY","0.003","0.0003","0.003","0.004","0.019","0.0017","0.016","0.023","0.231","0.0178","0.198","0.268","881000","N/A","79000"
"2 - Income Up to 2X Fed Pov Thresh","KY","0.003","0.0002","0.002","0.003","0.014","0.001","0.012","0.016","0.202","0.0131","0.177","0.229","769000","N/A","56000"
"3 - Income More Than 2X Fed Pov Thresh","KY","0.008","0.0006","0.007","0.009","0.012","0.0009","0.01","0.014","0.567","0.0223","0.523","0.61","2160000","N/A","163000"
"Overall","LA","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3789000","N/A","225000"
"1 - Living in Poverty","LA","0.004","0.0004","0.003","0.004","0.022","0.0022","0.018","0.027","0.271","0.0232","0.228","0.319","1029000","N/A","102000"
"2 - Income Up to 2X Fed Pov Thresh","LA","0.003","0.0003","0.002","0.004","0.016","0.0016","0.013","0.019","0.23","0.0158","0.2","0.262","870000","N/A","88000"
"3 - Income More Than 2X Fed Pov Thresh","LA","0.007","0.0006","0.006","0.008","0.01","0.0009","0.009","0.012","0.499","0.0302","0.44","0.558","1890000","N/A","157000"
"Overall","MA","0.021","0.0021","0.018","0.026","0.021","0.0021","0.018","0.026","1","0","N/A","N/A","6141000","N/A","600000"
"1 - Living in Poverty","MA","0.002","0.0005","0.002","0.004","0.015","0.0034","0.01","0.024","0.115","0.021","0.08","0.163","706000","N/A","158000"
"2 - Income Up to 2X Fed Pov Thresh","MA","0.003","0.0005","0.002","0.004","0.016","0.0028","0.012","0.023","0.147","0.0209","0.111","0.193","904000","N/A","157000"
"3 - Income More Than 2X Fed Pov Thresh","MA","0.016","0.0016","0.013","0.019","0.025","0.0024","0.02","0.03","0.738","0.0326","0.669","0.797","4531000","N/A","460000"
"Overall","MD","0.018","0.0012","0.016","0.021","0.018","0.0012","0.016","0.021","1","0","N/A","N/A","5250000","N/A","359000"
"1 - Living in Poverty","MD","0.002","0.0004","0.002","0.003","0.015","0.0025","0.011","0.021","0.132","0.0199","0.098","0.176","694000","N/A","115000"
"2 - Income Up to 2X Fed Pov Thresh","MD","0.003","0.0003","0.002","0.003","0.013","0.0018","0.01","0.017","0.136","0.0171","0.106","0.173","715000","N/A","99000"
"3 - Income More Than 2X Fed Pov Thresh","MD","0.013","0.0011","0.012","0.016","0.021","0.0016","0.018","0.024","0.732","0.0282","0.673","0.783","3840000","N/A","306000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1223000","N/A","117000"
"1 - Living in Poverty","ME","0.001","0.0001","0.001","0.001","0.004","0.0006","0.003","0.006","0.163","0.0176","0.131","0.201","200000","N/A","29000"
"2 - Income Up to 2X Fed Pov Thresh","ME","0.001","0.0001","0.001","0.001","0.004","0.0007","0.003","0.005","0.169","0.0206","0.133","0.214","207000","N/A","37000"
"3 - Income More Than 2X Fed Pov Thresh","ME","0.003","0.0003","0.002","0.003","0.004","0.0004","0.004","0.005","0.667","0.0312","0.604","0.726","816000","N/A","79000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8633000","N/A","384000"
"1 - Living in Poverty","MI","0.005","0.0004","0.004","0.005","0.028","0.0024","0.024","0.033","0.149","0.0121","0.127","0.175","1288000","N/A","110000"
"2 - Income Up to 2X Fed Pov Thresh","MI","0.006","0.0004","0.005","0.007","0.032","0.0023","0.028","0.037","0.203","0.0127","0.179","0.229","1751000","N/A","125000"
"3 - Income More Than 2X Fed Pov Thresh","MI","0.02","0.0011","0.018","0.022","0.03","0.0017","0.027","0.034","0.648","0.0172","0.613","0.681","5594000","N/A","318000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4870000","N/A","363000"
"1 - Living in Poverty","MN","0.002","0.0003","0.001","0.003","0.011","0.0019","0.008","0.015","0.106","0.0167","0.077","0.143","515000","N/A","86000"
"2 - Income Up to 2X Fed Pov Thresh","MN","0.002","0.0003","0.002","0.003","0.012","0.0013","0.01","0.015","0.135","0.0129","0.111","0.162","656000","N/A","73000"
"3 - Income More Than 2X Fed Pov Thresh","MN","0.013","0.0011","0.011","0.015","0.02","0.0017","0.017","0.024","0.759","0.0237","0.71","0.803","3698000","N/A","317000"
"Overall","MO","0.018","0.0011","0.016","0.021","0.018","0.0011","0.016","0.021","1","0","N/A","N/A","5241000","N/A","311000"
"1 - Living in Poverty","MO","0.003","0.0003","0.003","0.004","0.02","0.0021","0.016","0.024","0.173","0.0158","0.144","0.206","905000","N/A","99000"
"2 - Income Up to 2X Fed Pov Thresh","MO","0.004","0.0004","0.003","0.005","0.018","0.0023","0.014","0.024","0.194","0.0181","0.161","0.232","1016000","N/A","127000"
"3 - Income More Than 2X Fed Pov Thresh","MO","0.012","0.0007","0.01","0.013","0.018","0.0011","0.016","0.02","0.633","0.0245","0.584","0.68","3320000","N/A","209000"
"Overall","MS","0.008","0.0005","0.008","0.01","0.008","0.0005","0.008","0.01","1","0","N/A","N/A","2425000","N/A","149000"
"1 - Living in Poverty","MS","0.002","0.0002","0.002","0.002","0.013","0.0011","0.011","0.015","0.248","0.02","0.211","0.289","601000","N/A","52000"
"2 - Income Up to 2X Fed Pov Thresh","MS","0.002","0.0001","0.002","0.002","0.01","0.0008","0.009","0.012","0.226","0.0155","0.198","0.258","549000","N/A","42000"
"3 - Income More Than 2X Fed Pov Thresh","MS","0.004","0.0004","0.004","0.005","0.007","0.0006","0.006","0.008","0.526","0.022","0.482","0.568","1274000","N/A","114000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","969000","N/A","81000"
"1 - Living in Poverty","MT","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.144","0.0186","0.111","0.184","139000","N/A","22000"
"2 - Income Up to 2X Fed Pov Thresh","MT","0.001","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.186","0.0171","0.155","0.222","180000","N/A","23000"
"3 - Income More Than 2X Fed Pov Thresh","MT","0.002","0.0002","0.002","0.003","0.004","0.0003","0.003","0.004","0.67","0.0286","0.612","0.724","650000","N/A","58000"
"Overall","NC","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9223000","N/A","572000"
"1 - Living in Poverty","NC","0.005","0.0006","0.004","0.007","0.034","0.0035","0.028","0.041","0.169","0.0155","0.141","0.202","1563000","N/A","163000"
"2 - Income Up to 2X Fed Pov Thresh","NC","0.006","0.0007","0.005","0.008","0.033","0.0035","0.027","0.041","0.199","0.0159","0.17","0.232","1839000","N/A","200000"
"3 - Income More Than 2X Fed Pov Thresh","NC","0.02","0.0014","0.018","0.023","0.032","0.0022","0.028","0.036","0.631","0.0228","0.585","0.675","5821000","N/A","412000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","649000","N/A","58000"
"1 - Living in Poverty","ND","0","0.0001","0","0","0.002","0.0003","0.002","0.003","0.151","0.0193","0.117","0.193","98000","N/A","15000"
"2 - Income Up to 2X Fed Pov Thresh","ND","0","0","0","0","0.002","0.0002","0.001","0.002","0.143","0.0146","0.117","0.174","93000","N/A","13000"
"3 - Income More Than 2X Fed Pov Thresh","ND","0.002","0.0002","0.001","0.002","0.002","0.0002","0.002","0.003","0.706","0.0298","0.644","0.761","458000","N/A","44000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1651000","N/A","109000"
"1 - Living in Poverty","NE","0.001","0.0001","0.001","0.001","0.005","0.0005","0.004","0.006","0.126","0.0114","0.105","0.15","207000","N/A","21000"
"2 - Income Up to 2X Fed Pov Thresh","NE","0.001","0.0001","0.001","0.001","0.005","0.0005","0.005","0.007","0.182","0.0121","0.16","0.207","301000","N/A","28000"
"3 - Income More Than 2X Fed Pov Thresh","NE","0.004","0.0003","0.003","0.005","0.006","0.0005","0.005","0.007","0.692","0.0162","0.66","0.723","1143000","N/A","84000"
"Overall","NH","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1232000","N/A","111000"
"1 - Living in Poverty","NH","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.104","0.017","0.075","0.143","128000","N/A","22000"
"2 - Income Up to 2X Fed Pov Thresh","NH","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.154","0.0165","0.124","0.189","190000","N/A","24000"
"3 - Income More Than 2X Fed Pov Thresh","NH","0.003","0.0003","0.003","0.004","0.005","0.0005","0.004","0.006","0.742","0.0249","0.69","0.788","914000","N/A","95000"
"Overall","NJ","0.028","0.0016","0.025","0.031","0.028","0.0016","0.025","0.031","1","0","N/A","N/A","8000000","N/A","473000"
"1 - Living in Poverty","NJ","0.003","0.0003","0.002","0.003","0.016","0.002","0.013","0.021","0.095","0.011","0.075","0.119","756000","N/A","92000"
"2 - Income Up to 2X Fed Pov Thresh","NJ","0.004","0.0004","0.004","0.005","0.022","0.0019","0.019","0.026","0.151","0.0125","0.128","0.177","1206000","N/A","103000"
"3 - Income More Than 2X Fed Pov Thresh","NJ","0.021","0.0015","0.018","0.024","0.033","0.0023","0.029","0.037","0.755","0.0187","0.716","0.79","6037000","N/A","427000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1798000","N/A","117000"
"1 - Living in Poverty","NM","0.001","0.0001","0.001","0.002","0.009","0.0009","0.007","0.011","0.224","0.0189","0.189","0.263","402000","N/A","39000"
"2 - Income Up to 2X Fed Pov Thresh","NM","0.001","0.0001","0.001","0.002","0.007","0.0007","0.006","0.009","0.218","0.0179","0.185","0.255","392000","N/A","37000"
"3 - Income More Than 2X Fed Pov Thresh","NM","0.004","0.0003","0.003","0.004","0.005","0.0005","0.005","0.007","0.558","0.0282","0.503","0.613","1004000","N/A","92000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2754000","N/A","188000"
"1 - Living in Poverty","NV","0.002","0.0003","0.001","0.002","0.01","0.0017","0.007","0.014","0.169","0.0224","0.129","0.217","464000","N/A","77000"
"2 - Income Up to 2X Fed Pov Thresh","NV","0.002","0.0002","0.002","0.002","0.01","0.001","0.008","0.012","0.194","0.0181","0.161","0.232","534000","N/A","56000"
"3 - Income More Than 2X Fed Pov Thresh","NV","0.006","0.0005","0.005","0.007","0.01","0.0007","0.008","0.011","0.638","0.0276","0.582","0.69","1756000","N/A","133000"
"Overall","NY","0.059","0.0023","0.055","0.064","0.059","0.0023","0.055","0.064","1","0","N/A","N/A","16932000","N/A","685000"
"1 - Living in Poverty","NY","0.012","0.0008","0.01","0.013","0.073","0.005","0.064","0.083","0.198","0.0118","0.176","0.222","3348000","N/A","235000"
"2 - Income Up to 2X Fed Pov Thresh","NY","0.011","0.0007","0.01","0.012","0.056","0.0038","0.05","0.064","0.183","0.0092","0.166","0.202","3107000","N/A","214000"
"3 - Income More Than 2X Fed Pov Thresh","NY","0.037","0.0017","0.034","0.04","0.057","0.0025","0.052","0.062","0.619","0.015","0.589","0.648","10478000","N/A","483000"
"Overall","OH","0.035","0.0014","0.032","0.038","0.035","0.0014","0.032","0.038","1","0","N/A","N/A","10008000","N/A","410000"
"1 - Living in Poverty","OH","0.006","0.0006","0.005","0.007","0.037","0.0035","0.031","0.045","0.171","0.0148","0.144","0.202","1709000","N/A","165000"
"2 - Income Up to 2X Fed Pov Thresh","OH","0.007","0.0005","0.006","0.008","0.035","0.0026","0.031","0.041","0.194","0.0118","0.172","0.219","1945000","N/A","146000"
"3 - Income More Than 2X Fed Pov Thresh","OH","0.022","0.0011","0.02","0.025","0.034","0.0017","0.031","0.038","0.635","0.019","0.597","0.671","6354000","N/A","314000"
"Overall","OK","0.012","0.0009","0.01","0.014","0.012","0.0009","0.01","0.014","1","0","N/A","N/A","3368000","N/A","254000"
"1 - Living in Poverty","OK","0.002","0.0003","0.002","0.003","0.014","0.0016","0.011","0.017","0.191","0.0153","0.162","0.223","642000","N/A","72000"
"2 - Income Up to 2X Fed Pov Thresh","OK","0.003","0.0003","0.002","0.003","0.013","0.0017","0.01","0.017","0.219","0.0196","0.183","0.26","737000","N/A","94000"
"3 - Income More Than 2X Fed Pov Thresh","OK","0.007","0.0006","0.006","0.008","0.011","0.0009","0.009","0.013","0.59","0.0264","0.538","0.641","1988000","N/A","161000"
"Overall","OR","0.013","0.0007","0.012","0.014","0.013","0.0007","0.012","0.014","1","0","N/A","N/A","3686000","N/A","187000"
"1 - Living in Poverty","OR","0.001","0.0002","0.001","0.002","0.009","0.0013","0.007","0.012","0.111","0.0164","0.083","0.147","409000","N/A","59000"
"2 - Income Up to 2X Fed Pov Thresh","OR","0.003","0.0003","0.002","0.003","0.014","0.0014","0.012","0.017","0.212","0.0171","0.181","0.248","783000","N/A","79000"
"3 - Income More Than 2X Fed Pov Thresh","OR","0.009","0.0005","0.008","0.01","0.014","0.0008","0.012","0.015","0.677","0.0212","0.634","0.717","2494000","N/A","154000"
"Overall","PA","0.039","0.0021","0.035","0.043","0.039","0.0021","0.035","0.043","1","0","N/A","N/A","11153000","N/A","600000"
"1 - Living in Poverty","PA","0.006","0.0005","0.005","0.007","0.034","0.0034","0.028","0.042","0.142","0.0122","0.119","0.167","1581000","N/A","156000"
"2 - Income Up to 2X Fed Pov Thresh","PA","0.007","0.0006","0.006","0.008","0.037","0.0029","0.032","0.043","0.182","0.0119","0.159","0.206","2027000","N/A","163000"
"3 - Income More Than 2X Fed Pov Thresh","PA","0.026","0.0016","0.023","0.03","0.041","0.0025","0.036","0.046","0.677","0.0188","0.639","0.712","7545000","N/A","476000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","957000","N/A","83000"
"1 - Living in Poverty","RI","0","0.0001","0","0.001","0.002","0.0005","0.001","0.003","0.101","0.0196","0.068","0.146","96000","N/A","21000"
"2 - Income Up to 2X Fed Pov Thresh","RI","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.003","0.149","0.016","0.121","0.184","143000","N/A","18000"
"3 - Income More Than 2X Fed Pov Thresh","RI","0.003","0.0002","0.002","0.003","0.004","0.0004","0.003","0.005","0.75","0.028","0.691","0.801","718000","N/A","68000"
"Overall","SC","0.016","0.001","0.014","0.018","0.016","0.001","0.014","0.018","1","0","N/A","N/A","4599000","N/A","292000"
"1 - Living in Poverty","SC","0.003","0.0004","0.002","0.004","0.019","0.0022","0.015","0.023","0.186","0.0204","0.149","0.23","856000","N/A","103000"
"2 - Income Up to 2X Fed Pov Thresh","SC","0.004","0.0004","0.003","0.004","0.018","0.0018","0.015","0.022","0.219","0.0196","0.183","0.26","1005000","N/A","102000"
"3 - Income More Than 2X Fed Pov Thresh","SC","0.01","0.0008","0.008","0.011","0.015","0.0013","0.013","0.018","0.595","0.0291","0.537","0.651","2737000","N/A","238000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","759000","N/A","57000"
"1 - Living in Poverty","SD","0","0.0001","0","0.001","0.002","0.0004","0.002","0.003","0.147","0.0176","0.116","0.185","112000","N/A","17000"
"2 - Income Up to 2X Fed Pov Thresh","SD","0","0","0","0.001","0.002","0.0003","0.002","0.003","0.153","0.0141","0.127","0.182","116000","N/A","14000"
"3 - Income More Than 2X Fed Pov Thresh","SD","0.002","0.0001","0.002","0.002","0.003","0.0002","0.002","0.003","0.7","0.0239","0.651","0.745","531000","N/A","41000"
