"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - White, Not Hispanic","AR","0.006","0.0005","0.006","0.008","0.011","0.0009","0.009","0.013","0.719","0.0237","0.67","0.763","1850000","N/A","150000"
"2 - Black, Not Hispanic","AR","0.001","0.0001","0.001","0.002","0.011","0.0012","0.009","0.013","0.147","0.0161","0.118","0.181","377000","N/A","41000"
"3 - Other or Multiple, Not Hispanic","AR","0","0.0001","0","0.001","0.005","0.0007","0.003","0.006","0.048","0.0063","0.037","0.062","123000","N/A","18000"
"4 - Hispanic","AR","0.001","0.0001","0.001","0.001","0.004","0.0007","0.003","0.006","0.086","0.0145","0.062","0.119","222000","N/A","37000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6394000","N/A","462000"
"1 - White, Not Hispanic","AZ","0.012","0.0013","0.01","0.015","0.021","0.0022","0.017","0.026","0.554","0.0354","0.484","0.622","3545000","N/A","375000"
"2 - Black, Not Hispanic","AZ","0.001","0.0002","0.001","0.002","0.009","0.0016","0.006","0.013","0.048","0.0091","0.033","0.069","306000","N/A","58000"
"3 - Other or Multiple, Not Hispanic","AZ","0.002","0.0003","0.002","0.003","0.024","0.0027","0.019","0.029","0.099","0.0117","0.079","0.125","635000","N/A","73000"
"4 - Hispanic","AZ","0.007","0.0008","0.005","0.009","0.036","0.0044","0.028","0.045","0.298","0.0324","0.239","0.366","1909000","N/A","243000"
"Overall","CA","0.117","0.004","0.109","0.125","0.117","0.004","0.109","0.125","1","0","N/A","N/A","33372000","N/A","1253000"
"1 - White, Not Hispanic","CA","0.041","0.0023","0.037","0.046","0.069","0.0038","0.062","0.077","0.355","0.0145","0.327","0.384","11831000","N/A","671000"
"2 - Black, Not Hispanic","CA","0.006","0.0007","0.005","0.008","0.052","0.0055","0.043","0.064","0.055","0.0055","0.045","0.067","1829000","N/A","199000"
"3 - Other or Multiple, Not Hispanic","CA","0.023","0.0015","0.021","0.027","0.248","0.0135","0.222","0.275","0.2","0.0114","0.179","0.224","6680000","N/A","453000"
"4 - Hispanic","CA","0.046","0.0023","0.041","0.05","0.244","0.0103","0.224","0.265","0.391","0.015","0.362","0.42","13033000","N/A","686000"
"Overall","CO","0.018","0.0013","0.015","0.02","0.018","0.0013","0.015","0.02","1","0","N/A","N/A","5050000","N/A","384000"
"1 - White, Not Hispanic","CO","0.012","0.001","0.01","0.014","0.02","0.0016","0.017","0.024","0.68","0.0243","0.63","0.726","3433000","N/A","279000"
"2 - Black, Not Hispanic","CO","0.001","0.0002","0","0.001","0.006","0.0017","0.003","0.01","0.04","0.0117","0.022","0.07","202000","N/A","60000"
"3 - Other or Multiple, Not Hispanic","CO","0.001","0.0002","0.001","0.002","0.013","0.0024","0.009","0.018","0.067","0.0113","0.048","0.093","341000","N/A","64000"
"4 - Hispanic","CO","0.004","0.0004","0.003","0.005","0.02","0.0023","0.016","0.025","0.213","0.0172","0.181","0.248","1074000","N/A","126000"
"Overall","CT","0.011","0.001","0.009","0.013","0.011","0.001","0.009","0.013","1","0","N/A","N/A","3146000","N/A","275000"
"1 - White, Not Hispanic","CT","0.007","0.0007","0.006","0.009","0.012","0.0011","0.01","0.014","0.648","0.0319","0.583","0.708","2038000","N/A","188000"
"2 - Black, Not Hispanic","CT","0.001","0.0002","0.001","0.002","0.01","0.0019","0.007","0.014","0.108","0.0186","0.076","0.15","339000","N/A","66000"
"3 - Other or Multiple, Not Hispanic","CT","0.001","0.0002","0.001","0.001","0.008","0.0016","0.006","0.012","0.07","0.0126","0.049","0.099","220000","N/A","43000"
"4 - Hispanic","CT","0.002","0.0003","0.001","0.003","0.01","0.0017","0.007","0.014","0.174","0.0198","0.139","0.217","549000","N/A","89000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","591000","N/A","41000"
"1 - White, Not Hispanic","DC","0.001","0.0001","0.001","0.001","0.001","0.0001","0.001","0.002","0.394","0.0265","0.343","0.447","233000","N/A","21000"
"2 - Black, Not Hispanic","DC","0.001","0.0001","0.001","0.001","0.007","0.0007","0.006","0.009","0.412","0.0284","0.358","0.469","244000","N/A","25000"
"3 - Other or Multiple, Not Hispanic","DC","0","0","0","0","0.002","0.0003","0.001","0.002","0.08","0.0112","0.06","0.104","47000","N/A","8000"
"4 - Hispanic","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.115","0.0139","0.09","0.145","68000","N/A","9000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","892000","N/A","42000"
"1 - White, Not Hispanic","DE","0.002","0.0001","0.002","0.002","0.003","0.0002","0.003","0.004","0.607","0.0265","0.554","0.658","542000","N/A","34000"
"2 - Black, Not Hispanic","DE","0.001","0.0001","0.001","0.001","0.006","0.0006","0.005","0.007","0.221","0.0225","0.18","0.268","197000","N/A","21000"
"3 - Other or Multiple, Not Hispanic","DE","0","0","0","0","0.002","0.0003","0.002","0.003","0.07","0.0083","0.055","0.088","62000","N/A","8000"
"4 - Hispanic","DE","0","0.0001","0","0","0.002","0.0003","0.001","0.002","0.102","0.0142","0.077","0.133","91000","N/A","15000"
"Overall","FL","0.069","0.0027","0.064","0.075","0.069","0.0027","0.064","0.075","1","0","N/A","N/A","19799000","N/A","803000"
"1 - White, Not Hispanic","FL","0.037","0.0021","0.033","0.041","0.061","0.0034","0.055","0.068","0.528","0.0182","0.492","0.563","10449000","N/A","605000"
"2 - Black, Not Hispanic","FL","0.01","0.001","0.008","0.012","0.082","0.0078","0.068","0.099","0.145","0.0139","0.12","0.175","2880000","N/A","290000"
"3 - Other or Multiple, Not Hispanic","FL","0.004","0.0003","0.003","0.004","0.037","0.0034","0.031","0.045","0.051","0.0046","0.043","0.061","1011000","N/A","93000"
"4 - Hispanic","FL","0.019","0.0012","0.017","0.022","0.102","0.0061","0.091","0.115","0.276","0.014","0.249","0.304","5458000","N/A","338000"
"Overall","GA","0.033","0.0017","0.029","0.036","0.033","0.0017","0.029","0.036","1","0","N/A","N/A","9294000","N/A","506000"
"1 - White, Not Hispanic","GA","0.017","0.0013","0.014","0.019","0.028","0.0022","0.024","0.032","0.508","0.028","0.453","0.562","4718000","N/A","382000"
"2 - Black, Not Hispanic","GA","0.01","0.0009","0.009","0.012","0.084","0.0073","0.071","0.1","0.317","0.0248","0.27","0.367","2942000","N/A","268000"
"3 - Other or Multiple, Not Hispanic","GA","0.002","0.0003","0.002","0.003","0.024","0.0029","0.019","0.031","0.07","0.008","0.056","0.088","655000","N/A","78000"
"4 - Hispanic","GA","0.003","0.0005","0.003","0.004","0.018","0.0025","0.014","0.024","0.105","0.0127","0.083","0.133","978000","N/A","133000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1196000","N/A","87000"
"1 - White, Not Hispanic","HI","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.215","0.0218","0.176","0.261","258000","N/A","30000"
"2 - Black, Not Hispanic","HI","0","0","0","0","0.001","0.0001","0","0.001","0.015","0.0043","0.009","0.026","18000","N/A","5000"
"3 - Other or Multiple, Not Hispanic","HI","0.003","0.0003","0.002","0.003","0.03","0.0029","0.025","0.037","0.685","0.0262","0.632","0.734","819000","N/A","77000"
"4 - Hispanic","HI","0","0","0","0","0.002","0.0002","0.002","0.002","0.084","0.01","0.067","0.106","101000","N/A","9000"
"Overall","IA","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2710000","N/A","192000"
"1 - White, Not Hispanic","IA","0.008","0.0006","0.007","0.009","0.013","0.0011","0.011","0.016","0.843","0.0191","0.802","0.877","2284000","N/A","180000"
"2 - Black, Not Hispanic","IA","0","0.0001","0","0.001","0.003","0.0006","0.002","0.004","0.039","0.0074","0.027","0.057","107000","N/A","20000"
"3 - Other or Multiple, Not Hispanic","IA","0","0.0001","0","0.001","0.005","0.0011","0.003","0.007","0.049","0.0101","0.032","0.073","132000","N/A","29000"
"4 - Hispanic","IA","0.001","0.0001","0","0.001","0.004","0.0006","0.002","0.005","0.069","0.0121","0.049","0.097","188000","N/A","33000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1662000","N/A","128000"
"1 - White, Not Hispanic","ID","0.005","0.0004","0.004","0.006","0.008","0.0007","0.007","0.009","0.815","0.0169","0.779","0.846","1355000","N/A","114000"
"2 - Black, Not Hispanic","ID","0","0","0","0","0","0.0001","0","0.001","0.008","0.0031","0.004","0.017","13000","N/A","5000"
"3 - Other or Multiple, Not Hispanic","ID","0","0","0","0","0.003","0.0005","0.002","0.004","0.049","0.0075","0.036","0.066","81000","N/A","13000"
"4 - Hispanic","ID","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.128","0.0148","0.102","0.16","213000","N/A","27000"
"Overall","IL","0.038","0.0017","0.034","0.041","0.038","0.0017","0.034","0.041","1","0","N/A","N/A","10747000","N/A","501000"
"1 - White, Not Hispanic","IL","0.023","0.0014","0.02","0.025","0.038","0.0023","0.034","0.042","0.599","0.0198","0.559","0.637","6432000","N/A","395000"
"2 - Black, Not Hispanic","IL","0.005","0.0007","0.004","0.007","0.041","0.0056","0.032","0.054","0.134","0.0183","0.102","0.174","1443000","N/A","200000"
"3 - Other or Multiple, Not Hispanic","IL","0.003","0.0004","0.002","0.004","0.033","0.004","0.026","0.042","0.083","0.0095","0.066","0.103","888000","N/A","111000"
"4 - Hispanic","IL","0.007","0.0006","0.006","0.008","0.037","0.003","0.032","0.044","0.185","0.0133","0.16","0.212","1984000","N/A","163000"
"Overall","IN","0.02","0.0013","0.018","0.023","0.02","0.0013","0.018","0.023","1","0","N/A","N/A","5777000","N/A","364000"
"1 - White, Not Hispanic","IN","0.016","0.0011","0.014","0.018","0.026","0.0018","0.023","0.03","0.773","0.0178","0.736","0.806","4463000","N/A","317000"
"2 - Black, Not Hispanic","IN","0.002","0.0003","0.001","0.003","0.015","0.0025","0.011","0.021","0.094","0.015","0.068","0.127","540000","N/A","89000"
"3 - Other or Multiple, Not Hispanic","IN","0.001","0.0002","0.001","0.002","0.011","0.0026","0.007","0.017","0.051","0.0119","0.032","0.08","295000","N/A","69000"
"4 - Hispanic","IN","0.002","0.0002","0.001","0.002","0.009","0.0011","0.007","0.011","0.083","0.009","0.067","0.102","478000","N/A","60000"
"Overall","KS","0.009","0.0006","0.007","0.01","0.009","0.0006","0.007","0.01","1","0","N/A","N/A","2451000","N/A","166000"
"1 - White, Not Hispanic","KS","0.006","0.0005","0.006","0.007","0.011","0.0008","0.009","0.012","0.751","0.0157","0.719","0.781","1841000","N/A","136000"
"2 - Black, Not Hispanic","KS","0","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.053","0.0059","0.043","0.066","131000","N/A","15000"
"3 - Other or Multiple, Not Hispanic","KS","0.001","0.0001","0","0.001","0.006","0.0011","0.004","0.009","0.066","0.0103","0.049","0.09","163000","N/A","31000"
"4 - Hispanic","KS","0.001","0.0001","0.001","0.001","0.006","0.0006","0.005","0.007","0.129","0.0136","0.104","0.158","316000","N/A","33000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3810000","N/A","210000"
"1 - White, Not Hispanic","KY","0.011","0.0007","0.01","0.013","0.019","0.0012","0.016","0.021","0.833","0.0205","0.789","0.869","3174000","N/A","202000"
"2 - Black, Not Hispanic","KY","0.001","0.0002","0.001","0.001","0.009","0.0014","0.006","0.012","0.079","0.0127","0.057","0.108","301000","N/A","47000"
"3 - Other or Multiple, Not Hispanic","KY","0.001","0.0001","0","0.001","0.006","0.0011","0.004","0.008","0.04","0.0072","0.028","0.057","154000","N/A","29000"
"4 - Hispanic","KY","0.001","0.0001","0","0.001","0.003","0.0008","0.002","0.005","0.048","0.0104","0.031","0.073","181000","N/A","41000"
"Overall","LA","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3798000","N/A","223000"
"1 - White, Not Hispanic","LA","0.008","0.0006","0.007","0.009","0.013","0.0011","0.011","0.015","0.582","0.0317","0.519","0.642","2210000","N/A","181000"
"2 - Black, Not Hispanic","LA","0.004","0.0005","0.003","0.005","0.034","0.004","0.026","0.042","0.308","0.0326","0.248","0.376","1172000","N/A","142000"
"3 - Other or Multiple, Not Hispanic","LA","0.001","0.0001","0","0.001","0.006","0.001","0.004","0.008","0.041","0.007","0.029","0.057","155000","N/A","26000"
"4 - Hispanic","LA","0.001","0.0001","0.001","0.001","0.005","0.0008","0.004","0.007","0.069","0.0103","0.051","0.092","262000","N/A","42000"
"Overall","MA","0.021","0.0021","0.018","0.026","0.021","0.0021","0.018","0.026","1","0","N/A","N/A","6141000","N/A","600000"
"1 - White, Not Hispanic","MA","0.015","0.0016","0.012","0.018","0.025","0.0026","0.021","0.031","0.7","0.0287","0.641","0.753","4297000","N/A","453000"
"2 - Black, Not Hispanic","MA","0.002","0.0004","0.001","0.003","0.013","0.0032","0.008","0.021","0.075","0.0162","0.049","0.114","463000","N/A","113000"
"3 - Other or Multiple, Not Hispanic","MA","0.002","0.0003","0.002","0.003","0.023","0.0033","0.017","0.03","0.099","0.0143","0.075","0.131","610000","N/A","90000"
"4 - Hispanic","MA","0.003","0.0005","0.002","0.004","0.014","0.0027","0.01","0.021","0.125","0.0188","0.093","0.167","770000","N/A","148000"
"Overall","MD","0.018","0.0012","0.016","0.021","0.018","0.0012","0.016","0.021","1","0","N/A","N/A","5250000","N/A","359000"
"1 - White, Not Hispanic","MD","0.009","0.0008","0.007","0.011","0.015","0.0013","0.013","0.018","0.483","0.0296","0.426","0.541","2537000","N/A","224000"
"2 - Black, Not Hispanic","MD","0.006","0.0007","0.004","0.007","0.045","0.0053","0.036","0.057","0.301","0.0295","0.247","0.362","1583000","N/A","192000"
"3 - Other or Multiple, Not Hispanic","MD","0.002","0.0003","0.001","0.002","0.019","0.0032","0.014","0.026","0.098","0.0147","0.072","0.13","512000","N/A","87000"
"4 - Hispanic","MD","0.002","0.0003","0.002","0.003","0.012","0.0017","0.009","0.015","0.118","0.0154","0.091","0.152","618000","N/A","91000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1227000","N/A","117000"
"1 - White, Not Hispanic","ME","0.004","0.0004","0.003","0.005","0.007","0.0006","0.005","0.008","0.922","0.0132","0.892","0.944","1131000","N/A","107000"
"2 - Black, Not Hispanic","ME","0","0","0","0","0.001","0.0002","0","0.001","0.019","0.0061","0.01","0.036","24000","N/A","8000"
"3 - Other or Multiple, Not Hispanic","ME","0","0","0","0","0.002","0.0004","0.001","0.003","0.037","0.0072","0.026","0.054","46000","N/A","11000"
"4 - Hispanic","ME","0","0","0","0","0","0.0002","0","0.001","0.022","0.0086","0.01","0.047","26000","N/A","11000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8633000","N/A","384000"
"1 - White, Not Hispanic","MI","0.023","0.0013","0.02","0.025","0.038","0.0021","0.034","0.042","0.749","0.0182","0.711","0.783","6462000","N/A","365000"
"2 - Black, Not Hispanic","MI","0.004","0.0004","0.003","0.005","0.032","0.0029","0.027","0.038","0.13","0.0118","0.109","0.155","1125000","N/A","103000"
"3 - Other or Multiple, Not Hispanic","MI","0.002","0.0002","0.002","0.002","0.021","0.0026","0.016","0.026","0.065","0.0081","0.051","0.083","560000","N/A","69000"
"4 - Hispanic","MI","0.002","0.0002","0.001","0.002","0.009","0.0013","0.007","0.012","0.056","0.0077","0.043","0.073","485000","N/A","67000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4870000","N/A","363000"
"1 - White, Not Hispanic","MN","0.013","0.0011","0.011","0.016","0.022","0.0018","0.019","0.026","0.786","0.0209","0.742","0.824","3826000","N/A","311000"
"2 - Black, Not Hispanic","MN","0.001","0.0002","0.001","0.002","0.01","0.0019","0.007","0.014","0.069","0.0126","0.048","0.099","338000","N/A","67000"
"3 - Other or Multiple, Not Hispanic","MN","0.001","0.0002","0.001","0.002","0.015","0.0021","0.012","0.02","0.085","0.0107","0.066","0.108","414000","N/A","58000"
"4 - Hispanic","MN","0.001","0.0002","0.001","0.002","0.005","0.0011","0.004","0.008","0.06","0.0115","0.041","0.087","292000","N/A","58000"
"Overall","MO","0.018","0.0011","0.016","0.021","0.018","0.0011","0.016","0.021","1","0","N/A","N/A","5241000","N/A","311000"
"1 - White, Not Hispanic","MO","0.014","0.001","0.013","0.017","0.024","0.0017","0.021","0.028","0.791","0.0297","0.726","0.843","4144000","N/A","292000"
"2 - Black, Not Hispanic","MO","0.002","0.0005","0.001","0.003","0.016","0.0039","0.01","0.026","0.109","0.0252","0.069","0.169","574000","N/A","139000"
"3 - Other or Multiple, Not Hispanic","MO","0.001","0.0001","0.001","0.001","0.01","0.0015","0.007","0.013","0.05","0.0078","0.037","0.068","262000","N/A","40000"
"4 - Hispanic","MO","0.001","0.0002","0.001","0.001","0.005","0.0009","0.003","0.007","0.05","0.0086","0.035","0.07","261000","N/A","47000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2450000","N/A","149000"
"1 - White, Not Hispanic","MS","0.005","0.0004","0.004","0.006","0.008","0.0008","0.007","0.01","0.57","0.0297","0.511","0.627","1395000","N/A","128000"
"2 - Black, Not Hispanic","MS","0.003","0.0003","0.003","0.004","0.026","0.0022","0.022","0.03","0.366","0.0296","0.31","0.425","896000","N/A","78000"
"3 - Other or Multiple, Not Hispanic","MS","0","0","0","0","0.003","0.0005","0.002","0.004","0.03","0.0051","0.021","0.042","73000","N/A","13000"
"4 - Hispanic","MS","0","0.0001","0","0","0.002","0.0004","0.001","0.003","0.035","0.0083","0.022","0.055","86000","N/A","20000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","969000","N/A","81000"
"1 - White, Not Hispanic","MT","0.003","0.0002","0.002","0.003","0.005","0.0004","0.004","0.006","0.865","0.0167","0.828","0.894","838000","N/A","69000"
"2 - Black, Not Hispanic","MT","0","0","0","0","0","0","0","0","0.005","0.0018","0.003","0.01","5000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","MT","0","0.0001","0","0","0.003","0.0007","0.002","0.005","0.088","0.0161","0.061","0.125","85000","N/A","18000"
"4 - Hispanic","MT","0","0","0","0","0.001","0.0002","0.001","0.001","0.042","0.007","0.03","0.058","41000","N/A","8000"
"Overall","NC","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9223000","N/A","572000"
"1 - White, Not Hispanic","NC","0.02","0.0015","0.017","0.023","0.034","0.0025","0.029","0.039","0.624","0.0256","0.572","0.672","5751000","N/A","443000"
"2 - Black, Not Hispanic","NC","0.007","0.0007","0.005","0.008","0.054","0.0059","0.044","0.067","0.206","0.0195","0.171","0.247","1903000","N/A","212000"
"3 - Other or Multiple, Not Hispanic","NC","0.002","0.0003","0.002","0.003","0.022","0.0035","0.017","0.031","0.066","0.0085","0.051","0.085","607000","N/A","96000"
"4 - Hispanic","NC","0.003","0.0004","0.003","0.004","0.018","0.002","0.014","0.022","0.104","0.0121","0.083","0.131","962000","N/A","108000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","649000","N/A","58000"
"1 - White, Not Hispanic","ND","0.002","0.0002","0.002","0.002","0.003","0.0003","0.003","0.004","0.844","0.0181","0.805","0.877","548000","N/A","52000"
"2 - Black, Not Hispanic","ND","0","0","0","0","0.001","0.0001","0","0.001","0.033","0.0057","0.023","0.046","21000","N/A","4000"
"3 - Other or Multiple, Not Hispanic","ND","0","0","0","0","0.002","0.0004","0.001","0.003","0.082","0.015","0.057","0.116","53000","N/A","10000"
"4 - Hispanic","ND","0","0","0","0","0","0.0001","0","0.001","0.041","0.0067","0.03","0.056","27000","N/A","5000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1651000","N/A","109000"
"1 - White, Not Hispanic","NE","0.005","0.0003","0.004","0.005","0.008","0.0006","0.006","0.009","0.779","0.0172","0.744","0.811","1287000","N/A","97000"
"2 - Black, Not Hispanic","NE","0","0","0","0","0.002","0.0004","0.002","0.003","0.048","0.0073","0.035","0.064","79000","N/A","13000"
"3 - Other or Multiple, Not Hispanic","NE","0","0","0","0","0.003","0.0005","0.002","0.005","0.055","0.0076","0.042","0.072","91000","N/A","14000"
"4 - Hispanic","NE","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.118","0.0139","0.093","0.148","195000","N/A","23000"
"Overall","NH","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1232000","N/A","111000"
"1 - White, Not Hispanic","NH","0.004","0.0004","0.003","0.005","0.006","0.0006","0.005","0.008","0.89","0.0132","0.862","0.914","1097000","N/A","101000"
"2 - Black, Not Hispanic","NH","0","0","0","0","0.001","0.0002","0","0.001","0.017","0.0067","0.008","0.036","21000","N/A","8000"
"3 - Other or Multiple, Not Hispanic","NH","0","0","0","0","0.002","0.0003","0.002","0.003","0.048","0.0068","0.036","0.063","59000","N/A","9000"
"4 - Hispanic","NH","0","0","0","0","0.001","0.0003","0.001","0.002","0.045","0.0098","0.029","0.069","55000","N/A","14000"
"Overall","NJ","0.028","0.0016","0.025","0.031","0.028","0.0016","0.025","0.031","1","0","N/A","N/A","8000000","N/A","473000"
"1 - White, Not Hispanic","NJ","0.015","0.0013","0.012","0.018","0.025","0.0022","0.021","0.029","0.53","0.0258","0.479","0.58","4240000","N/A","374000"
"2 - Black, Not Hispanic","NJ","0.004","0.0004","0.003","0.004","0.029","0.0032","0.024","0.036","0.127","0.0141","0.102","0.158","1018000","N/A","111000"
"3 - Other or Multiple, Not Hispanic","NJ","0.003","0.0004","0.003","0.004","0.037","0.0045","0.029","0.047","0.124","0.0143","0.098","0.155","991000","N/A","123000"
"4 - Hispanic","NJ","0.006","0.0007","0.005","0.008","0.033","0.0036","0.026","0.041","0.219","0.0225","0.178","0.266","1750000","N/A","195000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1806000","N/A","114000"
"1 - White, Not Hispanic","NM","0.002","0.0003","0.002","0.003","0.004","0.0004","0.003","0.005","0.383","0.0275","0.331","0.439","692000","N/A","73000"
"2 - Black, Not Hispanic","NM","0","0","0","0","0.001","0.0002","0.001","0.001","0.02","0.0031","0.015","0.027","36000","N/A","6000"
"3 - Other or Multiple, Not Hispanic","NM","0.001","0.0001","0.001","0.001","0.008","0.0013","0.006","0.011","0.125","0.0184","0.093","0.165","225000","N/A","34000"
"4 - Hispanic","NM","0.003","0.0002","0.003","0.003","0.016","0.0013","0.014","0.019","0.472","0.0271","0.419","0.525","852000","N/A","68000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2754000","N/A","188000"
"1 - White, Not Hispanic","NV","0.005","0.0004","0.004","0.005","0.008","0.0006","0.007","0.009","0.472","0.0212","0.431","0.514","1301000","N/A","104000"
"2 - Black, Not Hispanic","NV","0.001","0.0001","0.001","0.001","0.007","0.0011","0.006","0.01","0.094","0.0133","0.071","0.123","259000","N/A","38000"
"3 - Other or Multiple, Not Hispanic","NV","0.001","0.0002","0.001","0.002","0.015","0.0018","0.012","0.019","0.148","0.0154","0.121","0.181","408000","N/A","48000"
"4 - Hispanic","NV","0.003","0.0003","0.002","0.003","0.015","0.0016","0.012","0.018","0.286","0.0205","0.247","0.327","786000","N/A","87000"
"Overall","NY","0.059","0.0023","0.055","0.064","0.059","0.0023","0.055","0.064","1","0","N/A","N/A","16932000","N/A","685000"
"1 - White, Not Hispanic","NY","0.032","0.0018","0.029","0.036","0.054","0.003","0.049","0.061","0.549","0.0191","0.511","0.586","9288000","N/A","534000"
"2 - Black, Not Hispanic","NY","0.008","0.0008","0.007","0.01","0.069","0.006","0.058","0.081","0.142","0.0124","0.119","0.168","2397000","N/A","218000"
"3 - Other or Multiple, Not Hispanic","NY","0.007","0.0007","0.006","0.009","0.074","0.0075","0.061","0.09","0.118","0.0117","0.097","0.143","2005000","N/A","213000"
"4 - Hispanic","NY","0.011","0.0007","0.01","0.013","0.061","0.0039","0.053","0.069","0.191","0.0108","0.171","0.213","3242000","N/A","213000"
"Overall","OH","0.035","0.0014","0.032","0.038","0.035","0.0014","0.032","0.038","1","0","N/A","N/A","10008000","N/A","410000"
"1 - White, Not Hispanic","OH","0.027","0.0013","0.025","0.03","0.046","0.0022","0.042","0.05","0.78","0.015","0.749","0.808","7806000","N/A","375000"
