"PAST 12 MOS, TIME WITH NO JOB","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"98 - BLANK","NC","0","0","0","0","0.02","0.0079","0.009","0.043","0.002","0.0009","0.001","0.005","20000","N/A","8000"
"99 - LEGITIMATE SKIP","NC","0.013","0.0007","0.012","0.015","0.033","0.0017","0.03","0.036","0.422","0.015","0.393","0.452","3682000","N/A","198000"
"Overall","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","619000","N/A","26000"
"1 - Yes","ND","0","0","0","0","0.002","0.0003","0.002","0.003","0.073","0.008","0.058","0.09","45000","N/A","5000"
"2 - No","ND","0.001","0.0001","0.001","0.001","0.003","0.0001","0.002","0.003","0.578","0.017","0.545","0.611","358000","N/A","17000"
"85 - BAD DATA Logically assigned","ND","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","ND","0","0","0","0","0.001","0.001","0","0.006","0","0.0003","0","0.002","0","N/A","0"
"97 - REFUSED","ND","0","0","0","0","0.001","0.0004","0","0.002","0.002","0.0015","0.001","0.008","2000","N/A","1000"
"98 - BLANK","ND","0","0","0","0","0.002","0.001","0.001","0.005","0.003","0.0016","0.001","0.008","2000","N/A","1000"
"99 - LEGITIMATE SKIP","ND","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.343","0.0158","0.313","0.375","213000","N/A","15000"
"Overall","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1584000","N/A","60000"
"1 - Yes","NE","0","0","0","0.001","0.006","0.0005","0.005","0.007","0.073","0.0064","0.062","0.087","116000","N/A","10000"
"2 - No","NE","0.003","0.0002","0.003","0.004","0.007","0.0003","0.006","0.007","0.59","0.0161","0.558","0.621","934000","N/A","42000"
"85 - BAD DATA Logically assigned","NE","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NE","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","NE","0","0","0","0","0.002","0.0008","0.001","0.004","0.003","0.0012","0.001","0.006","4000","N/A","2000"
"98 - BLANK","NE","0","0","0","0","0.005","0.0031","0.002","0.016","0.003","0.0019","0.001","0.01","5000","N/A","3000"
"99 - LEGITIMATE SKIP","NE","0.002","0.0001","0.002","0.002","0.005","0.0003","0.004","0.005","0.331","0.0164","0.3","0.364","524000","N/A","35000"
"Overall","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1180000","N/A","47000"
"1 - Yes","NH","0","0","0","0","0.004","0.0005","0.003","0.005","0.071","0.0084","0.056","0.089","83000","N/A","11000"
"2 - No","NH","0.003","0.0001","0.002","0.003","0.005","0.0002","0.005","0.005","0.582","0.018","0.546","0.617","687000","N/A","32000"
"85 - BAD DATA Logically assigned","NH","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NH","0","0","0","0","0.005","0.0049","0.001","0.032","0.001","0.0009","0","0.006","1000","N/A","1000"
"97 - REFUSED","NH","0","0","0","0","0","0.0001","0","0.001","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","NH","0","0","0","0","0.006","0.0041","0.002","0.022","0.005","0.0033","0.001","0.018","6000","N/A","4000"
"99 - LEGITIMATE SKIP","NH","0.001","0.0001","0.001","0.002","0.004","0.0002","0.003","0.004","0.342","0.0162","0.311","0.374","403000","N/A","25000"
"Overall","NJ","0.027","0.001","0.026","0.029","0.027","0.001","0.026","0.029","1","0","N/A","N/A","7526000","N/A","278000"
"1 - Yes","NJ","0.002","0.0002","0.002","0.002","0.026","0.002","0.023","0.031","0.073","0.0058","0.062","0.085","547000","N/A","42000"
"2 - No","NJ","0.015","0.0007","0.013","0.016","0.029","0.0014","0.026","0.032","0.532","0.0146","0.503","0.56","4001000","N/A","202000"
"85 - BAD DATA Logically assigned","NJ","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NJ","0","0","0","0","0.014","0.0109","0.003","0.063","0","0.0003","0","0.002","3000","N/A","2000"
"97 - REFUSED","NJ","0","0.0001","0","0.001","0.042","0.0108","0.025","0.069","0.013","0.0033","0.008","0.021","97000","N/A","26000"
"98 - BLANK","NJ","0","0","0","0","0.015","0.0094","0.005","0.05","0.002","0.0012","0.001","0.007","15000","N/A","9000"
"99 - LEGITIMATE SKIP","NJ","0.01","0.0005","0.01","0.011","0.026","0.0012","0.023","0.028","0.38","0.0134","0.355","0.407","2863000","N/A","136000"
"Overall","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","1","0","N/A","N/A","1747000","N/A","87000"
"1 - Yes","NM","0","0.0001","0","0.001","0.007","0.0007","0.005","0.008","0.078","0.0079","0.064","0.095","136000","N/A","15000"
"2 - No","NM","0.003","0.0002","0.003","0.003","0.006","0.0004","0.005","0.007","0.473","0.0177","0.438","0.507","826000","N/A","55000"
"85 - BAD DATA Logically assigned","NM","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NM","0","0","0","0","0.002","0.0022","0","0.016","0","0.0003","0","0.002","0","N/A","0"
"97 - REFUSED","NM","0","0","0","0","0.012","0.004","0.006","0.023","0.016","0.0051","0.008","0.03","27000","N/A","9000"
"98 - BLANK","NM","0","0","0","0","0.004","0.0016","0.002","0.009","0.002","0.0009","0.001","0.005","4000","N/A","2000"
"99 - LEGITIMATE SKIP","NM","0.003","0.0002","0.002","0.003","0.007","0.0004","0.006","0.008","0.432","0.0186","0.395","0.468","754000","N/A","45000"
"Overall","NV","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2561000","N/A","126000"
"1 - Yes","NV","0.001","0.0001","0.001","0.001","0.01","0.0012","0.008","0.012","0.08","0.0076","0.066","0.096","204000","N/A","24000"
"2 - No","NV","0.005","0.0002","0.004","0.005","0.009","0.0005","0.008","0.01","0.487","0.0206","0.447","0.528","1248000","N/A","67000"
"85 - BAD DATA Logically assigned","NV","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NV","0","0","0","0","0.001","0.0012","0","0.008","0","0.0001","0","0.001","0","N/A","0"
"97 - REFUSED","NV","0","0","0","0","0.007","0.0023","0.004","0.014","0.007","0.0022","0.004","0.013","17000","N/A","5000"
"98 - BLANK","NV","0","0","0","0","0.006","0.0026","0.003","0.014","0.002","0.001","0.001","0.005","6000","N/A","3000"
"99 - LEGITIMATE SKIP","NV","0.004","0.0003","0.003","0.005","0.01","0.0007","0.008","0.011","0.424","0.0192","0.387","0.462","1086000","N/A","82000"
"Overall","NY","0.06","0.0015","0.058","0.063","0.06","0.0015","0.058","0.063","1","0","N/A","N/A","16572000","N/A","424000"
"1 - Yes","NY","0.004","0.0003","0.004","0.005","0.058","0.0037","0.052","0.066","0.073","0.0045","0.065","0.083","1212000","N/A","80000"
"2 - No","NY","0.03","0.001","0.028","0.032","0.059","0.002","0.055","0.063","0.489","0.0106","0.468","0.51","8106000","N/A","282000"
"85 - BAD DATA Logically assigned","NY","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NY","0","0","0","0","0.048","0.0224","0.019","0.116","0.001","0.0003","0","0.002","10000","N/A","5000"
"97 - REFUSED","NY","0.001","0.0001","0.001","0.001","0.097","0.0152","0.071","0.131","0.014","0.0023","0.01","0.019","225000","N/A","38000"
"98 - BLANK","NY","0","0.0001","0","0.001","0.134","0.0285","0.087","0.201","0.008","0.0018","0.005","0.012","131000","N/A","30000"
"99 - LEGITIMATE SKIP","NY","0.025","0.0009","0.023","0.027","0.061","0.0022","0.057","0.066","0.416","0.0112","0.394","0.438","6888000","N/A","249000"
"Overall","OH","0.036","0.0009","0.034","0.038","0.036","0.0009","0.034","0.038","1","0","N/A","N/A","9825000","N/A","260000"
"1 - Yes","OH","0.003","0.0002","0.002","0.003","0.035","0.0022","0.031","0.039","0.074","0.0045","0.065","0.083","724000","N/A","46000"
"2 - No","OH","0.017","0.0006","0.016","0.019","0.035","0.0013","0.032","0.037","0.486","0.0111","0.464","0.507","4772000","N/A","174000"
"85 - BAD DATA Logically assigned","OH","0","0","0","0","0.061","0.0432","0.014","0.223","0","0.0002","0","0.001","3000","N/A","2000"
"94 - DON T KNOW","OH","0","0","0","0","0.047","0.0185","0.021","0.1","0.001","0.0004","0","0.002","10000","N/A","4000"
"97 - REFUSED","OH","0","0","0","0","0.014","0.004","0.008","0.025","0.003","0.0009","0.002","0.006","33000","N/A","9000"
"98 - BLANK","OH","0","0","0","0","0.023","0.0096","0.01","0.052","0.002","0.001","0.001","0.005","22000","N/A","10000"
"99 - LEGITIMATE SKIP","OH","0.016","0.0005","0.015","0.017","0.038","0.0013","0.035","0.041","0.434","0.0102","0.414","0.454","4262000","N/A","148000"
"Overall","OK","0.012","0.0006","0.011","0.013","0.012","0.0006","0.011","0.013","1","0","N/A","N/A","3234000","N/A","152000"
"1 - Yes","OK","0.001","0.0001","0.001","0.001","0.009","0.0009","0.008","0.011","0.059","0.0056","0.049","0.071","192000","N/A","19000"
"2 - No","OK","0.006","0.0003","0.005","0.006","0.011","0.0007","0.01","0.013","0.482","0.0161","0.451","0.514","1559000","N/A","94000"
"85 - BAD DATA Logically assigned","OK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","OK","0","0","0","0","0.012","0.012","0.002","0.081","0.001","0.0008","0","0.006","2000","N/A","2000"
"97 - REFUSED","OK","0","0","0","0","0.008","0.003","0.004","0.016","0.006","0.0021","0.003","0.012","18000","N/A","7000"
"98 - BLANK","OK","0","0","0","0","0.015","0.0059","0.007","0.032","0.004","0.0018","0.002","0.01","14000","N/A","6000"
"99 - LEGITIMATE SKIP","OK","0.005","0.0003","0.005","0.006","0.013","0.0007","0.012","0.014","0.448","0.0146","0.419","0.477","1448000","N/A","82000"
"Overall","OR","0.013","0.0004","0.012","0.014","0.013","0.0004","0.012","0.014","1","0","N/A","N/A","3591000","N/A","108000"
"1 - Yes","OR","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.057","0.0065","0.045","0.071","203000","N/A","23000"
"2 - No","OR","0.007","0.0003","0.007","0.008","0.014","0.0006","0.013","0.015","0.541","0.0167","0.508","0.573","1942000","N/A","79000"
"85 - BAD DATA Logically assigned","OR","0","0","0","0","0.023","0.0229","0.003","0.15","0","0.0003","0","0.002","1000","N/A","1000"
"94 - DON T KNOW","OR","0","0","0","0","0.01","0.0096","0.001","0.065","0.001","0.0006","0","0.004","2000","N/A","2000"
"97 - REFUSED","OR","0","0","0","0","0.013","0.0034","0.007","0.021","0.008","0.0022","0.005","0.014","29000","N/A","8000"
"98 - BLANK","OR","0","0","0","0","0.012","0.0055","0.005","0.029","0.003","0.0015","0.001","0.008","12000","N/A","5000"
"99 - LEGITIMATE SKIP","OR","0.005","0.0003","0.005","0.006","0.012","0.0007","0.011","0.014","0.39","0.0169","0.358","0.424","1402000","N/A","80000"
"Overall","PA","0.04","0.0011","0.037","0.042","0.04","0.0011","0.037","0.042","1","0","N/A","N/A","10878000","N/A","319000"
"1 - Yes","PA","0.003","0.0002","0.002","0.003","0.036","0.0023","0.032","0.041","0.069","0.0043","0.061","0.078","749000","N/A","47000"
"2 - No","PA","0.021","0.0007","0.019","0.022","0.041","0.0013","0.038","0.044","0.52","0.0115","0.497","0.542","5652000","N/A","191000"
"85 - BAD DATA Logically assigned","PA","0","0","0","0","0.045","0.0353","0.009","0.19","0","0.0002","0","0.001","2000","N/A","2000"
"94 - DON T KNOW","PA","0","0","0","0","0.046","0.0238","0.016","0.123","0.001","0.0005","0","0.002","9000","N/A","5000"
"97 - REFUSED","PA","0","0.0001","0","0.001","0.047","0.0093","0.032","0.069","0.01","0.002","0.007","0.015","109000","N/A","22000"
"98 - BLANK","PA","0","0","0","0","0.026","0.0079","0.014","0.047","0.002","0.0007","0.001","0.004","25000","N/A","8000"
"99 - LEGITIMATE SKIP","PA","0.016","0.0007","0.014","0.017","0.039","0.0017","0.035","0.042","0.398","0.011","0.377","0.42","4331000","N/A","193000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","910000","N/A","43000"
"1 - Yes","RI","0","0","0","0","0.003","0.0003","0.002","0.004","0.068","0.0069","0.056","0.083","62000","N/A","7000"
"2 - No","RI","0.002","0.0001","0.002","0.002","0.004","0.0002","0.003","0.004","0.538","0.0171","0.504","0.572","490000","N/A","27000"
"85 - BAD DATA Logically assigned","RI","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","RI","0","0","0","0","0.002","0.0015","0","0.01","0","0.0003","0","0.002","0","N/A","0"
"97 - REFUSED","RI","0","0","0","0","0.002","0.0006","0.001","0.004","0.004","0.0016","0.002","0.009","4000","N/A","1000"
"98 - BLANK","RI","0","0","0","0","0.002","0.0013","0","0.008","0.002","0.0015","0","0.009","2000","N/A","1000"
"99 - LEGITIMATE SKIP","RI","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.004","0.387","0.0171","0.355","0.421","353000","N/A","24000"
"Overall","SC","0.016","0.0008","0.014","0.017","0.016","0.0008","0.014","0.017","1","0","N/A","N/A","4289000","N/A","210000"
"1 - Yes","SC","0.001","0.0001","0.001","0.001","0.015","0.0016","0.013","0.019","0.075","0.0078","0.061","0.092","321000","N/A","33000"
"2 - No","SC","0.007","0.0004","0.006","0.008","0.014","0.0009","0.013","0.016","0.459","0.0201","0.42","0.498","1968000","N/A","119000"
"85 - BAD DATA Logically assigned","SC","0","0","0","0","0.047","0.0338","0.011","0.179","0.001","0.0004","0","0.002","2000","N/A","2000"
"94 - DON T KNOW","SC","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","SC","0","0","0","0","0.016","0.0054","0.008","0.03","0.008","0.0029","0.004","0.017","36000","N/A","13000"
"98 - BLANK","SC","0","0","0","0","0.027","0.0125","0.011","0.066","0.006","0.0029","0.003","0.015","27000","N/A","12000"
"99 - LEGITIMATE SKIP","SC","0.007","0.0005","0.006","0.008","0.017","0.0012","0.015","0.02","0.451","0.0184","0.415","0.487","1935000","N/A","139000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","718000","N/A","41000"
"1 - Yes","SD","0","0","0","0","0.002","0.0003","0.002","0.003","0.067","0.0076","0.053","0.084","48000","N/A","6000"
"2 - No","SD","0.002","0.0001","0.001","0.002","0.003","0.0002","0.003","0.004","0.594","0.018","0.558","0.629","427000","N/A","30000"
"85 - BAD DATA Logically assigned","SD","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","SD","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","SD","0","0","0","0","0","0.0001","0","0.001","0.001","0.0005","0","0.003","0","N/A","0"
"98 - BLANK","SD","0","0","0","0","0.001","0.0008","0","0.004","0.002","0.0011","0","0.006","1000","N/A","1000"
"99 - LEGITIMATE SKIP","SD","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.337","0.0183","0.302","0.374","242000","N/A","17000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5699000","N/A","267000"
"1 - Yes","TN","0.002","0.0002","0.001","0.002","0.02","0.0025","0.015","0.026","0.072","0.0081","0.058","0.09","412000","N/A","53000"
"2 - No","TN","0.011","0.0007","0.01","0.012","0.021","0.0013","0.019","0.024","0.52","0.0173","0.486","0.554","2963000","N/A","185000"
"85 - BAD DATA Logically assigned","TN","0","0","0","0","0.012","0.012","0.002","0.083","0","0.0001","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","TN","0","0","0","0","0.01","0.0096","0.001","0.065","0","0.0003","0","0.002","2000","N/A","2000"
"97 - REFUSED","TN","0","0","0","0","0.014","0.0045","0.008","0.027","0.006","0.0019","0.003","0.011","34000","N/A","11000"
"98 - BLANK","TN","0","0","0","0","0.007","0.005","0.002","0.029","0.001","0.0009","0","0.005","7000","N/A","5000"
"99 - LEGITIMATE SKIP","TN","0.008","0.0004","0.007","0.009","0.02","0.0011","0.018","0.023","0.4","0.0166","0.368","0.433","2281000","N/A","120000"
"Overall","TX","0.085","0.0022","0.081","0.09","0.085","0.0022","0.081","0.09","1","0","N/A","N/A","23465000","N/A","649000"
"1 - Yes","TX","0.006","0.0004","0.006","0.007","0.085","0.0048","0.076","0.095","0.075","0.0039","0.068","0.083","1762000","N/A","107000"
"2 - No","TX","0.042","0.0013","0.039","0.045","0.083","0.0026","0.078","0.089","0.49","0.0089","0.472","0.507","11490000","N/A","379000"
"85 - BAD DATA Logically assigned","TX","0","0","0","0","0.051","0.0505","0.007","0.293","0","0.0001","0","0.001","3000","N/A","3000"
"94 - DON T KNOW","TX","0","0","0","0","0.103","0.0393","0.047","0.209","0.001","0.0004","0","0.002","21000","N/A","9000"
"97 - REFUSED","TX","0.001","0.0001","0.001","0.001","0.098","0.0157","0.071","0.133","0.01","0.0016","0.007","0.014","228000","N/A","39000"
"98 - BLANK","TX","0","0.0001","0","0.001","0.13","0.0235","0.091","0.184","0.005","0.0011","0.004","0.008","127000","N/A","25000"
"99 - LEGITIMATE SKIP","TX","0.036","0.0012","0.034","0.038","0.088","0.0028","0.082","0.093","0.419","0.0086","0.402","0.436","9834000","N/A","334000"
"Overall","UT","0.009","0.0003","0.009","0.01","0.009","0.0003","0.009","0.01","1","0","N/A","N/A","2540000","N/A","93000"
"1 - Yes","UT","0.001","0.0001","0.001","0.001","0.011","0.0012","0.009","0.014","0.091","0.0088","0.075","0.11","232000","N/A","24000"
"2 - No","UT","0.005","0.0002","0.005","0.006","0.01","0.0004","0.009","0.011","0.559","0.0125","0.534","0.583","1420000","N/A","58000"
"85 - BAD DATA Logically assigned","UT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","UT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","UT","0","0","0","0","0.003","0.0011","0.001","0.006","0.003","0.001","0.001","0.006","7000","N/A","3000"
"98 - BLANK","UT","0","0","0","0","0.002","0.002","0","0.013","0.001","0.0008","0","0.005","2000","N/A","2000"
"99 - LEGITIMATE SKIP","UT","0.003","0.0002","0.003","0.004","0.008","0.0005","0.007","0.009","0.346","0.0146","0.318","0.375","880000","N/A","51000"
"Overall","VA","0.026","0.001","0.024","0.028","0.026","0.001","0.024","0.028","1","0","N/A","N/A","7081000","N/A","284000"
"1 - Yes","VA","0.002","0.0002","0.002","0.002","0.026","0.0026","0.021","0.031","0.075","0.007","0.063","0.09","532000","N/A","54000"
"2 - No","VA","0.014","0.0007","0.012","0.015","0.027","0.0015","0.024","0.03","0.529","0.0184","0.493","0.565","3748000","N/A","204000"
"85 - BAD DATA Logically assigned","VA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","VA","0","0","0","0","0.045","0.0276","0.013","0.143","0.001","0.0008","0","0.004","9000","N/A","6000"
"97 - REFUSED","VA","0","0.0001","0","0","0.031","0.0075","0.019","0.049","0.01","0.0025","0.006","0.016","71000","N/A","18000"
"98 - BLANK","VA","0","0","0","0","0.021","0.0063","0.011","0.038","0.003","0.0009","0.002","0.005","20000","N/A","6000"
