"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Income Up to 2X Fed Pov Thresh","DC","0","0","0","0","0.001","0.0002","0.001","0.001","0.107","0.015","0.081","0.14","61000","N/A","9000"
"3 - Income More Than 2X Fed Pov Thresh","DC","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.652","0.0253","0.601","0.7","376000","N/A","31000"
"Overall","DE","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","877000","N/A","61000"
"1 - Living in Poverty","DE","0","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.137","0.0166","0.107","0.173","120000","N/A","15000"
"2 - Income Up to 2X Fed Pov Thresh","DE","0.001","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.168","0.0191","0.134","0.209","147000","N/A","22000"
"3 - Income More Than 2X Fed Pov Thresh","DE","0.002","0.0002","0.002","0.003","0.003","0.0003","0.003","0.004","0.695","0.0266","0.641","0.745","610000","N/A","46000"
"Overall","FL","0.068","0.003","0.063","0.075","0.068","0.003","0.063","0.075","1","0","N/A","N/A","19317000","N/A","896000"
"1 - Living in Poverty","FL","0.01","0.0008","0.009","0.012","0.066","0.0052","0.056","0.077","0.148","0.0099","0.13","0.169","2865000","N/A","233000"
"2 - Income Up to 2X Fed Pov Thresh","FL","0.016","0.0011","0.014","0.018","0.082","0.0053","0.073","0.093","0.234","0.0118","0.212","0.258","4529000","N/A","306000"
"3 - Income More Than 2X Fed Pov Thresh","FL","0.042","0.0022","0.038","0.047","0.065","0.0033","0.059","0.071","0.617","0.0156","0.586","0.647","11924000","N/A","634000"
"Overall","GA","0.032","0.002","0.029","0.037","0.032","0.002","0.029","0.037","1","0","N/A","N/A","9173000","N/A","577000"
"1 - Living in Poverty","GA","0.006","0.0006","0.005","0.007","0.039","0.0041","0.032","0.048","0.186","0.0148","0.158","0.216","1702000","N/A","181000"
"2 - Income Up to 2X Fed Pov Thresh","GA","0.007","0.0007","0.006","0.009","0.037","0.0037","0.03","0.045","0.22","0.0155","0.191","0.252","2020000","N/A","210000"
"3 - Income More Than 2X Fed Pov Thresh","GA","0.019","0.0013","0.017","0.022","0.03","0.002","0.026","0.034","0.594","0.0234","0.548","0.639","5451000","N/A","365000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1189000","N/A","82000"
"1 - Living in Poverty","HI","0.001","0.0001","0","0.001","0.004","0.0006","0.003","0.005","0.132","0.0199","0.097","0.176","157000","N/A","26000"
"2 - Income Up to 2X Fed Pov Thresh","HI","0.001","0.0001","0","0.001","0.003","0.0003","0.003","0.004","0.146","0.0152","0.118","0.178","173000","N/A","19000"
"3 - Income More Than 2X Fed Pov Thresh","HI","0.003","0.0003","0.003","0.004","0.005","0.0004","0.004","0.006","0.723","0.0273","0.666","0.773","859000","N/A","72000"
"Overall","IA","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2693000","N/A","162000"
"1 - Living in Poverty","IA","0.001","0.0002","0.001","0.002","0.007","0.0011","0.005","0.01","0.117","0.0171","0.087","0.155","315000","N/A","48000"
"2 - Income Up to 2X Fed Pov Thresh","IA","0.002","0.0002","0.002","0.002","0.01","0.0011","0.008","0.013","0.211","0.0202","0.174","0.253","568000","N/A","62000"
"3 - Income More Than 2X Fed Pov Thresh","IA","0.006","0.0005","0.006","0.007","0.01","0.0007","0.008","0.011","0.672","0.0272","0.617","0.723","1811000","N/A","138000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1631000","N/A","111000"
"1 - Living in Poverty","ID","0.001","0.0001","0","0.001","0.004","0.0007","0.003","0.006","0.11","0.0153","0.084","0.144","180000","N/A","31000"
"2 - Income Up to 2X Fed Pov Thresh","ID","0.001","0.0002","0.001","0.002","0.008","0.0009","0.006","0.01","0.257","0.0211","0.218","0.301","419000","N/A","50000"
"3 - Income More Than 2X Fed Pov Thresh","ID","0.004","0.0002","0.003","0.004","0.006","0.0003","0.005","0.006","0.633","0.0216","0.589","0.674","1032000","N/A","64000"
"Overall","IL","0.038","0.0019","0.034","0.042","0.038","0.0019","0.034","0.042","1","0","N/A","N/A","10679000","N/A","547000"
"1 - Living in Poverty","IL","0.005","0.0004","0.004","0.006","0.031","0.0026","0.027","0.037","0.128","0.0102","0.109","0.15","1368000","N/A","116000"
"2 - Income Up to 2X Fed Pov Thresh","IL","0.007","0.0006","0.006","0.008","0.037","0.0031","0.031","0.043","0.189","0.0113","0.168","0.213","2023000","N/A","177000"
"3 - Income More Than 2X Fed Pov Thresh","IL","0.026","0.0014","0.023","0.029","0.04","0.0022","0.035","0.044","0.682","0.0165","0.649","0.714","7288000","N/A","410000"
"Overall","IN","0.02","0.0015","0.018","0.024","0.02","0.0015","0.018","0.024","1","0","N/A","N/A","5738000","N/A","435000"
"1 - Living in Poverty","IN","0.003","0.0004","0.002","0.004","0.019","0.0027","0.015","0.025","0.147","0.0169","0.117","0.183","843000","N/A","118000"
"2 - Income Up to 2X Fed Pov Thresh","IN","0.004","0.0005","0.004","0.005","0.022","0.0024","0.018","0.027","0.214","0.017","0.183","0.249","1228000","N/A","130000"
"3 - Income More Than 2X Fed Pov Thresh","IN","0.013","0.0011","0.011","0.015","0.02","0.0017","0.017","0.024","0.639","0.0281","0.582","0.692","3667000","N/A","324000"
"Overall","KS","0.009","0.0007","0.007","0.01","0.009","0.0007","0.007","0.01","1","0","N/A","N/A","2434000","N/A","207000"
"1 - Living in Poverty","KS","0.001","0.0002","0.001","0.002","0.009","0.0013","0.006","0.011","0.154","0.0168","0.124","0.19","375000","N/A","55000"
"2 - Income Up to 2X Fed Pov Thresh","KS","0.002","0.0002","0.002","0.002","0.01","0.0012","0.008","0.013","0.226","0.0179","0.192","0.263","549000","N/A","64000"
"3 - Income More Than 2X Fed Pov Thresh","KS","0.005","0.0005","0.004","0.006","0.008","0.0007","0.007","0.01","0.62","0.0222","0.576","0.663","1510000","N/A","134000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3780000","N/A","200000"
"1 - Living in Poverty","KY","0.003","0.0003","0.002","0.004","0.019","0.002","0.015","0.023","0.218","0.0221","0.178","0.265","825000","N/A","85000"
"2 - Income Up to 2X Fed Pov Thresh","KY","0.003","0.0002","0.002","0.003","0.014","0.0011","0.012","0.017","0.209","0.0154","0.18","0.24","788000","N/A","61000"
"3 - Income More Than 2X Fed Pov Thresh","KY","0.008","0.0006","0.007","0.009","0.012","0.001","0.01","0.014","0.573","0.0282","0.517","0.627","2166000","N/A","181000"
"Overall","LA","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3797000","N/A","208000"
"1 - Living in Poverty","LA","0.003","0.0003","0.003","0.004","0.021","0.0022","0.017","0.026","0.242","0.0197","0.205","0.282","918000","N/A","96000"
"2 - Income Up to 2X Fed Pov Thresh","LA","0.003","0.0003","0.003","0.004","0.017","0.0017","0.014","0.02","0.241","0.0197","0.204","0.282","915000","N/A","95000"
"3 - Income More Than 2X Fed Pov Thresh","LA","0.007","0.0005","0.006","0.008","0.011","0.0008","0.009","0.012","0.517","0.0303","0.458","0.576","1965000","N/A","143000"
"Overall","MA","0.021","0.0015","0.019","0.025","0.021","0.0015","0.019","0.025","1","0","N/A","N/A","6074000","N/A","436000"
"1 - Living in Poverty","MA","0.002","0.0004","0.002","0.003","0.014","0.0026","0.01","0.021","0.104","0.0155","0.077","0.138","630000","N/A","113000"
"2 - Income Up to 2X Fed Pov Thresh","MA","0.003","0.0004","0.002","0.004","0.014","0.0019","0.011","0.018","0.128","0.0149","0.101","0.16","777000","N/A","105000"
"3 - Income More Than 2X Fed Pov Thresh","MA","0.017","0.0012","0.014","0.019","0.025","0.0019","0.022","0.029","0.768","0.0246","0.717","0.813","4667000","N/A","349000"
"Overall","MD","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5208000","N/A","376000"
"1 - Living in Poverty","MD","0.002","0.0003","0.002","0.003","0.015","0.0019","0.011","0.019","0.123","0.0137","0.098","0.152","638000","N/A","80000"
"2 - Income Up to 2X Fed Pov Thresh","MD","0.003","0.0003","0.002","0.003","0.014","0.0018","0.011","0.018","0.146","0.0158","0.117","0.18","758000","N/A","99000"
"3 - Income More Than 2X Fed Pov Thresh","MD","0.013","0.0011","0.012","0.016","0.021","0.0016","0.018","0.024","0.732","0.0219","0.687","0.773","3811000","N/A","306000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1214000","N/A","111000"
"1 - Living in Poverty","ME","0.001","0.0001","0","0.001","0.004","0.0006","0.003","0.005","0.132","0.0139","0.107","0.162","161000","N/A","24000"
"2 - Income Up to 2X Fed Pov Thresh","ME","0.001","0.0001","0.001","0.001","0.004","0.0006","0.003","0.005","0.18","0.0172","0.148","0.216","218000","N/A","31000"
"3 - Income More Than 2X Fed Pov Thresh","ME","0.003","0.0003","0.002","0.004","0.005","0.0004","0.004","0.005","0.688","0.025","0.637","0.735","835000","N/A","76000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8581000","N/A","377000"
"1 - Living in Poverty","MI","0.005","0.0004","0.004","0.006","0.031","0.0026","0.026","0.036","0.155","0.0121","0.133","0.181","1334000","N/A","114000"
"2 - Income Up to 2X Fed Pov Thresh","MI","0.006","0.0005","0.005","0.007","0.032","0.0024","0.028","0.037","0.208","0.0113","0.187","0.231","1785000","N/A","131000"
"3 - Income More Than 2X Fed Pov Thresh","MI","0.019","0.001","0.018","0.021","0.03","0.0015","0.027","0.033","0.637","0.0153","0.606","0.666","5463000","N/A","273000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4833000","N/A","362000"
"1 - Living in Poverty","MN","0.001","0.0003","0.001","0.002","0.01","0.002","0.006","0.014","0.086","0.0172","0.057","0.126","414000","N/A","86000"
"2 - Income Up to 2X Fed Pov Thresh","MN","0.002","0.0004","0.002","0.003","0.012","0.0021","0.008","0.017","0.134","0.0199","0.099","0.178","647000","N/A","115000"
"3 - Income More Than 2X Fed Pov Thresh","MN","0.013","0.001","0.011","0.016","0.02","0.0016","0.018","0.024","0.78","0.0256","0.726","0.826","3772000","N/A","299000"
"Overall","MO","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5211000","N/A","385000"
"1 - Living in Poverty","MO","0.003","0.0003","0.002","0.003","0.017","0.0021","0.013","0.022","0.142","0.0154","0.115","0.175","742000","N/A","91000"
"2 - Income Up to 2X Fed Pov Thresh","MO","0.004","0.0004","0.003","0.005","0.019","0.0019","0.016","0.023","0.201","0.0169","0.17","0.236","1047000","N/A","106000"
"3 - Income More Than 2X Fed Pov Thresh","MO","0.012","0.0011","0.01","0.014","0.019","0.0016","0.016","0.022","0.657","0.0238","0.609","0.702","3422000","N/A","304000"
"Overall","MS","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2443000","N/A","157000"
"1 - Living in Poverty","MS","0.002","0.0002","0.002","0.002","0.013","0.0012","0.011","0.015","0.231","0.0148","0.203","0.261","563000","N/A","50000"
"2 - Income Up to 2X Fed Pov Thresh","MS","0.002","0.0002","0.002","0.002","0.01","0.001","0.009","0.012","0.231","0.0162","0.201","0.264","564000","N/A","52000"
"3 - Income More Than 2X Fed Pov Thresh","MS","0.005","0.0004","0.004","0.005","0.007","0.0006","0.006","0.008","0.538","0.024","0.491","0.585","1315000","N/A","106000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","961000","N/A","80000"
"1 - Living in Poverty","MT","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.137","0.019","0.104","0.179","132000","N/A","22000"
"2 - Income Up to 2X Fed Pov Thresh","MT","0.001","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.185","0.0175","0.153","0.222","178000","N/A","23000"
"3 - Income More Than 2X Fed Pov Thresh","MT","0.002","0.0002","0.002","0.003","0.004","0.0003","0.003","0.004","0.678","0.0283","0.62","0.73","651000","N/A","58000"
"Overall","NC","0.032","0.002","0.028","0.036","0.032","0.002","0.028","0.036","1","0","N/A","N/A","9074000","N/A","578000"
"1 - Living in Poverty","NC","0.005","0.0006","0.004","0.006","0.033","0.0039","0.026","0.042","0.16","0.0163","0.13","0.194","1448000","N/A","171000"
"2 - Income Up to 2X Fed Pov Thresh","NC","0.006","0.0008","0.005","0.008","0.032","0.0038","0.026","0.041","0.196","0.0171","0.165","0.232","1782000","N/A","214000"
"3 - Income More Than 2X Fed Pov Thresh","NC","0.021","0.0014","0.018","0.024","0.032","0.0022","0.028","0.036","0.644","0.0251","0.593","0.692","5844000","N/A","408000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","640000","N/A","59000"
"1 - Living in Poverty","ND","0","0","0","0","0.002","0.0003","0.001","0.003","0.128","0.0194","0.095","0.171","82000","N/A","13000"
"2 - Income Up to 2X Fed Pov Thresh","ND","0","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.176","0.0205","0.14","0.22","113000","N/A","16000"
"3 - Income More Than 2X Fed Pov Thresh","ND","0.002","0.0002","0.001","0.002","0.002","0.0003","0.002","0.003","0.695","0.0284","0.637","0.748","445000","N/A","50000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1635000","N/A","102000"
"1 - Living in Poverty","NE","0.001","0.0001","0.001","0.001","0.004","0.0006","0.003","0.006","0.116","0.015","0.09","0.149","189000","N/A","28000"
"2 - Income Up to 2X Fed Pov Thresh","NE","0.001","0.0001","0.001","0.001","0.005","0.0006","0.004","0.006","0.176","0.015","0.148","0.207","287000","N/A","32000"
"3 - Income More Than 2X Fed Pov Thresh","NE","0.004","0.0003","0.004","0.005","0.006","0.0004","0.006","0.007","0.709","0.0229","0.662","0.751","1158000","N/A","79000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1225000","N/A","74000"
"1 - Living in Poverty","NH","0","0.0001","0","0","0.002","0.0003","0.002","0.003","0.076","0.0115","0.057","0.102","94000","N/A","15000"
"2 - Income Up to 2X Fed Pov Thresh","NH","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.004","0.16","0.0125","0.137","0.186","196000","N/A","20000"
"3 - Income More Than 2X Fed Pov Thresh","NH","0.003","0.0002","0.003","0.004","0.005","0.0003","0.004","0.006","0.763","0.0163","0.73","0.794","935000","N/A","60000"
"Overall","NJ","0.028","0.0013","0.026","0.031","0.028","0.0013","0.026","0.031","1","0","N/A","N/A","7902000","N/A","366000"
"1 - Living in Poverty","NJ","0.003","0.0004","0.002","0.004","0.018","0.0028","0.013","0.024","0.097","0.0147","0.071","0.13","764000","N/A","123000"
"2 - Income Up to 2X Fed Pov Thresh","NJ","0.004","0.0004","0.003","0.005","0.019","0.0022","0.015","0.024","0.134","0.0126","0.111","0.161","1060000","N/A","121000"
"3 - Income More Than 2X Fed Pov Thresh","NJ","0.021","0.0011","0.02","0.024","0.033","0.0016","0.03","0.036","0.769","0.0208","0.726","0.807","6078000","N/A","299000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1794000","N/A","109000"
"1 - Living in Poverty","NM","0.001","0.0001","0.001","0.002","0.009","0.0009","0.008","0.011","0.226","0.0181","0.192","0.263","405000","N/A","40000"
"2 - Income Up to 2X Fed Pov Thresh","NM","0.001","0.0001","0.001","0.002","0.007","0.0006","0.006","0.009","0.228","0.0139","0.202","0.257","410000","N/A","31000"
"3 - Income More Than 2X Fed Pov Thresh","NM","0.003","0.0003","0.003","0.004","0.005","0.0004","0.005","0.006","0.546","0.0232","0.5","0.591","979000","N/A","78000"
"Overall","NV","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2709000","N/A","176000"
"1 - Living in Poverty","NV","0.002","0.0002","0.001","0.002","0.01","0.0012","0.008","0.013","0.164","0.0151","0.136","0.196","444000","N/A","52000"
"2 - Income Up to 2X Fed Pov Thresh","NV","0.002","0.0002","0.002","0.002","0.01","0.001","0.009","0.013","0.212","0.0183","0.178","0.25","574000","N/A","54000"
"3 - Income More Than 2X Fed Pov Thresh","NV","0.006","0.0005","0.005","0.007","0.009","0.0007","0.008","0.011","0.624","0.023","0.578","0.668","1692000","N/A","134000"
"Overall","NY","0.06","0.0027","0.055","0.065","0.06","0.0027","0.055","0.065","1","0","N/A","N/A","16838000","N/A","783000"
"1 - Living in Poverty","NY","0.011","0.0008","0.009","0.012","0.07","0.0051","0.06","0.08","0.18","0.0119","0.157","0.204","3025000","N/A","232000"
"2 - Income Up to 2X Fed Pov Thresh","NY","0.01","0.0007","0.009","0.012","0.054","0.0037","0.047","0.061","0.175","0.0091","0.158","0.194","2951000","N/A","211000"
"3 - Income More Than 2X Fed Pov Thresh","NY","0.038","0.002","0.035","0.043","0.059","0.0031","0.053","0.065","0.645","0.0159","0.613","0.676","10863000","N/A","585000"
"Overall","OH","0.035","0.0016","0.032","0.038","0.035","0.0016","0.032","0.038","1","0","N/A","N/A","9952000","N/A","445000"
"1 - Living in Poverty","OH","0.006","0.0006","0.005","0.007","0.037","0.0041","0.03","0.046","0.164","0.0155","0.136","0.197","1630000","N/A","179000"
"2 - Income Up to 2X Fed Pov Thresh","OH","0.007","0.0005","0.006","0.008","0.036","0.0025","0.031","0.041","0.199","0.0114","0.177","0.222","1978000","N/A","141000"
"3 - Income More Than 2X Fed Pov Thresh","OH","0.022","0.0012","0.02","0.025","0.034","0.0018","0.031","0.038","0.637","0.0192","0.599","0.674","6343000","N/A","330000"
"Overall","OK","0.012","0.0008","0.01","0.013","0.012","0.0008","0.01","0.013","1","0","N/A","N/A","3334000","N/A","220000"
"1 - Living in Poverty","OK","0.003","0.0003","0.002","0.003","0.017","0.0019","0.013","0.021","0.216","0.0171","0.184","0.252","721000","N/A","82000"
"2 - Income Up to 2X Fed Pov Thresh","OK","0.003","0.0003","0.002","0.003","0.013","0.0014","0.01","0.016","0.212","0.0178","0.18","0.25","708000","N/A","77000"
"3 - Income More Than 2X Fed Pov Thresh","OK","0.007","0.0005","0.006","0.008","0.01","0.0007","0.009","0.012","0.571","0.0237","0.524","0.617","1905000","N/A","135000"
"Overall","OR","0.013","0.0006","0.012","0.014","0.013","0.0006","0.012","0.014","1","0","N/A","N/A","3668000","N/A","178000"
"1 - Living in Poverty","OR","0.001","0.0002","0.001","0.002","0.01","0.0016","0.007","0.013","0.114","0.0191","0.082","0.158","420000","N/A","68000"
"2 - Income Up to 2X Fed Pov Thresh","OR","0.003","0.0003","0.002","0.003","0.014","0.0016","0.011","0.018","0.214","0.0199","0.177","0.256","784000","N/A","90000"
"3 - Income More Than 2X Fed Pov Thresh","OR","0.009","0.0005","0.008","0.01","0.013","0.0008","0.012","0.015","0.672","0.0247","0.621","0.718","2464000","N/A","151000"
"Overall","PA","0.039","0.0018","0.036","0.043","0.039","0.0018","0.036","0.043","1","0","N/A","N/A","11105000","N/A","505000"
"1 - Living in Poverty","PA","0.005","0.0005","0.004","0.006","0.031","0.0032","0.026","0.039","0.123","0.0118","0.102","0.148","1369000","N/A","145000"
"2 - Income Up to 2X Fed Pov Thresh","PA","0.007","0.0005","0.006","0.008","0.037","0.0026","0.032","0.042","0.182","0.0096","0.164","0.202","2020000","N/A","142000"
"3 - Income More Than 2X Fed Pov Thresh","PA","0.027","0.0014","0.025","0.03","0.042","0.0021","0.038","0.046","0.695","0.0156","0.663","0.725","7716000","N/A","390000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","949000","N/A","58000"
"1 - Living in Poverty","RI","0","0.0001","0","0","0.002","0.0004","0.001","0.003","0.094","0.0154","0.068","0.129","89000","N/A","16000"
"2 - Income Up to 2X Fed Pov Thresh","RI","0.001","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.158","0.0178","0.126","0.196","150000","N/A","19000"
"3 - Income More Than 2X Fed Pov Thresh","RI","0.003","0.0002","0.002","0.003","0.004","0.0003","0.003","0.004","0.748","0.0243","0.697","0.793","710000","N/A","47000"
"Overall","SC","0.016","0.0012","0.014","0.019","0.016","0.0012","0.014","0.019","1","0","N/A","N/A","4514000","N/A","343000"
"1 - Living in Poverty","SC","0.002","0.0002","0.002","0.003","0.015","0.0015","0.012","0.018","0.14","0.0155","0.112","0.174","633000","N/A","65000"
"2 - Income Up to 2X Fed Pov Thresh","SC","0.004","0.0004","0.003","0.005","0.019","0.0023","0.015","0.024","0.233","0.0211","0.194","0.277","1052000","N/A","127000"
"3 - Income More Than 2X Fed Pov Thresh","SC","0.01","0.0009","0.008","0.012","0.015","0.0015","0.013","0.018","0.627","0.0269","0.573","0.678","2829000","N/A","270000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","751000","N/A","47000"
"1 - Living in Poverty","SD","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.163","0.0246","0.12","0.217","123000","N/A","20000"
"2 - Income Up to 2X Fed Pov Thresh","SD","0","0.0001","0","0.001","0.003","0.0003","0.002","0.003","0.188","0.0211","0.15","0.233","141000","N/A","16000"
"3 - Income More Than 2X Fed Pov Thresh","SD","0.002","0.0002","0.001","0.002","0.003","0.0002","0.002","0.003","0.649","0.0359","0.576","0.716","488000","N/A","43000"
