"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"4 - College graduate","GA","0.009","0.0008","0.008","0.011","0.031","0.0027","0.026","0.037","0.279","0.0162","0.249","0.312","2533000","N/A","222000"
"5 - 12 to 17 year olds","GA","0.003","0.0002","0.003","0.004","0.035","0.0027","0.03","0.041","0.101","0.0061","0.089","0.113","911000","N/A","70000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1186000","N/A","91000"
"1 - Less high school","HI","0","0.0001","0","0","0.003","0.0006","0.002","0.005","0.069","0.0122","0.049","0.097","82000","N/A","16000"
"2 - High school grad","HI","0.001","0.0001","0.001","0.001","0.004","0.0004","0.004","0.005","0.256","0.0162","0.225","0.289","303000","N/A","28000"
"3 - Some coll/Assoc Dg","HI","0.001","0.0001","0.001","0.002","0.004","0.0005","0.004","0.005","0.293","0.0197","0.256","0.334","348000","N/A","35000"
"4 - College graduate","HI","0.001","0.0001","0.001","0.002","0.004","0.0005","0.003","0.005","0.3","0.0229","0.257","0.347","356000","N/A","41000"
"5 - 12 to 17 year olds","HI","0","0","0","0","0.004","0.0005","0.003","0.005","0.082","0.0081","0.067","0.099","97000","N/A","13000"
"Overall","IA","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2687000","N/A","146000"
"1 - Less high school","IA","0.001","0.0001","0","0.001","0.006","0.0012","0.004","0.009","0.062","0.0116","0.043","0.09","168000","N/A","32000"
"2 - High school grad","IA","0.003","0.0002","0.002","0.003","0.011","0.0009","0.009","0.013","0.275","0.0194","0.239","0.314","739000","N/A","61000"
"3 - Some coll/Assoc Dg","IA","0.003","0.0002","0.003","0.004","0.011","0.0009","0.009","0.013","0.316","0.0179","0.282","0.352","848000","N/A","69000"
"4 - College graduate","IA","0.002","0.0002","0.002","0.003","0.008","0.0008","0.007","0.01","0.251","0.019","0.215","0.29","674000","N/A","69000"
"5 - 12 to 17 year olds","IA","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.096","0.0088","0.08","0.115","259000","N/A","24000"
"Overall","ID","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","1","0","N/A","N/A","1602000","N/A","153000"
"1 - Less high school","ID","0","0.0001","0","0.001","0.004","0.0008","0.003","0.006","0.072","0.011","0.054","0.097","116000","N/A","21000"
"2 - High school grad","ID","0.001","0.0002","0.001","0.002","0.006","0.0007","0.004","0.007","0.242","0.022","0.202","0.288","388000","N/A","49000"
"3 - Some coll/Assoc Dg","ID","0.002","0.0002","0.001","0.002","0.007","0.0008","0.005","0.009","0.333","0.0194","0.296","0.372","533000","N/A","65000"
"4 - College graduate","ID","0.001","0.0002","0.001","0.002","0.005","0.0006","0.004","0.006","0.246","0.0246","0.201","0.298","395000","N/A","53000"
"5 - 12 to 17 year olds","ID","0.001","0.0001","0","0.001","0.007","0.0008","0.005","0.008","0.106","0.0092","0.089","0.126","170000","N/A","21000"
"Overall","IL","0.038","0.002","0.034","0.042","0.038","0.002","0.034","0.042","1","0","N/A","N/A","10700000","N/A","591000"
"1 - Less high school","IL","0.003","0.0004","0.002","0.004","0.034","0.0043","0.027","0.044","0.084","0.0095","0.067","0.105","898000","N/A","113000"
"2 - High school grad","IL","0.009","0.0008","0.007","0.011","0.036","0.0032","0.03","0.043","0.232","0.0148","0.204","0.262","2484000","N/A","227000"
"3 - Some coll/Assoc Dg","IL","0.01","0.0007","0.009","0.012","0.038","0.0026","0.033","0.043","0.275","0.0125","0.251","0.3","2938000","N/A","210000"
"4 - College graduate","IL","0.012","0.0008","0.011","0.014","0.041","0.0027","0.036","0.047","0.316","0.0157","0.286","0.348","3382000","N/A","229000"
"5 - 12 to 17 year olds","IL","0.004","0.0003","0.003","0.004","0.039","0.0033","0.033","0.046","0.093","0.0062","0.082","0.106","998000","N/A","87000"
"Overall","IN","0.02","0.0015","0.018","0.023","0.02","0.0015","0.018","0.023","1","0","N/A","N/A","5711000","N/A","414000"
"1 - Less high school","IN","0.002","0.0003","0.001","0.002","0.019","0.003","0.014","0.026","0.089","0.0109","0.07","0.113","507000","N/A","78000"
"2 - High school grad","IN","0.006","0.0006","0.005","0.008","0.025","0.0025","0.02","0.03","0.302","0.0172","0.27","0.337","1726000","N/A","178000"
"3 - Some coll/Assoc Dg","IN","0.006","0.0005","0.005","0.007","0.02","0.0017","0.017","0.024","0.273","0.0137","0.247","0.301","1559000","N/A","136000"
"4 - College graduate","IN","0.005","0.0004","0.004","0.006","0.017","0.0014","0.014","0.02","0.238","0.0179","0.205","0.275","1361000","N/A","117000"
"5 - 12 to 17 year olds","IN","0.002","0.0002","0.002","0.002","0.022","0.0022","0.018","0.026","0.098","0.0078","0.083","0.114","558000","N/A","58000"
"Overall","KS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2428000","N/A","144000"
"1 - Less high school","KS","0.001","0.0001","0","0.001","0.007","0.0016","0.004","0.011","0.073","0.017","0.046","0.114","178000","N/A","42000"
"2 - High school grad","KS","0.002","0.0002","0.002","0.003","0.008","0.0009","0.007","0.01","0.239","0.0176","0.206","0.275","579000","N/A","60000"
"3 - Some coll/Assoc Dg","KS","0.003","0.0003","0.002","0.003","0.009","0.0009","0.008","0.011","0.3","0.0199","0.263","0.341","729000","N/A","71000"
"4 - College graduate","KS","0.002","0.0002","0.002","0.003","0.008","0.0006","0.007","0.01","0.286","0.0195","0.249","0.326","694000","N/A","50000"
"5 - 12 to 17 year olds","KS","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.102","0.0097","0.084","0.122","247000","N/A","28000"
"Overall","KY","0.013","0.0009","0.012","0.015","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","3775000","N/A","253000"
"1 - Less high school","KY","0.001","0.0002","0.001","0.002","0.015","0.0025","0.011","0.021","0.107","0.0139","0.083","0.137","404000","N/A","66000"
"2 - High school grad","KY","0.004","0.0003","0.003","0.005","0.016","0.0014","0.014","0.019","0.302","0.0181","0.267","0.338","1138000","N/A","98000"
"3 - Some coll/Assoc Dg","KY","0.004","0.0003","0.003","0.004","0.013","0.0013","0.011","0.016","0.272","0.0171","0.239","0.306","1025000","N/A","98000"
"4 - College graduate","KY","0.003","0.0003","0.003","0.004","0.01","0.0009","0.009","0.012","0.226","0.0158","0.196","0.259","853000","N/A","70000"
"5 - 12 to 17 year olds","KY","0.001","0.0001","0.001","0.002","0.014","0.0014","0.011","0.017","0.094","0.0067","0.081","0.108","354000","N/A","36000"
"Overall","LA","0.014","0.0012","0.011","0.016","0.014","0.0012","0.011","0.016","1","0","N/A","N/A","3815000","N/A","333000"
"1 - Less high school","LA","0.002","0.0003","0.001","0.002","0.017","0.0029","0.012","0.024","0.119","0.0139","0.094","0.149","454000","N/A","77000"
"2 - High school grad","LA","0.004","0.0005","0.003","0.005","0.017","0.0019","0.013","0.021","0.304","0.0209","0.265","0.347","1161000","N/A","136000"
"3 - Some coll/Assoc Dg","LA","0.004","0.0003","0.003","0.004","0.013","0.0012","0.011","0.016","0.261","0.0151","0.232","0.292","995000","N/A","97000"
"4 - College graduate","LA","0.003","0.0004","0.002","0.004","0.01","0.0013","0.008","0.013","0.218","0.0236","0.175","0.268","833000","N/A","105000"
"5 - 12 to 17 year olds","LA","0.001","0.0001","0.001","0.002","0.014","0.0015","0.012","0.018","0.097","0.0067","0.085","0.111","372000","N/A","38000"
"Overall","MA","0.022","0.0014","0.019","0.025","0.022","0.0014","0.019","0.025","1","0","N/A","N/A","6059000","N/A","401000"
"1 - Less high school","MA","0.002","0.0003","0.001","0.002","0.017","0.003","0.012","0.024","0.075","0.0123","0.054","0.103","453000","N/A","81000"
"2 - High school grad","MA","0.005","0.0006","0.004","0.006","0.019","0.0024","0.015","0.025","0.221","0.0231","0.179","0.27","1339000","N/A","168000"
"3 - Some coll/Assoc Dg","MA","0.005","0.0005","0.004","0.006","0.018","0.0019","0.015","0.022","0.23","0.0173","0.198","0.266","1394000","N/A","145000"
"4 - College graduate","MA","0.008","0.0008","0.007","0.01","0.029","0.0027","0.024","0.035","0.394","0.0274","0.342","0.449","2387000","N/A","220000"
"5 - 12 to 17 year olds","MA","0.002","0.0002","0.001","0.002","0.019","0.0026","0.014","0.024","0.08","0.0096","0.063","0.101","484000","N/A","67000"
"Overall","MD","0.018","0.001","0.017","0.021","0.018","0.001","0.017","0.021","1","0","N/A","N/A","5196000","N/A","293000"
"1 - Less high school","MD","0.001","0.0002","0.001","0.002","0.015","0.0022","0.011","0.02","0.076","0.0102","0.058","0.099","394000","N/A","58000"
"2 - High school grad","MD","0.004","0.0004","0.003","0.005","0.017","0.0016","0.014","0.02","0.227","0.0149","0.199","0.257","1178000","N/A","112000"
"3 - Some coll/Assoc Dg","MD","0.005","0.0003","0.004","0.005","0.016","0.0013","0.014","0.019","0.244","0.0148","0.216","0.274","1269000","N/A","98000"
"4 - College graduate","MD","0.007","0.0005","0.006","0.008","0.023","0.0018","0.02","0.027","0.362","0.0215","0.321","0.405","1879000","N/A","149000"
"5 - 12 to 17 year olds","MD","0.002","0.0002","0.001","0.002","0.018","0.0016","0.015","0.022","0.091","0.0065","0.08","0.105","475000","N/A","43000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1207000","N/A","111000"
"1 - Less high school","ME","0","0.0001","0","0","0.003","0.0006","0.002","0.004","0.061","0.0114","0.042","0.088","74000","N/A","16000"
"2 - High school grad","ME","0.001","0.0002","0.001","0.002","0.005","0.0009","0.004","0.007","0.286","0.0314","0.229","0.352","346000","N/A","61000"
"3 - Some coll/Assoc Dg","ME","0.001","0.0001","0.001","0.001","0.004","0.0004","0.004","0.005","0.275","0.0224","0.234","0.322","332000","N/A","29000"
"4 - College graduate","ME","0.001","0.0001","0.001","0.002","0.004","0.0005","0.004","0.006","0.301","0.0249","0.254","0.352","363000","N/A","41000"
"5 - 12 to 17 year olds","ME","0","0","0","0","0.004","0.0003","0.003","0.004","0.076","0.0069","0.064","0.091","92000","N/A","8000"
"Overall","MI","0.031","0.0014","0.028","0.033","0.031","0.0014","0.028","0.033","1","0","N/A","N/A","8578000","N/A","398000"
"1 - Less high school","MI","0.002","0.0003","0.002","0.003","0.025","0.0027","0.021","0.031","0.078","0.0068","0.066","0.093","670000","N/A","71000"
"2 - High school grad","MI","0.008","0.0006","0.007","0.009","0.033","0.0023","0.029","0.038","0.267","0.0109","0.246","0.289","2290000","N/A","159000"
"3 - Some coll/Assoc Dg","MI","0.009","0.0005","0.008","0.01","0.034","0.002","0.03","0.038","0.304","0.0099","0.285","0.324","2608000","N/A","153000"
"4 - College graduate","MI","0.008","0.0004","0.007","0.009","0.027","0.0014","0.025","0.03","0.262","0.0114","0.24","0.285","2248000","N/A","114000"
"5 - 12 to 17 year olds","MI","0.003","0.0002","0.002","0.003","0.029","0.002","0.026","0.034","0.089","0.0048","0.08","0.099","762000","N/A","50000"
"Overall","MN","0.017","0.0012","0.015","0.02","0.017","0.0012","0.015","0.02","1","0","N/A","N/A","4815000","N/A","330000"
"1 - Less high school","MN","0.001","0.0002","0.001","0.001","0.011","0.0021","0.007","0.016","0.058","0.0111","0.04","0.084","280000","N/A","56000"
"2 - High school grad","MN","0.004","0.0005","0.003","0.005","0.015","0.002","0.012","0.02","0.22","0.0217","0.18","0.265","1058000","N/A","137000"
"3 - Some coll/Assoc Dg","MN","0.005","0.0005","0.004","0.006","0.019","0.0019","0.015","0.023","0.303","0.0218","0.262","0.347","1459000","N/A","149000"
"4 - College graduate","MN","0.006","0.0004","0.005","0.006","0.019","0.0015","0.016","0.022","0.323","0.0204","0.285","0.365","1557000","N/A","125000"
"5 - 12 to 17 year olds","MN","0.002","0.0002","0.001","0.002","0.018","0.0026","0.013","0.024","0.096","0.0123","0.074","0.123","460000","N/A","69000"
"Overall","MO","0.018","0.0018","0.015","0.022","0.018","0.0018","0.015","0.022","1","0","N/A","N/A","5193000","N/A","521000"
"1 - Less high school","MO","0.001","0.0003","0.001","0.002","0.016","0.0029","0.011","0.023","0.079","0.0111","0.06","0.104","412000","N/A","77000"
"2 - High school grad","MO","0.005","0.0007","0.004","0.007","0.021","0.0028","0.016","0.027","0.282","0.021","0.242","0.325","1463000","N/A","196000"
"3 - Some coll/Assoc Dg","MO","0.005","0.0007","0.004","0.007","0.019","0.0024","0.015","0.024","0.281","0.0233","0.238","0.329","1459000","N/A","193000"
"4 - College graduate","MO","0.005","0.0005","0.004","0.006","0.017","0.0018","0.014","0.021","0.265","0.0241","0.22","0.315","1376000","N/A","145000"
"5 - 12 to 17 year olds","MO","0.002","0.0003","0.001","0.003","0.019","0.0037","0.013","0.028","0.093","0.0143","0.069","0.125","484000","N/A","97000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2447000","N/A","153000"
"1 - Less high school","MS","0.001","0.0002","0.001","0.001","0.011","0.0017","0.009","0.015","0.123","0.0151","0.096","0.156","301000","N/A","45000"
"2 - High school grad","MS","0.002","0.0002","0.002","0.003","0.01","0.0008","0.008","0.011","0.269","0.0181","0.235","0.306","659000","N/A","56000"
"3 - Some coll/Assoc Dg","MS","0.003","0.0003","0.002","0.003","0.01","0.0009","0.008","0.012","0.312","0.0194","0.275","0.351","764000","N/A","72000"
"4 - College graduate","MS","0.002","0.0002","0.001","0.002","0.006","0.0005","0.005","0.007","0.194","0.0134","0.169","0.221","474000","N/A","42000"
"5 - 12 to 17 year olds","MS","0.001","0.0001","0.001","0.001","0.01","0.0008","0.008","0.011","0.102","0.007","0.089","0.116","249000","N/A","20000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","948000","N/A","91000"
"1 - Less high school","MT","0","0","0","0","0.002","0.0004","0.001","0.003","0.054","0.0094","0.038","0.076","51000","N/A","11000"
"2 - High school grad","MT","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.261","0.0283","0.209","0.32","247000","N/A","37000"
"3 - Some coll/Assoc Dg","MT","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.304","0.0199","0.266","0.344","288000","N/A","32000"
"4 - College graduate","MT","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.293","0.0257","0.246","0.346","278000","N/A","33000"
"5 - 12 to 17 year olds","MT","0","0.0001","0","0","0.003","0.0006","0.002","0.005","0.088","0.012","0.067","0.114","83000","N/A","15000"
"Overall","NC","0.032","0.0017","0.029","0.035","0.032","0.0017","0.029","0.035","1","0","N/A","N/A","8950000","N/A","481000"
"1 - Less high school","NC","0.003","0.0004","0.002","0.004","0.032","0.0044","0.024","0.042","0.094","0.0125","0.072","0.121","840000","N/A","118000"
"2 - High school grad","NC","0.008","0.0007","0.006","0.009","0.031","0.0028","0.026","0.037","0.238","0.0161","0.208","0.271","2128000","N/A","196000"
"3 - Some coll/Assoc Dg","NC","0.009","0.0008","0.008","0.011","0.034","0.0027","0.029","0.039","0.291","0.0184","0.256","0.328","2602000","N/A","215000"
"4 - College graduate","NC","0.009","0.0007","0.008","0.011","0.031","0.0025","0.027","0.037","0.286","0.0185","0.251","0.323","2558000","N/A","211000"
"5 - 12 to 17 year olds","NC","0.003","0.0003","0.002","0.003","0.032","0.0028","0.027","0.038","0.092","0.0072","0.079","0.107","821000","N/A","74000"
"Overall","ND","0.002","0.0003","0.002","0.003","0.002","0.0003","0.002","0.003","1","0","N/A","N/A","637000","N/A","74000"
"1 - Less high school","ND","0","0","0","0","0.001","0.0004","0.001","0.002","0.056","0.0134","0.035","0.089","36000","N/A","10000"
"2 - High school grad","ND","0.001","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.238","0.0252","0.192","0.29","151000","N/A","24000"
"3 - Some coll/Assoc Dg","ND","0.001","0.0001","0.001","0.001","0.003","0.0004","0.002","0.004","0.353","0.025","0.306","0.404","225000","N/A","32000"
"4 - College graduate","ND","0.001","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.258","0.022","0.218","0.304","164000","N/A","21000"
"5 - 12 to 17 year olds","ND","0","0","0","0","0.002","0.0004","0.002","0.003","0.094","0.0136","0.071","0.125","60000","N/A","12000"
"Overall","NE","0.006","0.0003","0.005","0.007","0.006","0.0003","0.005","0.007","1","0","N/A","N/A","1627000","N/A","96000"
"1 - Less high school","NE","0","0.0001","0","0.001","0.004","0.0007","0.003","0.006","0.069","0.0109","0.05","0.094","112000","N/A","19000"
"2 - High school grad","NE","0.001","0.0001","0.001","0.002","0.005","0.0006","0.004","0.007","0.229","0.0202","0.192","0.271","373000","N/A","39000"
"3 - Some coll/Assoc Dg","NE","0.002","0.0002","0.002","0.002","0.007","0.0006","0.006","0.008","0.313","0.0189","0.277","0.351","509000","N/A","44000"
"4 - College graduate","NE","0.002","0.0002","0.001","0.002","0.006","0.0005","0.005","0.007","0.287","0.02","0.249","0.327","466000","N/A","43000"
