"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Income Up to 2X Fed Pov Thresh","AZ","0.005","0.0006","0.005","0.007","0.027","0.0027","0.023","0.033","0.248","0.0198","0.211","0.289","1540000","N/A","156000"
"3 - Income More Than 2X Fed Pov Thresh","AZ","0.013","0.001","0.011","0.015","0.02","0.0016","0.017","0.023","0.579","0.0283","0.523","0.634","3593000","N/A","293000"
"Overall","CA","0.118","0.0043","0.11","0.127","0.118","0.0043","0.11","0.127","1","0","N/A","N/A","33113000","N/A","1333000"
"1 - Living in Poverty","CA","0.018","0.0013","0.016","0.021","0.12","0.008","0.105","0.136","0.153","0.009","0.136","0.172","5077000","N/A","368000"
"2 - Income Up to 2X Fed Pov Thresh","CA","0.025","0.0017","0.022","0.028","0.125","0.0078","0.11","0.141","0.211","0.0122","0.188","0.236","6994000","N/A","483000"
"3 - Income More Than 2X Fed Pov Thresh","CA","0.075","0.0034","0.069","0.082","0.115","0.005","0.106","0.126","0.635","0.0167","0.602","0.668","21042000","N/A","1018000"
"Overall","CO","0.018","0.0014","0.015","0.021","0.018","0.0014","0.015","0.021","1","0","N/A","N/A","4950000","N/A","388000"
"1 - Living in Poverty","CO","0.002","0.0003","0.001","0.003","0.013","0.0022","0.009","0.018","0.111","0.0155","0.084","0.145","547000","N/A","95000"
"2 - Income Up to 2X Fed Pov Thresh","CO","0.003","0.0004","0.002","0.004","0.015","0.0018","0.012","0.019","0.171","0.0175","0.139","0.208","844000","N/A","101000"
"3 - Income More Than 2X Fed Pov Thresh","CO","0.013","0.0011","0.011","0.015","0.02","0.0016","0.017","0.023","0.719","0.0239","0.67","0.763","3558000","N/A","300000"
"Overall","CT","0.011","0.0008","0.01","0.013","0.011","0.0008","0.01","0.013","1","0","N/A","N/A","3116000","N/A","235000"
"1 - Living in Poverty","CT","0.001","0.0002","0.001","0.001","0.007","0.0012","0.005","0.01","0.093","0.0153","0.067","0.128","290000","N/A","49000"
"2 - Income Up to 2X Fed Pov Thresh","CT","0.002","0.0003","0.001","0.002","0.008","0.0014","0.006","0.012","0.15","0.0212","0.113","0.196","467000","N/A","81000"
"3 - Income More Than 2X Fed Pov Thresh","CT","0.008","0.0007","0.007","0.01","0.013","0.001","0.011","0.015","0.757","0.0253","0.704","0.803","2360000","N/A","189000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","571000","N/A","35000"
"1 - Living in Poverty","DC","0","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.232","0.0231","0.189","0.28","132000","N/A","15000"
"2 - Income Up to 2X Fed Pov Thresh","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.123","0.016","0.094","0.158","70000","N/A","10000"
"3 - Income More Than 2X Fed Pov Thresh","DC","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.646","0.0266","0.592","0.696","369000","N/A","29000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","863000","N/A","53000"
"1 - Living in Poverty","DE","0","0","0","0","0.003","0.0003","0.002","0.003","0.126","0.0144","0.1","0.157","108000","N/A","13000"
"2 - Income Up to 2X Fed Pov Thresh","DE","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.003","0.168","0.0152","0.141","0.2","145000","N/A","17000"
"3 - Income More Than 2X Fed Pov Thresh","DE","0.002","0.0001","0.002","0.002","0.003","0.0002","0.003","0.004","0.706","0.02","0.665","0.744","609000","N/A","42000"
"Overall","FL","0.067","0.0028","0.062","0.073","0.067","0.0028","0.062","0.073","1","0","N/A","N/A","18898000","N/A","821000"
"1 - Living in Poverty","FL","0.01","0.001","0.008","0.012","0.068","0.0065","0.056","0.081","0.152","0.0131","0.128","0.179","2868000","N/A","292000"
"2 - Income Up to 2X Fed Pov Thresh","FL","0.015","0.001","0.013","0.017","0.076","0.005","0.067","0.087","0.227","0.0115","0.205","0.25","4288000","N/A","296000"
"3 - Income More Than 2X Fed Pov Thresh","FL","0.042","0.002","0.038","0.046","0.064","0.0031","0.059","0.071","0.621","0.0188","0.584","0.657","11742000","N/A","579000"
"Overall","GA","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9064000","N/A","548000"
"1 - Living in Poverty","GA","0.006","0.0006","0.005","0.007","0.041","0.0038","0.034","0.049","0.191","0.014","0.165","0.22","1730000","N/A","162000"
"2 - Income Up to 2X Fed Pov Thresh","GA","0.007","0.0006","0.006","0.008","0.034","0.0029","0.028","0.04","0.208","0.0135","0.183","0.236","1887000","N/A","167000"
"3 - Income More Than 2X Fed Pov Thresh","GA","0.019","0.0013","0.017","0.022","0.03","0.002","0.026","0.034","0.601","0.0201","0.561","0.64","5447000","N/A","380000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1186000","N/A","91000"
"1 - Living in Poverty","HI","0.001","0.0001","0","0.001","0.004","0.0006","0.003","0.005","0.128","0.0184","0.096","0.168","151000","N/A","26000"
"2 - Income Up to 2X Fed Pov Thresh","HI","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.201","0.0198","0.165","0.243","238000","N/A","29000"
"3 - Income More Than 2X Fed Pov Thresh","HI","0.003","0.0002","0.002","0.003","0.004","0.0004","0.004","0.005","0.671","0.0277","0.615","0.723","796000","N/A","69000"
"Overall","IA","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2687000","N/A","146000"
"1 - Living in Poverty","IA","0.001","0.0001","0.001","0.001","0.006","0.0008","0.005","0.008","0.101","0.0126","0.079","0.129","273000","N/A","32000"
"2 - Income Up to 2X Fed Pov Thresh","IA","0.002","0.0002","0.002","0.002","0.01","0.001","0.008","0.012","0.204","0.0183","0.171","0.242","548000","N/A","53000"
"3 - Income More Than 2X Fed Pov Thresh","IA","0.007","0.0005","0.006","0.008","0.01","0.0007","0.009","0.012","0.694","0.0219","0.65","0.736","1866000","N/A","134000"
"Overall","ID","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","1","0","N/A","N/A","1602000","N/A","153000"
"1 - Living in Poverty","ID","0.001","0.0001","0","0.001","0.004","0.0008","0.003","0.006","0.116","0.0171","0.087","0.154","187000","N/A","33000"
"2 - Income Up to 2X Fed Pov Thresh","ID","0.001","0.0002","0.001","0.002","0.007","0.0008","0.005","0.008","0.231","0.0199","0.194","0.272","370000","N/A","45000"
"3 - Income More Than 2X Fed Pov Thresh","ID","0.004","0.0004","0.003","0.005","0.006","0.0006","0.005","0.007","0.653","0.027","0.598","0.704","1046000","N/A","112000"
"Overall","IL","0.038","0.002","0.034","0.042","0.038","0.002","0.034","0.042","1","0","N/A","N/A","10700000","N/A","591000"
"1 - Living in Poverty","IL","0.004","0.0005","0.003","0.006","0.029","0.0035","0.023","0.037","0.114","0.0131","0.091","0.143","1224000","N/A","152000"
"2 - Income Up to 2X Fed Pov Thresh","IL","0.007","0.0006","0.006","0.008","0.036","0.0028","0.031","0.042","0.191","0.0119","0.169","0.215","2042000","N/A","160000"
"3 - Income More Than 2X Fed Pov Thresh","IL","0.026","0.0017","0.023","0.03","0.041","0.0025","0.036","0.046","0.695","0.0185","0.657","0.73","7433000","N/A","476000"
"Overall","IN","0.02","0.0015","0.018","0.023","0.02","0.0015","0.018","0.023","1","0","N/A","N/A","5711000","N/A","414000"
"1 - Living in Poverty","IN","0.003","0.0004","0.002","0.004","0.019","0.0028","0.014","0.025","0.141","0.0149","0.114","0.172","803000","N/A","118000"
"2 - Income Up to 2X Fed Pov Thresh","IN","0.004","0.0005","0.003","0.005","0.021","0.0023","0.017","0.026","0.203","0.0148","0.176","0.234","1162000","N/A","132000"
"3 - Income More Than 2X Fed Pov Thresh","IN","0.013","0.0009","0.012","0.015","0.021","0.0014","0.018","0.024","0.656","0.0238","0.608","0.701","3746000","N/A","258000"
"Overall","KS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2426000","N/A","145000"
"1 - Living in Poverty","KS","0.001","0.0002","0.001","0.002","0.008","0.0011","0.007","0.011","0.148","0.0165","0.119","0.183","359000","N/A","48000"
"2 - Income Up to 2X Fed Pov Thresh","KS","0.002","0.0002","0.002","0.002","0.009","0.0009","0.008","0.011","0.213","0.0151","0.184","0.244","516000","N/A","48000"
"3 - Income More Than 2X Fed Pov Thresh","KS","0.006","0.0004","0.005","0.006","0.009","0.0006","0.007","0.01","0.639","0.0213","0.596","0.68","1551000","N/A","102000"
"Overall","KY","0.013","0.0009","0.012","0.015","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","3775000","N/A","253000"
"1 - Living in Poverty","KY","0.003","0.0003","0.002","0.003","0.018","0.0022","0.014","0.022","0.198","0.0209","0.16","0.242","747000","N/A","93000"
"2 - Income Up to 2X Fed Pov Thresh","KY","0.003","0.0003","0.002","0.004","0.015","0.0014","0.012","0.018","0.216","0.0172","0.184","0.252","815000","N/A","80000"
"3 - Income More Than 2X Fed Pov Thresh","KY","0.008","0.0007","0.007","0.009","0.012","0.001","0.01","0.014","0.586","0.0295","0.527","0.643","2213000","N/A","192000"
"Overall","LA","0.014","0.0012","0.011","0.016","0.014","0.0012","0.011","0.016","1","0","N/A","N/A","3815000","N/A","333000"
"1 - Living in Poverty","LA","0.004","0.0005","0.003","0.005","0.023","0.0036","0.017","0.031","0.258","0.0276","0.208","0.316","985000","N/A","155000"
"2 - Income Up to 2X Fed Pov Thresh","LA","0.003","0.0004","0.003","0.004","0.016","0.0021","0.013","0.021","0.241","0.0212","0.202","0.285","920000","N/A","119000"
"3 - Income More Than 2X Fed Pov Thresh","LA","0.007","0.0006","0.006","0.008","0.01","0.0009","0.009","0.012","0.501","0.0305","0.441","0.56","1910000","N/A","168000"
"Overall","MA","0.022","0.0014","0.019","0.025","0.022","0.0014","0.019","0.025","1","0","N/A","N/A","6059000","N/A","401000"
"1 - Living in Poverty","MA","0.002","0.0003","0.002","0.003","0.014","0.0023","0.011","0.02","0.102","0.0147","0.076","0.134","616000","N/A","96000"
"2 - Income Up to 2X Fed Pov Thresh","MA","0.003","0.0005","0.002","0.004","0.015","0.0025","0.011","0.021","0.142","0.02","0.107","0.186","861000","N/A","139000"
"3 - Income More Than 2X Fed Pov Thresh","MA","0.016","0.0012","0.014","0.019","0.025","0.0019","0.022","0.029","0.756","0.0298","0.693","0.81","4582000","N/A","345000"
"Overall","MD","0.018","0.001","0.017","0.021","0.018","0.001","0.017","0.021","1","0","N/A","N/A","5196000","N/A","293000"
"1 - Living in Poverty","MD","0.002","0.0003","0.002","0.003","0.015","0.0022","0.012","0.02","0.126","0.0154","0.098","0.159","653000","N/A","94000"
"2 - Income Up to 2X Fed Pov Thresh","MD","0.003","0.0003","0.002","0.004","0.014","0.0016","0.011","0.018","0.155","0.0141","0.129","0.184","803000","N/A","92000"
"3 - Income More Than 2X Fed Pov Thresh","MD","0.013","0.0008","0.012","0.015","0.021","0.0012","0.018","0.023","0.72","0.0218","0.675","0.76","3740000","N/A","216000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1207000","N/A","111000"
"1 - Living in Poverty","ME","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.099","0.0135","0.076","0.129","120000","N/A","20000"
"2 - Income Up to 2X Fed Pov Thresh","ME","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.181","0.0132","0.157","0.209","219000","N/A","26000"
"3 - Income More Than 2X Fed Pov Thresh","ME","0.003","0.0003","0.003","0.004","0.005","0.0005","0.004","0.006","0.719","0.0228","0.672","0.762","868000","N/A","83000"
"Overall","MI","0.031","0.0014","0.028","0.033","0.031","0.0014","0.028","0.033","1","0","N/A","N/A","8578000","N/A","398000"
"1 - Living in Poverty","MI","0.005","0.0004","0.004","0.005","0.031","0.0025","0.027","0.036","0.154","0.0107","0.134","0.176","1319000","N/A","104000"
"2 - Income Up to 2X Fed Pov Thresh","MI","0.006","0.0005","0.005","0.007","0.031","0.0026","0.026","0.036","0.202","0.0109","0.181","0.224","1730000","N/A","146000"
"3 - Income More Than 2X Fed Pov Thresh","MI","0.02","0.0009","0.018","0.022","0.03","0.0014","0.028","0.033","0.645","0.0146","0.615","0.673","5529000","N/A","261000"
"Overall","MN","0.017","0.0012","0.015","0.02","0.017","0.0012","0.015","0.02","1","0","N/A","N/A","4815000","N/A","330000"
"1 - Living in Poverty","MN","0.002","0.0003","0.001","0.003","0.013","0.0019","0.009","0.017","0.11","0.0141","0.085","0.141","531000","N/A","80000"
"2 - Income Up to 2X Fed Pov Thresh","MN","0.002","0.0004","0.002","0.003","0.011","0.0021","0.008","0.016","0.129","0.0216","0.092","0.177","620000","N/A","117000"
"3 - Income More Than 2X Fed Pov Thresh","MN","0.013","0.0009","0.011","0.015","0.02","0.0014","0.017","0.023","0.761","0.0244","0.71","0.806","3664000","N/A","259000"
"Overall","MO","0.018","0.0018","0.015","0.022","0.018","0.0018","0.015","0.022","1","0","N/A","N/A","5193000","N/A","521000"
"1 - Living in Poverty","MO","0.003","0.0004","0.002","0.004","0.019","0.0029","0.014","0.025","0.154","0.0204","0.118","0.198","800000","N/A","123000"
"2 - Income Up to 2X Fed Pov Thresh","MO","0.004","0.0005","0.003","0.005","0.019","0.0024","0.015","0.024","0.205","0.0198","0.168","0.246","1062000","N/A","135000"
"3 - Income More Than 2X Fed Pov Thresh","MO","0.012","0.0014","0.009","0.015","0.018","0.0022","0.014","0.023","0.641","0.0316","0.577","0.701","3331000","N/A","401000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2446000","N/A","153000"
"1 - Living in Poverty","MS","0.002","0.0002","0.002","0.002","0.013","0.0014","0.01","0.016","0.223","0.019","0.188","0.263","546000","N/A","58000"
"2 - Income Up to 2X Fed Pov Thresh","MS","0.002","0.0002","0.002","0.003","0.011","0.001","0.009","0.013","0.245","0.0163","0.215","0.279","600000","N/A","57000"
"3 - Income More Than 2X Fed Pov Thresh","MS","0.005","0.0003","0.004","0.005","0.007","0.0005","0.006","0.008","0.531","0.0228","0.487","0.576","1300000","N/A","94000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","948000","N/A","91000"
"1 - Living in Poverty","MT","0","0.0001","0","0.001","0.003","0.0006","0.002","0.005","0.142","0.0223","0.104","0.192","135000","N/A","27000"
"2 - Income Up to 2X Fed Pov Thresh","MT","0.001","0.0001","0","0.001","0.004","0.0006","0.002","0.005","0.207","0.0255","0.162","0.262","196000","N/A","34000"
"3 - Income More Than 2X Fed Pov Thresh","MT","0.002","0.0002","0.002","0.003","0.003","0.0003","0.003","0.004","0.651","0.0346","0.58","0.715","617000","N/A","58000"
"Overall","NC","0.032","0.0017","0.029","0.035","0.032","0.0017","0.029","0.035","1","0","N/A","N/A","8950000","N/A","481000"
"1 - Living in Poverty","NC","0.005","0.0004","0.004","0.006","0.033","0.0025","0.028","0.038","0.155","0.0123","0.132","0.181","1388000","N/A","106000"
"2 - Income Up to 2X Fed Pov Thresh","NC","0.007","0.0006","0.006","0.008","0.034","0.0032","0.028","0.04","0.211","0.0175","0.179","0.247","1887000","N/A","182000"
"3 - Income More Than 2X Fed Pov Thresh","NC","0.02","0.0015","0.018","0.023","0.031","0.0022","0.027","0.036","0.634","0.0239","0.586","0.68","5676000","N/A","413000"
"Overall","ND","0.002","0.0003","0.002","0.003","0.002","0.0003","0.002","0.003","1","0","N/A","N/A","635000","N/A","74000"
"1 - Living in Poverty","ND","0","0.0001","0","0","0.002","0.0005","0.001","0.003","0.121","0.0274","0.077","0.186","77000","N/A","21000"
"2 - Income Up to 2X Fed Pov Thresh","ND","0","0.0001","0","0.001","0.002","0.0004","0.002","0.003","0.194","0.0239","0.151","0.245","123000","N/A","22000"
"3 - Income More Than 2X Fed Pov Thresh","ND","0.002","0.0002","0.001","0.002","0.002","0.0003","0.002","0.003","0.685","0.0425","0.597","0.762","435000","N/A","53000"
"Overall","NE","0.006","0.0003","0.005","0.007","0.006","0.0003","0.005","0.007","1","0","N/A","N/A","1627000","N/A","96000"
"1 - Living in Poverty","NE","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.113","0.0148","0.087","0.145","183000","N/A","22000"
"2 - Income Up to 2X Fed Pov Thresh","NE","0.001","0.0001","0.001","0.001","0.006","0.0006","0.005","0.007","0.198","0.0138","0.172","0.226","321000","N/A","31000"
"3 - Income More Than 2X Fed Pov Thresh","NE","0.004","0.0003","0.003","0.005","0.006","0.0004","0.005","0.007","0.69","0.0176","0.654","0.723","1122000","N/A","79000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1218000","N/A","82000"
"1 - Living in Poverty","NH","0","0","0","0","0.002","0.0003","0.002","0.003","0.07","0.0104","0.052","0.094","86000","N/A","13000"
"2 - Income Up to 2X Fed Pov Thresh","NH","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.151","0.017","0.12","0.187","184000","N/A","23000"
"3 - Income More Than 2X Fed Pov Thresh","NH","0.003","0.0003","0.003","0.004","0.005","0.0004","0.004","0.006","0.779","0.0196","0.738","0.815","948000","N/A","72000"
"Overall","NJ","0.028","0.0021","0.024","0.033","0.028","0.0021","0.024","0.033","1","0","N/A","N/A","7881000","N/A","605000"
"1 - Living in Poverty","NJ","0.003","0.0006","0.002","0.005","0.022","0.0038","0.016","0.031","0.118","0.0168","0.088","0.155","927000","N/A","163000"
"2 - Income Up to 2X Fed Pov Thresh","NJ","0.004","0.0006","0.003","0.005","0.02","0.0031","0.014","0.027","0.139","0.0175","0.108","0.177","1096000","N/A","174000"
"3 - Income More Than 2X Fed Pov Thresh","NJ","0.021","0.0016","0.018","0.024","0.032","0.0024","0.028","0.037","0.743","0.0272","0.686","0.793","5857000","N/A","448000"
"Overall","NM","0.006","0.0005","0.006","0.007","0.006","0.0005","0.006","0.007","1","0","N/A","N/A","1786000","N/A","128000"
"1 - Living in Poverty","NM","0.001","0.0002","0.001","0.002","0.01","0.0013","0.008","0.013","0.232","0.025","0.187","0.285","414000","N/A","54000"
"2 - Income Up to 2X Fed Pov Thresh","NM","0.001","0.0002","0.001","0.002","0.007","0.0009","0.006","0.009","0.229","0.0203","0.191","0.271","408000","N/A","47000"
"3 - Income More Than 2X Fed Pov Thresh","NM","0.003","0.0003","0.003","0.004","0.005","0.0005","0.004","0.006","0.539","0.0301","0.48","0.597","963000","N/A","86000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2679000","N/A","210000"
"1 - Living in Poverty","NV","0.002","0.0003","0.001","0.002","0.011","0.0017","0.008","0.015","0.173","0.0194","0.138","0.214","463000","N/A","70000"
"2 - Income Up to 2X Fed Pov Thresh","NV","0.002","0.0003","0.002","0.003","0.011","0.0013","0.008","0.013","0.222","0.019","0.187","0.261","594000","N/A","70000"
"3 - Income More Than 2X Fed Pov Thresh","NV","0.006","0.0005","0.005","0.007","0.009","0.0007","0.008","0.01","0.605","0.0281","0.549","0.659","1621000","N/A","134000"
"Overall","NY","0.06","0.0031","0.054","0.066","0.06","0.0031","0.054","0.066","1","0","N/A","N/A","16897000","N/A","892000"
"1 - Living in Poverty","NY","0.01","0.0009","0.008","0.012","0.064","0.0058","0.053","0.076","0.16","0.0126","0.137","0.187","2711000","N/A","257000"
"2 - Income Up to 2X Fed Pov Thresh","NY","0.011","0.0009","0.009","0.013","0.054","0.0042","0.046","0.063","0.18","0.0107","0.16","0.202","3036000","N/A","245000"
"3 - Income More Than 2X Fed Pov Thresh","NY","0.04","0.0023","0.036","0.044","0.061","0.0034","0.055","0.068","0.66","0.0175","0.625","0.693","11149000","N/A","652000"
"Overall","OH","0.035","0.0016","0.032","0.039","0.035","0.0016","0.032","0.039","1","0","N/A","N/A","9941000","N/A","457000"
"1 - Living in Poverty","OH","0.006","0.0006","0.005","0.007","0.037","0.0038","0.03","0.045","0.159","0.0131","0.135","0.186","1578000","N/A","164000"
"2 - Income Up to 2X Fed Pov Thresh","OH","0.007","0.0005","0.006","0.008","0.035","0.0025","0.03","0.04","0.196","0.0103","0.177","0.217","1949000","N/A","140000"
"3 - Income More Than 2X Fed Pov Thresh","OH","0.023","0.0011","0.021","0.025","0.035","0.0017","0.032","0.039","0.645","0.016","0.613","0.676","6414000","N/A","300000"
"Overall","OK","0.012","0.0008","0.01","0.014","0.012","0.0008","0.01","0.014","1","0","N/A","N/A","3304000","N/A","234000"
"1 - Living in Poverty","OK","0.003","0.0004","0.002","0.004","0.019","0.0025","0.015","0.024","0.242","0.0229","0.2","0.29","801000","N/A","104000"
"2 - Income Up to 2X Fed Pov Thresh","OK","0.002","0.0002","0.002","0.003","0.012","0.0012","0.01","0.015","0.208","0.0155","0.179","0.24","688000","N/A","67000"
"3 - Income More Than 2X Fed Pov Thresh","OK","0.006","0.0005","0.006","0.008","0.01","0.0008","0.009","0.012","0.549","0.0253","0.5","0.598","1815000","N/A","144000"
"Overall","OR","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3664000","N/A","216000"
"1 - Living in Poverty","OR","0.001","0.0002","0.001","0.002","0.01","0.0012","0.007","0.012","0.111","0.0143","0.086","0.143","408000","N/A","52000"
"2 - Income Up to 2X Fed Pov Thresh","OR","0.002","0.0003","0.002","0.003","0.012","0.0014","0.01","0.015","0.188","0.0189","0.153","0.228","688000","N/A","79000"
"3 - Income More Than 2X Fed Pov Thresh","OR","0.009","0.0007","0.008","0.011","0.014","0.001","0.012","0.016","0.701","0.0239","0.652","0.746","2568000","N/A","188000"
"Overall","PA","0.039","0.002","0.036","0.044","0.039","0.002","0.036","0.044","1","0","N/A","N/A","11085000","N/A","589000"
"1 - Living in Poverty","PA","0.004","0.0005","0.003","0.005","0.027","0.0033","0.022","0.035","0.105","0.0112","0.085","0.129","1160000","N/A","144000"
"2 - Income Up to 2X Fed Pov Thresh","PA","0.007","0.0006","0.006","0.009","0.037","0.0029","0.031","0.043","0.186","0.0108","0.165","0.208","2057000","N/A","165000"
"3 - Income More Than 2X Fed Pov Thresh","PA","0.028","0.0015","0.025","0.031","0.043","0.0024","0.039","0.048","0.71","0.0155","0.678","0.739","7868000","N/A","436000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","947000","N/A","77000"
"1 - Living in Poverty","RI","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.123","0.0212","0.087","0.171","116000","N/A","20000"
"2 - Income Up to 2X Fed Pov Thresh","RI","0.001","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.165","0.0202","0.129","0.208","156000","N/A","25000"
"3 - Income More Than 2X Fed Pov Thresh","RI","0.002","0.0002","0.002","0.003","0.004","0.0003","0.003","0.004","0.713","0.0224","0.667","0.754","675000","N/A","60000"
"Overall","SC","0.016","0.0013","0.013","0.019","0.016","0.0013","0.013","0.019","1","0","N/A","N/A","4434000","N/A","364000"
"1 - Living in Poverty","SC","0.002","0.0003","0.002","0.003","0.015","0.0023","0.011","0.02","0.145","0.0197","0.111","0.188","645000","N/A","97000"
"2 - Income Up to 2X Fed Pov Thresh","SC","0.004","0.0004","0.003","0.004","0.018","0.0019","0.014","0.022","0.223","0.0193","0.187","0.263","987000","N/A","107000"
"3 - Income More Than 2X Fed Pov Thresh","SC","0.01","0.001","0.008","0.012","0.015","0.0015","0.013","0.019","0.632","0.0264","0.579","0.682","2802000","N/A","280000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","741000","N/A","51000"
"1 - Living in Poverty","SD","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.163","0.0228","0.123","0.212","120000","N/A","22000"
"2 - Income Up to 2X Fed Pov Thresh","SD","0","0.0001","0","0.001","0.002","0.0004","0.002","0.003","0.184","0.0277","0.136","0.245","136000","N/A","22000"
"3 - Income More Than 2X Fed Pov Thresh","SD","0.002","0.0001","0.001","0.002","0.003","0.0002","0.002","0.003","0.653","0.0313","0.59","0.712","484000","N/A","36000"
