"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - 35-49 Years Old","KY","0.003","0.0002","0.002","0.003","0.013","0.001","0.011","0.015","0.217","0.0123","0.193","0.242","825000","N/A","65000"
"4 - 50 or Older","KY","0.006","0.0005","0.005","0.007","0.014","0.0011","0.012","0.016","0.432","0.019","0.395","0.47","1648000","N/A","138000"
"5 - 12-17 Years Old","KY","0.001","0.0001","0.001","0.001","0.014","0.0013","0.011","0.017","0.094","0.0075","0.08","0.11","357000","N/A","33000"
"Overall","LA","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3798000","N/A","223000"
"1 - 18-25 Years Old","LA","0.002","0.0002","0.001","0.002","0.013","0.0018","0.01","0.017","0.122","0.0159","0.094","0.156","462000","N/A","63000"
"2 - 26-34 Years Old","LA","0.002","0.0002","0.002","0.002","0.013","0.0011","0.011","0.015","0.137","0.009","0.12","0.155","519000","N/A","43000"
"3 - 35-49 Years Old","LA","0.003","0.0002","0.003","0.003","0.013","0.0011","0.011","0.016","0.224","0.0127","0.2","0.25","851000","N/A","67000"
"4 - 50 or Older","LA","0.006","0.0005","0.005","0.007","0.013","0.0011","0.011","0.016","0.42","0.0188","0.384","0.458","1597000","N/A","130000"
"5 - 12-17 Years Old","LA","0.001","0.0001","0.001","0.002","0.014","0.0012","0.012","0.017","0.097","0.0064","0.086","0.111","370000","N/A","32000"
"Overall","MA","0.021","0.0021","0.018","0.026","0.021","0.0021","0.018","0.026","1","0","N/A","N/A","6141000","N/A","600000"
"1 - 18-25 Years Old","MA","0.003","0.0004","0.002","0.004","0.023","0.0029","0.018","0.029","0.128","0.0112","0.108","0.152","786000","N/A","101000"
"2 - 26-34 Years Old","MA","0.003","0.0004","0.002","0.004","0.022","0.0025","0.017","0.027","0.143","0.0148","0.117","0.175","881000","N/A","104000"
"3 - 35-49 Years Old","MA","0.005","0.0005","0.004","0.006","0.021","0.0024","0.017","0.026","0.218","0.0158","0.189","0.251","1340000","N/A","158000"
"4 - 50 or Older","MA","0.009","0.0012","0.007","0.012","0.022","0.0029","0.017","0.028","0.432","0.0338","0.367","0.499","2653000","N/A","360000"
"5 - 12-17 Years Old","MA","0.002","0.0002","0.001","0.002","0.019","0.0027","0.014","0.025","0.078","0.0085","0.063","0.097","481000","N/A","71000"
"Overall","MD","0.018","0.0012","0.016","0.021","0.018","0.0012","0.016","0.021","1","0","N/A","N/A","5250000","N/A","359000"
"1 - 18-25 Years Old","MD","0.002","0.0002","0.002","0.002","0.017","0.0015","0.014","0.02","0.112","0.0085","0.096","0.13","588000","N/A","53000"
"2 - 26-34 Years Old","MD","0.002","0.0003","0.002","0.003","0.018","0.0022","0.014","0.022","0.135","0.0123","0.113","0.161","711000","N/A","88000"
"3 - 35-49 Years Old","MD","0.004","0.0003","0.004","0.005","0.019","0.0015","0.016","0.022","0.23","0.0141","0.204","0.259","1210000","N/A","97000"
"4 - 50 or Older","MD","0.008","0.0007","0.007","0.01","0.019","0.0018","0.016","0.022","0.43","0.0225","0.387","0.475","2258000","N/A","215000"
"5 - 12-17 Years Old","MD","0.002","0.0002","0.001","0.002","0.019","0.0018","0.015","0.022","0.092","0.0085","0.077","0.11","483000","N/A","46000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1227000","N/A","117000"
"1 - 18-25 Years Old","ME","0","0","0","0.001","0.004","0.0004","0.003","0.005","0.103","0.0087","0.087","0.121","126000","N/A","14000"
"2 - 26-34 Years Old","ME","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.124","0.0139","0.099","0.154","152000","N/A","21000"
"3 - 35-49 Years Old","ME","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.205","0.0149","0.178","0.236","252000","N/A","29000"
"4 - 50 or Older","ME","0.002","0.0002","0.002","0.003","0.005","0.0006","0.004","0.006","0.494","0.0219","0.451","0.537","606000","N/A","69000"
"5 - 12-17 Years Old","ME","0","0","0","0","0.003","0.0004","0.003","0.004","0.074","0.0059","0.063","0.086","91000","N/A","11000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8633000","N/A","384000"
"1 - 18-25 Years Old","MI","0.004","0.0002","0.003","0.004","0.03","0.002","0.027","0.035","0.121","0.0065","0.109","0.135","1046000","N/A","69000"
"2 - 26-34 Years Old","MI","0.004","0.0003","0.004","0.005","0.029","0.0021","0.025","0.034","0.137","0.0082","0.122","0.154","1186000","N/A","88000"
"3 - 35-49 Years Old","MI","0.006","0.0003","0.006","0.007","0.028","0.0015","0.025","0.031","0.207","0.0083","0.192","0.224","1790000","N/A","93000"
"4 - 50 or Older","MI","0.013","0.0008","0.012","0.015","0.032","0.002","0.028","0.036","0.447","0.016","0.416","0.478","3856000","N/A","243000"
"5 - 12-17 Years Old","MI","0.003","0.0002","0.002","0.003","0.029","0.002","0.025","0.033","0.087","0.0054","0.077","0.099","755000","N/A","53000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4870000","N/A","363000"
"1 - 18-25 Years Old","MN","0.002","0.0003","0.002","0.003","0.017","0.0024","0.013","0.022","0.119","0.0151","0.092","0.152","577000","N/A","84000"
"2 - 26-34 Years Old","MN","0.002","0.0003","0.002","0.003","0.016","0.0018","0.013","0.02","0.137","0.0108","0.117","0.159","667000","N/A","76000"
"3 - 35-49 Years Old","MN","0.004","0.0004","0.003","0.005","0.017","0.0016","0.014","0.021","0.229","0.0163","0.198","0.262","1113000","N/A","106000"
"4 - 50 or Older","MN","0.007","0.0007","0.006","0.009","0.017","0.0016","0.014","0.021","0.421","0.0265","0.37","0.474","2051000","N/A","200000"
"5 - 12-17 Years Old","MN","0.002","0.0002","0.001","0.002","0.018","0.0023","0.014","0.023","0.095","0.0087","0.079","0.113","461000","N/A","60000"
"Overall","MO","0.018","0.0011","0.016","0.021","0.018","0.0011","0.016","0.021","1","0","N/A","N/A","5241000","N/A","311000"
"1 - 18-25 Years Old","MO","0.002","0.0002","0.002","0.003","0.018","0.0019","0.015","0.023","0.121","0.0111","0.101","0.144","634000","N/A","68000"
"2 - 26-34 Years Old","MO","0.003","0.0003","0.002","0.003","0.018","0.0019","0.014","0.022","0.138","0.0117","0.116","0.162","722000","N/A","76000"
"3 - 35-49 Years Old","MO","0.004","0.0003","0.004","0.005","0.018","0.0011","0.016","0.02","0.218","0.012","0.196","0.243","1145000","N/A","73000"
"4 - 50 or Older","MO","0.008","0.0007","0.007","0.009","0.019","0.0016","0.016","0.022","0.43","0.0189","0.394","0.468","2255000","N/A","193000"
"5 - 12-17 Years Old","MO","0.002","0.0001","0.001","0.002","0.019","0.0015","0.016","0.022","0.093","0.0066","0.08","0.106","486000","N/A","38000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2450000","N/A","149000"
"1 - 18-25 Years Old","MS","0.001","0.0001","0.001","0.001","0.009","0.0009","0.007","0.011","0.128","0.0107","0.108","0.15","312000","N/A","32000"
"2 - 26-34 Years Old","MS","0.001","0.0001","0.001","0.001","0.008","0.0006","0.007","0.009","0.132","0.0085","0.116","0.15","323000","N/A","26000"
"3 - 35-49 Years Old","MS","0.002","0.0001","0.002","0.002","0.008","0.0006","0.007","0.01","0.214","0.0125","0.19","0.239","524000","N/A","41000"
"4 - 50 or Older","MS","0.004","0.0003","0.003","0.004","0.009","0.0007","0.007","0.01","0.427","0.0173","0.393","0.461","1045000","N/A","83000"
"5 - 12-17 Years Old","MS","0.001","0.0001","0.001","0.001","0.009","0.0009","0.008","0.012","0.1","0.0077","0.086","0.116","245000","N/A","24000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","969000","N/A","81000"
"1 - 18-25 Years Old","MT","0","0.0001","0","0.001","0.003","0.0007","0.002","0.005","0.118","0.0224","0.08","0.169","114000","N/A","25000"
"2 - 26-34 Years Old","MT","0","0","0","0.001","0.003","0.0003","0.003","0.004","0.135","0.0137","0.11","0.164","131000","N/A","13000"
"3 - 35-49 Years Old","MT","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.216","0.0154","0.188","0.248","210000","N/A","19000"
"4 - 50 or Older","MT","0.002","0.0002","0.001","0.002","0.004","0.0004","0.003","0.004","0.445","0.0289","0.389","0.502","431000","N/A","50000"
"5 - 12-17 Years Old","MT","0","0","0","0","0.003","0.0004","0.003","0.004","0.087","0.0073","0.073","0.102","84000","N/A","10000"
"Overall","NC","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9223000","N/A","572000"
"1 - 18-25 Years Old","NC","0.004","0.0004","0.003","0.005","0.032","0.0034","0.026","0.04","0.121","0.0112","0.101","0.145","1119000","N/A","121000"
"2 - 26-34 Years Old","NC","0.004","0.0004","0.004","0.005","0.032","0.003","0.026","0.038","0.139","0.0124","0.117","0.165","1284000","N/A","123000"
"3 - 35-49 Years Old","NC","0.007","0.0005","0.006","0.008","0.032","0.0024","0.027","0.037","0.219","0.0139","0.193","0.248","2022000","N/A","158000"
"4 - 50 or Older","NC","0.014","0.0013","0.012","0.017","0.033","0.0029","0.028","0.039","0.43","0.0227","0.386","0.475","3966000","N/A","365000"
"5 - 12-17 Years Old","NC","0.003","0.0003","0.002","0.004","0.032","0.0032","0.026","0.039","0.09","0.007","0.077","0.105","831000","N/A","85000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","649000","N/A","58000"
"1 - 18-25 Years Old","ND","0","0.0001","0","0","0.003","0.0005","0.002","0.004","0.148","0.0203","0.113","0.193","96000","N/A","16000"
"2 - 26-34 Years Old","ND","0","0","0","0","0.002","0.0003","0.002","0.003","0.147","0.0126","0.124","0.174","96000","N/A","12000"
"3 - 35-49 Years Old","ND","0","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.22","0.015","0.192","0.251","143000","N/A","15000"
"4 - 50 or Older","ND","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.39","0.0226","0.347","0.435","253000","N/A","28000"
"5 - 12-17 Years Old","ND","0","0","0","0","0.002","0.0003","0.002","0.003","0.095","0.0096","0.077","0.115","61000","N/A","8000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1651000","N/A","109000"
"1 - 18-25 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0006","0.005","0.008","0.133","0.0105","0.113","0.155","219000","N/A","22000"
"2 - 26-34 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0007","0.004","0.007","0.136","0.0128","0.113","0.163","225000","N/A","26000"
"3 - 35-49 Years Old","NE","0.001","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.224","0.0114","0.202","0.247","369000","N/A","29000"
"4 - 50 or Older","NE","0.002","0.0002","0.002","0.003","0.006","0.0005","0.005","0.007","0.406","0.0243","0.359","0.454","670000","N/A","62000"
"5 - 12-17 Years Old","NE","0.001","0.0001","0","0.001","0.006","0.0007","0.005","0.008","0.102","0.008","0.087","0.119","168000","N/A","17000"
"Overall","NH","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1232000","N/A","111000"
"1 - 18-25 Years Old","NH","0","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.109","0.0116","0.089","0.134","135000","N/A","15000"
"2 - 26-34 Years Old","NH","0.001","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.131","0.0122","0.109","0.157","161000","N/A","17000"
"3 - 35-49 Years Old","NH","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.207","0.016","0.177","0.24","255000","N/A","28000"
"4 - 50 or Older","NH","0.002","0.0002","0.002","0.003","0.005","0.0006","0.004","0.006","0.478","0.0236","0.432","0.525","589000","N/A","71000"
"5 - 12-17 Years Old","NH","0","0","0","0","0.004","0.0005","0.003","0.005","0.075","0.0097","0.058","0.096","92000","N/A","14000"
"Overall","NJ","0.028","0.0016","0.025","0.031","0.028","0.0016","0.025","0.031","1","0","N/A","N/A","8000000","N/A","473000"
"1 - 18-25 Years Old","NJ","0.003","0.0003","0.003","0.004","0.026","0.0021","0.022","0.03","0.112","0.0061","0.1","0.124","894000","N/A","75000"
"2 - 26-34 Years Old","NJ","0.004","0.0004","0.003","0.005","0.027","0.0025","0.022","0.032","0.136","0.0102","0.117","0.157","1085000","N/A","101000"
"3 - 35-49 Years Old","NJ","0.006","0.0005","0.006","0.007","0.028","0.0021","0.025","0.033","0.228","0.0133","0.203","0.255","1820000","N/A","136000"
"4 - 50 or Older","NJ","0.012","0.001","0.01","0.014","0.029","0.0023","0.025","0.034","0.436","0.0197","0.397","0.475","3485000","N/A","277000"
"5 - 12-17 Years Old","NJ","0.003","0.0002","0.002","0.003","0.028","0.0024","0.023","0.033","0.09","0.0061","0.078","0.102","716000","N/A","63000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1806000","N/A","114000"
"1 - 18-25 Years Old","NM","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.122","0.0102","0.103","0.143","220000","N/A","17000"
"2 - 26-34 Years Old","NM","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.134","0.0099","0.115","0.154","241000","N/A","21000"
"3 - 35-49 Years Old","NM","0.001","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.214","0.0135","0.188","0.241","386000","N/A","32000"
"4 - 50 or Older","NM","0.003","0.0003","0.002","0.003","0.007","0.0007","0.005","0.008","0.438","0.0261","0.388","0.49","791000","N/A","81000"
"5 - 12-17 Years Old","NM","0.001","0.0001","0","0.001","0.006","0.0007","0.005","0.008","0.093","0.0094","0.076","0.113","168000","N/A","18000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2754000","N/A","188000"
"1 - 18-25 Years Old","NV","0.001","0.0001","0.001","0.001","0.008","0.001","0.007","0.011","0.106","0.0089","0.09","0.125","292000","N/A","34000"
"2 - 26-34 Years Old","NV","0.001","0.0002","0.001","0.002","0.01","0.0012","0.008","0.013","0.149","0.014","0.124","0.179","412000","N/A","49000"
"3 - 35-49 Years Old","NV","0.002","0.0002","0.002","0.003","0.01","0.0009","0.008","0.012","0.234","0.0162","0.203","0.267","643000","N/A","58000"
"4 - 50 or Older","NV","0.004","0.0004","0.003","0.005","0.01","0.0009","0.008","0.011","0.422","0.0228","0.377","0.467","1161000","N/A","102000"
"5 - 12-17 Years Old","NV","0.001","0.0001","0.001","0.001","0.009","0.0011","0.008","0.012","0.089","0.0085","0.074","0.108","246000","N/A","27000"
"Overall","NY","0.059","0.0023","0.055","0.064","0.059","0.0023","0.055","0.064","1","0","N/A","N/A","16932000","N/A","685000"
"1 - 18-25 Years Old","NY","0.007","0.0004","0.006","0.008","0.058","0.0031","0.052","0.064","0.118","0.0048","0.109","0.128","2003000","N/A","110000"
"2 - 26-34 Years Old","NY","0.009","0.0005","0.008","0.01","0.061","0.0037","0.054","0.069","0.146","0.0074","0.132","0.161","2478000","N/A","157000"
"3 - 35-49 Years Old","NY","0.013","0.0007","0.012","0.014","0.058","0.0032","0.052","0.064","0.218","0.0097","0.2","0.238","3697000","N/A","214000"
"4 - 50 or Older","NY","0.026","0.0014","0.023","0.029","0.061","0.0033","0.055","0.068","0.436","0.0142","0.408","0.464","7378000","N/A","403000"
"5 - 12-17 Years Old","NY","0.005","0.0003","0.004","0.005","0.053","0.0035","0.047","0.06","0.081","0.0044","0.073","0.09","1376000","N/A","93000"
"Overall","OH","0.035","0.0014","0.032","0.038","0.035","0.0014","0.032","0.038","1","0","N/A","N/A","10008000","N/A","410000"
"1 - 18-25 Years Old","OH","0.004","0.0003","0.004","0.005","0.034","0.0026","0.03","0.04","0.118","0.0083","0.103","0.136","1186000","N/A","92000"
"2 - 26-34 Years Old","OH","0.005","0.0003","0.004","0.005","0.034","0.0021","0.03","0.039","0.139","0.0077","0.124","0.154","1389000","N/A","85000"
"3 - 35-49 Years Old","OH","0.008","0.0004","0.007","0.008","0.034","0.0019","0.03","0.038","0.215","0.0083","0.199","0.231","2148000","N/A","123000"
"4 - 50 or Older","OH","0.015","0.0009","0.014","0.017","0.036","0.002","0.032","0.04","0.437","0.0128","0.412","0.463","4377000","N/A","245000"
"5 - 12-17 Years Old","OH","0.003","0.0002","0.003","0.004","0.035","0.0023","0.031","0.04","0.091","0.0051","0.081","0.102","910000","N/A","59000"
"Overall","OK","0.012","0.0009","0.01","0.014","0.012","0.0009","0.01","0.014","1","0","N/A","N/A","3368000","N/A","254000"
"1 - 18-25 Years Old","OK","0.002","0.0001","0.001","0.002","0.013","0.0012","0.011","0.015","0.131","0.0096","0.113","0.151","441000","N/A","40000"
"2 - 26-34 Years Old","OK","0.002","0.0001","0.001","0.002","0.012","0.001","0.01","0.014","0.141","0.0112","0.121","0.165","476000","N/A","43000"
"3 - 35-49 Years Old","OK","0.003","0.0003","0.002","0.003","0.012","0.0011","0.01","0.014","0.224","0.0123","0.201","0.249","755000","N/A","72000"
"4 - 50 or Older","OK","0.005","0.0005","0.004","0.006","0.011","0.0011","0.009","0.014","0.402","0.0187","0.366","0.44","1355000","N/A","132000"
"5 - 12-17 Years Old","OK","0.001","0.0001","0.001","0.001","0.013","0.0014","0.011","0.016","0.101","0.007","0.088","0.116","341000","N/A","37000"
"Overall","OR","0.013","0.0007","0.012","0.014","0.013","0.0007","0.012","0.014","1","0","N/A","N/A","3686000","N/A","187000"
"1 - 18-25 Years Old","OR","0.001","0.0001","0.001","0.002","0.012","0.0009","0.01","0.014","0.112","0.0085","0.096","0.129","411000","N/A","32000"
"2 - 26-34 Years Old","OR","0.002","0.0001","0.002","0.002","0.013","0.001","0.011","0.015","0.144","0.011","0.123","0.167","529000","N/A","42000"
"3 - 35-49 Years Old","OR","0.003","0.0002","0.003","0.004","0.013","0.0011","0.011","0.016","0.233","0.0164","0.202","0.267","858000","N/A","69000"
"4 - 50 or Older","OR","0.006","0.0005","0.005","0.007","0.013","0.0011","0.011","0.016","0.43","0.0241","0.383","0.478","1585000","N/A","139000"
"5 - 12-17 Years Old","OR","0.001","0.0001","0.001","0.001","0.012","0.0011","0.01","0.014","0.082","0.007","0.069","0.097","303000","N/A","29000"
"Overall","PA","0.039","0.0021","0.035","0.043","0.039","0.0021","0.035","0.043","1","0","N/A","N/A","11153000","N/A","600000"
"1 - 18-25 Years Old","PA","0.005","0.0003","0.004","0.005","0.038","0.0027","0.033","0.044","0.118","0.0065","0.105","0.131","1311000","N/A","94000"
"2 - 26-34 Years Old","PA","0.005","0.0004","0.005","0.006","0.037","0.0025","0.032","0.042","0.134","0.0073","0.12","0.149","1489000","N/A","104000"
"3 - 35-49 Years Old","PA","0.008","0.0005","0.007","0.009","0.037","0.0024","0.033","0.042","0.213","0.0086","0.196","0.23","2372000","N/A","156000"
"4 - 50 or Older","PA","0.018","0.0012","0.015","0.02","0.042","0.0029","0.037","0.048","0.452","0.0163","0.42","0.484","5044000","N/A","353000"
"5 - 12-17 Years Old","PA","0.003","0.0002","0.003","0.004","0.036","0.0025","0.032","0.041","0.084","0.004","0.076","0.092","937000","N/A","65000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","957000","N/A","83000"
"1 - 18-25 Years Old","RI","0","0.0001","0","0.001","0.004","0.0007","0.002","0.005","0.128","0.0201","0.093","0.172","122000","N/A","24000"
"2 - 26-34 Years Old","RI","0","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.141","0.015","0.114","0.173","135000","N/A","16000"
"3 - 35-49 Years Old","RI","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.213","0.0166","0.182","0.247","204000","N/A","21000"
"4 - 50 or Older","RI","0.001","0.0002","0.001","0.002","0.004","0.0004","0.003","0.004","0.443","0.0247","0.395","0.492","424000","N/A","47000"
"5 - 12-17 Years Old","RI","0","0","0","0","0.003","0.0004","0.002","0.004","0.076","0.0078","0.062","0.092","72000","N/A","10000"
"Overall","SC","0.016","0.001","0.014","0.018","0.016","0.001","0.014","0.018","1","0","N/A","N/A","4599000","N/A","292000"
"1 - 18-25 Years Old","SC","0.002","0.0002","0.001","0.002","0.016","0.0017","0.012","0.019","0.116","0.0122","0.095","0.142","535000","N/A","61000"
"2 - 26-34 Years Old","SC","0.002","0.0002","0.002","0.003","0.015","0.0017","0.012","0.019","0.132","0.0134","0.108","0.161","607000","N/A","70000"
"3 - 35-49 Years Old","SC","0.003","0.0003","0.003","0.004","0.015","0.0014","0.013","0.018","0.212","0.014","0.186","0.241","976000","N/A","89000"
"4 - 50 or Older","SC","0.007","0.0006","0.006","0.009","0.017","0.0015","0.014","0.02","0.45","0.0217","0.408","0.493","2070000","N/A","183000"
"5 - 12-17 Years Old","SC","0.001","0.0001","0.001","0.002","0.016","0.0016","0.013","0.019","0.089","0.0083","0.074","0.107","411000","N/A","41000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","759000","N/A","57000"
"1 - 18-25 Years Old","SD","0","0.0001","0","0","0.003","0.0004","0.002","0.004","0.125","0.0164","0.096","0.16","94000","N/A","15000"
"2 - 26-34 Years Old","SD","0","0","0","0","0.002","0.0002","0.002","0.003","0.132","0.0104","0.113","0.154","100000","N/A","9000"
