"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282732000","N/A","2772000"
"1 - Less high school","Overall","0.086","0.0019","0.083","0.09","1","0","N/A","N/A","0.086","0.0019","0.083","0.09","24422000","N/A","598000"
"2 - High school grad","Overall","0.245","0.0028","0.24","0.251","1","0","N/A","N/A","0.245","0.0028","0.24","0.251","69310000","N/A","1054000"
"3 - Some coll/Assoc Dg","Overall","0.274","0.0026","0.269","0.279","1","0","N/A","N/A","0.274","0.0026","0.269","0.279","77403000","N/A","1076000"
"4 - College graduate","Overall","0.303","0.0034","0.297","0.31","1","0","N/A","N/A","0.303","0.0034","0.297","0.31","85777000","N/A","1212000"
"5 - 12 to 17 year olds","Overall","0.091","0.0011","0.089","0.094","1","0","N/A","N/A","0.091","0.0011","0.089","0.094","25820000","N/A","406000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","587000","N/A","47000"
"1 - Less high school","AK","0","0","0","0","0.002","0.0002","0.001","0.002","0.07","0.0088","0.055","0.09","41000","N/A","6000"
"2 - High school grad","AK","0.001","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.273","0.0188","0.237","0.311","160000","N/A","18000"
"3 - Some coll/Assoc Dg","AK","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.296","0.0217","0.255","0.34","174000","N/A","18000"
"4 - College graduate","AK","0.001","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.261","0.0183","0.227","0.299","153000","N/A","16000"
"5 - 12 to 17 year olds","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.1","0.0074","0.087","0.116","59000","N/A","6000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4288000","N/A","223000"
"1 - Less high school","AL","0.002","0.0002","0.001","0.002","0.018","0.002","0.015","0.022","0.103","0.0097","0.085","0.123","440000","N/A","47000"
"2 - High school grad","AL","0.004","0.0003","0.004","0.005","0.018","0.0013","0.015","0.021","0.288","0.0167","0.257","0.322","1237000","N/A","92000"
"3 - Some coll/Assoc Dg","AL","0.004","0.0003","0.004","0.005","0.016","0.0011","0.014","0.018","0.281","0.0145","0.254","0.31","1206000","N/A","84000"
"4 - College graduate","AL","0.004","0.0003","0.003","0.004","0.012","0.0011","0.01","0.014","0.235","0.0157","0.206","0.268","1010000","N/A","93000"
"5 - 12 to 17 year olds","AL","0.001","0.0001","0.001","0.002","0.015","0.0013","0.013","0.018","0.092","0.0068","0.08","0.106","395000","N/A","34000"
"Overall","AR","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2553000","N/A","151000"
"1 - Less high school","AR","0.001","0.0001","0.001","0.001","0.01","0.0017","0.007","0.014","0.097","0.0154","0.07","0.131","247000","N/A","42000"
"2 - High school grad","AR","0.003","0.0003","0.002","0.003","0.012","0.0011","0.01","0.014","0.313","0.0232","0.269","0.36","799000","N/A","74000"
"3 - Some coll/Assoc Dg","AR","0.003","0.0002","0.002","0.003","0.009","0.0008","0.008","0.011","0.281","0.0186","0.246","0.319","717000","N/A","60000"
"4 - College graduate","AR","0.002","0.0003","0.001","0.003","0.006","0.0009","0.005","0.008","0.212","0.0242","0.168","0.263","541000","N/A","76000"
"5 - 12 to 17 year olds","AR","0.001","0.0001","0.001","0.001","0.01","0.0009","0.008","0.012","0.097","0.0094","0.08","0.117","248000","N/A","24000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6286000","N/A","461000"
"1 - Less high school","AZ","0.002","0.0003","0.001","0.003","0.022","0.0039","0.016","0.031","0.086","0.0141","0.062","0.118","543000","N/A","97000"
"2 - High school grad","AZ","0.005","0.0006","0.004","0.006","0.02","0.0025","0.016","0.026","0.225","0.0213","0.186","0.27","1415000","N/A","171000"
"3 - Some coll/Assoc Dg","AZ","0.007","0.0006","0.006","0.008","0.026","0.0023","0.021","0.03","0.315","0.02","0.277","0.355","1978000","N/A","181000"
"4 - College graduate","AZ","0.006","0.0008","0.005","0.008","0.021","0.0025","0.016","0.026","0.282","0.0257","0.235","0.335","1776000","N/A","221000"
"5 - 12 to 17 year olds","AZ","0.002","0.0002","0.002","0.002","0.022","0.0021","0.018","0.027","0.091","0.0075","0.077","0.107","574000","N/A","56000"
"Overall","CA","0.117","0.004","0.11","0.125","0.117","0.004","0.11","0.125","1","0","N/A","N/A","33130000","N/A","1234000"
"1 - Less high school","CA","0.013","0.001","0.011","0.015","0.149","0.0105","0.129","0.171","0.11","0.0082","0.095","0.127","3635000","N/A","283000"
"2 - High school grad","CA","0.023","0.0013","0.02","0.025","0.093","0.005","0.083","0.103","0.194","0.0088","0.178","0.212","6439000","N/A","377000"
"3 - Some coll/Assoc Dg","CA","0.033","0.0017","0.03","0.036","0.121","0.0057","0.11","0.132","0.282","0.0102","0.262","0.303","9344000","N/A","489000"
"4 - College graduate","CA","0.038","0.0021","0.034","0.042","0.124","0.0064","0.112","0.137","0.322","0.013","0.297","0.348","10664000","N/A","604000"
"5 - 12 to 17 year olds","CA","0.011","0.0007","0.01","0.012","0.118","0.007","0.105","0.133","0.092","0.0047","0.083","0.102","3047000","N/A","200000"
"Overall","CO","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","4993000","N/A","315000"
"1 - Less high school","CO","0.001","0.0001","0.001","0.001","0.013","0.0017","0.01","0.017","0.064","0.0079","0.05","0.081","318000","N/A","42000"
"2 - High school grad","CO","0.003","0.0003","0.003","0.004","0.014","0.0013","0.012","0.017","0.197","0.0141","0.171","0.226","983000","N/A","92000"
"3 - Some coll/Assoc Dg","CO","0.005","0.0005","0.004","0.006","0.017","0.0016","0.014","0.021","0.265","0.0203","0.227","0.307","1324000","N/A","129000"
"4 - College graduate","CO","0.007","0.0006","0.006","0.008","0.023","0.0018","0.019","0.026","0.387","0.0201","0.348","0.427","1932000","N/A","158000"
"5 - 12 to 17 year olds","CO","0.002","0.0002","0.001","0.002","0.017","0.0021","0.013","0.022","0.088","0.0083","0.073","0.105","437000","N/A","55000"
"Overall","CT","0.011","0.0006","0.01","0.012","0.011","0.0006","0.01","0.012","1","0","N/A","N/A","3123000","N/A","182000"
"1 - Less high school","CT","0.001","0.0001","0.001","0.001","0.01","0.0017","0.007","0.014","0.078","0.0123","0.057","0.106","243000","N/A","42000"
"2 - High school grad","CT","0.003","0.0003","0.002","0.003","0.011","0.0011","0.009","0.013","0.237","0.0181","0.204","0.275","741000","N/A","80000"
"3 - Some coll/Assoc Dg","CT","0.003","0.0002","0.002","0.003","0.01","0.0008","0.008","0.011","0.237","0.0164","0.206","0.271","741000","N/A","65000"
"4 - College graduate","CT","0.004","0.0003","0.003","0.005","0.013","0.001","0.011","0.015","0.362","0.0235","0.317","0.409","1130000","N/A","89000"
"5 - 12 to 17 year olds","CT","0.001","0.0001","0.001","0.001","0.01","0.0009","0.009","0.012","0.086","0.0059","0.075","0.098","268000","N/A","23000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","577000","N/A","36000"
"1 - Less high school","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.053","0.0083","0.039","0.072","31000","N/A","5000"
"2 - High school grad","DC","0","0","0","0","0.001","0.0001","0.001","0.001","0.133","0.0164","0.104","0.169","77000","N/A","10000"
"3 - Some coll/Assoc Dg","DC","0","0","0","0","0.001","0.0001","0.001","0.002","0.175","0.0172","0.143","0.211","101000","N/A","11000"
"4 - College graduate","DC","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.005","0.577","0.026","0.526","0.627","333000","N/A","28000"
"5 - 12 to 17 year olds","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.061","0.0067","0.049","0.076","35000","N/A","4000"
"Overall","DE","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","877000","N/A","61000"
"1 - Less high school","DE","0","0","0","0","0.002","0.0005","0.002","0.004","0.069","0.0111","0.05","0.094","60000","N/A","11000"
"2 - High school grad","DE","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.269","0.0176","0.236","0.305","236000","N/A","25000"
"3 - Some coll/Assoc Dg","DE","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.269","0.0156","0.24","0.301","236000","N/A","20000"
"4 - College graduate","DE","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.308","0.0243","0.263","0.358","270000","N/A","27000"
"5 - 12 to 17 year olds","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.085","0.0075","0.071","0.101","75000","N/A","8000"
"Overall","FL","0.068","0.003","0.063","0.075","0.068","0.003","0.063","0.075","1","0","N/A","N/A","19317000","N/A","896000"
"1 - Less high school","FL","0.006","0.0005","0.005","0.007","0.072","0.006","0.061","0.085","0.091","0.0067","0.079","0.105","1756000","N/A","152000"
"2 - High school grad","FL","0.017","0.0011","0.015","0.02","0.07","0.0045","0.062","0.08","0.251","0.0113","0.23","0.274","4856000","N/A","332000"
"3 - Some coll/Assoc Dg","FL","0.019","0.0012","0.017","0.022","0.071","0.0042","0.063","0.079","0.283","0.0111","0.262","0.306","5471000","N/A","340000"
"4 - College graduate","FL","0.02","0.0012","0.018","0.023","0.066","0.0039","0.059","0.075","0.295","0.0131","0.27","0.321","5699000","N/A","347000"
"5 - 12 to 17 year olds","FL","0.005","0.0003","0.005","0.006","0.059","0.0037","0.053","0.067","0.079","0.0038","0.072","0.087","1535000","N/A","97000"
"Overall","GA","0.032","0.002","0.029","0.037","0.032","0.002","0.029","0.037","1","0","N/A","N/A","9173000","N/A","577000"
"1 - Less high school","GA","0.003","0.0004","0.002","0.004","0.035","0.005","0.027","0.047","0.094","0.0112","0.075","0.119","866000","N/A","126000"
"2 - High school grad","GA","0.008","0.0009","0.007","0.01","0.034","0.0035","0.027","0.041","0.254","0.0179","0.221","0.291","2333000","N/A","249000"
"3 - Some coll/Assoc Dg","GA","0.009","0.0007","0.007","0.01","0.031","0.0026","0.026","0.037","0.263","0.0147","0.236","0.293","2417000","N/A","208000"
"4 - College graduate","GA","0.009","0.0008","0.008","0.011","0.031","0.0025","0.026","0.036","0.288","0.0219","0.247","0.333","2643000","N/A","220000"
"5 - 12 to 17 year olds","GA","0.003","0.0003","0.003","0.004","0.035","0.0027","0.03","0.041","0.1","0.0065","0.088","0.113","915000","N/A","71000"
