"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"94 - DON T KNOW","NC","0","0","0","0","0.022","0.0117","0.008","0.061","0.003","0.0015","0.001","0.008","26000","N/A","14000"
"97 - REFUSED","NC","0","0.0001","0","0","0.094","0.0567","0.027","0.277","0.003","0.0018","0.001","0.01","26000","N/A","17000"
"98 - BLANK","NC","0.001","0.0002","0.001","0.002","0.047","0.0078","0.034","0.065","0.035","0.0059","0.025","0.048","321000","N/A","55000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","649000","N/A","58000"
"1 - Yes","ND","0","0","0","0","0.001","0.0001","0.001","0.001","0.102","0.0127","0.079","0.129","66000","N/A","8000"
"2 - No","ND","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.003","0.843","0.0161","0.808","0.872","547000","N/A","53000"
"85 - BAD DATA Logically assigned","ND","0","0","0","0","0.007","0.0045","0.002","0.024","0.005","0.0029","0.001","0.015","3000","N/A","2000"
"94 - DON T KNOW","ND","0","0","0","0","0.001","0.0004","0","0.002","0.002","0.0007","0.001","0.004","1000","N/A","0"
"97 - REFUSED","ND","0","0","0","0","0","0.0005","0","0.003","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","ND","0","0","0","0","0.005","0.0008","0.003","0.007","0.049","0.0074","0.036","0.066","32000","N/A","5000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1651000","N/A","109000"
"1 - Yes","NE","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.138","0.015","0.111","0.17","227000","N/A","28000"
"2 - No","NE","0.005","0.0003","0.004","0.006","0.006","0.0004","0.005","0.007","0.828","0.0171","0.792","0.86","1368000","N/A","97000"
"85 - BAD DATA Logically assigned","NE","0","0","0","0","0.006","0.0056","0.001","0.039","0.001","0.0014","0","0.01","2000","N/A","2000"
"94 - DON T KNOW","NE","0","0","0","0","0.007","0.0026","0.004","0.014","0.005","0.0017","0.003","0.01","8000","N/A","3000"
"97 - REFUSED","NE","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","NE","0","0","0","0","0.007","0.0016","0.004","0.011","0.027","0.0066","0.017","0.044","45000","N/A","11000"
"Overall","NH","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1232000","N/A","111000"
"1 - Yes","NH","0.001","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.129","0.0152","0.102","0.161","159000","N/A","22000"
"2 - No","NH","0.004","0.0004","0.003","0.004","0.005","0.0005","0.004","0.006","0.851","0.016","0.816","0.88","1048000","N/A","100000"
"85 - BAD DATA Logically assigned","NH","0","0","0","0","0.002","0.0016","0","0.009","0.001","0.0005","0","0.003","1000","N/A","1000"
"94 - DON T KNOW","NH","0","0","0","0","0.002","0.0012","0.001","0.006","0.002","0.0011","0.001","0.006","3000","N/A","1000"
"97 - REFUSED","NH","0","0","0","0","0.008","0.0062","0.002","0.035","0.002","0.0014","0","0.008","2000","N/A","2000"
"98 - BLANK","NH","0","0","0","0","0.003","0.0011","0.001","0.006","0.016","0.006","0.007","0.033","19000","N/A","7000"
"Overall","NJ","0.028","0.0016","0.025","0.031","0.028","0.0016","0.025","0.031","1","0","N/A","N/A","8000000","N/A","473000"
"1 - Yes","NJ","0.004","0.0004","0.004","0.005","0.022","0.0018","0.019","0.026","0.159","0.0127","0.136","0.186","1272000","N/A","107000"
"2 - No","NJ","0.023","0.0016","0.02","0.026","0.03","0.002","0.026","0.034","0.81","0.0153","0.778","0.838","6480000","N/A","451000"
"85 - BAD DATA Logically assigned","NJ","0","0","0","0","0.037","0.0223","0.011","0.116","0.002","0.0012","0.001","0.007","16000","N/A","10000"
"94 - DON T KNOW","NJ","0","0","0","0","0.014","0.0064","0.006","0.034","0.002","0.0009","0.001","0.005","16000","N/A","7000"
"97 - REFUSED","NJ","0","0","0","0","0.007","0.0042","0.002","0.023","0","0.0001","0","0.001","2000","N/A","1000"
"98 - BLANK","NJ","0.001","0.0001","0.001","0.001","0.031","0.0051","0.023","0.043","0.027","0.005","0.018","0.038","213000","N/A","35000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1806000","N/A","114000"
"1 - Yes","NM","0.002","0.0002","0.002","0.002","0.01","0.0008","0.008","0.012","0.318","0.0179","0.284","0.354","574000","N/A","47000"
"2 - No","NM","0.004","0.0003","0.004","0.005","0.005","0.0004","0.005","0.006","0.652","0.0171","0.617","0.684","1177000","N/A","80000"
"85 - BAD DATA Logically assigned","NM","0","0","0","0","0.005","0.0036","0.001","0.02","0.001","0.0008","0","0.005","2000","N/A","2000"
"94 - DON T KNOW","NM","0","0","0","0","0.005","0.0022","0.002","0.012","0.003","0.0014","0.002","0.008","6000","N/A","3000"
"97 - REFUSED","NM","0","0","0","0","0.001","0.0014","0","0.01","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","NM","0","0","0","0","0.007","0.0021","0.004","0.012","0.026","0.0073","0.015","0.045","46000","N/A","14000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2754000","N/A","188000"
"1 - Yes","NV","0.002","0.0003","0.002","0.003","0.01","0.0014","0.008","0.013","0.213","0.0215","0.174","0.258","587000","N/A","80000"
"2 - No","NV","0.007","0.0005","0.007","0.008","0.01","0.0007","0.008","0.011","0.771","0.0208","0.728","0.809","2123000","N/A","142000"
"85 - BAD DATA Logically assigned","NV","0","0","0","0","0.002","0.0016","0.001","0.009","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","NV","0","0","0","0","0.003","0.0019","0.001","0.01","0.001","0.0008","0","0.004","3000","N/A","2000"
"97 - REFUSED","NV","0","0","0","0","0.003","0.0027","0","0.019","0","0.0003","0","0.002","1000","N/A","1000"
"98 - BLANK","NV","0","0","0","0","0.006","0.0017","0.003","0.01","0.014","0.0043","0.008","0.026","39000","N/A","12000"
"Overall","NY","0.059","0.0023","0.055","0.064","0.059","0.0023","0.055","0.064","1","0","N/A","N/A","16932000","N/A","685000"
"1 - Yes","NY","0.018","0.0011","0.016","0.02","0.089","0.0054","0.079","0.1","0.304","0.0145","0.277","0.334","5153000","N/A","328000"
"2 - No","NY","0.039","0.0018","0.036","0.043","0.051","0.0023","0.047","0.056","0.665","0.0143","0.636","0.693","11261000","N/A","525000"
"85 - BAD DATA Logically assigned","NY","0","0","0","0","0.07","0.0286","0.031","0.152","0.002","0.0007","0.001","0.004","30000","N/A","12000"
"94 - DON T KNOW","NY","0","0.0001","0","0.001","0.089","0.0194","0.057","0.135","0.006","0.0014","0.004","0.01","103000","N/A","24000"
"97 - REFUSED","NY","0","0.0001","0","0","0.086","0.0527","0.024","0.26","0.001","0.0009","0","0.005","24000","N/A","15000"
"98 - BLANK","NY","0.001","0.0001","0.001","0.002","0.053","0.0052","0.044","0.064","0.021","0.0023","0.017","0.026","362000","N/A","36000"
"Overall","OH","0.035","0.0014","0.032","0.038","0.035","0.0014","0.032","0.038","1","0","N/A","N/A","10008000","N/A","410000"
"1 - Yes","OH","0.009","0.0006","0.007","0.01","0.042","0.0031","0.037","0.049","0.247","0.0146","0.219","0.277","2470000","N/A","183000"
"2 - No","OH","0.026","0.0012","0.023","0.028","0.034","0.0015","0.031","0.037","0.733","0.0147","0.703","0.761","7337000","N/A","333000"
"85 - BAD DATA Logically assigned","OH","0","0","0","0","0.014","0.0088","0.004","0.047","0.001","0.0004","0","0.002","6000","N/A","4000"
"94 - DON T KNOW","OH","0","0","0","0","0.033","0.0099","0.018","0.059","0.004","0.0012","0.002","0.007","38000","N/A","12000"
"97 - REFUSED","OH","0","0","0","0","0.063","0.0355","0.02","0.18","0.002","0.001","0.001","0.005","17000","N/A","10000"
"98 - BLANK","OH","0","0.0001","0","0.001","0.02","0.0034","0.015","0.028","0.014","0.0024","0.01","0.02","140000","N/A","23000"
"Overall","OK","0.012","0.0009","0.01","0.014","0.012","0.0009","0.01","0.014","1","0","N/A","N/A","3368000","N/A","254000"
"1 - Yes","OK","0.002","0.0003","0.002","0.003","0.011","0.0014","0.008","0.014","0.182","0.0159","0.153","0.215","613000","N/A","79000"
"2 - No","OK","0.009","0.0007","0.008","0.011","0.012","0.0009","0.01","0.014","0.78","0.0155","0.748","0.809","2626000","N/A","201000"
"85 - BAD DATA Logically assigned","OK","0","0","0","0","0.007","0.0053","0.002","0.031","0.001","0.0007","0","0.004","3000","N/A","2000"
"94 - DON T KNOW","OK","0","0","0","0","0.012","0.005","0.005","0.027","0.004","0.0018","0.002","0.01","14000","N/A","6000"
"97 - REFUSED","OK","0","0","0","0","0.016","0.0155","0.002","0.103","0.001","0.0013","0","0.009","4000","N/A","4000"
"98 - BLANK","OK","0","0.0001","0","0.001","0.016","0.0032","0.011","0.024","0.032","0.0067","0.021","0.048","108000","N/A","21000"
"Overall","OR","0.013","0.0007","0.012","0.014","0.013","0.0007","0.012","0.014","1","0","N/A","N/A","3686000","N/A","187000"
"1 - Yes","OR","0.003","0.0003","0.003","0.004","0.016","0.0015","0.013","0.019","0.251","0.0191","0.215","0.291","926000","N/A","88000"
"2 - No","OR","0.009","0.0005","0.008","0.011","0.012","0.0007","0.011","0.014","0.731","0.0185","0.694","0.766","2696000","N/A","149000"
"85 - BAD DATA Logically assigned","OR","0","0","0","0","0.023","0.0202","0.004","0.121","0.003","0.0023","0","0.015","10000","N/A","9000"
"94 - DON T KNOW","OR","0","0","0","0","0.015","0.0051","0.008","0.029","0.005","0.0016","0.002","0.009","17000","N/A","6000"
"97 - REFUSED","OR","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","OR","0","0","0","0","0.005","0.001","0.004","0.008","0.01","0.002","0.007","0.015","37000","N/A","7000"
"Overall","PA","0.039","0.0021","0.035","0.043","0.039","0.0021","0.035","0.043","1","0","N/A","N/A","11153000","N/A","600000"
"1 - Yes","PA","0.008","0.0006","0.007","0.009","0.038","0.0029","0.033","0.044","0.197","0.0125","0.174","0.223","2202000","N/A","169000"
"2 - No","PA","0.03","0.0018","0.027","0.034","0.039","0.0023","0.035","0.044","0.769","0.0137","0.741","0.795","8574000","N/A","515000"
"85 - BAD DATA Logically assigned","PA","0","0","0","0","0.045","0.0229","0.016","0.118","0.002","0.0009","0.001","0.005","19000","N/A","10000"
"94 - DON T KNOW","PA","0","0.0001","0","0.001","0.048","0.0228","0.019","0.118","0.005","0.0024","0.002","0.013","56000","N/A","27000"
"97 - REFUSED","PA","0","0","0","0","0.055","0.0307","0.018","0.156","0.001","0.0008","0","0.004","15000","N/A","9000"
"98 - BLANK","PA","0.001","0.0001","0.001","0.001","0.042","0.0059","0.032","0.055","0.026","0.0037","0.019","0.034","287000","N/A","41000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","957000","N/A","83000"
"1 - Yes","RI","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.004","0.176","0.0169","0.145","0.211","168000","N/A","19000"
"2 - No","RI","0.003","0.0003","0.002","0.003","0.004","0.0003","0.003","0.004","0.803","0.0177","0.766","0.835","768000","N/A","73000"
"85 - BAD DATA Logically assigned","RI","0","0","0","0","0.001","0.0006","0","0.004","0","0.0003","0","0.001","0","N/A","0"
"94 - DON T KNOW","RI","0","0","0","0","0.002","0.0009","0.001","0.005","0.002","0.0012","0.001","0.006","2000","N/A","1000"
"97 - REFUSED","RI","0","0","0","0","0.03","0.0296","0.004","0.185","0.009","0.0086","0.001","0.058","8000","N/A","8000"
"98 - BLANK","RI","0","0","0","0","0.001","0.0004","0.001","0.003","0.01","0.0031","0.006","0.019","10000","N/A","3000"
"Overall","SC","0.016","0.001","0.014","0.018","0.016","0.001","0.014","0.018","1","0","N/A","N/A","4599000","N/A","292000"
"1 - Yes","SC","0.002","0.0003","0.002","0.003","0.012","0.0014","0.009","0.015","0.148","0.0171","0.118","0.185","681000","N/A","82000"
"2 - No","SC","0.013","0.0009","0.011","0.015","0.016","0.0012","0.014","0.019","0.785","0.0198","0.743","0.821","3609000","N/A","265000"
"85 - BAD DATA Logically assigned","SC","0","0.0001","0","0.001","0.088","0.056","0.024","0.275","0.008","0.0055","0.002","0.031","37000","N/A","26000"
"94 - DON T KNOW","SC","0","0","0","0","0.024","0.0099","0.011","0.053","0.006","0.0025","0.003","0.014","28000","N/A","12000"
"97 - REFUSED","SC","0","0","0","0","0.019","0.013","0.005","0.07","0.001","0.0008","0","0.004","5000","N/A","4000"
"98 - BLANK","SC","0.001","0.0001","0.001","0.001","0.035","0.0054","0.026","0.047","0.052","0.0078","0.038","0.07","238000","N/A","37000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","759000","N/A","57000"
"1 - Yes","SD","0","0.0001","0","0","0.002","0.0002","0.001","0.002","0.125","0.0172","0.095","0.163","95000","N/A","14000"
"2 - No","SD","0.002","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","0.834","0.0196","0.791","0.869","632000","N/A","51000"
"85 - BAD DATA Logically assigned","SD","0","0","0","0","0.001","0.0012","0","0.009","0.001","0.0007","0","0.005","1000","N/A","1000"
"94 - DON T KNOW","SD","0","0","0","0","0.004","0.0032","0.001","0.018","0.007","0.0048","0.002","0.027","5000","N/A","4000"
"97 - REFUSED","SD","0","0","0","0","0.001","0.0009","0","0.005","0","0.0003","0","0.002","0","N/A","0"
"98 - BLANK","SD","0","0","0","0","0.004","0.0008","0.002","0.006","0.033","0.0075","0.021","0.052","25000","N/A","5000"
"Overall","TN","0.021","0.0011","0.019","0.023","0.021","0.0011","0.019","0.023","1","0","N/A","N/A","6059000","N/A","317000"
"1 - Yes","TN","0.004","0.0003","0.003","0.004","0.018","0.0016","0.015","0.021","0.173","0.0131","0.148","0.2","1046000","N/A","93000"
"2 - No","TN","0.017","0.001","0.015","0.019","0.022","0.0013","0.02","0.025","0.81","0.0139","0.781","0.835","4904000","N/A","281000"
"85 - BAD DATA Logically assigned","TN","0","0","0","0","0.018","0.0113","0.005","0.061","0.001","0.0008","0","0.004","7000","N/A","5000"
"94 - DON T KNOW","TN","0","0","0","0","0.005","0.0021","0.002","0.011","0.001","0.0004","0","0.002","6000","N/A","2000"
"97 - REFUSED","TN","0","0","0","0","0.036","0.0274","0.008","0.15","0.002","0.0013","0","0.008","10000","N/A","8000"
"98 - BLANK","TN","0","0.0001","0","0","0.012","0.0026","0.008","0.019","0.014","0.003","0.009","0.021","85000","N/A","18000"
"Overall","TX","0.089","0.0031","0.083","0.095","0.089","0.0031","0.083","0.095","1","0","N/A","N/A","25487000","N/A","939000"
"1 - Yes","TX","0.011","0.0007","0.009","0.012","0.052","0.0036","0.045","0.059","0.118","0.0068","0.105","0.132","3005000","N/A","216000"
"2 - No","TX","0.076","0.0027","0.07","0.081","0.099","0.0036","0.092","0.106","0.847","0.0077","0.832","0.862","21597000","N/A","819000"
"85 - BAD DATA Logically assigned","TX","0","0","0","0","0.051","0.0255","0.019","0.132","0.001","0.0004","0","0.002","22000","N/A","11000"
"94 - DON T KNOW","TX","0","0.0001","0","0","0.065","0.0164","0.039","0.105","0.003","0.0008","0.002","0.005","75000","N/A","20000"
"97 - REFUSED","TX","0","0","0","0","0.042","0.0272","0.011","0.142","0","0.0003","0","0.002","12000","N/A","8000"
"98 - BLANK","TX","0.003","0.0003","0.002","0.003","0.114","0.012","0.092","0.139","0.03","0.0035","0.024","0.038","776000","N/A","89000"
"Overall","UT","0.01","0.0006","0.009","0.011","0.01","0.0006","0.009","0.011","1","0","N/A","N/A","2844000","N/A","170000"
"1 - Yes","UT","0.001","0.0001","0.001","0.001","0.005","0.0006","0.004","0.006","0.095","0.0106","0.076","0.118","269000","N/A","32000"
"2 - No","UT","0.009","0.0006","0.008","0.01","0.012","0.0007","0.01","0.013","0.887","0.0116","0.862","0.907","2521000","N/A","160000"
"85 - BAD DATA Logically assigned","UT","0","0","0","0","0.011","0.0111","0.002","0.075","0.002","0.0017","0","0.012","5000","N/A","5000"
"94 - DON T KNOW","UT","0","0","0","0","0.012","0.006","0.004","0.032","0.005","0.0025","0.002","0.013","13000","N/A","7000"
"97 - REFUSED","UT","0","0","0","0","0.001","0.0007","0","0.005","0","0.0001","0","0","0","N/A","0"
"98 - BLANK","UT","0","0","0","0","0.005","0.0014","0.003","0.009","0.012","0.0034","0.007","0.021","35000","N/A","10000"
"Overall","VA","0.026","0.0017","0.023","0.029","0.026","0.0017","0.023","0.029","1","0","N/A","N/A","7346000","N/A","500000"
"1 - Yes","VA","0.004","0.0004","0.003","0.005","0.02","0.0019","0.016","0.024","0.158","0.0129","0.134","0.185","1158000","N/A","113000"
"2 - No","VA","0.021","0.0015","0.018","0.024","0.028","0.002","0.024","0.032","0.82","0.0142","0.791","0.847","6027000","N/A","443000"
"85 - BAD DATA Logically assigned","VA","0","0","0","0","0.008","0.0048","0.002","0.026","0","0.0003","0","0.001","3000","N/A","2000"
"94 - DON T KNOW","VA","0","0.0001","0","0","0.026","0.0154","0.008","0.081","0.004","0.0025","0.001","0.013","30000","N/A","18000"
"97 - REFUSED","VA","0","0","0","0","0.006","0.0032","0.002","0.017","0","0.0001","0","0.001","2000","N/A","1000"
"98 - BLANK","VA","0","0.0001","0","0.001","0.019","0.0061","0.01","0.035","0.017","0.0058","0.009","0.033","126000","N/A","42000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","571000","N/A","36000"
"1 - Yes","VT","0","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.212","0.0227","0.171","0.26","121000","N/A","15000"
"2 - No","VT","0.002","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.776","0.023","0.728","0.818","443000","N/A","32000"
"85 - BAD DATA Logically assigned","VT","0","0","0","0","0.001","0.0009","0","0.005","0.001","0.0006","0","0.003","1000","N/A","0"
"94 - DON T KNOW","VT","0","0","0","0","0","0.0001","0","0","0","0.0001","0","0.001","0","N/A","0"
"97 - REFUSED","VT","0","0","0","0","0.001","0.0009","0","0.005","0.001","0.0004","0","0.002","0","N/A","0"
"98 - BLANK","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.011","0.0031","0.006","0.019","6000","N/A","2000"
"Overall","WA","0.023","0.0015","0.021","0.027","0.023","0.0015","0.021","0.027","1","0","N/A","N/A","6713000","N/A","450000"
"1 - Yes","WA","0.005","0.0005","0.004","0.006","0.024","0.0024","0.019","0.029","0.204","0.0203","0.167","0.247","1370000","N/A","142000"
"2 - No","WA","0.018","0.0014","0.015","0.021","0.024","0.0018","0.02","0.027","0.768","0.0219","0.723","0.808","5157000","N/A","409000"
"85 - BAD DATA Logically assigned","WA","0","0.0001","0","0","0.06","0.0494","0.011","0.262","0.004","0.0032","0.001","0.02","26000","N/A","22000"
"94 - DON T KNOW","WA","0","0","0","0","0.011","0.005","0.005","0.027","0.002","0.0009","0.001","0.005","13000","N/A","6000"
"97 - REFUSED","WA","0","0","0","0","0.004","0.0041","0.001","0.029","0","0.0002","0","0.001","1000","N/A","1000"
"98 - BLANK","WA","0.001","0.0002","0","0.001","0.021","0.0067","0.012","0.039","0.022","0.0068","0.012","0.04","146000","N/A","46000"
"Overall","WI","0.018","0.0012","0.016","0.02","0.018","0.0012","0.016","0.02","1","0","N/A","N/A","5086000","N/A","344000"
"1 - Yes","WI","0.003","0.0003","0.002","0.003","0.013","0.0013","0.01","0.016","0.144","0.0134","0.12","0.172","732000","N/A","78000"
"2 - No","WI","0.015","0.0011","0.013","0.017","0.019","0.0014","0.017","0.022","0.829","0.0144","0.799","0.856","4218000","N/A","312000"
"85 - BAD DATA Logically assigned","WI","0","0","0","0","0.012","0.007","0.004","0.037","0.001","0.0006","0","0.003","5000","N/A","3000"
