"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - High school grad","MI","0.008","0.0005","0.007","0.009","0.033","0.0022","0.029","0.037","0.264","0.0133","0.239","0.291","2280000","N/A","153000"
"3 - Some coll/Assoc Dg","MI","0.009","0.0006","0.008","0.01","0.033","0.0023","0.029","0.038","0.3","0.0132","0.275","0.326","2588000","N/A","180000"
"4 - College graduate","MI","0.008","0.0005","0.007","0.009","0.027","0.0017","0.024","0.03","0.274","0.0131","0.249","0.3","2365000","N/A","148000"
"5 - 12 to 17 year olds","MI","0.003","0.0002","0.002","0.003","0.029","0.002","0.025","0.033","0.087","0.0054","0.077","0.099","755000","N/A","53000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4870000","N/A","363000"
"1 - Less high school","MN","0.001","0.0002","0.001","0.001","0.011","0.0022","0.007","0.016","0.054","0.0102","0.037","0.078","263000","N/A","52000"
"2 - High school grad","MN","0.004","0.0005","0.003","0.005","0.015","0.002","0.012","0.02","0.22","0.0214","0.181","0.265","1072000","N/A","140000"
"3 - Some coll/Assoc Dg","MN","0.005","0.0005","0.004","0.006","0.018","0.0018","0.015","0.022","0.291","0.0193","0.254","0.33","1416000","N/A","139000"
"4 - College graduate","MN","0.006","0.0006","0.005","0.007","0.019","0.0018","0.016","0.023","0.34","0.025","0.293","0.391","1658000","N/A","160000"
"5 - 12 to 17 year olds","MN","0.002","0.0002","0.001","0.002","0.018","0.0023","0.014","0.023","0.095","0.0087","0.079","0.113","461000","N/A","60000"
"Overall","MO","0.018","0.0011","0.016","0.021","0.018","0.0011","0.016","0.021","1","0","N/A","N/A","5241000","N/A","311000"
"1 - Less high school","MO","0.001","0.0002","0.001","0.002","0.016","0.0027","0.012","0.022","0.075","0.0111","0.056","0.1","392000","N/A","65000"
"2 - High school grad","MO","0.005","0.0005","0.004","0.006","0.021","0.0021","0.017","0.025","0.275","0.0189","0.239","0.313","1440000","N/A","143000"
"3 - Some coll/Assoc Dg","MO","0.005","0.0005","0.004","0.006","0.019","0.0018","0.016","0.023","0.28","0.0176","0.247","0.316","1470000","N/A","144000"
"4 - College graduate","MO","0.005","0.0005","0.004","0.006","0.016","0.0015","0.014","0.02","0.277","0.0261","0.229","0.331","1454000","N/A","136000"
"5 - 12 to 17 year olds","MO","0.002","0.0001","0.001","0.002","0.019","0.0015","0.016","0.022","0.093","0.0066","0.08","0.106","486000","N/A","38000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2450000","N/A","149000"
"1 - Less high school","MS","0.001","0.0001","0.001","0.001","0.011","0.0012","0.009","0.014","0.108","0.0115","0.088","0.133","266000","N/A","29000"
"2 - High school grad","MS","0.002","0.0002","0.002","0.003","0.01","0.0009","0.008","0.012","0.276","0.0203","0.239","0.318","677000","N/A","63000"
"3 - Some coll/Assoc Dg","MS","0.003","0.0002","0.002","0.003","0.01","0.0008","0.008","0.011","0.308","0.016","0.278","0.341","755000","N/A","60000"
"4 - College graduate","MS","0.002","0.0002","0.001","0.002","0.006","0.0007","0.005","0.007","0.207","0.0179","0.174","0.244","506000","N/A","58000"
"5 - 12 to 17 year olds","MS","0.001","0.0001","0.001","0.001","0.009","0.0009","0.008","0.012","0.1","0.0077","0.086","0.116","245000","N/A","24000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","969000","N/A","81000"
"1 - Less high school","MT","0","0","0","0","0.002","0.0005","0.001","0.003","0.057","0.0113","0.038","0.083","55000","N/A","11000"
"2 - High school grad","MT","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.26","0.025","0.214","0.312","252000","N/A","29000"
"3 - Some coll/Assoc Dg","MT","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.298","0.0252","0.251","0.35","289000","N/A","39000"
"4 - College graduate","MT","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.299","0.022","0.257","0.344","290000","N/A","31000"
"5 - 12 to 17 year olds","MT","0","0","0","0","0.003","0.0004","0.003","0.004","0.087","0.0073","0.073","0.102","84000","N/A","10000"
"Overall","NC","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9223000","N/A","572000"
"1 - Less high school","NC","0.003","0.0004","0.002","0.004","0.031","0.005","0.023","0.042","0.082","0.0116","0.062","0.107","752000","N/A","123000"
"2 - High school grad","NC","0.008","0.0008","0.006","0.009","0.031","0.0033","0.025","0.038","0.234","0.0207","0.196","0.277","2161000","N/A","233000"
"3 - Some coll/Assoc Dg","NC","0.009","0.0007","0.008","0.011","0.034","0.0026","0.029","0.039","0.283","0.0154","0.253","0.314","2606000","N/A","207000"
"4 - College graduate","NC","0.01","0.001","0.008","0.012","0.033","0.0032","0.027","0.039","0.312","0.0256","0.264","0.364","2873000","N/A","290000"
"5 - 12 to 17 year olds","NC","0.003","0.0003","0.002","0.004","0.032","0.0032","0.026","0.039","0.09","0.007","0.077","0.105","831000","N/A","85000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","649000","N/A","58000"
"1 - Less high school","ND","0","0","0","0","0.001","0.0003","0.001","0.002","0.055","0.0116","0.036","0.083","36000","N/A","8000"
"2 - High school grad","ND","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.227","0.0137","0.201","0.255","147000","N/A","16000"
"3 - Some coll/Assoc Dg","ND","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.345","0.0215","0.305","0.389","224000","N/A","23000"
"4 - College graduate","ND","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.278","0.0161","0.247","0.31","180000","N/A","21000"
"5 - 12 to 17 year olds","ND","0","0","0","0","0.002","0.0003","0.002","0.003","0.095","0.0096","0.077","0.115","61000","N/A","8000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1651000","N/A","109000"
"1 - Less high school","NE","0","0.0001","0","0.001","0.004","0.0008","0.003","0.006","0.061","0.0107","0.043","0.086","101000","N/A","18000"
"2 - High school grad","NE","0.001","0.0001","0.001","0.002","0.006","0.0006","0.004","0.007","0.234","0.0187","0.199","0.272","386000","N/A","42000"
"3 - Some coll/Assoc Dg","NE","0.002","0.0001","0.002","0.002","0.007","0.0005","0.006","0.008","0.308","0.0132","0.283","0.335","509000","N/A","41000"
"4 - College graduate","NE","0.002","0.0002","0.001","0.002","0.006","0.0005","0.005","0.007","0.295","0.0202","0.257","0.336","486000","N/A","44000"
