"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - Other or Multiple, Not Hispanic","CT","0.001","0.0002","0","0.001","0.008","0.0019","0.005","0.013","0.068","0.0137","0.045","0.1","211000","N/A","48000"
"4 - Hispanic","CT","0.002","0.0002","0.001","0.002","0.01","0.0013","0.008","0.013","0.165","0.0186","0.132","0.205","515000","N/A","66000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","572000","N/A","35000"
"1 - White, Not Hispanic","DC","0.001","0.0001","0.001","0.001","0.001","0.0001","0.001","0.002","0.393","0.0221","0.351","0.437","225000","N/A","18000"
"2 - Black, Not Hispanic","DC","0.001","0.0001","0.001","0.001","0.007","0.0006","0.006","0.008","0.428","0.0222","0.385","0.472","244000","N/A","20000"
"3 - Other or Multiple, Not Hispanic","DC","0","0","0","0","0.002","0.0002","0.001","0.002","0.072","0.0101","0.054","0.094","41000","N/A","6000"
"4 - Hispanic","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.107","0.0132","0.084","0.136","61000","N/A","9000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","863000","N/A","53000"
"1 - White, Not Hispanic","DE","0.002","0.0002","0.002","0.002","0.003","0.0002","0.003","0.004","0.627","0.024","0.578","0.672","541000","N/A","42000"
"2 - Black, Not Hispanic","DE","0.001","0.0001","0.001","0.001","0.005","0.0005","0.005","0.007","0.217","0.0179","0.184","0.254","187000","N/A","16000"
"3 - Other or Multiple, Not Hispanic","DE","0","0","0","0","0.002","0.0003","0.002","0.003","0.065","0.008","0.051","0.083","56000","N/A","8000"
"4 - Hispanic","DE","0","0","0","0","0.002","0.0002","0.001","0.002","0.091","0.0106","0.072","0.114","78000","N/A","11000"
"Overall","FL","0.067","0.0028","0.062","0.073","0.067","0.0028","0.062","0.073","1","0","N/A","N/A","18944000","N/A","822000"
"1 - White, Not Hispanic","FL","0.036","0.002","0.033","0.041","0.06","0.0033","0.054","0.067","0.541","0.0202","0.501","0.58","10248000","N/A","577000"
"2 - Black, Not Hispanic","FL","0.01","0.0012","0.008","0.012","0.081","0.0092","0.064","0.101","0.146","0.0162","0.117","0.181","2767000","N/A","336000"
"3 - Other or Multiple, Not Hispanic","FL","0.003","0.0004","0.003","0.004","0.036","0.0039","0.029","0.045","0.048","0.0048","0.04","0.059","913000","N/A","100000"
"4 - Hispanic","FL","0.018","0.0013","0.016","0.021","0.1","0.0069","0.087","0.114","0.265","0.0157","0.235","0.297","5017000","N/A","366000"
"Overall","GA","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9064000","N/A","548000"
"1 - White, Not Hispanic","GA","0.017","0.0014","0.014","0.02","0.028","0.0024","0.023","0.033","0.524","0.026","0.473","0.575","4750000","N/A","410000"
"2 - Black, Not Hispanic","GA","0.01","0.001","0.008","0.012","0.083","0.0075","0.07","0.099","0.315","0.0259","0.267","0.368","2858000","N/A","268000"
"3 - Other or Multiple, Not Hispanic","GA","0.002","0.0003","0.002","0.003","0.024","0.0031","0.018","0.03","0.066","0.0075","0.053","0.082","597000","N/A","78000"
"4 - Hispanic","GA","0.003","0.0003","0.003","0.004","0.017","0.0017","0.014","0.021","0.095","0.0089","0.079","0.114","859000","N/A","87000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1186000","N/A","91000"
"1 - White, Not Hispanic","HI","0.001","0.0001","0.001","0.001","0.001","0.0002","0.001","0.002","0.214","0.0207","0.177","0.258","254000","N/A","28000"
"2 - Black, Not Hispanic","HI","0","0","0","0","0","0.0001","0","0.001","0.013","0.0035","0.008","0.022","16000","N/A","4000"
"3 - Other or Multiple, Not Hispanic","HI","0.003","0.0003","0.002","0.003","0.032","0.0028","0.027","0.038","0.681","0.0239","0.632","0.726","808000","N/A","71000"
"4 - Hispanic","HI","0","0.0001","0","0.001","0.002","0.0004","0.002","0.003","0.092","0.0121","0.07","0.118","109000","N/A","18000"
"Overall","IA","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2687000","N/A","146000"
"1 - White, Not Hispanic","IA","0.008","0.0005","0.007","0.009","0.013","0.0008","0.012","0.015","0.858","0.0149","0.826","0.884","2305000","N/A","139000"
"2 - Black, Not Hispanic","IA","0","0.0001","0","0","0.003","0.0006","0.002","0.004","0.034","0.0075","0.022","0.052","92000","N/A","20000"
"3 - Other or Multiple, Not Hispanic","IA","0","0.0001","0","0.001","0.005","0.0009","0.004","0.007","0.047","0.0079","0.034","0.065","126000","N/A","22000"
"4 - Hispanic","IA","0.001","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.061","0.0091","0.046","0.082","164000","N/A","25000"
"Overall","ID","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","1","0","N/A","N/A","1602000","N/A","153000"
"1 - White, Not Hispanic","ID","0.005","0.0005","0.004","0.006","0.008","0.0008","0.006","0.009","0.824","0.0181","0.785","0.856","1320000","N/A","135000"
"2 - Black, Not Hispanic","ID","0","0","0","0","0","0.0002","0","0.001","0.008","0.0035","0.003","0.019","13000","N/A","6000"
"3 - Other or Multiple, Not Hispanic","ID","0","0.0001","0","0","0.003","0.0006","0.002","0.004","0.046","0.008","0.033","0.064","74000","N/A","14000"
"4 - Hispanic","ID","0.001","0.0001","0.001","0.001","0.004","0.0006","0.003","0.005","0.123","0.0165","0.094","0.159","196000","N/A","29000"
"Overall","IL","0.038","0.002","0.034","0.042","0.038","0.002","0.034","0.042","1","0","N/A","N/A","10700000","N/A","591000"
"1 - White, Not Hispanic","IL","0.023","0.0016","0.02","0.027","0.038","0.0026","0.034","0.044","0.613","0.0264","0.56","0.664","6563000","N/A","456000"
"2 - Black, Not Hispanic","IL","0.005","0.0009","0.004","0.007","0.042","0.0075","0.03","0.06","0.136","0.0221","0.098","0.185","1452000","N/A","265000"
"3 - Other or Multiple, Not Hispanic","IL","0.003","0.0004","0.002","0.004","0.033","0.0042","0.026","0.042","0.078","0.0099","0.06","0.099","830000","N/A","107000"
"4 - Hispanic","IL","0.007","0.0006","0.006","0.008","0.037","0.0033","0.031","0.044","0.173","0.0141","0.147","0.203","1854000","N/A","168000"
"Overall","IN","0.02","0.0015","0.018","0.023","0.02","0.0015","0.018","0.023","1","0","N/A","N/A","5711000","N/A","414000"
"1 - White, Not Hispanic","IN","0.016","0.0012","0.014","0.019","0.026","0.002","0.023","0.031","0.789","0.0184","0.751","0.823","4507000","N/A","344000"
"2 - Black, Not Hispanic","IN","0.002","0.0004","0.001","0.003","0.016","0.0029","0.011","0.023","0.094","0.016","0.067","0.131","540000","N/A","100000"
"3 - Other or Multiple, Not Hispanic","IN","0.001","0.0002","0.001","0.001","0.01","0.002","0.007","0.015","0.045","0.0082","0.031","0.064","256000","N/A","52000"
"4 - Hispanic","IN","0.001","0.0002","0.001","0.002","0.008","0.0011","0.006","0.01","0.072","0.0084","0.057","0.09","408000","N/A","53000"
"Overall","KS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2428000","N/A","144000"
"1 - White, Not Hispanic","KS","0.007","0.0005","0.006","0.008","0.011","0.0007","0.009","0.012","0.764","0.0191","0.725","0.799","1855000","N/A","125000"
"2 - Black, Not Hispanic","KS","0","0.0001","0","0.001","0.004","0.0007","0.003","0.005","0.054","0.0095","0.038","0.076","131000","N/A","22000"
"3 - Other or Multiple, Not Hispanic","KS","0.001","0.0001","0","0.001","0.006","0.0009","0.005","0.008","0.064","0.0088","0.049","0.084","156000","N/A","21000"
"4 - Hispanic","KS","0.001","0.0001","0.001","0.001","0.006","0.0008","0.004","0.008","0.118","0.0144","0.092","0.149","286000","N/A","41000"
"Overall","KY","0.013","0.0009","0.012","0.015","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","3775000","N/A","253000"
"1 - White, Not Hispanic","KY","0.011","0.0008","0.01","0.013","0.019","0.0013","0.016","0.022","0.848","0.02","0.804","0.883","3201000","N/A","231000"
"2 - Black, Not Hispanic","KY","0.001","0.0002","0.001","0.002","0.009","0.0016","0.006","0.012","0.08","0.0138","0.056","0.111","301000","N/A","53000"
"3 - Other or Multiple, Not Hispanic","KY","0","0.0001","0","0.001","0.005","0.001","0.004","0.008","0.035","0.0058","0.026","0.049","134000","N/A","25000"
"4 - Hispanic","KY","0","0.0001","0","0.001","0.003","0.0006","0.002","0.004","0.037","0.0078","0.024","0.056","139000","N/A","31000"
"Overall","LA","0.014","0.0012","0.011","0.016","0.014","0.0012","0.011","0.016","1","0","N/A","N/A","3815000","N/A","333000"
"1 - White, Not Hispanic","LA","0.008","0.0009","0.007","0.01","0.013","0.0014","0.011","0.016","0.597","0.0363","0.524","0.666","2277000","N/A","241000"
"2 - Black, Not Hispanic","LA","0.004","0.0006","0.003","0.006","0.035","0.005","0.026","0.046","0.313","0.0376","0.244","0.391","1192000","N/A","176000"
"3 - Other or Multiple, Not Hispanic","LA","0.001","0.0001","0","0.001","0.006","0.0016","0.003","0.01","0.039","0.0094","0.024","0.062","149000","N/A","40000"
"4 - Hispanic","LA","0.001","0.0001","0","0.001","0.004","0.0007","0.003","0.005","0.051","0.0081","0.038","0.07","196000","N/A","34000"
"Overall","MA","0.022","0.0014","0.019","0.025","0.022","0.0014","0.019","0.025","1","0","N/A","N/A","6059000","N/A","401000"
"1 - White, Not Hispanic","MA","0.015","0.0013","0.013","0.018","0.025","0.0021","0.022","0.03","0.716","0.0273","0.659","0.766","4336000","N/A","359000"
"2 - Black, Not Hispanic","MA","0.002","0.0003","0.001","0.002","0.013","0.0024","0.009","0.018","0.072","0.0131","0.05","0.102","434000","N/A","83000"
"3 - Other or Multiple, Not Hispanic","MA","0.002","0.0004","0.001","0.003","0.023","0.0042","0.016","0.032","0.094","0.0181","0.064","0.136","570000","N/A","107000"
"4 - Hispanic","MA","0.003","0.0004","0.002","0.004","0.014","0.0023","0.01","0.02","0.119","0.0177","0.088","0.158","719000","N/A","117000"
"Overall","MD","0.018","0.001","0.017","0.021","0.018","0.001","0.017","0.021","1","0","N/A","N/A","5196000","N/A","293000"
"1 - White, Not Hispanic","MD","0.009","0.0007","0.008","0.011","0.015","0.0012","0.013","0.018","0.502","0.0264","0.45","0.554","2608000","N/A","207000"
"2 - Black, Not Hispanic","MD","0.006","0.0005","0.005","0.007","0.046","0.0042","0.038","0.055","0.302","0.024","0.257","0.351","1568000","N/A","148000"
"3 - Other or Multiple, Not Hispanic","MD","0.002","0.0002","0.001","0.002","0.019","0.0025","0.015","0.025","0.094","0.012","0.073","0.121","490000","N/A","64000"
"4 - Hispanic","MD","0.002","0.0002","0.001","0.002","0.011","0.0013","0.008","0.014","0.102","0.0107","0.083","0.125","530000","N/A","68000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1207000","N/A","111000"
"1 - White, Not Hispanic","ME","0.004","0.0004","0.003","0.005","0.007","0.0006","0.005","0.008","0.932","0.0109","0.907","0.95","1124000","N/A","106000"
"2 - Black, Not Hispanic","ME","0","0","0","0","0.001","0.0001","0","0.001","0.017","0.0034","0.011","0.025","20000","N/A","4000"
"3 - Other or Multiple, Not Hispanic","ME","0","0","0","0","0.002","0.0004","0.001","0.003","0.033","0.0088","0.02","0.056","40000","N/A","11000"
"4 - Hispanic","ME","0","0","0","0","0","0.0001","0","0.001","0.019","0.0057","0.01","0.034","22000","N/A","7000"
"Overall","MI","0.031","0.0014","0.028","0.033","0.031","0.0014","0.028","0.033","1","0","N/A","N/A","8578000","N/A","398000"
"1 - White, Not Hispanic","MI","0.023","0.0013","0.021","0.026","0.038","0.0021","0.034","0.042","0.757","0.0166","0.723","0.788","6495000","N/A","362000"
"2 - Black, Not Hispanic","MI","0.004","0.0005","0.003","0.005","0.033","0.0038","0.026","0.041","0.131","0.0148","0.104","0.162","1121000","N/A","131000"
"3 - Other or Multiple, Not Hispanic","MI","0.002","0.0002","0.002","0.002","0.021","0.0021","0.017","0.025","0.061","0.0061","0.05","0.074","519000","N/A","53000"
"4 - Hispanic","MI","0.002","0.0002","0.001","0.002","0.009","0.0009","0.007","0.011","0.052","0.0052","0.042","0.063","444000","N/A","46000"
"Overall","MN","0.017","0.0012","0.015","0.02","0.017","0.0012","0.015","0.02","1","0","N/A","N/A","4815000","N/A","330000"
"1 - White, Not Hispanic","MN","0.014","0.001","0.012","0.016","0.022","0.0016","0.02","0.026","0.799","0.0186","0.76","0.833","3845000","N/A","273000"
"2 - Black, Not Hispanic","MN","0.001","0.0003","0.001","0.002","0.009","0.0022","0.006","0.015","0.067","0.0132","0.045","0.098","322000","N/A","74000"
"3 - Other or Multiple, Not Hispanic","MN","0.001","0.0002","0.001","0.002","0.015","0.0028","0.011","0.022","0.081","0.0143","0.057","0.114","391000","N/A","69000"
"4 - Hispanic","MN","0.001","0.0002","0.001","0.001","0.005","0.0009","0.004","0.007","0.053","0.0092","0.038","0.074","256000","N/A","45000"
"Overall","MO","0.018","0.0018","0.015","0.022","0.018","0.0018","0.015","0.022","1","0","N/A","N/A","5193000","N/A","521000"
"1 - White, Not Hispanic","MO","0.015","0.0016","0.012","0.018","0.024","0.0027","0.02","0.03","0.8","0.0214","0.755","0.839","4156000","N/A","463000"
"2 - Black, Not Hispanic","MO","0.002","0.0003","0.001","0.003","0.017","0.0028","0.012","0.023","0.111","0.0181","0.08","0.151","574000","N/A","97000"
"3 - Other or Multiple, Not Hispanic","MO","0.001","0.0002","0.001","0.001","0.01","0.002","0.006","0.014","0.047","0.0085","0.032","0.067","242000","N/A","51000"
"4 - Hispanic","MO","0.001","0.0001","0.001","0.001","0.004","0.0008","0.003","0.006","0.043","0.0072","0.031","0.059","221000","N/A","38000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2447000","N/A","153000"
"1 - White, Not Hispanic","MS","0.005","0.0003","0.004","0.006","0.008","0.0005","0.007","0.009","0.576","0.0256","0.525","0.625","1409000","N/A","85000"
"2 - Black, Not Hispanic","MS","0.003","0.0004","0.003","0.004","0.026","0.0029","0.021","0.033","0.369","0.0268","0.318","0.423","903000","N/A","100000"
"3 - Other or Multiple, Not Hispanic","MS","0","0","0","0","0.002","0.0004","0.002","0.003","0.025","0.0037","0.019","0.034","61000","N/A","10000"
"4 - Hispanic","MS","0","0.0001","0","0","0.001","0.0004","0.001","0.003","0.03","0.0078","0.018","0.05","74000","N/A","20000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","948000","N/A","91000"
"1 - White, Not Hispanic","MT","0.003","0.0003","0.002","0.004","0.005","0.0005","0.004","0.006","0.869","0.0159","0.834","0.897","823000","N/A","80000"
"2 - Black, Not Hispanic","MT","0","0","0","0","0","0.0001","0","0","0.004","0.0025","0.001","0.013","4000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","MT","0","0.0001","0","0","0.003","0.0007","0.002","0.005","0.088","0.0151","0.063","0.123","84000","N/A","16000"
"4 - Hispanic","MT","0","0","0","0","0.001","0.0001","0.001","0.001","0.039","0.0045","0.031","0.049","37000","N/A","6000"
"Overall","NC","0.032","0.0017","0.029","0.035","0.032","0.0017","0.029","0.035","1","0","N/A","N/A","8950000","N/A","481000"
"1 - White, Not Hispanic","NC","0.02","0.0015","0.018","0.023","0.033","0.0024","0.029","0.038","0.638","0.0265","0.584","0.688","5708000","N/A","411000"
"2 - Black, Not Hispanic","NC","0.007","0.0008","0.005","0.008","0.055","0.0062","0.044","0.068","0.21","0.0232","0.168","0.259","1876000","N/A","220000"
"3 - Other or Multiple, Not Hispanic","NC","0.002","0.0003","0.001","0.003","0.022","0.0035","0.016","0.03","0.062","0.0098","0.045","0.084","553000","N/A","89000"
"4 - Hispanic","NC","0.003","0.0004","0.002","0.004","0.016","0.0023","0.012","0.021","0.091","0.0121","0.07","0.118","813000","N/A","118000"
"Overall","ND","0.002","0.0003","0.002","0.003","0.002","0.0003","0.002","0.003","1","0","N/A","N/A","637000","N/A","74000"
"1 - White, Not Hispanic","ND","0.002","0.0002","0.002","0.002","0.003","0.0004","0.002","0.004","0.853","0.022","0.805","0.892","543000","N/A","66000"
"2 - Black, Not Hispanic","ND","0","0","0","0","0.001","0.0002","0","0.001","0.029","0.0104","0.014","0.058","18000","N/A","8000"
"3 - Other or Multiple, Not Hispanic","ND","0","0","0","0","0.002","0.0005","0.001","0.003","0.08","0.0189","0.05","0.126","51000","N/A","11000"
"4 - Hispanic","ND","0","0","0","0","0","0.0001","0","0.001","0.038","0.0098","0.023","0.063","24000","N/A","7000"
"Overall","NE","0.006","0.0003","0.005","0.007","0.006","0.0003","0.005","0.007","1","0","N/A","N/A","1627000","N/A","96000"
"1 - White, Not Hispanic","NE","0.005","0.0003","0.004","0.005","0.008","0.0005","0.007","0.009","0.795","0.0176","0.758","0.827","1293000","N/A","80000"
"2 - Black, Not Hispanic","NE","0","0","0","0","0.002","0.0004","0.001","0.003","0.045","0.0085","0.031","0.065","73000","N/A","13000"
"3 - Other or Multiple, Not Hispanic","NE","0","0.0001","0","0","0.003","0.0007","0.002","0.005","0.053","0.0102","0.036","0.077","86000","N/A","17000"
"4 - Hispanic","NE","0.001","0.0001","0","0.001","0.003","0.0006","0.003","0.005","0.107","0.0144","0.082","0.139","175000","N/A","28000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1218000","N/A","82000"
"1 - White, Not Hispanic","NH","0.004","0.0003","0.003","0.004","0.006","0.0005","0.006","0.007","0.898","0.0099","0.877","0.915","1093000","N/A","77000"
"2 - Black, Not Hispanic","NH","0","0","0","0","0.001","0.0002","0","0.001","0.016","0.0052","0.009","0.03","20000","N/A","6000"
"3 - Other or Multiple, Not Hispanic","NH","0","0","0","0","0.002","0.0003","0.002","0.003","0.046","0.006","0.035","0.059","56000","N/A","8000"
"4 - Hispanic","NH","0","0","0","0","0.001","0.0002","0.001","0.001","0.041","0.0059","0.03","0.054","49000","N/A","8000"
"Overall","NJ","0.028","0.0021","0.024","0.033","0.028","0.0021","0.024","0.033","1","0","N/A","N/A","7881000","N/A","605000"
"1 - White, Not Hispanic","NJ","0.015","0.0014","0.013","0.018","0.025","0.0023","0.021","0.03","0.549","0.0334","0.483","0.613","4325000","N/A","406000"
"2 - Black, Not Hispanic","NJ","0.004","0.0006","0.003","0.005","0.029","0.0052","0.021","0.041","0.127","0.0208","0.092","0.174","1003000","N/A","181000"
"3 - Other or Multiple, Not Hispanic","NJ","0.003","0.0006","0.002","0.005","0.037","0.0064","0.026","0.052","0.118","0.019","0.086","0.161","933000","N/A","165000"
"4 - Hispanic","NJ","0.006","0.0009","0.004","0.008","0.032","0.0049","0.024","0.043","0.206","0.0257","0.16","0.261","1620000","N/A","251000"
"Overall","NM","0.006","0.0005","0.006","0.007","0.006","0.0005","0.006","0.007","1","0","N/A","N/A","1786000","N/A","128000"
"1 - White, Not Hispanic","NM","0.002","0.0003","0.002","0.003","0.004","0.0005","0.003","0.005","0.378","0.0325","0.316","0.443","675000","N/A","80000"
"2 - Black, Not Hispanic","NM","0","0","0","0","0.001","0.0002","0.001","0.001","0.019","0.0037","0.013","0.028","33000","N/A","7000"
"3 - Other or Multiple, Not Hispanic","NM","0.001","0.0002","0","0.001","0.008","0.0019","0.005","0.013","0.119","0.0257","0.077","0.18","213000","N/A","48000"
"4 - Hispanic","NM","0.003","0.0003","0.003","0.004","0.017","0.0016","0.014","0.021","0.484","0.0293","0.427","0.542","865000","N/A","77000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2679000","N/A","210000"
"1 - White, Not Hispanic","NV","0.005","0.0004","0.004","0.005","0.008","0.0006","0.006","0.009","0.485","0.0244","0.437","0.532","1298000","N/A","106000"
"2 - Black, Not Hispanic","NV","0.001","0.0002","0.001","0.001","0.007","0.0013","0.005","0.01","0.092","0.0145","0.067","0.124","246000","N/A","46000"
"3 - Other or Multiple, Not Hispanic","NV","0.001","0.0001","0.001","0.002","0.015","0.0017","0.012","0.018","0.14","0.0113","0.119","0.163","374000","N/A","41000"
"4 - Hispanic","NV","0.003","0.0003","0.002","0.003","0.015","0.0017","0.012","0.019","0.284","0.0184","0.249","0.321","761000","N/A","86000"
"Overall","NY","0.06","0.0031","0.054","0.066","0.06","0.0031","0.054","0.066","1","0","N/A","N/A","16897000","N/A","892000"
"1 - White, Not Hispanic","NY","0.034","0.0025","0.029","0.039","0.055","0.0041","0.048","0.064","0.558","0.0219","0.515","0.6","9428000","N/A","725000"
"2 - Black, Not Hispanic","NY","0.009","0.0007","0.007","0.01","0.07","0.0056","0.06","0.082","0.142","0.0119","0.12","0.167","2402000","N/A","194000"
"3 - Other or Multiple, Not Hispanic","NY","0.007","0.0007","0.006","0.008","0.075","0.0072","0.062","0.091","0.113","0.0102","0.094","0.134","1903000","N/A","186000"
"4 - Hispanic","NY","0.011","0.0009","0.01","0.013","0.063","0.0048","0.054","0.073","0.187","0.0125","0.164","0.213","3164000","N/A","242000"
"Overall","OH","0.035","0.0016","0.032","0.039","0.035","0.0016","0.032","0.039","1","0","N/A","N/A","9941000","N/A","457000"
"1 - White, Not Hispanic","OH","0.028","0.0014","0.025","0.031","0.046","0.0022","0.042","0.051","0.791","0.0161","0.758","0.821","7866000","N/A","387000"
