"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - 26-34 Years Old","AZ","0.003","0.0004","0.002","0.004","0.022","0.003","0.017","0.029","0.143","0.0181","0.111","0.182","886000","N/A","123000"
"3 - 35-49 Years Old","AZ","0.005","0.0006","0.004","0.006","0.021","0.0025","0.017","0.027","0.212","0.0184","0.178","0.251","1317000","N/A","159000"
"4 - 50 or Older","AZ","0.009","0.0009","0.008","0.011","0.022","0.0021","0.019","0.027","0.426","0.0293","0.37","0.484","2643000","N/A","250000"
"5 - 12-17 Years Old","AZ","0.002","0.0002","0.002","0.003","0.022","0.0023","0.018","0.027","0.093","0.0072","0.08","0.108","578000","N/A","61000"
"Overall","CA","0.118","0.0043","0.11","0.127","0.118","0.0043","0.11","0.127","1","0","N/A","N/A","33113000","N/A","1333000"
"1 - 18-25 Years Old","CA","0.014","0.0008","0.013","0.016","0.118","0.006","0.107","0.131","0.122","0.0059","0.111","0.134","4031000","N/A","224000"
"2 - 26-34 Years Old","CA","0.018","0.0011","0.016","0.021","0.128","0.0073","0.115","0.143","0.156","0.0085","0.14","0.173","5157000","N/A","331000"
"3 - 35-49 Years Old","CA","0.027","0.0014","0.025","0.03","0.124","0.0061","0.112","0.136","0.233","0.0082","0.217","0.249","7708000","N/A","415000"
"4 - 50 or Older","CA","0.047","0.0024","0.042","0.052","0.111","0.0056","0.1","0.122","0.397","0.0124","0.373","0.421","13138000","N/A","715000"
"5 - 12-17 Years Old","CA","0.011","0.0007","0.01","0.012","0.119","0.0073","0.105","0.134","0.093","0.0048","0.084","0.103","3079000","N/A","207000"
"Overall","CO","0.018","0.0014","0.015","0.021","0.018","0.0014","0.015","0.021","1","0","N/A","N/A","4950000","N/A","388000"
"1 - 18-25 Years Old","CO","0.002","0.0003","0.002","0.003","0.018","0.0026","0.013","0.023","0.122","0.0141","0.096","0.152","601000","N/A","89000"
"2 - 26-34 Years Old","CO","0.003","0.0004","0.002","0.004","0.02","0.0025","0.016","0.025","0.162","0.0149","0.135","0.194","804000","N/A","101000"
"3 - 35-49 Years Old","CO","0.004","0.0004","0.003","0.005","0.019","0.0018","0.016","0.023","0.238","0.0153","0.209","0.269","1178000","N/A","111000"
"4 - 50 or Older","CO","0.007","0.0007","0.006","0.008","0.016","0.0016","0.013","0.02","0.389","0.0256","0.34","0.44","1924000","N/A","190000"
"5 - 12-17 Years Old","CO","0.002","0.0002","0.001","0.002","0.017","0.0022","0.013","0.022","0.089","0.0087","0.073","0.108","442000","N/A","58000"
"Overall","CT","0.011","0.0008","0.01","0.013","0.011","0.0008","0.01","0.013","1","0","N/A","N/A","3116000","N/A","235000"
"1 - 18-25 Years Old","CT","0.001","0.0002","0.001","0.002","0.011","0.0015","0.009","0.015","0.123","0.0137","0.099","0.153","384000","N/A","50000"
"2 - 26-34 Years Old","CT","0.001","0.0002","0.001","0.002","0.01","0.0012","0.008","0.013","0.129","0.0137","0.105","0.159","403000","N/A","47000"
"3 - 35-49 Years Old","CT","0.002","0.0003","0.002","0.003","0.011","0.0012","0.009","0.013","0.212","0.0183","0.178","0.25","660000","N/A","74000"
"4 - 50 or Older","CT","0.005","0.0006","0.004","0.006","0.012","0.0013","0.009","0.015","0.448","0.0314","0.388","0.51","1397000","N/A","158000"
"5 - 12-17 Years Old","CT","0.001","0.0001","0.001","0.001","0.011","0.0013","0.008","0.013","0.087","0.0101","0.069","0.109","272000","N/A","34000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","572000","N/A","35000"
"1 - 18-25 Years Old","DC","0","0","0","0","0.002","0.0003","0.002","0.003","0.137","0.0146","0.111","0.168","78000","N/A","9000"
"2 - 26-34 Years Old","DC","0","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.23","0.0213","0.19","0.274","131000","N/A","16000"
"3 - 35-49 Years Old","DC","0.001","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.253","0.0211","0.214","0.297","145000","N/A","16000"
"4 - 50 or Older","DC","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.321","0.0269","0.27","0.376","183000","N/A","18000"
"5 - 12-17 Years Old","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.06","0.0077","0.046","0.077","34000","N/A","4000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","863000","N/A","53000"
"1 - 18-25 Years Old","DE","0","0","0","0","0.003","0.0002","0.002","0.003","0.109","0.0076","0.095","0.125","94000","N/A","8000"
"2 - 26-34 Years Old","DE","0","0","0","0","0.003","0.0003","0.002","0.003","0.132","0.0122","0.11","0.158","114000","N/A","10000"
"3 - 35-49 Years Old","DE","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.201","0.0132","0.177","0.228","174000","N/A","15000"
"4 - 50 or Older","DE","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.473","0.0225","0.429","0.517","408000","N/A","36000"
"5 - 12-17 Years Old","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.085","0.0091","0.069","0.105","74000","N/A","9000"
"Overall","FL","0.067","0.0028","0.062","0.073","0.067","0.0028","0.062","0.073","1","0","N/A","N/A","18944000","N/A","822000"
"1 - 18-25 Years Old","FL","0.007","0.0005","0.006","0.008","0.058","0.0037","0.052","0.066","0.105","0.0056","0.095","0.117","1993000","N/A","130000"
"2 - 26-34 Years Old","FL","0.009","0.0005","0.008","0.01","0.061","0.0037","0.054","0.069","0.13","0.0074","0.116","0.145","2461000","N/A","151000"
"3 - 35-49 Years Old","FL","0.014","0.0007","0.013","0.016","0.064","0.0032","0.058","0.071","0.211","0.0081","0.195","0.227","3988000","N/A","204000"
"4 - 50 or Older","FL","0.032","0.0019","0.028","0.036","0.076","0.0045","0.068","0.085","0.474","0.0153","0.444","0.504","8984000","N/A","558000"
"5 - 12-17 Years Old","FL","0.005","0.0003","0.005","0.006","0.059","0.0035","0.052","0.066","0.08","0.0041","0.072","0.089","1518000","N/A","94000"
"Overall","GA","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9064000","N/A","548000"
"1 - 18-25 Years Old","GA","0.004","0.0005","0.003","0.005","0.033","0.0039","0.027","0.042","0.126","0.0128","0.103","0.153","1142000","N/A","137000"
"2 - 26-34 Years Old","GA","0.005","0.0004","0.004","0.006","0.033","0.0028","0.028","0.038","0.144","0.0084","0.129","0.162","1309000","N/A","112000"
"3 - 35-49 Years Old","GA","0.007","0.0006","0.006","0.009","0.033","0.0025","0.029","0.039","0.229","0.0111","0.208","0.251","2073000","N/A","162000"
"4 - 50 or Older","GA","0.013","0.0009","0.011","0.015","0.031","0.0022","0.027","0.035","0.4","0.0151","0.371","0.43","3628000","N/A","261000"
"5 - 12-17 Years Old","GA","0.003","0.0002","0.003","0.004","0.035","0.0027","0.03","0.041","0.101","0.0061","0.089","0.113","911000","N/A","70000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1186000","N/A","91000"
"1 - 18-25 Years Old","HI","0","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.101","0.009","0.084","0.12","119000","N/A","15000"
"2 - 26-34 Years Old","HI","0.001","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.134","0.0124","0.111","0.16","159000","N/A","18000"
"3 - 35-49 Years Old","HI","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.221","0.0192","0.186","0.261","262000","N/A","28000"
"4 - 50 or Older","HI","0.002","0.0002","0.002","0.002","0.005","0.0005","0.004","0.006","0.462","0.024","0.416","0.51","549000","N/A","54000"
"5 - 12-17 Years Old","HI","0","0","0","0","0.004","0.0005","0.003","0.005","0.082","0.0081","0.067","0.099","97000","N/A","13000"
"Overall","IA","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2687000","N/A","146000"
"1 - 18-25 Years Old","IA","0.001","0.0001","0.001","0.002","0.011","0.0011","0.009","0.013","0.134","0.0134","0.109","0.162","359000","N/A","39000"
"2 - 26-34 Years Old","IA","0.001","0.0002","0.001","0.002","0.009","0.0012","0.007","0.011","0.132","0.017","0.102","0.169","354000","N/A","48000"
"3 - 35-49 Years Old","IA","0.002","0.0002","0.002","0.002","0.009","0.0007","0.008","0.011","0.213","0.0137","0.188","0.241","573000","N/A","44000"
"4 - 50 or Older","IA","0.004","0.0003","0.003","0.005","0.01","0.0008","0.008","0.011","0.425","0.0209","0.385","0.467","1143000","N/A","96000"
"5 - 12-17 Years Old","IA","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.096","0.0088","0.08","0.115","259000","N/A","24000"
"Overall","ID","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","1","0","N/A","N/A","1602000","N/A","153000"
"1 - 18-25 Years Old","ID","0.001","0.0001","0.001","0.001","0.006","0.0009","0.005","0.008","0.128","0.0144","0.103","0.159","206000","N/A","30000"
"2 - 26-34 Years Old","ID","0.001","0.0001","0.001","0.001","0.005","0.0007","0.004","0.007","0.137","0.0133","0.113","0.166","220000","N/A","28000"
"3 - 35-49 Years Old","ID","0.001","0.0002","0.001","0.002","0.006","0.0007","0.004","0.007","0.222","0.0166","0.191","0.256","355000","N/A","44000"
"4 - 50 or Older","ID","0.002","0.0003","0.002","0.003","0.005","0.0007","0.004","0.007","0.407","0.0293","0.35","0.465","652000","N/A","81000"
"5 - 12-17 Years Old","ID","0.001","0.0001","0","0.001","0.007","0.0008","0.005","0.008","0.106","0.0092","0.089","0.126","170000","N/A","21000"
"Overall","IL","0.038","0.002","0.034","0.042","0.038","0.002","0.034","0.042","1","0","N/A","N/A","10700000","N/A","591000"
"1 - 18-25 Years Old","IL","0.005","0.0003","0.004","0.005","0.038","0.0028","0.033","0.044","0.121","0.0069","0.108","0.135","1292000","N/A","96000"
"2 - 26-34 Years Old","IL","0.005","0.0005","0.005","0.006","0.038","0.0031","0.032","0.044","0.142","0.0092","0.125","0.161","1516000","N/A","128000"
"3 - 35-49 Years Old","IL","0.009","0.0007","0.007","0.01","0.039","0.0029","0.033","0.045","0.225","0.0119","0.202","0.249","2408000","N/A","186000"
"4 - 50 or Older","IL","0.016","0.0011","0.014","0.018","0.038","0.0026","0.033","0.043","0.419","0.0175","0.385","0.454","4486000","N/A","316000"
"5 - 12-17 Years Old","IL","0.004","0.0003","0.003","0.004","0.039","0.0033","0.033","0.046","0.093","0.0062","0.082","0.106","998000","N/A","87000"
"Overall","IN","0.02","0.0015","0.018","0.023","0.02","0.0015","0.018","0.023","1","0","N/A","N/A","5711000","N/A","414000"
"1 - 18-25 Years Old","IN","0.003","0.0004","0.002","0.004","0.022","0.0031","0.017","0.029","0.131","0.0154","0.103","0.164","746000","N/A","107000"
"2 - 26-34 Years Old","IN","0.003","0.0003","0.002","0.004","0.02","0.0024","0.015","0.025","0.139","0.0116","0.117","0.163","792000","N/A","98000"
"3 - 35-49 Years Old","IN","0.004","0.0004","0.004","0.005","0.02","0.0019","0.017","0.024","0.217","0.0166","0.186","0.251","1240000","N/A","119000"
"4 - 50 or Older","IN","0.008","0.0007","0.007","0.01","0.02","0.0017","0.017","0.024","0.416","0.0216","0.374","0.459","2375000","N/A","208000"
"5 - 12-17 Years Old","IN","0.002","0.0002","0.002","0.002","0.022","0.0022","0.018","0.026","0.098","0.0078","0.083","0.114","558000","N/A","58000"
"Overall","KS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2428000","N/A","144000"
"1 - 18-25 Years Old","KS","0.001","0.0001","0.001","0.001","0.01","0.0012","0.007","0.012","0.134","0.0144","0.108","0.165","325000","N/A","41000"
"2 - 26-34 Years Old","KS","0.001","0.0001","0.001","0.001","0.008","0.0009","0.007","0.01","0.134","0.0111","0.114","0.158","326000","N/A","36000"
"3 - 35-49 Years Old","KS","0.002","0.0002","0.002","0.002","0.008","0.0008","0.007","0.01","0.217","0.016","0.187","0.25","527000","N/A","49000"
"4 - 50 or Older","KS","0.004","0.0002","0.003","0.004","0.008","0.0006","0.007","0.01","0.413","0.0191","0.376","0.451","1002000","N/A","69000"
"5 - 12-17 Years Old","KS","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.102","0.0097","0.084","0.122","247000","N/A","28000"
"Overall","KY","0.013","0.0009","0.012","0.015","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","3775000","N/A","253000"
"1 - 18-25 Years Old","KY","0.002","0.0002","0.001","0.002","0.013","0.0014","0.011","0.017","0.122","0.0131","0.098","0.15","460000","N/A","50000"
"2 - 26-34 Years Old","KY","0.002","0.0002","0.002","0.002","0.013","0.0013","0.011","0.016","0.136","0.0122","0.114","0.162","513000","N/A","51000"
"3 - 35-49 Years Old","KY","0.003","0.0003","0.002","0.004","0.013","0.0013","0.011","0.016","0.216","0.0152","0.187","0.247","814000","N/A","79000"
"4 - 50 or Older","KY","0.006","0.0006","0.005","0.007","0.014","0.0013","0.011","0.017","0.433","0.0242","0.386","0.481","1634000","N/A","160000"
"5 - 12-17 Years Old","KY","0.001","0.0001","0.001","0.002","0.014","0.0014","0.011","0.017","0.094","0.0067","0.081","0.108","354000","N/A","36000"
"Overall","LA","0.014","0.0012","0.011","0.016","0.014","0.0012","0.011","0.016","1","0","N/A","N/A","3815000","N/A","333000"
"1 - 18-25 Years Old","LA","0.002","0.0002","0.001","0.002","0.014","0.0019","0.01","0.018","0.121","0.0144","0.096","0.152","463000","N/A","66000"
"2 - 26-34 Years Old","LA","0.002","0.0002","0.001","0.002","0.013","0.0017","0.01","0.017","0.141","0.0145","0.115","0.172","537000","N/A","70000"
"3 - 35-49 Years Old","LA","0.003","0.0003","0.002","0.004","0.014","0.0015","0.011","0.017","0.22","0.0147","0.193","0.251","841000","N/A","95000"
"4 - 50 or Older","LA","0.006","0.0006","0.005","0.007","0.014","0.0014","0.011","0.017","0.42","0.0221","0.377","0.464","1602000","N/A","170000"
"5 - 12-17 Years Old","LA","0.001","0.0001","0.001","0.002","0.014","0.0015","0.012","0.018","0.097","0.0067","0.085","0.111","372000","N/A","38000"
"Overall","MA","0.022","0.0014","0.019","0.025","0.022","0.0014","0.019","0.025","1","0","N/A","N/A","6059000","N/A","401000"
"1 - 18-25 Years Old","MA","0.003","0.0003","0.002","0.004","0.023","0.0028","0.018","0.029","0.129","0.0128","0.106","0.156","781000","N/A","98000"
"2 - 26-34 Years Old","MA","0.003","0.0003","0.003","0.004","0.022","0.0023","0.018","0.027","0.145","0.0136","0.12","0.174","877000","N/A","95000"
"3 - 35-49 Years Old","MA","0.005","0.0004","0.004","0.005","0.021","0.0017","0.018","0.025","0.215","0.0182","0.181","0.252","1300000","N/A","110000"
"4 - 50 or Older","MA","0.009","0.0009","0.008","0.011","0.022","0.0022","0.018","0.027","0.432","0.0264","0.381","0.484","2616000","N/A","266000"
"5 - 12-17 Years Old","MA","0.002","0.0002","0.001","0.002","0.019","0.0026","0.014","0.024","0.08","0.0096","0.063","0.101","484000","N/A","67000"
"Overall","MD","0.018","0.001","0.017","0.021","0.018","0.001","0.017","0.021","1","0","N/A","N/A","5196000","N/A","293000"
"1 - 18-25 Years Old","MD","0.002","0.0002","0.002","0.002","0.017","0.0015","0.015","0.021","0.114","0.0068","0.101","0.128","591000","N/A","52000"
"2 - 26-34 Years Old","MD","0.003","0.0002","0.002","0.003","0.018","0.0015","0.015","0.021","0.139","0.0101","0.12","0.16","721000","N/A","61000"
"3 - 35-49 Years Old","MD","0.004","0.0003","0.004","0.005","0.019","0.0014","0.016","0.022","0.226","0.012","0.204","0.251","1176000","N/A","89000"
"4 - 50 or Older","MD","0.008","0.0006","0.007","0.009","0.019","0.0014","0.016","0.022","0.43","0.02","0.391","0.469","2233000","N/A","168000"
"5 - 12-17 Years Old","MD","0.002","0.0002","0.001","0.002","0.018","0.0016","0.015","0.022","0.091","0.0065","0.08","0.105","475000","N/A","43000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1207000","N/A","111000"
"1 - 18-25 Years Old","ME","0","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.102","0.0081","0.087","0.119","123000","N/A","15000"
"2 - 26-34 Years Old","ME","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.125","0.0127","0.102","0.152","151000","N/A","18000"
"3 - 35-49 Years Old","ME","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.202","0.014","0.176","0.231","244000","N/A","27000"
"4 - 50 or Older","ME","0.002","0.0002","0.002","0.003","0.005","0.0006","0.004","0.006","0.495","0.0243","0.448","0.543","598000","N/A","70000"
"5 - 12-17 Years Old","ME","0","0","0","0","0.004","0.0003","0.003","0.004","0.076","0.0069","0.064","0.091","92000","N/A","8000"
"Overall","MI","0.031","0.0014","0.028","0.033","0.031","0.0014","0.028","0.033","1","0","N/A","N/A","8578000","N/A","398000"
"1 - 18-25 Years Old","MI","0.004","0.0002","0.003","0.004","0.031","0.0019","0.027","0.035","0.123","0.0058","0.112","0.135","1057000","N/A","65000"
"2 - 26-34 Years Old","MI","0.004","0.0003","0.004","0.005","0.029","0.002","0.026","0.033","0.137","0.0082","0.122","0.154","1174000","N/A","80000"
"3 - 35-49 Years Old","MI","0.006","0.0004","0.006","0.007","0.028","0.0016","0.025","0.032","0.205","0.0073","0.191","0.22","1760000","N/A","101000"
"4 - 50 or Older","MI","0.014","0.0009","0.012","0.015","0.032","0.002","0.029","0.037","0.446","0.0153","0.416","0.476","3825000","N/A","244000"
"5 - 12-17 Years Old","MI","0.003","0.0002","0.002","0.003","0.029","0.002","0.026","0.034","0.089","0.0048","0.08","0.099","762000","N/A","50000"
"Overall","MN","0.017","0.0012","0.015","0.02","0.017","0.0012","0.015","0.02","1","0","N/A","N/A","4815000","N/A","330000"
"1 - 18-25 Years Old","MN","0.002","0.0003","0.002","0.003","0.017","0.0022","0.013","0.022","0.119","0.0139","0.094","0.149","572000","N/A","76000"
"2 - 26-34 Years Old","MN","0.002","0.0003","0.002","0.003","0.017","0.0017","0.014","0.02","0.139","0.0159","0.11","0.173","668000","N/A","70000"
"3 - 35-49 Years Old","MN","0.004","0.0004","0.003","0.005","0.017","0.002","0.014","0.022","0.225","0.0179","0.192","0.262","1082000","N/A","124000"
"4 - 50 or Older","MN","0.007","0.0007","0.006","0.009","0.017","0.0017","0.014","0.021","0.422","0.0271","0.37","0.476","2032000","N/A","203000"
"5 - 12-17 Years Old","MN","0.002","0.0002","0.001","0.002","0.018","0.0026","0.013","0.024","0.096","0.0123","0.074","0.123","460000","N/A","69000"
"Overall","MO","0.018","0.0018","0.015","0.022","0.018","0.0018","0.015","0.022","1","0","N/A","N/A","5193000","N/A","521000"
"1 - 18-25 Years Old","MO","0.002","0.0003","0.002","0.003","0.019","0.0026","0.014","0.024","0.122","0.0142","0.097","0.153","633000","N/A","89000"
"2 - 26-34 Years Old","MO","0.003","0.0003","0.002","0.003","0.018","0.0023","0.014","0.023","0.138","0.0151","0.111","0.171","718000","N/A","91000"
"3 - 35-49 Years Old","MO","0.004","0.0005","0.003","0.005","0.018","0.0022","0.014","0.023","0.215","0.0148","0.188","0.246","1118000","N/A","137000"
"4 - 50 or Older","MO","0.008","0.001","0.006","0.01","0.019","0.0023","0.015","0.024","0.431","0.0296","0.374","0.49","2240000","N/A","284000"
"5 - 12-17 Years Old","MO","0.002","0.0003","0.001","0.003","0.019","0.0037","0.013","0.028","0.093","0.0143","0.069","0.125","484000","N/A","97000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2447000","N/A","153000"
"1 - 18-25 Years Old","MS","0.001","0.0001","0.001","0.001","0.009","0.001","0.007","0.011","0.127","0.01","0.108","0.148","310000","N/A","34000"
"2 - 26-34 Years Old","MS","0.001","0.0001","0.001","0.001","0.008","0.0007","0.007","0.01","0.133","0.0103","0.114","0.155","326000","N/A","29000"
"3 - 35-49 Years Old","MS","0.002","0.0002","0.002","0.002","0.008","0.0007","0.007","0.01","0.214","0.0157","0.184","0.246","523000","N/A","43000"
"4 - 50 or Older","MS","0.004","0.0003","0.003","0.004","0.009","0.0008","0.007","0.011","0.425","0.0232","0.38","0.471","1039000","N/A","97000"
"5 - 12-17 Years Old","MS","0.001","0.0001","0.001","0.001","0.01","0.0008","0.008","0.011","0.102","0.007","0.089","0.116","249000","N/A","20000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","948000","N/A","91000"
"1 - 18-25 Years Old","MT","0","0.0001","0","0.001","0.003","0.0005","0.003","0.004","0.12","0.0136","0.096","0.15","114000","N/A","17000"
"2 - 26-34 Years Old","MT","0","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.135","0.0145","0.109","0.166","128000","N/A","15000"
"3 - 35-49 Years Old","MT","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.211","0.015","0.183","0.242","200000","N/A","22000"
"4 - 50 or Older","MT","0.002","0.0002","0.001","0.002","0.004","0.0004","0.003","0.005","0.446","0.025","0.398","0.496","423000","N/A","51000"
"5 - 12-17 Years Old","MT","0","0.0001","0","0","0.003","0.0006","0.002","0.005","0.088","0.012","0.067","0.114","83000","N/A","15000"
"Overall","NC","0.032","0.0017","0.029","0.035","0.032","0.0017","0.029","0.035","1","0","N/A","N/A","8950000","N/A","481000"
"1 - 18-25 Years Old","NC","0.004","0.0003","0.003","0.004","0.032","0.0024","0.027","0.037","0.121","0.0081","0.106","0.138","1086000","N/A","84000"
"2 - 26-34 Years Old","NC","0.004","0.0004","0.004","0.005","0.031","0.0028","0.026","0.037","0.139","0.0118","0.117","0.163","1241000","N/A","113000"
"3 - 35-49 Years Old","NC","0.007","0.0005","0.006","0.008","0.031","0.0023","0.027","0.036","0.218","0.0122","0.195","0.243","1951000","N/A","144000"
"4 - 50 or Older","NC","0.014","0.0011","0.012","0.016","0.033","0.0025","0.028","0.038","0.43","0.019","0.394","0.468","3852000","N/A","305000"
"5 - 12-17 Years Old","NC","0.003","0.0003","0.002","0.003","0.032","0.0028","0.027","0.038","0.092","0.0072","0.079","0.107","821000","N/A","74000"
"Overall","ND","0.002","0.0003","0.002","0.003","0.002","0.0003","0.002","0.003","1","0","N/A","N/A","637000","N/A","74000"
"1 - 18-25 Years Old","ND","0","0.0001","0","0.001","0.003","0.0006","0.002","0.004","0.146","0.025","0.104","0.203","93000","N/A","20000"
"2 - 26-34 Years Old","ND","0","0","0","0","0.002","0.0003","0.002","0.003","0.15","0.0147","0.124","0.181","96000","N/A","12000"
"3 - 35-49 Years Old","ND","0","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.215","0.0202","0.178","0.257","137000","N/A","22000"
"4 - 50 or Older","ND","0.001","0.0001","0.001","0.001","0.002","0.0003","0.002","0.003","0.394","0.0356","0.327","0.465","251000","N/A","35000"
"5 - 12-17 Years Old","ND","0","0","0","0","0.002","0.0004","0.002","0.003","0.094","0.0136","0.071","0.125","60000","N/A","12000"
"Overall","NE","0.006","0.0003","0.005","0.007","0.006","0.0003","0.005","0.007","1","0","N/A","N/A","1627000","N/A","96000"
