"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - Employed full time","AL","0.006","0.0005","0.005","0.007","0.013","0.0013","0.011","0.016","0.379","0.0171","0.346","0.413","1638000","N/A","156000"
"2 - Employed part time","AL","0.002","0.0002","0.001","0.002","0.013","0.0014","0.011","0.016","0.109","0.01","0.091","0.13","470000","N/A","49000"
"3 - Unemployed","AL","0.001","0.0001","0.001","0.001","0.016","0.0018","0.013","0.02","0.05","0.0059","0.04","0.063","218000","N/A","25000"
"4 - Other","AL","0.006","0.0004","0.006","0.007","0.018","0.0013","0.015","0.02","0.418","0.0145","0.39","0.447","1808000","N/A","129000"
"99 - 12-14 year olds","AL","0.001","0.0001","0.001","0.001","0.015","0.0018","0.012","0.019","0.043","0.0036","0.037","0.051","187000","N/A","22000"
"Overall","AR","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2572000","N/A","166000"
"1 - Employed full time","AR","0.003","0.0003","0.003","0.004","0.008","0.0007","0.007","0.009","0.379","0.0213","0.338","0.421","974000","N/A","80000"
"2 - Employed part time","AR","0.001","0.0001","0.001","0.001","0.008","0.0011","0.006","0.01","0.111","0.0113","0.091","0.135","286000","N/A","37000"
"3 - Unemployed","AR","0.001","0.0001","0","0.001","0.011","0.0013","0.009","0.014","0.06","0.0064","0.049","0.074","154000","N/A","18000"
"4 - Other","AR","0.004","0.0003","0.003","0.004","0.01","0.0009","0.009","0.012","0.41","0.0207","0.37","0.451","1055000","N/A","88000"
"99 - 12-14 year olds","AR","0","0","0","0","0.008","0.0009","0.007","0.01","0.04","0.0042","0.032","0.049","103000","N/A","12000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6394000","N/A","462000"
"1 - Employed full time","AZ","0.009","0.0007","0.007","0.01","0.021","0.0017","0.018","0.025","0.396","0.0196","0.358","0.435","2530000","N/A","216000"
"2 - Employed part time","AZ","0.003","0.0004","0.002","0.003","0.02","0.0031","0.015","0.027","0.112","0.0136","0.088","0.142","719000","N/A","111000"
"3 - Unemployed","AZ","0.001","0.0002","0.001","0.002","0.026","0.0036","0.02","0.034","0.056","0.0077","0.043","0.073","359000","N/A","50000"
"4 - Other","AZ","0.009","0.0009","0.007","0.011","0.024","0.0024","0.02","0.029","0.386","0.026","0.337","0.439","2471000","N/A","248000"
"99 - 12-14 year olds","AZ","0.001","0.0001","0.001","0.001","0.025","0.0032","0.02","0.033","0.049","0.0059","0.039","0.062","315000","N/A","41000"
"Overall","CA","0.117","0.004","0.109","0.125","0.117","0.004","0.109","0.125","1","0","N/A","N/A","33372000","N/A","1253000"
"1 - Employed full time","CA","0.049","0.002","0.045","0.053","0.115","0.0046","0.106","0.124","0.419","0.0092","0.401","0.437","13971000","N/A","609000"
"2 - Employed part time","CA","0.014","0.0008","0.013","0.016","0.115","0.0064","0.103","0.128","0.122","0.0049","0.112","0.132","4067000","N/A","245000"
"3 - Unemployed","CA","0.007","0.0005","0.006","0.008","0.139","0.0094","0.122","0.158","0.058","0.004","0.05","0.066","1925000","N/A","143000"
"4 - Other","CA","0.042","0.0017","0.039","0.046","0.118","0.0047","0.109","0.128","0.362","0.0089","0.345","0.38","12089000","N/A","524000"
"99 - 12-14 year olds","CA","0.005","0.0003","0.004","0.005","0.106","0.0073","0.093","0.122","0.04","0.0024","0.035","0.045","1320000","N/A","99000"
"Overall","CO","0.018","0.0013","0.015","0.02","0.018","0.0013","0.015","0.02","1","0","N/A","N/A","5050000","N/A","384000"
"1 - Employed full time","CO","0.008","0.0007","0.007","0.01","0.019","0.0017","0.016","0.023","0.465","0.0218","0.422","0.508","2348000","N/A","212000"
"2 - Employed part time","CO","0.002","0.0003","0.002","0.003","0.019","0.0022","0.015","0.024","0.133","0.0106","0.113","0.155","670000","N/A","77000"
"3 - Unemployed","CO","0.001","0.0001","0","0.001","0.014","0.0024","0.01","0.02","0.038","0.0058","0.028","0.051","193000","N/A","34000"
"4 - Other","CO","0.006","0.0005","0.005","0.007","0.016","0.0015","0.013","0.019","0.321","0.0194","0.284","0.36","1622000","N/A","155000"
"99 - 12-14 year olds","CO","0.001","0.0001","0.001","0.001","0.018","0.0022","0.014","0.023","0.043","0.0053","0.034","0.055","218000","N/A","28000"
"Overall","CT","0.011","0.001","0.009","0.013","0.011","0.001","0.009","0.013","1","0","N/A","N/A","3146000","N/A","275000"
"1 - Employed full time","CT","0.005","0.0004","0.004","0.006","0.011","0.0011","0.01","0.014","0.443","0.0176","0.409","0.478","1395000","N/A","129000"
"2 - Employed part time","CT","0.001","0.0002","0.001","0.002","0.012","0.0016","0.009","0.015","0.134","0.014","0.109","0.164","422000","N/A","56000"
"3 - Unemployed","CT","0","0.0001","0","0.001","0.009","0.0017","0.006","0.013","0.039","0.007","0.028","0.056","124000","N/A","24000"
"4 - Other","CT","0.004","0.0004","0.003","0.005","0.011","0.0012","0.008","0.013","0.348","0.0207","0.308","0.389","1094000","N/A","128000"
"99 - 12-14 year olds","CT","0","0.0001","0","0.001","0.009","0.0013","0.007","0.012","0.035","0.0054","0.026","0.048","112000","N/A","16000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","591000","N/A","41000"
"1 - Employed full time","DC","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.51","0.0192","0.472","0.547","301000","N/A","25000"
"2 - Employed part time","DC","0","0","0","0","0.002","0.0002","0.002","0.002","0.117","0.0112","0.097","0.141","69000","N/A","8000"
"3 - Unemployed","DC","0","0","0","0","0.003","0.0005","0.002","0.004","0.06","0.0123","0.04","0.089","36000","N/A","7000"
"4 - Other","DC","0.001","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.279","0.0198","0.242","0.32","165000","N/A","16000"
"99 - 12-14 year olds","DC","0","0","0","0","0.002","0.0002","0.001","0.002","0.033","0.0045","0.026","0.044","20000","N/A","3000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","892000","N/A","42000"
"1 - Employed full time","DE","0.001","0.0001","0.001","0.002","0.003","0.0002","0.003","0.004","0.422","0.0193","0.384","0.46","376000","N/A","28000"
"2 - Employed part time","DE","0","0","0","0","0.003","0.0003","0.003","0.004","0.13","0.0123","0.108","0.156","116000","N/A","12000"
"3 - Unemployed","DE","0","0","0","0","0.003","0.0004","0.002","0.004","0.048","0.0059","0.037","0.061","43000","N/A","5000"
"4 - Other","DE","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.004","0.358","0.0173","0.325","0.393","320000","N/A","20000"
"99 - 12-14 year olds","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.042","0.0042","0.035","0.051","37000","N/A","4000"
"Overall","FL","0.069","0.0027","0.064","0.075","0.069","0.0027","0.064","0.075","1","0","N/A","N/A","19799000","N/A","803000"
"1 - Employed full time","FL","0.029","0.0013","0.027","0.032","0.068","0.0029","0.063","0.074","0.419","0.0123","0.395","0.443","8286000","N/A","375000"
"2 - Employed part time","FL","0.008","0.0006","0.007","0.01","0.067","0.0046","0.059","0.077","0.12","0.0068","0.107","0.134","2374000","N/A","168000"
"3 - Unemployed","FL","0.003","0.0003","0.003","0.004","0.071","0.0063","0.06","0.085","0.05","0.0042","0.042","0.059","988000","N/A","93000"
"4 - Other","FL","0.026","0.0015","0.023","0.029","0.072","0.004","0.065","0.08","0.373","0.0134","0.347","0.399","7379000","N/A","431000"
"99 - 12-14 year olds","FL","0.003","0.0002","0.002","0.003","0.062","0.0043","0.054","0.071","0.039","0.0024","0.035","0.044","772000","N/A","55000"
"Overall","GA","0.033","0.0017","0.029","0.036","0.033","0.0017","0.029","0.036","1","0","N/A","N/A","9294000","N/A","506000"
"1 - Employed full time","GA","0.014","0.0009","0.012","0.016","0.033","0.0022","0.029","0.038","0.438","0.0206","0.398","0.478","4068000","N/A","275000"
"2 - Employed part time","GA","0.003","0.0004","0.003","0.004","0.028","0.0035","0.022","0.036","0.106","0.0124","0.084","0.133","983000","N/A","128000"
"3 - Unemployed","GA","0.001","0.0002","0.001","0.002","0.031","0.0041","0.024","0.04","0.046","0.0059","0.036","0.059","426000","N/A","58000"
"4 - Other","GA","0.012","0.0009","0.01","0.014","0.033","0.0026","0.028","0.039","0.366","0.0175","0.332","0.401","3401000","N/A","274000"
"99 - 12-14 year olds","GA","0.001","0.0001","0.001","0.002","0.034","0.0025","0.029","0.039","0.045","0.0036","0.038","0.052","416000","N/A","31000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1196000","N/A","87000"
"1 - Employed full time","HI","0.002","0.0002","0.001","0.002","0.004","0.0004","0.003","0.005","0.403","0.0189","0.366","0.44","481000","N/A","48000"
"2 - Employed part time","HI","0.001","0.0001","0","0.001","0.005","0.0006","0.004","0.006","0.148","0.0137","0.123","0.177","177000","N/A","20000"
"3 - Unemployed","HI","0","0","0","0","0.002","0.0004","0.002","0.003","0.028","0.0044","0.02","0.038","33000","N/A","6000"
"4 - Other","HI","0.002","0.0001","0.001","0.002","0.004","0.0004","0.004","0.005","0.378","0.0195","0.34","0.417","451000","N/A","37000"
"99 - 12-14 year olds","HI","0","0","0","0","0.004","0.0004","0.004","0.005","0.044","0.0038","0.037","0.052","53000","N/A","4000"
"Overall","IA","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2710000","N/A","192000"
"1 - Employed full time","IA","0.004","0.0004","0.003","0.005","0.01","0.0008","0.008","0.012","0.436","0.0184","0.401","0.473","1183000","N/A","102000"
"2 - Employed part time","IA","0.001","0.0002","0.001","0.002","0.011","0.0012","0.009","0.014","0.148","0.0144","0.122","0.179","402000","N/A","44000"
"3 - Unemployed","IA","0","0.0001","0","0","0.006","0.0013","0.004","0.01","0.033","0.006","0.023","0.047","89000","N/A","18000"
"4 - Other","IA","0.003","0.0003","0.003","0.004","0.009","0.0008","0.008","0.011","0.339","0.0185","0.303","0.376","918000","N/A","81000"
"99 - 12-14 year olds","IA","0","0.0001","0","0.001","0.009","0.0012","0.007","0.012","0.043","0.0044","0.036","0.053","118000","N/A","15000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1662000","N/A","128000"
"1 - Employed full time","ID","0.002","0.0002","0.002","0.003","0.005","0.0005","0.005","0.006","0.397","0.0222","0.354","0.441","659000","N/A","60000"
"2 - Employed part time","ID","0.001","0.0001","0.001","0.001","0.007","0.0008","0.006","0.009","0.156","0.012","0.134","0.181","259000","N/A","28000"
"3 - Unemployed","ID","0","0","0","0","0.004","0.0006","0.003","0.006","0.034","0.0048","0.026","0.045","57000","N/A","8000"
"4 - Other","ID","0.002","0.0002","0.002","0.003","0.006","0.0006","0.005","0.007","0.365","0.0215","0.324","0.408","606000","N/A","61000"
"99 - 12-14 year olds","ID","0","0","0","0","0.006","0.001","0.005","0.009","0.049","0.0055","0.039","0.06","81000","N/A","12000"
"Overall","IL","0.038","0.0017","0.034","0.041","0.038","0.0017","0.034","0.041","1","0","N/A","N/A","10747000","N/A","501000"
"1 - Employed full time","IL","0.016","0.0009","0.015","0.018","0.038","0.002","0.035","0.043","0.434","0.0133","0.408","0.461","4667000","N/A","249000"
"2 - Employed part time","IL","0.005","0.0004","0.004","0.006","0.04","0.0028","0.035","0.046","0.131","0.0081","0.116","0.148","1411000","N/A","102000"
"3 - Unemployed","IL","0.002","0.0002","0.002","0.003","0.043","0.0049","0.034","0.054","0.055","0.0056","0.045","0.067","595000","N/A","70000"
"4 - Other","IL","0.013","0.0008","0.011","0.014","0.035","0.0023","0.031","0.04","0.337","0.0143","0.309","0.365","3618000","N/A","240000"
"99 - 12-14 year olds","IL","0.002","0.0001","0.001","0.002","0.037","0.0031","0.031","0.043","0.042","0.0031","0.037","0.049","456000","N/A","39000"
"Overall","IN","0.02","0.0013","0.018","0.023","0.02","0.0013","0.018","0.023","1","0","N/A","N/A","5777000","N/A","364000"
"1 - Employed full time","IN","0.008","0.0006","0.007","0.01","0.02","0.0013","0.017","0.022","0.414","0.0178","0.38","0.449","2392000","N/A","164000"
"2 - Employed part time","IN","0.003","0.0002","0.002","0.003","0.021","0.0018","0.017","0.025","0.126","0.0101","0.107","0.147","728000","N/A","66000"
"3 - Unemployed","IN","0.001","0.0002","0.001","0.001","0.021","0.0034","0.015","0.029","0.051","0.0071","0.039","0.067","294000","N/A","47000"
"4 - Other","IN","0.007","0.0006","0.006","0.009","0.021","0.0018","0.017","0.024","0.365","0.0184","0.33","0.402","2110000","N/A","186000"
"99 - 12-14 year olds","IN","0.001","0.0001","0.001","0.001","0.02","0.0029","0.015","0.027","0.044","0.0051","0.035","0.055","252000","N/A","37000"
"Overall","KS","0.009","0.0006","0.007","0.01","0.009","0.0006","0.007","0.01","1","0","N/A","N/A","2451000","N/A","166000"
"1 - Employed full time","KS","0.004","0.0003","0.003","0.004","0.009","0.0007","0.008","0.01","0.445","0.0188","0.409","0.482","1091000","N/A","87000"
"2 - Employed part time","KS","0.001","0.0001","0.001","0.001","0.009","0.0007","0.007","0.01","0.123","0.0094","0.106","0.143","302000","N/A","26000"
"3 - Unemployed","KS","0","0.0001","0","0.001","0.009","0.0016","0.006","0.012","0.048","0.0075","0.036","0.065","118000","N/A","22000"
"4 - Other","KS","0.003","0.0003","0.002","0.003","0.008","0.0007","0.007","0.01","0.335","0.0166","0.303","0.369","821000","N/A","72000"
"99 - 12-14 year olds","KS","0","0.0001","0","0.001","0.01","0.0012","0.008","0.012","0.048","0.0053","0.039","0.06","118000","N/A","14000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3810000","N/A","210000"
"1 - Employed full time","KY","0.005","0.0003","0.005","0.006","0.012","0.0008","0.011","0.014","0.394","0.0167","0.362","0.428","1503000","N/A","92000"
"2 - Employed part time","KY","0.001","0.0002","0.001","0.002","0.012","0.0014","0.009","0.015","0.111","0.0116","0.09","0.136","422000","N/A","49000"
"3 - Unemployed","KY","0.001","0.0001","0","0.001","0.012","0.0021","0.008","0.017","0.044","0.0074","0.031","0.061","166000","N/A","29000"
"4 - Other","KY","0.005","0.0004","0.005","0.006","0.015","0.0012","0.013","0.018","0.405","0.019","0.368","0.442","1541000","N/A","126000"
"99 - 12-14 year olds","KY","0.001","0.0001","0.001","0.001","0.014","0.0014","0.012","0.017","0.047","0.0042","0.039","0.056","178000","N/A","18000"
"Overall","LA","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3798000","N/A","223000"
"1 - Employed full time","LA","0.005","0.0003","0.004","0.006","0.011","0.0008","0.01","0.013","0.368","0.0167","0.336","0.401","1397000","N/A","98000"
"2 - Employed part time","LA","0.002","0.0002","0.001","0.002","0.013","0.0016","0.011","0.017","0.124","0.0128","0.101","0.151","471000","N/A","55000"
"3 - Unemployed","LA","0.001","0.0001","0.001","0.001","0.018","0.0024","0.014","0.023","0.065","0.008","0.051","0.082","246000","N/A","33000"
"4 - Other","LA","0.005","0.0004","0.005","0.006","0.015","0.0011","0.013","0.017","0.397","0.0168","0.364","0.43","1506000","N/A","116000"
"99 - 12-14 year olds","LA","0.001","0.0001","0","0.001","0.014","0.0019","0.011","0.019","0.047","0.0053","0.037","0.059","178000","N/A","23000"
"Overall","MA","0.021","0.0021","0.018","0.026","0.021","0.0021","0.018","0.026","1","0","N/A","N/A","6141000","N/A","600000"
"1 - Employed full time","MA","0.009","0.001","0.008","0.012","0.022","0.0022","0.018","0.027","0.44","0.0265","0.389","0.492","2701000","N/A","277000"
"2 - Employed part time","MA","0.003","0.0004","0.002","0.004","0.024","0.0034","0.018","0.032","0.137","0.0147","0.111","0.168","841000","N/A","124000"
"3 - Unemployed","MA","0.001","0.0002","0.001","0.001","0.018","0.0041","0.012","0.028","0.041","0.0081","0.028","0.06","250000","N/A","58000"
"4 - Other","MA","0.007","0.0009","0.006","0.009","0.021","0.0026","0.016","0.026","0.345","0.0226","0.302","0.391","2121000","N/A","269000"
"99 - 12-14 year olds","MA","0.001","0.0002","0.001","0.001","0.018","0.0035","0.013","0.027","0.037","0.0058","0.027","0.05","227000","N/A","44000"
"Overall","MD","0.018","0.0012","0.016","0.021","0.018","0.0012","0.016","0.021","1","0","N/A","N/A","5250000","N/A","359000"
"1 - Employed full time","MD","0.008","0.0006","0.007","0.01","0.02","0.0015","0.017","0.023","0.455","0.0176","0.421","0.49","2390000","N/A","184000"
"2 - Employed part time","MD","0.002","0.0002","0.002","0.003","0.016","0.0019","0.013","0.02","0.108","0.0114","0.087","0.133","567000","N/A","69000"
"3 - Unemployed","MD","0.001","0.0002","0.001","0.001","0.022","0.0033","0.016","0.029","0.057","0.0075","0.044","0.074","299000","N/A","46000"
"4 - Other","MD","0.006","0.0006","0.005","0.007","0.017","0.0016","0.014","0.021","0.335","0.0196","0.298","0.375","1760000","N/A","165000"
"99 - 12-14 year olds","MD","0.001","0.0001","0.001","0.001","0.019","0.0024","0.015","0.024","0.045","0.0055","0.035","0.057","235000","N/A","31000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1227000","N/A","117000"
"1 - Employed full time","ME","0.002","0.0002","0.002","0.002","0.004","0.0004","0.004","0.005","0.429","0.0265","0.378","0.482","527000","N/A","54000"
"2 - Employed part time","ME","0.001","0.0001","0","0.001","0.005","0.0008","0.004","0.007","0.145","0.0156","0.117","0.178","178000","N/A","27000"
"3 - Unemployed","ME","0","0","0","0","0.003","0.0009","0.002","0.006","0.038","0.0083","0.025","0.058","47000","N/A","13000"
"4 - Other","ME","0.001","0.0002","0.001","0.002","0.004","0.0005","0.003","0.005","0.346","0.024","0.301","0.395","425000","N/A","50000"
"99 - 12-14 year olds","ME","0","0","0","0","0.004","0.0006","0.003","0.006","0.041","0.0041","0.034","0.05","51000","N/A","8000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8633000","N/A","384000"
"1 - Employed full time","MI","0.012","0.0007","0.011","0.013","0.028","0.0015","0.026","0.032","0.401","0.011","0.38","0.423","3464000","N/A","189000"
"2 - Employed part time","MI","0.004","0.0003","0.004","0.005","0.034","0.0023","0.029","0.038","0.138","0.0072","0.124","0.152","1187000","N/A","82000"
"3 - Unemployed","MI","0.001","0.0001","0.001","0.002","0.027","0.003","0.022","0.033","0.043","0.0047","0.035","0.053","372000","N/A","41000"
"4 - Other","MI","0.011","0.0006","0.01","0.013","0.032","0.0017","0.028","0.035","0.375","0.0118","0.352","0.399","3240000","N/A","178000"
"99 - 12-14 year olds","MI","0.001","0.0001","0.001","0.002","0.03","0.0024","0.025","0.035","0.043","0.0032","0.037","0.049","370000","N/A","29000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4870000","N/A","363000"
"1 - Employed full time","MN","0.008","0.0006","0.007","0.009","0.019","0.0015","0.016","0.022","0.463","0.0187","0.426","0.499","2252000","N/A","182000"
"2 - Employed part time","MN","0.002","0.0003","0.002","0.003","0.019","0.0022","0.016","0.024","0.141","0.0133","0.117","0.169","687000","N/A","80000"
"3 - Unemployed","MN","0.001","0.0001","0","0.001","0.012","0.0023","0.009","0.018","0.035","0.0056","0.025","0.048","170000","N/A","32000"
"4 - Other","MN","0.005","0.0005","0.004","0.007","0.015","0.0015","0.012","0.018","0.314","0.0206","0.275","0.356","1529000","N/A","155000"
"99 - 12-14 year olds","MN","0.001","0.0001","0.001","0.001","0.019","0.0027","0.014","0.025","0.048","0.005","0.039","0.058","232000","N/A","34000"
"Overall","MO","0.018","0.0011","0.016","0.021","0.018","0.0011","0.016","0.021","1","0","N/A","N/A","5241000","N/A","311000"
"1 - Employed full time","MO","0.008","0.0005","0.007","0.009","0.018","0.0012","0.016","0.021","0.428","0.0173","0.395","0.463","2246000","N/A","149000"
"2 - Employed part time","MO","0.002","0.0002","0.002","0.003","0.017","0.0018","0.014","0.021","0.116","0.0108","0.097","0.139","609000","N/A","64000"
"3 - Unemployed","MO","0.001","0.0001","0.001","0.001","0.018","0.0028","0.014","0.025","0.049","0.0067","0.037","0.064","256000","N/A","39000"
"4 - Other","MO","0.007","0.0005","0.006","0.008","0.018","0.0015","0.016","0.022","0.359","0.0149","0.33","0.389","1882000","N/A","153000"
"99 - 12-14 year olds","MO","0.001","0.0001","0.001","0.001","0.02","0.0019","0.017","0.024","0.047","0.0038","0.04","0.055","248000","N/A","23000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2450000","N/A","149000"
"1 - Employed full time","MS","0.003","0.0003","0.003","0.004","0.008","0.0006","0.007","0.009","0.379","0.0165","0.347","0.412","928000","N/A","72000"
"2 - Employed part time","MS","0.001","0.0001","0.001","0.001","0.007","0.0008","0.005","0.009","0.098","0.0094","0.081","0.118","239000","N/A","29000"
"3 - Unemployed","MS","0","0.0001","0","0.001","0.01","0.0011","0.008","0.012","0.056","0.006","0.045","0.069","137000","N/A","15000"
"4 - Other","MS","0.004","0.0003","0.003","0.004","0.01","0.0008","0.009","0.012","0.425","0.0203","0.386","0.465","1041000","N/A","77000"
"99 - 12-14 year olds","MS","0","0","0","0","0.008","0.0011","0.006","0.011","0.043","0.0046","0.034","0.053","104000","N/A","14000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","969000","N/A","81000"
"1 - Employed full time","MT","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.412","0.022","0.369","0.456","399000","N/A","39000"
"2 - Employed part time","MT","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.154","0.0136","0.129","0.183","149000","N/A","19000"
"3 - Unemployed","MT","0","0","0","0","0.003","0.0008","0.002","0.005","0.041","0.0099","0.025","0.065","40000","N/A","11000"
"4 - Other","MT","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.35","0.0177","0.316","0.386","339000","N/A","31000"
"99 - 12-14 year olds","MT","0","0","0","0","0.003","0.0004","0.003","0.004","0.043","0.0048","0.035","0.054","42000","N/A","5000"
"Overall","NC","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9223000","N/A","572000"
"1 - Employed full time","NC","0.014","0.001","0.012","0.016","0.032","0.0022","0.028","0.037","0.428","0.0165","0.396","0.461","3951000","N/A","278000"
"2 - Employed part time","NC","0.004","0.0004","0.003","0.005","0.034","0.003","0.028","0.04","0.129","0.0107","0.11","0.152","1191000","N/A","108000"
"3 - Unemployed","NC","0.001","0.0002","0.001","0.002","0.027","0.0037","0.021","0.035","0.041","0.005","0.032","0.052","374000","N/A","52000"
"4 - Other","NC","0.011","0.001","0.01","0.014","0.032","0.0027","0.027","0.038","0.356","0.0175","0.323","0.391","3286000","N/A","286000"
"99 - 12-14 year olds","NC","0.001","0.0002","0.001","0.002","0.034","0.0036","0.027","0.042","0.046","0.0041","0.038","0.054","420000","N/A","46000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","649000","N/A","58000"
"1 - Employed full time","ND","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.467","0.0205","0.427","0.507","303000","N/A","29000"
"2 - Employed part time","ND","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.158","0.0205","0.121","0.202","102000","N/A","18000"
"3 - Unemployed","ND","0","0","0","0","0.001","0.0003","0.001","0.002","0.026","0.0056","0.017","0.04","17000","N/A","4000"
"4 - Other","ND","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.301","0.0186","0.266","0.339","196000","N/A","20000"
"99 - 12-14 year olds","ND","0","0","0","0","0.003","0.0004","0.002","0.003","0.048","0.0063","0.037","0.062","31000","N/A","5000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1651000","N/A","109000"
"1 - Employed full time","NE","0.003","0.0002","0.002","0.003","0.007","0.0005","0.006","0.008","0.481","0.0179","0.446","0.516","795000","N/A","60000"
"2 - Employed part time","NE","0.001","0.0001","0.001","0.001","0.006","0.0006","0.005","0.007","0.131","0.0103","0.112","0.153","217000","N/A","20000"
"3 - Unemployed","NE","0","0","0","0","0.004","0.0007","0.003","0.005","0.031","0.0053","0.022","0.043","51000","N/A","10000"
"4 - Other","NE","0.002","0.0001","0.001","0.002","0.005","0.0004","0.004","0.006","0.303","0.0138","0.277","0.331","501000","N/A","42000"
"99 - 12-14 year olds","NE","0","0","0","0","0.007","0.0009","0.005","0.009","0.053","0.0056","0.043","0.065","87000","N/A","11000"
"Overall","NH","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1232000","N/A","111000"
"1 - Employed full time","NH","0.002","0.0002","0.002","0.002","0.005","0.0005","0.004","0.006","0.46","0.024","0.413","0.507","566000","N/A","59000"
"2 - Employed part time","NH","0.001","0.0001","0","0.001","0.005","0.0006","0.004","0.006","0.136","0.0143","0.11","0.167","168000","N/A","21000"
"3 - Unemployed","NH","0","0","0","0","0.002","0.0004","0.001","0.003","0.02","0.0044","0.013","0.031","25000","N/A","6000"
