"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - 35-49 Years Old","FL","0.014","0.0006","0.013","0.015","0.063","0.0027","0.058","0.069","0.211","0.0081","0.195","0.227","3854000","N/A","168000"
"4 - 50 or Older","FL","0.031","0.0016","0.028","0.035","0.075","0.0037","0.068","0.083","0.47","0.0142","0.442","0.498","8594000","N/A","442000"
"5 - 12-17 Years Old","FL","0.005","0.0002","0.005","0.006","0.058","0.0022","0.054","0.062","0.079","0.0033","0.072","0.085","1440000","N/A","58000"
"Overall","GA","0.032","0.0011","0.03","0.034","0.032","0.0011","0.03","0.034","1","0","N/A","N/A","8732000","N/A","317000"
"1 - 18-25 Years Old","GA","0.004","0.0003","0.004","0.005","0.033","0.0023","0.028","0.038","0.127","0.0089","0.11","0.145","1107000","N/A","80000"
"2 - 26-34 Years Old","GA","0.005","0.0003","0.004","0.005","0.032","0.0022","0.028","0.037","0.147","0.0087","0.131","0.165","1282000","N/A","92000"
"3 - 35-49 Years Old","GA","0.007","0.0004","0.007","0.008","0.034","0.0018","0.03","0.037","0.234","0.0116","0.212","0.257","2043000","N/A","115000"
"4 - 50 or Older","GA","0.012","0.0008","0.011","0.014","0.03","0.0019","0.026","0.034","0.393","0.0184","0.357","0.43","3431000","N/A","220000"
"5 - 12-17 Years Old","GA","0.003","0.0002","0.003","0.004","0.035","0.002","0.031","0.039","0.099","0.0047","0.091","0.109","869000","N/A","50000"
"Overall","HI","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1156000","N/A","59000"
"1 - 18-25 Years Old","HI","0","0","0","0","0.004","0.0002","0.003","0.004","0.105","0.006","0.093","0.117","121000","N/A","7000"
"2 - 26-34 Years Old","HI","0.001","0","0.001","0.001","0.004","0.0003","0.003","0.005","0.142","0.0097","0.124","0.162","164000","N/A","13000"
"3 - 35-49 Years Old","HI","0.001","0.0001","0.001","0.001","0.004","0.0003","0.004","0.005","0.219","0.0137","0.193","0.247","253000","N/A","18000"
"4 - 50 or Older","HI","0.002","0.0002","0.002","0.002","0.005","0.0004","0.004","0.005","0.453","0.0192","0.415","0.491","523000","N/A","42000"
"5 - 12-17 Years Old","HI","0","0","0","0","0.004","0.0002","0.003","0.004","0.082","0.0052","0.073","0.093","95000","N/A","6000"
"Overall","IA","0.01","0.0004","0.009","0.01","0.01","0.0004","0.009","0.01","1","0","N/A","N/A","2632000","N/A","119000"
"1 - 18-25 Years Old","IA","0.001","0.0001","0.001","0.002","0.01","0.0012","0.008","0.013","0.134","0.0138","0.109","0.164","354000","N/A","41000"
"2 - 26-34 Years Old","IA","0.001","0.0001","0.001","0.002","0.009","0.0008","0.007","0.01","0.134","0.0105","0.114","0.156","352000","N/A","30000"
"3 - 35-49 Years Old","IA","0.002","0.0001","0.002","0.002","0.009","0.0006","0.008","0.01","0.212","0.0119","0.189","0.236","557000","N/A","37000"
"4 - 50 or Older","IA","0.004","0.0003","0.004","0.005","0.01","0.0007","0.009","0.011","0.427","0.0193","0.39","0.465","1124000","N/A","78000"
"5 - 12-17 Years Old","IA","0.001","0.0001","0.001","0.001","0.01","0.0007","0.009","0.011","0.093","0.0057","0.083","0.105","246000","N/A","17000"
"Overall","ID","0.005","0.0002","0.005","0.006","0.005","0.0002","0.005","0.006","1","0","N/A","N/A","1458000","N/A","61000"
"1 - 18-25 Years Old","ID","0.001","0.0001","0.001","0.001","0.005","0.0005","0.005","0.006","0.126","0.0108","0.106","0.149","184000","N/A","16000"
"2 - 26-34 Years Old","ID","0.001","0.0001","0.001","0.001","0.005","0.0004","0.004","0.006","0.141","0.0108","0.121","0.163","205000","N/A","17000"
"3 - 35-49 Years Old","ID","0.001","0.0001","0.001","0.001","0.005","0.0004","0.005","0.006","0.22","0.0142","0.193","0.249","321000","N/A","23000"
"4 - 50 or Older","ID","0.002","0.0002","0.002","0.003","0.005","0.0004","0.004","0.006","0.407","0.021","0.367","0.449","594000","N/A","45000"
"5 - 12-17 Years Old","ID","0.001","0","0","0.001","0.006","0.0005","0.005","0.007","0.106","0.0072","0.093","0.121","155000","N/A","12000"
"Overall","IL","0.039","0.0011","0.037","0.041","0.039","0.0011","0.037","0.041","1","0","N/A","N/A","10672000","N/A","299000"
"1 - 18-25 Years Old","IL","0.005","0.0003","0.004","0.005","0.039","0.002","0.035","0.043","0.123","0.0057","0.112","0.134","1309000","N/A","69000"
"2 - 26-34 Years Old","IL","0.006","0.0003","0.005","0.006","0.039","0.0018","0.035","0.043","0.146","0.0072","0.132","0.161","1558000","N/A","75000"
"3 - 35-49 Years Old","IL","0.009","0.0004","0.008","0.01","0.04","0.0017","0.036","0.043","0.226","0.0071","0.212","0.24","2412000","N/A","102000"
"4 - 50 or Older","IL","0.016","0.0007","0.015","0.018","0.038","0.0018","0.035","0.042","0.413","0.0121","0.39","0.437","4408000","N/A","204000"
"5 - 12-17 Years Old","IL","0.004","0.0002","0.003","0.004","0.04","0.0018","0.036","0.043","0.092","0.0043","0.084","0.101","985000","N/A","47000"
"Overall","IN","0.02","0.0008","0.019","0.022","0.02","0.0008","0.019","0.022","1","0","N/A","N/A","5586000","N/A","209000"
"1 - 18-25 Years Old","IN","0.003","0.0002","0.002","0.003","0.022","0.0015","0.019","0.025","0.132","0.0083","0.116","0.149","737000","N/A","51000"
"2 - 26-34 Years Old","IN","0.003","0.0002","0.002","0.003","0.019","0.0015","0.017","0.022","0.139","0.0097","0.121","0.159","775000","N/A","61000"
"3 - 35-49 Years Old","IN","0.004","0.0003","0.004","0.005","0.02","0.0013","0.018","0.023","0.219","0.0126","0.195","0.245","1222000","N/A","82000"
"4 - 50 or Older","IN","0.008","0.0005","0.007","0.01","0.02","0.0013","0.018","0.023","0.414","0.0185","0.379","0.451","2315000","N/A","146000"
"5 - 12-17 Years Old","IN","0.002","0.0001","0.002","0.002","0.022","0.0014","0.019","0.025","0.096","0.0059","0.085","0.108","537000","N/A","35000"
"Overall","KS","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.009","1","0","N/A","N/A","2384000","N/A","103000"
"1 - 18-25 Years Old","KS","0.001","0.0001","0.001","0.001","0.009","0.0007","0.008","0.011","0.134","0.0102","0.116","0.156","320000","N/A","23000"
"2 - 26-34 Years Old","KS","0.001","0.0001","0.001","0.001","0.008","0.0006","0.007","0.009","0.138","0.0089","0.122","0.157","330000","N/A","24000"
"3 - 35-49 Years Old","KS","0.002","0.0001","0.002","0.002","0.008","0.0005","0.008","0.009","0.215","0.0124","0.191","0.24","512000","N/A","29000"
"4 - 50 or Older","KS","0.004","0.0003","0.003","0.004","0.009","0.0007","0.007","0.01","0.413","0.0205","0.374","0.454","985000","N/A","83000"
"5 - 12-17 Years Old","KS","0.001","0.0001","0.001","0.001","0.01","0.0006","0.008","0.011","0.099","0.0063","0.088","0.112","237000","N/A","14000"
"Overall","KY","0.014","0.0006","0.012","0.015","0.014","0.0006","0.012","0.015","1","0","N/A","N/A","3719000","N/A","168000"
"1 - 18-25 Years Old","KY","0.002","0.0001","0.001","0.002","0.014","0.001","0.012","0.016","0.124","0.0095","0.107","0.144","462000","N/A","33000"
"2 - 26-34 Years Old","KY","0.002","0.0002","0.002","0.002","0.013","0.0012","0.01","0.015","0.136","0.0113","0.115","0.16","507000","N/A","50000"
"3 - 35-49 Years Old","KY","0.003","0.0002","0.003","0.003","0.013","0.0007","0.012","0.015","0.219","0.0089","0.202","0.237","816000","N/A","45000"
"4 - 50 or Older","KY","0.006","0.0004","0.005","0.007","0.014","0.001","0.012","0.016","0.429","0.0193","0.392","0.467","1596000","N/A","117000"
"5 - 12-17 Years Old","KY","0.001","0.0001","0.001","0.001","0.014","0.0009","0.012","0.016","0.091","0.0063","0.08","0.104","340000","N/A","23000"
"Overall","LA","0.014","0.0007","0.013","0.015","0.014","0.0007","0.013","0.015","1","0","N/A","N/A","3821000","N/A","200000"
"1 - 18-25 Years Old","LA","0.002","0.0002","0.001","0.002","0.014","0.0014","0.011","0.017","0.123","0.0115","0.102","0.147","468000","N/A","48000"
"2 - 26-34 Years Old","LA","0.002","0.0002","0.002","0.003","0.014","0.0013","0.012","0.017","0.15","0.0108","0.13","0.172","572000","N/A","53000"
"3 - 35-49 Years Old","LA","0.003","0.0002","0.003","0.004","0.014","0.0011","0.012","0.016","0.218","0.0144","0.191","0.247","833000","N/A","65000"
"4 - 50 or Older","LA","0.006","0.0005","0.005","0.007","0.014","0.0011","0.012","0.016","0.415","0.0217","0.373","0.459","1587000","N/A","128000"
"5 - 12-17 Years Old","LA","0.001","0.0001","0.001","0.002","0.014","0.001","0.013","0.017","0.094","0.0065","0.082","0.108","360000","N/A","26000"
"Overall","MA","0.022","0.0008","0.02","0.023","0.022","0.0008","0.02","0.023","1","0","N/A","N/A","5947000","N/A","212000"
"1 - 18-25 Years Old","MA","0.003","0.0002","0.002","0.003","0.023","0.0018","0.02","0.027","0.133","0.0103","0.114","0.154","789000","N/A","63000"
"2 - 26-34 Years Old","MA","0.003","0.0003","0.003","0.004","0.022","0.0019","0.019","0.026","0.149","0.0129","0.125","0.176","885000","N/A","77000"
"3 - 35-49 Years Old","MA","0.005","0.0002","0.004","0.005","0.021","0.001","0.019","0.023","0.214","0.0111","0.193","0.236","1271000","N/A","61000"
"4 - 50 or Older","MA","0.009","0.0007","0.008","0.011","0.022","0.0017","0.019","0.026","0.425","0.0223","0.381","0.469","2525000","N/A","192000"
"5 - 12-17 Years Old","MA","0.002","0.0001","0.001","0.002","0.019","0.0016","0.016","0.023","0.08","0.0066","0.068","0.094","478000","N/A","40000"
"Overall","MD","0.018","0.0008","0.017","0.02","0.018","0.0008","0.017","0.02","1","0","N/A","N/A","5059000","N/A","209000"
"1 - 18-25 Years Old","MD","0.002","0.0001","0.002","0.002","0.017","0.0011","0.015","0.02","0.117","0.0077","0.103","0.133","591000","N/A","37000"
"2 - 26-34 Years Old","MD","0.003","0.0002","0.002","0.003","0.018","0.0013","0.016","0.021","0.144","0.0097","0.126","0.164","730000","N/A","53000"
"3 - 35-49 Years Old","MD","0.004","0.0003","0.004","0.005","0.019","0.0012","0.017","0.021","0.226","0.0132","0.201","0.253","1143000","N/A","72000"
"4 - 50 or Older","MD","0.008","0.0006","0.007","0.009","0.019","0.0015","0.016","0.022","0.424","0.0224","0.381","0.468","2145000","N/A","170000"
"5 - 12-17 Years Old","MD","0.002","0.0001","0.001","0.002","0.018","0.0013","0.016","0.021","0.089","0.0061","0.078","0.102","451000","N/A","33000"
"Overall","ME","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1166000","N/A","50000"
"1 - 18-25 Years Old","ME","0","0","0","0.001","0.004","0.0003","0.003","0.004","0.104","0.009","0.087","0.123","121000","N/A","10000"
"2 - 26-34 Years Old","ME","0.001","0","0","0.001","0.004","0.0002","0.003","0.004","0.124","0.0092","0.107","0.143","144000","N/A","10000"
"3 - 35-49 Years Old","ME","0.001","0.0001","0.001","0.001","0.004","0.0002","0.003","0.004","0.202","0.0121","0.179","0.227","236000","N/A","14000"
"4 - 50 or Older","ME","0.002","0.0002","0.002","0.002","0.005","0.0004","0.004","0.006","0.494","0.0198","0.455","0.533","576000","N/A","43000"
"5 - 12-17 Years Old","ME","0","0","0","0","0.004","0.0003","0.003","0.004","0.077","0.0056","0.066","0.088","89000","N/A","7000"
"Overall","MI","0.031","0.0007","0.03","0.032","0.031","0.0007","0.03","0.032","1","0","N/A","N/A","8488000","N/A","201000"
"1 - 18-25 Years Old","MI","0.004","0.0002","0.003","0.004","0.032","0.0019","0.028","0.036","0.127","0.0075","0.113","0.142","1077000","N/A","63000"
"2 - 26-34 Years Old","MI","0.004","0.0002","0.004","0.005","0.029","0.0014","0.026","0.032","0.135","0.0063","0.123","0.148","1149000","N/A","58000"
"3 - 35-49 Years Old","MI","0.006","0.0002","0.006","0.007","0.029","0.0011","0.027","0.031","0.208","0.0073","0.194","0.222","1764000","N/A","66000"
"4 - 50 or Older","MI","0.014","0.0006","0.013","0.015","0.033","0.0014","0.03","0.036","0.441","0.0129","0.416","0.467","3745000","N/A","163000"
"5 - 12-17 Years Old","MI","0.003","0.0001","0.003","0.003","0.03","0.0013","0.028","0.033","0.089","0.0036","0.082","0.096","754000","N/A","33000"
"Overall","MN","0.017","0.0007","0.016","0.019","0.017","0.0007","0.016","0.019","1","0","N/A","N/A","4706000","N/A","192000"
"1 - 18-25 Years Old","MN","0.002","0.0002","0.002","0.002","0.017","0.0014","0.014","0.02","0.121","0.0108","0.101","0.144","569000","N/A","48000"
"2 - 26-34 Years Old","MN","0.002","0.0002","0.002","0.003","0.017","0.0015","0.014","0.02","0.144","0.0114","0.124","0.168","680000","N/A","61000"
"3 - 35-49 Years Old","MN","0.004","0.0003","0.003","0.004","0.017","0.0013","0.015","0.02","0.222","0.0159","0.192","0.254","1043000","N/A","82000"
"4 - 50 or Older","MN","0.007","0.0006","0.006","0.008","0.017","0.0014","0.015","0.02","0.42","0.0239","0.374","0.467","1976000","N/A","157000"
"5 - 12-17 Years Old","MN","0.002","0.0001","0.001","0.002","0.018","0.0011","0.016","0.02","0.093","0.0061","0.082","0.106","438000","N/A","28000"
"Overall","MO","0.019","0.0007","0.017","0.02","0.019","0.0007","0.017","0.02","1","0","N/A","N/A","5116000","N/A","192000"
"1 - 18-25 Years Old","MO","0.002","0.0002","0.002","0.003","0.019","0.0018","0.015","0.022","0.123","0.0133","0.099","0.151","627000","N/A","62000"
"2 - 26-34 Years Old","MO","0.003","0.0002","0.002","0.003","0.018","0.0012","0.016","0.021","0.141","0.0089","0.125","0.16","723000","N/A","50000"
"3 - 35-49 Years Old","MO","0.004","0.0003","0.004","0.005","0.018","0.0012","0.016","0.02","0.214","0.0134","0.189","0.241","1095000","N/A","73000"
"4 - 50 or Older","MO","0.008","0.0006","0.007","0.009","0.019","0.0014","0.017","0.022","0.431","0.0225","0.388","0.476","2206000","N/A","164000"
"5 - 12-17 Years Old","MO","0.002","0.0001","0.001","0.002","0.019","0.0015","0.016","0.022","0.091","0.0063","0.079","0.104","466000","N/A","39000"
"Overall","MS","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2453000","N/A","96000"
"1 - 18-25 Years Old","MS","0.001","0.0001","0.001","0.001","0.009","0.0008","0.008","0.011","0.129","0.0125","0.106","0.155","316000","N/A","26000"
"2 - 26-34 Years Old","MS","0.001","0.0001","0.001","0.001","0.008","0.0008","0.007","0.01","0.137","0.0121","0.115","0.162","335000","N/A","31000"
"3 - 35-49 Years Old","MS","0.002","0.0001","0.002","0.002","0.009","0.0006","0.008","0.01","0.216","0.0119","0.194","0.241","531000","N/A","36000"
"4 - 50 or Older","MS","0.004","0.0003","0.003","0.004","0.009","0.0008","0.008","0.011","0.419","0.0261","0.369","0.471","1029000","N/A","89000"
"5 - 12-17 Years Old","MS","0.001","0.0001","0.001","0.001","0.01","0.0007","0.008","0.011","0.099","0.007","0.086","0.113","242000","N/A","17000"
"Overall","MT","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","1","0","N/A","N/A","898000","N/A","30000"
"1 - 18-25 Years Old","MT","0","0","0","0","0.003","0.0003","0.003","0.004","0.122","0.0092","0.105","0.141","110000","N/A","9000"
"2 - 26-34 Years Old","MT","0","0","0","0.001","0.003","0.0003","0.003","0.004","0.134","0.0114","0.114","0.158","121000","N/A","11000"
"3 - 35-49 Years Old","MT","0.001","0","0.001","0.001","0.003","0.0002","0.003","0.003","0.205","0.0116","0.183","0.228","184000","N/A","11000"
"4 - 50 or Older","MT","0.001","0.0001","0.001","0.002","0.004","0.0002","0.003","0.004","0.454","0.0214","0.412","0.496","408000","N/A","26000"
"5 - 12-17 Years Old","MT","0","0","0","0","0.003","0.0002","0.003","0.003","0.085","0.0057","0.074","0.097","76000","N/A","5000"
"Overall","NC","0.032","0.0012","0.029","0.034","0.032","0.0012","0.029","0.034","1","0","N/A","N/A","8726000","N/A","344000"
"1 - 18-25 Years Old","NC","0.004","0.0003","0.003","0.005","0.031","0.0025","0.027","0.037","0.122","0.0099","0.104","0.143","1067000","N/A","87000"
"2 - 26-34 Years Old","NC","0.004","0.0003","0.004","0.005","0.03","0.0023","0.026","0.035","0.139","0.0091","0.122","0.158","1214000","N/A","93000"
"3 - 35-49 Years Old","NC","0.007","0.0004","0.006","0.008","0.032","0.002","0.028","0.036","0.224","0.0115","0.202","0.247","1952000","N/A","121000"
"4 - 50 or Older","NC","0.013","0.0009","0.012","0.015","0.032","0.002","0.028","0.037","0.424","0.0176","0.39","0.459","3700000","N/A","240000"
"5 - 12-17 Years Old","NC","0.003","0.0002","0.003","0.003","0.032","0.0016","0.029","0.035","0.091","0.0048","0.082","0.101","794000","N/A","41000"
"Overall","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","619000","N/A","26000"
"1 - 18-25 Years Old","ND","0","0","0","0","0.003","0.0003","0.002","0.003","0.148","0.0134","0.124","0.177","92000","N/A","9000"
"2 - 26-34 Years Old","ND","0","0","0","0","0.002","0.0002","0.002","0.003","0.16","0.0112","0.139","0.183","99000","N/A","8000"
"3 - 35-49 Years Old","ND","0","0","0","0.001","0.002","0.0002","0.002","0.002","0.207","0.0157","0.178","0.24","128000","N/A","11000"
"4 - 50 or Older","ND","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.397","0.0223","0.354","0.441","246000","N/A","19000"
"5 - 12-17 Years Old","ND","0","0","0","0","0.002","0.0002","0.002","0.003","0.088","0.0055","0.078","0.099","54000","N/A","4000"
"Overall","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1584000","N/A","60000"
"1 - 18-25 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.134","0.0104","0.114","0.155","212000","N/A","16000"
