"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"4 - College graduate","MA","0.01","0.0006","0.009","0.011","0.033","0.0021","0.029","0.038","0.452","0.0204","0.413","0.492","2690000","N/A","174000"
"5 - 12 to 17 year olds","MA","0.002","0.0001","0.001","0.002","0.019","0.0016","0.016","0.023","0.08","0.0066","0.068","0.094","478000","N/A","40000"
"Overall","MD","0.018","0.0008","0.017","0.02","0.018","0.0008","0.017","0.02","1","0","N/A","N/A","5059000","N/A","209000"
"1 - Less high school","MD","0.002","0.0003","0.001","0.002","0.014","0.0023","0.01","0.02","0.086","0.013","0.063","0.115","433000","N/A","71000"
"2 - High school grad","MD","0.004","0.0004","0.003","0.005","0.018","0.0016","0.015","0.021","0.215","0.0164","0.184","0.249","1087000","N/A","97000"
"3 - Some coll/Assoc Dg","MD","0.005","0.0003","0.004","0.005","0.016","0.001","0.015","0.019","0.25","0.0138","0.224","0.278","1266000","N/A","80000"
"4 - College graduate","MD","0.007","0.0005","0.006","0.008","0.023","0.0017","0.019","0.026","0.36","0.0225","0.317","0.405","1822000","N/A","137000"
"5 - 12 to 17 year olds","MD","0.002","0.0001","0.001","0.002","0.018","0.0013","0.016","0.021","0.089","0.0061","0.078","0.102","451000","N/A","33000"
"Overall","ME","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1166000","N/A","50000"
"1 - Less high school","ME","0","0","0","0","0.003","0.0004","0.002","0.004","0.072","0.0094","0.056","0.093","84000","N/A","12000"
"2 - High school grad","ME","0.001","0.0001","0.001","0.001","0.005","0.0004","0.005","0.006","0.28","0.0147","0.252","0.31","326000","N/A","22000"
"3 - Some coll/Assoc Dg","ME","0.001","0.0001","0.001","0.001","0.004","0.0003","0.004","0.005","0.293","0.0144","0.265","0.322","341000","N/A","19000"
"4 - College graduate","ME","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.005","0.279","0.0188","0.243","0.317","325000","N/A","28000"
"5 - 12 to 17 year olds","ME","0","0","0","0","0.004","0.0003","0.003","0.004","0.077","0.0056","0.066","0.088","89000","N/A","7000"
"Overall","MI","0.031","0.0007","0.03","0.032","0.031","0.0007","0.03","0.032","1","0","N/A","N/A","8488000","N/A","201000"
"1 - Less high school","MI","0.003","0.0002","0.002","0.003","0.024","0.002","0.02","0.028","0.085","0.0069","0.072","0.1","721000","N/A","62000"
"2 - High school grad","MI","0.007","0.0004","0.006","0.007","0.03","0.0017","0.027","0.033","0.216","0.0105","0.196","0.237","1832000","N/A","103000"
"3 - Some coll/Assoc Dg","MI","0.01","0.0004","0.009","0.011","0.036","0.0014","0.033","0.039","0.326","0.0113","0.304","0.349","2769000","N/A","112000"
"4 - College graduate","MI","0.009","0.0005","0.008","0.01","0.03","0.0016","0.027","0.033","0.284","0.0137","0.258","0.312","2413000","N/A","130000"
"5 - 12 to 17 year olds","MI","0.003","0.0001","0.003","0.003","0.03","0.0013","0.028","0.033","0.089","0.0036","0.082","0.096","754000","N/A","33000"
"Overall","MN","0.017","0.0007","0.016","0.019","0.017","0.0007","0.016","0.019","1","0","N/A","N/A","4706000","N/A","192000"
"1 - Less high school","MN","0.001","0.0002","0.001","0.001","0.009","0.0014","0.006","0.012","0.057","0.0094","0.041","0.078","266000","N/A","44000"
"2 - High school grad","MN","0.003","0.0002","0.003","0.004","0.015","0.001","0.013","0.017","0.197","0.0119","0.174","0.221","925000","N/A","64000"
"3 - Some coll/Assoc Dg","MN","0.005","0.0003","0.005","0.006","0.018","0.0012","0.016","0.021","0.3","0.0159","0.27","0.332","1412000","N/A","89000"
"4 - College graduate","MN","0.006","0.0005","0.005","0.007","0.021","0.0016","0.018","0.024","0.354","0.0201","0.315","0.394","1664000","N/A","133000"
"5 - 12 to 17 year olds","MN","0.002","0.0001","0.001","0.002","0.018","0.0011","0.016","0.02","0.093","0.0061","0.082","0.106","438000","N/A","28000"
"Overall","MO","0.019","0.0007","0.017","0.02","0.019","0.0007","0.017","0.02","1","0","N/A","N/A","5116000","N/A","192000"
"1 - Less high school","MO","0.002","0.0002","0.001","0.002","0.015","0.0015","0.012","0.018","0.087","0.009","0.071","0.106","444000","N/A","46000"
"2 - High school grad","MO","0.005","0.0003","0.005","0.006","0.024","0.0016","0.021","0.027","0.283","0.0153","0.254","0.314","1448000","N/A","96000"
"3 - Some coll/Assoc Dg","MO","0.005","0.0003","0.005","0.006","0.018","0.0011","0.016","0.021","0.278","0.0159","0.248","0.311","1424000","N/A","82000"
"4 - College graduate","MO","0.005","0.0004","0.004","0.006","0.017","0.0013","0.014","0.019","0.261","0.0144","0.234","0.29","1334000","N/A","103000"
"5 - 12 to 17 year olds","MO","0.002","0.0001","0.001","0.002","0.019","0.0015","0.016","0.022","0.091","0.0063","0.079","0.104","466000","N/A","39000"
"Overall","MS","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2453000","N/A","96000"
"1 - Less high school","MS","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.122","0.012","0.1","0.148","299000","N/A","32000"
"2 - High school grad","MS","0.003","0.0002","0.002","0.003","0.012","0.0008","0.01","0.013","0.293","0.016","0.263","0.326","719000","N/A","46000"
"3 - Some coll/Assoc Dg","MS","0.003","0.0002","0.002","0.003","0.009","0.0007","0.008","0.011","0.297","0.0177","0.264","0.333","730000","N/A","54000"
"4 - College graduate","MS","0.002","0.0002","0.001","0.002","0.006","0.0006","0.005","0.007","0.189","0.018","0.156","0.227","463000","N/A","49000"
"5 - 12 to 17 year olds","MS","0.001","0.0001","0.001","0.001","0.01","0.0007","0.008","0.011","0.099","0.007","0.086","0.113","242000","N/A","17000"
"Overall","MT","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","1","0","N/A","N/A","898000","N/A","30000"
"1 - Less high school","MT","0","0","0","0","0.002","0.0004","0.002","0.003","0.083","0.0119","0.062","0.109","74000","N/A","11000"
"2 - High school grad","MT","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.004","0.249","0.0172","0.217","0.285","224000","N/A","18000"
"3 - Some coll/Assoc Dg","MT","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.004","0.291","0.0179","0.257","0.327","261000","N/A","17000"
"4 - College graduate","MT","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.004","0.292","0.018","0.258","0.329","263000","N/A","19000"
"5 - 12 to 17 year olds","MT","0","0","0","0","0.003","0.0002","0.003","0.003","0.085","0.0057","0.074","0.097","76000","N/A","5000"
"Overall","NC","0.032","0.0012","0.029","0.034","0.032","0.0012","0.029","0.034","1","0","N/A","N/A","8726000","N/A","344000"
"1 - Less high school","NC","0.003","0.0003","0.003","0.004","0.028","0.0028","0.023","0.035","0.099","0.0104","0.081","0.122","867000","N/A","88000"
"2 - High school grad","NC","0.007","0.0005","0.006","0.008","0.03","0.0022","0.026","0.034","0.21","0.0144","0.183","0.24","1832000","N/A","133000"
"3 - Some coll/Assoc Dg","NC","0.01","0.0005","0.009","0.011","0.034","0.0018","0.031","0.038","0.303","0.0125","0.279","0.328","2644000","N/A","137000"
"4 - College graduate","NC","0.009","0.0009","0.008","0.011","0.032","0.0031","0.026","0.039","0.297","0.0227","0.254","0.343","2590000","N/A","259000"
"5 - 12 to 17 year olds","NC","0.003","0.0002","0.003","0.003","0.032","0.0016","0.029","0.035","0.091","0.0048","0.082","0.101","794000","N/A","41000"
"Overall","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","619000","N/A","26000"
"1 - Less high school","ND","0","0","0","0","0.001","0.0002","0.001","0.002","0.065","0.0089","0.049","0.085","40000","N/A","6000"
"2 - High school grad","ND","0.001","0","0.001","0.001","0.003","0.0002","0.002","0.003","0.266","0.0167","0.235","0.3","165000","N/A","13000"
"3 - Some coll/Assoc Dg","ND","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.321","0.0175","0.288","0.357","199000","N/A","14000"
"4 - College graduate","ND","0.001","0","0.001","0.001","0.002","0.0002","0.002","0.002","0.26","0.0171","0.228","0.295","161000","N/A","12000"
"5 - 12 to 17 year olds","ND","0","0","0","0","0.002","0.0002","0.002","0.003","0.088","0.0055","0.078","0.099","54000","N/A","4000"
"Overall","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1584000","N/A","60000"
"1 - Less high school","NE","0","0.0001","0","0","0.003","0.0005","0.002","0.004","0.054","0.0093","0.039","0.076","86000","N/A","15000"
"2 - High school grad","NE","0.001","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.235","0.0167","0.204","0.269","372000","N/A","31000"
"3 - Some coll/Assoc Dg","NE","0.002","0.0001","0.002","0.002","0.007","0.0005","0.006","0.008","0.331","0.0168","0.299","0.365","524000","N/A","36000"
"4 - College graduate","NE","0.002","0.0001","0.001","0.002","0.006","0.0003","0.005","0.006","0.281","0.016","0.25","0.313","444000","N/A","27000"
"5 - 12 to 17 year olds","NE","0.001","0","0.001","0.001","0.006","0.0004","0.006","0.007","0.099","0.0062","0.088","0.112","157000","N/A","10000"
"Overall","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1180000","N/A","47000"
"1 - Less high school","NH","0","0","0","0","0.003","0.0004","0.002","0.003","0.066","0.0103","0.049","0.089","78000","N/A","12000"
"2 - High school grad","NH","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.215","0.0154","0.186","0.247","253000","N/A","22000"
"3 - Some coll/Assoc Dg","NH","0.001","0.0001","0.001","0.002","0.005","0.0004","0.004","0.006","0.314","0.023","0.271","0.361","370000","N/A","34000"
"4 - College graduate","NH","0.001","0.0001","0.001","0.002","0.005","0.0004","0.004","0.006","0.325","0.0239","0.28","0.374","384000","N/A","28000"
"5 - 12 to 17 year olds","NH","0","0","0","0","0.004","0.0002","0.003","0.004","0.08","0.0056","0.07","0.092","94000","N/A","6000"
"Overall","NJ","0.027","0.001","0.026","0.029","0.027","0.001","0.026","0.029","1","0","N/A","N/A","7526000","N/A","278000"
"1 - Less high school","NJ","0.003","0.0003","0.002","0.003","0.025","0.0028","0.02","0.031","0.101","0.0114","0.081","0.126","760000","N/A","88000"
"2 - High school grad","NJ","0.005","0.0004","0.004","0.006","0.023","0.0018","0.02","0.027","0.19","0.0119","0.168","0.215","1431000","N/A","113000"
"3 - Some coll/Assoc Dg","NJ","0.007","0.0004","0.006","0.007","0.024","0.0013","0.022","0.027","0.247","0.0105","0.227","0.268","1856000","N/A","98000"
"4 - College graduate","NJ","0.01","0.0007","0.009","0.012","0.035","0.0023","0.03","0.039","0.373","0.0194","0.335","0.411","2804000","N/A","187000"
"5 - 12 to 17 year olds","NJ","0.002","0.0001","0.002","0.003","0.027","0.0015","0.024","0.03","0.09","0.0053","0.08","0.101","676000","N/A","39000"
"Overall","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","1","0","N/A","N/A","1747000","N/A","87000"
"1 - Less high school","NM","0.001","0.0001","0.001","0.001","0.007","0.0008","0.006","0.009","0.128","0.0133","0.104","0.157","224000","N/A","25000"
"2 - High school grad","NM","0.001","0.0001","0.001","0.002","0.007","0.0006","0.006","0.008","0.234","0.0161","0.204","0.267","409000","N/A","35000"
"3 - Some coll/Assoc Dg","NM","0.002","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.273","0.0184","0.239","0.311","477000","N/A","39000"
"4 - College graduate","NM","0.002","0.0002","0.001","0.002","0.006","0.0006","0.005","0.007","0.27","0.022","0.229","0.315","471000","N/A","46000"
"5 - 12 to 17 year olds","NM","0.001","0.0001","0.001","0.001","0.007","0.0006","0.006","0.008","0.095","0.0068","0.082","0.109","166000","N/A","15000"
"Overall","NV","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2561000","N/A","126000"
"1 - Less high school","NV","0.001","0.0001","0.001","0.001","0.009","0.0011","0.007","0.012","0.113","0.0122","0.091","0.139","289000","N/A","34000"
"2 - High school grad","NV","0.002","0.0002","0.002","0.003","0.01","0.0009","0.008","0.012","0.237","0.0171","0.205","0.272","607000","N/A","55000"
"3 - Some coll/Assoc Dg","NV","0.003","0.0002","0.003","0.004","0.011","0.0008","0.01","0.013","0.344","0.0181","0.309","0.38","881000","N/A","65000"
"4 - College graduate","NV","0.002","0.0002","0.002","0.002","0.007","0.0007","0.006","0.008","0.216","0.0193","0.181","0.256","553000","N/A","59000"
"5 - 12 to 17 year olds","NV","0.001","0.0001","0.001","0.001","0.009","0.0007","0.008","0.011","0.09","0.0077","0.077","0.107","232000","N/A","17000"
"Overall","NY","0.06","0.0015","0.058","0.063","0.06","0.0015","0.058","0.063","1","0","N/A","N/A","16572000","N/A","424000"
"1 - Less high school","NY","0.007","0.0005","0.006","0.008","0.064","0.0043","0.056","0.073","0.118","0.0081","0.103","0.135","1955000","N/A","135000"
"2 - High school grad","NY","0.012","0.0006","0.011","0.013","0.054","0.0026","0.049","0.06","0.201","0.0092","0.183","0.219","3326000","N/A","164000"
"3 - Some coll/Assoc Dg","NY","0.014","0.0006","0.013","0.016","0.051","0.0021","0.047","0.055","0.237","0.0084","0.221","0.254","3924000","N/A","169000"
"4 - College graduate","NY","0.022","0.0011","0.02","0.024","0.074","0.0037","0.068","0.082","0.363","0.0148","0.335","0.393","6019000","N/A","318000"
"5 - 12 to 17 year olds","NY","0.005","0.0002","0.005","0.005","0.054","0.0022","0.05","0.059","0.081","0.0032","0.075","0.088","1348000","N/A","58000"
"Overall","OH","0.036","0.0009","0.034","0.038","0.036","0.0009","0.034","0.038","1","0","N/A","N/A","9825000","N/A","260000"
"1 - Less high school","OH","0.004","0.0003","0.003","0.004","0.033","0.0026","0.028","0.039","0.103","0.0083","0.088","0.121","1012000","N/A","81000"
"2 - High school grad","OH","0.009","0.0005","0.009","0.011","0.043","0.0022","0.039","0.047","0.265","0.0126","0.241","0.291","2607000","N/A","136000"
"3 - Some coll/Assoc Dg","OH","0.01","0.0005","0.009","0.011","0.036","0.0016","0.033","0.04","0.286","0.0104","0.266","0.307","2811000","N/A","125000"
"4 - College graduate","OH","0.009","0.0007","0.008","0.011","0.031","0.0022","0.027","0.036","0.255","0.0155","0.226","0.287","2506000","N/A","180000"
"5 - 12 to 17 year olds","OH","0.003","0.0001","0.003","0.004","0.036","0.0016","0.033","0.039","0.091","0.0038","0.083","0.098","890000","N/A","40000"
"Overall","OK","0.012","0.0006","0.011","0.013","0.012","0.0006","0.011","0.013","1","0","N/A","N/A","3234000","N/A","152000"
"1 - Less high school","OK","0.002","0.0002","0.001","0.002","0.015","0.0014","0.012","0.017","0.137","0.013","0.113","0.164","443000","N/A","41000"
"2 - High school grad","OK","0.003","0.0002","0.003","0.004","0.014","0.001","0.012","0.016","0.268","0.0144","0.24","0.297","866000","N/A","60000"
"3 - Some coll/Assoc Dg","OK","0.003","0.0002","0.003","0.004","0.012","0.0008","0.011","0.014","0.295","0.0153","0.266","0.326","954000","N/A","62000"
"4 - College graduate","OK","0.002","0.0003","0.002","0.003","0.008","0.0009","0.007","0.01","0.202","0.0169","0.171","0.237","653000","N/A","72000"
"5 - 12 to 17 year olds","OK","0.001","0.0001","0.001","0.001","0.013","0.0009","0.011","0.015","0.098","0.0056","0.088","0.11","318000","N/A","24000"
"Overall","OR","0.013","0.0004","0.012","0.014","0.013","0.0004","0.012","0.014","1","0","N/A","N/A","3591000","N/A","108000"
"1 - Less high school","OR","0.001","0.0001","0.001","0.001","0.01","0.0012","0.008","0.012","0.083","0.0097","0.066","0.104","297000","N/A","36000"
"2 - High school grad","OR","0.002","0.0001","0.002","0.002","0.01","0.0006","0.009","0.011","0.164","0.0093","0.147","0.183","591000","N/A","38000"
"3 - Some coll/Assoc Dg","OR","0.004","0.0002","0.004","0.005","0.014","0.0009","0.013","0.016","0.311","0.016","0.28","0.343","1115000","N/A","68000"
"4 - College graduate","OR","0.005","0.0003","0.004","0.005","0.016","0.0009","0.014","0.018","0.36","0.0163","0.329","0.393","1293000","N/A","72000"
"5 - 12 to 17 year olds","OR","0.001","0.0001","0.001","0.001","0.012","0.0007","0.011","0.013","0.082","0.0053","0.072","0.093","295000","N/A","18000"
"Overall","PA","0.04","0.0011","0.037","0.042","0.04","0.0011","0.037","0.042","1","0","N/A","N/A","10878000","N/A","319000"
"1 - Less high school","PA","0.004","0.0003","0.003","0.004","0.032","0.0028","0.027","0.038","0.091","0.0073","0.077","0.106","988000","N/A","88000"
"2 - High school grad","PA","0.012","0.0007","0.01","0.013","0.052","0.003","0.046","0.058","0.291","0.0143","0.264","0.32","3171000","N/A","190000"
"3 - Some coll/Assoc Dg","PA","0.01","0.0004","0.009","0.011","0.036","0.0016","0.033","0.039","0.252","0.01","0.233","0.272","2745000","N/A","122000"
"4 - College graduate","PA","0.011","0.0007","0.01","0.013","0.038","0.0023","0.034","0.043","0.282","0.0158","0.252","0.314","3065000","N/A","193000"
"5 - 12 to 17 year olds","PA","0.003","0.0002","0.003","0.004","0.037","0.0017","0.033","0.04","0.084","0.0032","0.078","0.09","910000","N/A","43000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","910000","N/A","43000"
"1 - Less high school","RI","0","0.0001","0","0","0.003","0.0005","0.002","0.004","0.094","0.015","0.068","0.127","85000","N/A","15000"
"2 - High school grad","RI","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.198","0.0158","0.168","0.23","180000","N/A","15000"
"3 - Some coll/Assoc Dg","RI","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.004","0.302","0.0211","0.262","0.345","275000","N/A","25000"
"4 - College graduate","RI","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.004","0.327","0.0209","0.287","0.369","298000","N/A","24000"
"5 - 12 to 17 year olds","RI","0","0","0","0","0.003","0.0002","0.003","0.003","0.08","0.0048","0.071","0.09","72000","N/A","5000"
"Overall","SC","0.016","0.0008","0.014","0.017","0.016","0.0008","0.014","0.017","1","0","N/A","N/A","4289000","N/A","210000"
"1 - Less high school","SC","0.002","0.0003","0.002","0.003","0.022","0.0024","0.018","0.027","0.157","0.0152","0.13","0.19","675000","N/A","73000"
"2 - High school grad","SC","0.004","0.0003","0.003","0.005","0.018","0.0015","0.015","0.021","0.259","0.0171","0.227","0.294","1110000","N/A","92000"
"3 - Some coll/Assoc Dg","SC","0.005","0.0003","0.004","0.005","0.016","0.0012","0.014","0.019","0.291","0.0173","0.258","0.326","1249000","N/A","93000"
"4 - College graduate","SC","0.003","0.0004","0.003","0.004","0.011","0.0013","0.009","0.014","0.205","0.0204","0.168","0.248","878000","N/A","102000"
"5 - 12 to 17 year olds","SC","0.001","0.0001","0.001","0.002","0.015","0.0009","0.014","0.017","0.088","0.0045","0.08","0.097","377000","N/A","21000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","718000","N/A","41000"
"1 - Less high school","SD","0","0","0","0","0.002","0.0002","0.001","0.002","0.064","0.0089","0.049","0.084","46000","N/A","7000"
"2 - High school grad","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.251","0.0159","0.221","0.283","180000","N/A","17000"
"3 - Some coll/Assoc Dg","SD","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.003","0.318","0.0177","0.284","0.354","228000","N/A","19000"
"4 - College graduate","SD","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.271","0.0186","0.236","0.309","195000","N/A","15000"
"5 - 12 to 17 year olds","SD","0","0","0","0","0.003","0.0002","0.002","0.003","0.097","0.0059","0.086","0.109","69000","N/A","5000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5699000","N/A","267000"
"1 - Less high school","TN","0.002","0.0003","0.002","0.003","0.02","0.0026","0.016","0.026","0.109","0.0128","0.086","0.137","621000","N/A","81000"
