"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - No","LA","0.01","0.0005","0.009","0.011","0.012","0.0006","0.011","0.014","0.737","0.0176","0.701","0.77","2815000","N/A","147000"
"85 - BAD DATA Logically assigned","LA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","LA","0","0","0","0","0.009","0.0058","0.003","0.031","0.003","0.0019","0.001","0.01","11000","N/A","7000"
"97 - REFUSED","LA","0","0","0","0","0.041","0.03","0.01","0.16","0.002","0.0014","0","0.008","7000","N/A","6000"
"98 - BLANK","LA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","MA","0.022","0.0008","0.02","0.023","0.022","0.0008","0.02","0.023","1","0","N/A","N/A","5947000","N/A","212000"
"1 - Yes","MA","0.004","0.0003","0.004","0.005","0.026","0.0018","0.022","0.03","0.194","0.0148","0.167","0.225","1157000","N/A","84000"
"2 - No","MA","0.017","0.0008","0.016","0.019","0.021","0.001","0.019","0.023","0.803","0.0149","0.772","0.831","4777000","N/A","218000"
"85 - BAD DATA Logically assigned","MA","0","0","0","0","0.01","0.0105","0.001","0.072","0","0.0004","0","0.003","2000","N/A","2000"
"94 - DON T KNOW","MA","0","0","0","0","0.002","0.0023","0","0.016","0","0.0005","0","0.004","3000","N/A","3000"
"97 - REFUSED","MA","0","0","0","0","0.026","0.0259","0.004","0.165","0.001","0.0008","0","0.006","5000","N/A","5000"
"98 - BLANK","MA","0","0","0","0","0.024","0.0174","0.006","0.096","0.001","0.0004","0","0.002","3000","N/A","2000"
"Overall","MD","0.018","0.0008","0.017","0.02","0.018","0.0008","0.017","0.02","1","0","N/A","N/A","5059000","N/A","209000"
"1 - Yes","MD","0.003","0.0003","0.002","0.003","0.016","0.0016","0.013","0.019","0.139","0.0134","0.115","0.168","704000","N/A","72000"
"2 - No","MD","0.016","0.0007","0.014","0.017","0.019","0.0008","0.017","0.021","0.853","0.0137","0.824","0.878","4314000","N/A","191000"
"85 - BAD DATA Logically assigned","MD","0","0","0","0","0.057","0.0406","0.014","0.21","0.003","0.0019","0.001","0.011","13000","N/A","10000"
"94 - DON T KNOW","MD","0","0","0","0","0.016","0.0075","0.006","0.04","0.004","0.0018","0.002","0.01","20000","N/A","9000"
"97 - REFUSED","MD","0","0","0","0","0.047","0.033","0.012","0.173","0.002","0.0012","0","0.007","9000","N/A","6000"
"98 - BLANK","MD","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","ME","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1166000","N/A","50000"
"1 - Yes","ME","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.156","0.015","0.129","0.188","182000","N/A","19000"
"2 - No","ME","0.004","0.0002","0.003","0.004","0.004","0.0002","0.004","0.005","0.838","0.0154","0.806","0.866","978000","N/A","47000"
"85 - BAD DATA Logically assigned","ME","0","0","0","0","0.002","0.0017","0","0.012","0","0.0003","0","0.002","0","N/A","0"
"94 - DON T KNOW","ME","0","0","0","0","0.005","0.0021","0.002","0.011","0.005","0.0022","0.002","0.012","6000","N/A","3000"
"97 - REFUSED","ME","0","0","0","0","0.001","0.0011","0","0.008","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","ME","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","MI","0.031","0.0007","0.03","0.032","0.031","0.0007","0.03","0.032","1","0","N/A","N/A","8488000","N/A","201000"
"1 - Yes","MI","0.006","0.0003","0.005","0.007","0.036","0.0021","0.032","0.04","0.19","0.0106","0.17","0.211","1610000","N/A","93000"
"2 - No","MI","0.025","0.0007","0.023","0.026","0.03","0.0009","0.028","0.032","0.802","0.0109","0.78","0.823","6811000","N/A","198000"
"85 - BAD DATA Logically assigned","MI","0","0","0","0","0.035","0.0346","0.005","0.212","0.001","0.0009","0","0.007","8000","N/A","8000"
"94 - DON T KNOW","MI","0","0","0","0","0.046","0.0107","0.029","0.072","0.007","0.0016","0.004","0.011","57000","N/A","13000"
"97 - REFUSED","MI","0","0","0","0","0.01","0.0073","0.002","0.041","0","0.0002","0","0.001","2000","N/A","1000"
"98 - BLANK","MI","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","MN","0.017","0.0007","0.016","0.019","0.017","0.0007","0.016","0.019","1","0","N/A","N/A","4706000","N/A","192000"
"1 - Yes","MN","0.002","0.0003","0.002","0.003","0.014","0.0018","0.01","0.018","0.13","0.0167","0.101","0.167","614000","N/A","82000"
"2 - No","MN","0.015","0.0007","0.013","0.016","0.018","0.0008","0.016","0.019","0.858","0.0173","0.821","0.889","4039000","N/A","186000"
"85 - BAD DATA Logically assigned","MN","0","0","0","0","0.033","0.0325","0.005","0.201","0.002","0.0016","0","0.011","7000","N/A","7000"
"94 - DON T KNOW","MN","0","0","0","0","0.021","0.0062","0.011","0.037","0.005","0.0016","0.003","0.01","26000","N/A","8000"
"97 - REFUSED","MN","0","0","0","0","0.078","0.0482","0.022","0.24","0.003","0.0019","0.001","0.011","14000","N/A","9000"
"98 - BLANK","MN","0","0","0","0","0.038","0.0376","0.005","0.228","0.001","0.0011","0","0.008","5000","N/A","5000"
"Overall","MO","0.019","0.0007","0.017","0.02","0.019","0.0007","0.017","0.02","1","0","N/A","N/A","5116000","N/A","192000"
"1 - Yes","MO","0.002","0.0003","0.002","0.003","0.014","0.0015","0.011","0.017","0.12","0.0127","0.097","0.147","612000","N/A","69000"
"2 - No","MO","0.016","0.0007","0.015","0.018","0.02","0.0008","0.018","0.021","0.876","0.013","0.848","0.899","4481000","N/A","182000"
"85 - BAD DATA Logically assigned","MO","0","0","0","0","0.049","0.0418","0.009","0.23","0.002","0.0019","0","0.012","11000","N/A","10000"
"94 - DON T KNOW","MO","0","0","0","0","0.009","0.0037","0.004","0.02","0.002","0.0009","0.001","0.005","12000","N/A","5000"
"97 - REFUSED","MO","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","MO","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","MS","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2453000","N/A","96000"
"1 - Yes","MS","0.002","0.0001","0.001","0.002","0.009","0.0009","0.008","0.011","0.172","0.0157","0.144","0.205","423000","N/A","39000"
"2 - No","MS","0.007","0.0003","0.007","0.008","0.009","0.0004","0.008","0.01","0.818","0.0163","0.784","0.848","2007000","N/A","93000"
"85 - BAD DATA Logically assigned","MS","0","0","0","0","0.05","0.0382","0.011","0.204","0.005","0.0036","0.001","0.021","11000","N/A","9000"
"94 - DON T KNOW","MS","0","0","0","0","0.007","0.003","0.003","0.016","0.003","0.0015","0.001","0.008","9000","N/A","4000"
"97 - REFUSED","MS","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","MS","0","0","0","0","0.023","0.023","0.003","0.149","0.001","0.0013","0","0.009","3000","N/A","3000"
"Overall","MT","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","1","0","N/A","N/A","898000","N/A","30000"
"1 - Yes","MT","0.001","0.0001","0.001","0.001","0.004","0.0003","0.004","0.005","0.209","0.015","0.181","0.24","187000","N/A","15000"
"2 - No","MT","0.003","0.0001","0.002","0.003","0.003","0.0001","0.003","0.003","0.791","0.015","0.76","0.819","710000","N/A","28000"
"85 - BAD DATA Logically assigned","MT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","MT","0","0","0","0","0.001","0.0003","0","0.002","0.001","0.0005","0","0.002","1000","N/A","0"
"97 - REFUSED","MT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","MT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","NC","0.032","0.0012","0.029","0.034","0.032","0.0012","0.029","0.034","1","0","N/A","N/A","8726000","N/A","344000"
"1 - Yes","NC","0.004","0.0004","0.004","0.005","0.027","0.0023","0.023","0.031","0.138","0.0121","0.116","0.163","1201000","N/A","104000"
"2 - No","NC","0.027","0.0012","0.025","0.03","0.033","0.0015","0.03","0.036","0.859","0.0123","0.833","0.882","7500000","N/A","341000"
"85 - BAD DATA Logically assigned","NC","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NC","0","0","0","0","0.018","0.0055","0.01","0.033","0.003","0.0008","0.001","0.005","23000","N/A","7000"
"97 - REFUSED","NC","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","NC","0","0","0","0","0.015","0.0111","0.004","0.062","0","0.0002","0","0.001","2000","N/A","2000"
"Overall","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","619000","N/A","26000"
"1 - Yes","ND","0","0","0","0","0.001","0.0002","0.001","0.002","0.107","0.0104","0.088","0.129","66000","N/A","7000"
"2 - No","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.003","0.889","0.0103","0.867","0.907","550000","N/A","24000"
"85 - BAD DATA Logically assigned","ND","0","0","0","0","0.002","0.0018","0","0.013","0.001","0.0006","0","0.005","0","N/A","0"
"94 - DON T KNOW","ND","0","0","0","0","0.001","0.0008","0","0.004","0.003","0.0016","0.001","0.008","2000","N/A","1000"
"97 - REFUSED","ND","0","0","0","0","0.001","0.0011","0","0.008","0","0.0003","0","0.002","0","N/A","0"
"98 - BLANK","ND","0","0","0","0","0.006","0.0062","0.001","0.044","0.001","0.0014","0","0.01","1000","N/A","1000"
"Overall","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1584000","N/A","60000"
"1 - Yes","NE","0","0.0001","0","0.001","0.003","0.0003","0.002","0.004","0.087","0.0085","0.071","0.105","137000","N/A","14000"
"2 - No","NE","0.005","0.0002","0.005","0.006","0.006","0.0002","0.006","0.007","0.906","0.0088","0.887","0.921","1434000","N/A","56000"
"85 - BAD DATA Logically assigned","NE","0","0","0","0","0.011","0.0075","0.003","0.041","0.002","0.001","0","0.006","3000","N/A","2000"
"94 - DON T KNOW","NE","0","0","0","0","0.005","0.0017","0.002","0.01","0.004","0.0013","0.002","0.007","6000","N/A","2000"
"97 - REFUSED","NE","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","NE","0","0","0","0","0.029","0.0211","0.007","0.114","0.003","0.0018","0.001","0.01","4000","N/A","3000"
"Overall","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1180000","N/A","47000"
"1 - Yes","NH","0","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.104","0.0131","0.081","0.132","123000","N/A","17000"
"2 - No","NH","0.004","0.0002","0.004","0.004","0.005","0.0002","0.004","0.005","0.889","0.0134","0.859","0.912","1048000","N/A","43000"
"85 - BAD DATA Logically assigned","NH","0","0","0","0","0.018","0.0099","0.006","0.052","0.003","0.0018","0.001","0.01","4000","N/A","2000"
"94 - DON T KNOW","NH","0","0","0","0","0.004","0.0012","0.002","0.007","0.004","0.0012","0.002","0.007","5000","N/A","1000"
"97 - REFUSED","NH","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","NH","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","NJ","0.027","0.001","0.026","0.029","0.027","0.001","0.026","0.029","1","0","N/A","N/A","7526000","N/A","278000"
"1 - Yes","NJ","0.004","0.0004","0.003","0.004","0.022","0.0022","0.018","0.027","0.133","0.0124","0.11","0.159","1000000","N/A","100000"
"2 - No","NJ","0.024","0.0009","0.022","0.025","0.028","0.0011","0.026","0.031","0.859","0.0127","0.832","0.882","6463000","N/A","259000"
"85 - BAD DATA Logically assigned","NJ","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NJ","0","0.0001","0","0","0.035","0.012","0.018","0.068","0.006","0.002","0.003","0.011","44000","N/A","15000"
"97 - REFUSED","NJ","0","0","0","0","0.009","0.0066","0.002","0.038","0","0.0002","0","0.001","2000","N/A","1000"
"98 - BLANK","NJ","0","0","0","0","0.124","0.0807","0.032","0.379","0.002","0.0016","0.001","0.009","17000","N/A","12000"
"Overall","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","1","0","N/A","N/A","1747000","N/A","87000"
"1 - Yes","NM","0.002","0.0001","0.001","0.002","0.01","0.0007","0.008","0.011","0.248","0.017","0.216","0.283","433000","N/A","31000"
"2 - No","NM","0.005","0.0003","0.004","0.005","0.006","0.0003","0.005","0.006","0.74","0.0165","0.706","0.771","1292000","N/A","77000"
"85 - BAD DATA Logically assigned","NM","0","0","0","0","0.005","0.004","0.001","0.024","0.001","0.0005","0","0.003","1000","N/A","1000"
"94 - DON T KNOW","NM","0","0","0","0","0.002","0.0008","0.001","0.004","0.001","0.0006","0","0.003","2000","N/A","1000"
"97 - REFUSED","NM","0","0","0","0","0.103","0.049","0.039","0.245","0.011","0.0053","0.004","0.028","19000","N/A","9000"
"98 - BLANK","NM","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","NV","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2561000","N/A","126000"
"1 - Yes","NV","0.002","0.0002","0.001","0.002","0.01","0.001","0.008","0.012","0.176","0.0153","0.147","0.208","450000","N/A","45000"
"2 - No","NV","0.008","0.0004","0.007","0.008","0.009","0.0005","0.008","0.01","0.821","0.0154","0.788","0.849","2102000","N/A","111000"
"85 - BAD DATA Logically assigned","NV","0","0","0","0","0.012","0.0124","0.002","0.084","0.001","0.0011","0","0.008","3000","N/A","3000"
"94 - DON T KNOW","NV","0","0","0","0","0.005","0.0024","0.002","0.013","0.002","0.0011","0.001","0.006","6000","N/A","3000"
"97 - REFUSED","NV","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","NV","0","0","0","0","0.01","0.0106","0.001","0.073","0.001","0.0006","0","0.004","1000","N/A","1000"
"Overall","NY","0.06","0.0015","0.058","0.063","0.06","0.0015","0.058","0.063","1","0","N/A","N/A","16572000","N/A","424000"
"1 - Yes","NY","0.015","0.0007","0.013","0.016","0.09","0.0042","0.082","0.099","0.246","0.0119","0.223","0.27","4073000","N/A","201000"
"2 - No","NY","0.045","0.0014","0.042","0.048","0.054","0.0017","0.051","0.058","0.745","0.0118","0.721","0.767","12347000","N/A","406000"
"85 - BAD DATA Logically assigned","NY","0","0","0","0","0.019","0.0139","0.004","0.077","0","0.0002","0","0.001","4000","N/A","3000"
"94 - DON T KNOW","NY","0","0.0001","0","0.001","0.076","0.0195","0.045","0.124","0.006","0.0015","0.003","0.01","94000","N/A","26000"
"97 - REFUSED","NY","0","0","0","0","0.132","0.0538","0.057","0.277","0.001","0.0006","0.001","0.003","24000","N/A","10000"
"98 - BLANK","NY","0","0.0001","0","0","0.212","0.1025","0.075","0.473","0.002","0.001","0.001","0.006","30000","N/A","17000"
"Overall","OH","0.036","0.0009","0.034","0.038","0.036","0.0009","0.034","0.038","1","0","N/A","N/A","9825000","N/A","260000"
"1 - Yes","OH","0.007","0.0004","0.006","0.008","0.042","0.0025","0.037","0.047","0.193","0.0115","0.171","0.216","1895000","N/A","112000"
"2 - No","OH","0.029","0.0009","0.027","0.031","0.035","0.0011","0.032","0.037","0.803","0.0117","0.779","0.825","7889000","N/A","263000"
"85 - BAD DATA Logically assigned","OH","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","OH","0","0","0","0","0.025","0.0085","0.013","0.048","0.003","0.0011","0.002","0.006","31000","N/A","11000"
"97 - REFUSED","OH","0","0","0","0","0.024","0.0206","0.005","0.121","0","0.0004","0","0.002","4000","N/A","4000"
"98 - BLANK","OH","0","0","0","0","0.042","0.0409","0.006","0.245","0.001","0.0006","0","0.004","6000","N/A","6000"
"Overall","OK","0.012","0.0006","0.011","0.013","0.012","0.0006","0.011","0.013","1","0","N/A","N/A","3234000","N/A","152000"
"1 - Yes","OK","0.002","0.0002","0.001","0.002","0.01","0.0009","0.009","0.012","0.146","0.0138","0.121","0.175","471000","N/A","41000"
"2 - No","OK","0.01","0.0006","0.009","0.011","0.012","0.0007","0.011","0.013","0.849","0.0135","0.82","0.873","2745000","N/A","152000"
"85 - BAD DATA Logically assigned","OK","0","0","0","0","0.003","0.003","0","0.021","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","OK","0","0","0","0","0.012","0.0065","0.004","0.034","0.005","0.0025","0.002","0.013","15000","N/A","8000"
"97 - REFUSED","OK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","OK","0","0","0","0","0.013","0.0135","0.002","0.091","0.001","0.0006","0","0.004","2000","N/A","2000"
"Overall","OR","0.013","0.0004","0.012","0.014","0.013","0.0004","0.012","0.014","1","0","N/A","N/A","3591000","N/A","108000"
"1 - Yes","OR","0.002","0.0002","0.002","0.002","0.012","0.0011","0.01","0.014","0.145","0.0136","0.12","0.174","521000","N/A","50000"
"2 - No","OR","0.011","0.0004","0.01","0.012","0.013","0.0005","0.012","0.014","0.849","0.0137","0.82","0.874","3050000","N/A","108000"
"85 - BAD DATA Logically assigned","OR","0","0","0","0","0.003","0.0026","0","0.019","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","OR","0","0","0","0","0.007","0.0039","0.002","0.021","0.002","0.0013","0.001","0.007","9000","N/A","5000"
"97 - REFUSED","OR","0","0","0","0","0.027","0.0201","0.006","0.11","0.001","0.001","0","0.006","5000","N/A","4000"
"98 - BLANK","OR","0","0","0","0","0.044","0.0328","0.01","0.176","0.002","0.0013","0","0.007","6000","N/A","5000"
"Overall","PA","0.04","0.0011","0.037","0.042","0.04","0.0011","0.037","0.042","1","0","N/A","N/A","10878000","N/A","319000"
"1 - Yes","PA","0.006","0.0005","0.005","0.007","0.038","0.0029","0.033","0.044","0.158","0.0107","0.138","0.18","1720000","N/A","132000"
"2 - No","PA","0.033","0.001","0.031","0.035","0.04","0.0012","0.038","0.042","0.834","0.0112","0.81","0.854","9067000","N/A","280000"
"85 - BAD DATA Logically assigned","PA","0","0","0","0","0.004","0.0044","0.001","0.031","0","0.0001","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","PA","0","0.0001","0","0","0.066","0.0143","0.043","0.1","0.008","0.0017","0.005","0.012","82000","N/A","18000"
"97 - REFUSED","PA","0","0","0","0","0.022","0.0134","0.007","0.071","0","0.0002","0","0.001","4000","N/A","2000"
"98 - BLANK","PA","0","0","0","0","0.025","0.0183","0.006","0.101","0","0.0002","0","0.001","3000","N/A","3000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","910000","N/A","43000"
"1 - Yes","RI","0.001","0.0001","0","0.001","0.004","0.0003","0.003","0.004","0.176","0.0143","0.149","0.206","160000","N/A","14000"
"2 - No","RI","0.003","0.0001","0.002","0.003","0.003","0.0002","0.003","0.004","0.817","0.0144","0.787","0.844","744000","N/A","38000"
"85 - BAD DATA Logically assigned","RI","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","RI","0","0","0","0","0.004","0.0016","0.002","0.009","0.006","0.0021","0.003","0.012","5000","N/A","2000"
