"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Employed part time","AL","0.002","0.0002","0.001","0.002","0.012","0.0012","0.01","0.015","0.107","0.0103","0.089","0.129","440000","N/A","43000"
"3 - Unemployed","AL","0.001","0.0001","0","0.001","0.015","0.0018","0.012","0.019","0.041","0.0053","0.032","0.053","170000","N/A","21000"
"4 - Other","AL","0.006","0.0004","0.005","0.007","0.017","0.0013","0.015","0.02","0.385","0.02","0.346","0.425","1578000","N/A","115000"
"99 - 12-14 year olds","AL","0.001","0.0001","0.001","0.001","0.016","0.0016","0.013","0.019","0.047","0.0043","0.039","0.056","192000","N/A","20000"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"1 - Employed full time","AR","0.004","0.0002","0.004","0.004","0.009","0.0004","0.008","0.01","0.433","0.0157","0.402","0.464","1081000","N/A","53000"
"2 - Employed part time","AR","0.001","0.0001","0.001","0.001","0.008","0.0008","0.007","0.01","0.113","0.0101","0.095","0.134","282000","N/A","28000"
"3 - Unemployed","AR","0","0","0","0","0.008","0.0012","0.006","0.011","0.036","0.0053","0.027","0.048","91000","N/A","13000"
"4 - Other","AR","0.003","0.0002","0.003","0.004","0.01","0.0006","0.009","0.011","0.37","0.0169","0.337","0.403","924000","N/A","57000"
"99 - 12-14 year olds","AR","0","0","0","0.001","0.01","0.0008","0.008","0.012","0.049","0.0039","0.041","0.057","121000","N/A","9000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6042000","N/A","425000"
"1 - Employed full time","AZ","0.01","0.0009","0.008","0.012","0.022","0.002","0.018","0.026","0.447","0.0272","0.394","0.501","2700000","N/A","255000"
"2 - Employed part time","AZ","0.002","0.0002","0.002","0.003","0.016","0.0017","0.013","0.02","0.096","0.0087","0.08","0.114","580000","N/A","62000"
"3 - Unemployed","AZ","0.001","0.0001","0.001","0.001","0.02","0.0028","0.015","0.026","0.037","0.0049","0.029","0.048","225000","N/A","32000"
"4 - Other","AZ","0.008","0.0008","0.007","0.01","0.025","0.0025","0.02","0.03","0.373","0.0258","0.324","0.424","2252000","N/A","229000"
"99 - 12-14 year olds","AZ","0.001","0.0001","0.001","0.001","0.023","0.003","0.018","0.03","0.047","0.0056","0.037","0.06","286000","N/A","37000"
"Overall","CA","0.121","0.0023","0.116","0.125","0.121","0.0023","0.116","0.125","1","0","N/A","N/A","33110000","N/A","679000"
"1 - Employed full time","CA","0.053","0.0015","0.05","0.056","0.117","0.0031","0.111","0.123","0.441","0.0084","0.425","0.458","14608000","N/A","425000"
"2 - Employed part time","CA","0.017","0.0006","0.015","0.018","0.128","0.0045","0.119","0.137","0.137","0.0048","0.128","0.147","4537000","N/A","175000"
"3 - Unemployed","CA","0.006","0.0004","0.005","0.006","0.135","0.0087","0.119","0.153","0.046","0.0031","0.04","0.053","1525000","N/A","108000"
"4 - Other","CA","0.04","0.0013","0.038","0.043","0.121","0.0037","0.114","0.128","0.332","0.0084","0.315","0.348","10977000","N/A","364000"
"99 - 12-14 year olds","CA","0.005","0.0002","0.005","0.006","0.119","0.0043","0.111","0.128","0.044","0.0018","0.041","0.048","1464000","N/A","57000"
"Overall","CO","0.018","0.0009","0.016","0.019","0.018","0.0009","0.016","0.019","1","0","N/A","N/A","4806000","N/A","245000"
"1 - Employed full time","CO","0.009","0.0006","0.008","0.01","0.019","0.0012","0.017","0.022","0.498","0.0167","0.465","0.531","2394000","N/A","153000"
"2 - Employed part time","CO","0.003","0.0002","0.002","0.003","0.021","0.0018","0.017","0.024","0.152","0.0118","0.13","0.177","731000","N/A","65000"
"3 - Unemployed","CO","0.001","0.0001","0.001","0.001","0.017","0.0025","0.013","0.023","0.04","0.006","0.029","0.053","191000","N/A","29000"
"4 - Other","CO","0.005","0.0004","0.004","0.006","0.014","0.0014","0.012","0.017","0.264","0.0215","0.224","0.309","1269000","N/A","123000"
"99 - 12-14 year olds","CO","0.001","0.0001","0.001","0.001","0.018","0.0021","0.014","0.023","0.046","0.005","0.037","0.057","221000","N/A","27000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3060000","N/A","137000"
"1 - Employed full time","CT","0.005","0.0003","0.005","0.006","0.011","0.0007","0.01","0.013","0.466","0.0206","0.426","0.506","1426000","N/A","90000"
"2 - Employed part time","CT","0.002","0.0002","0.001","0.002","0.014","0.0013","0.012","0.017","0.162","0.0145","0.135","0.192","494000","N/A","48000"
"3 - Unemployed","CT","0","0.0001","0","0.001","0.011","0.0015","0.009","0.015","0.042","0.0055","0.032","0.054","128000","N/A","17000"
"4 - Other","CT","0.003","0.0003","0.003","0.004","0.01","0.0008","0.008","0.012","0.29","0.0187","0.255","0.328","887000","N/A","74000"
"99 - 12-14 year olds","CT","0","0","0","0.001","0.01","0.0009","0.009","0.012","0.041","0.0039","0.034","0.049","126000","N/A","11000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","598000","N/A","29000"
"1 - Employed full time","DC","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.566","0.0171","0.532","0.599","338000","N/A","20000"
"2 - Employed part time","DC","0","0","0","0","0.002","0.0002","0.001","0.002","0.106","0.012","0.084","0.132","63000","N/A","8000"
"3 - Unemployed","DC","0","0","0","0","0.003","0.0004","0.002","0.004","0.053","0.0084","0.039","0.072","32000","N/A","5000"
"4 - Other","DC","0.001","0","0","0.001","0.002","0.0001","0.001","0.002","0.249","0.0151","0.221","0.28","149000","N/A","12000"
"99 - 12-14 year olds","DC","0","0","0","0","0.001","0.0001","0.001","0.002","0.026","0.0023","0.022","0.031","16000","N/A","1000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","822000","N/A","45000"
"1 - Employed full time","DE","0.001","0.0001","0.001","0.002","0.003","0.0002","0.003","0.004","0.471","0.0145","0.443","0.5","387000","N/A","27000"
"2 - Employed part time","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.124","0.0132","0.1","0.152","102000","N/A","12000"
"3 - Unemployed","DE","0","0","0","0","0.003","0.0004","0.002","0.004","0.044","0.0058","0.033","0.057","36000","N/A","5000"
"4 - Other","DE","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.32","0.0161","0.29","0.353","263000","N/A","20000"
"99 - 12-14 year olds","DE","0","0","0","0","0.003","0.0003","0.002","0.003","0.041","0.0046","0.032","0.051","33000","N/A","4000"
"Overall","FL","0.067","0.0019","0.063","0.071","0.067","0.0019","0.063","0.071","1","0","N/A","N/A","18293000","N/A","544000"
"1 - Employed full time","FL","0.029","0.0011","0.027","0.031","0.063","0.0024","0.059","0.068","0.431","0.0129","0.406","0.457","7891000","N/A","315000"
"2 - Employed part time","FL","0.008","0.0004","0.007","0.009","0.06","0.0032","0.054","0.066","0.115","0.0055","0.105","0.127","2113000","N/A","117000"
"3 - Unemployed","FL","0.003","0.0002","0.002","0.003","0.065","0.0048","0.056","0.075","0.04","0.003","0.035","0.046","732000","N/A","55000"
"4 - Other","FL","0.025","0.0012","0.023","0.027","0.075","0.0036","0.069","0.083","0.374","0.0128","0.349","0.399","6843000","N/A","340000"
"99 - 12-14 year olds","FL","0.003","0.0001","0.002","0.003","0.058","0.003","0.053","0.064","0.039","0.0021","0.035","0.043","713000","N/A","38000"
"Overall","GA","0.032","0.0011","0.03","0.034","0.032","0.0011","0.03","0.034","1","0","N/A","N/A","8732000","N/A","317000"
"1 - Employed full time","GA","0.014","0.0008","0.013","0.016","0.031","0.0016","0.028","0.035","0.449","0.0153","0.419","0.479","3920000","N/A","209000"
"2 - Employed part time","GA","0.004","0.0003","0.003","0.004","0.027","0.0022","0.023","0.032","0.111","0.0085","0.095","0.129","967000","N/A","79000"
"3 - Unemployed","GA","0.001","0.0001","0.001","0.002","0.034","0.0027","0.029","0.04","0.044","0.0036","0.038","0.052","384000","N/A","31000"
"4 - Other","GA","0.011","0.0006","0.01","0.012","0.034","0.0019","0.03","0.038","0.349","0.016","0.318","0.381","3046000","N/A","177000"
"99 - 12-14 year olds","GA","0.002","0.0001","0.001","0.002","0.034","0.0022","0.03","0.038","0.048","0.0028","0.042","0.053","415000","N/A","28000"
"Overall","HI","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1156000","N/A","59000"
"1 - Employed full time","HI","0.002","0.0001","0.002","0.002","0.004","0.0002","0.003","0.004","0.421","0.0148","0.392","0.45","487000","N/A","31000"
"2 - Employed part time","HI","0.001","0","0","0.001","0.004","0.0004","0.003","0.005","0.127","0.0093","0.11","0.147","147000","N/A","14000"
"3 - Unemployed","HI","0","0","0","0","0.004","0.0008","0.002","0.006","0.036","0.0073","0.024","0.054","42000","N/A","9000"
"4 - Other","HI","0.002","0.0001","0.001","0.002","0.005","0.0003","0.004","0.005","0.375","0.0163","0.344","0.408","434000","N/A","29000"
"99 - 12-14 year olds","HI","0","0","0","0","0.004","0.0003","0.003","0.004","0.04","0.0034","0.034","0.048","47000","N/A","4000"
"Overall","IA","0.01","0.0004","0.009","0.01","0.01","0.0004","0.009","0.01","1","0","N/A","N/A","2632000","N/A","119000"
"1 - Employed full time","IA","0.005","0.0003","0.004","0.006","0.011","0.0006","0.01","0.012","0.52","0.0177","0.485","0.554","1368000","N/A","75000"
"2 - Employed part time","IA","0.001","0.0001","0.001","0.002","0.01","0.0011","0.008","0.013","0.137","0.0129","0.114","0.165","361000","N/A","40000"
"3 - Unemployed","IA","0","0.0001","0","0","0.006","0.0013","0.004","0.009","0.027","0.0054","0.018","0.04","70000","N/A","15000"
"4 - Other","IA","0.003","0.0002","0.002","0.003","0.008","0.0006","0.007","0.009","0.27","0.0161","0.239","0.302","710000","N/A","53000"
"99 - 12-14 year olds","IA","0","0","0","0.001","0.01","0.0009","0.008","0.012","0.047","0.0039","0.04","0.055","123000","N/A","11000"
"Overall","ID","0.005","0.0002","0.005","0.006","0.005","0.0002","0.005","0.006","1","0","N/A","N/A","1458000","N/A","61000"
"1 - Employed full time","ID","0.002","0.0001","0.002","0.003","0.005","0.0003","0.005","0.006","0.458","0.0171","0.424","0.491","667000","N/A","35000"
"2 - Employed part time","ID","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.143","0.0111","0.123","0.166","209000","N/A","19000"
"3 - Unemployed","ID","0","0","0","0","0.003","0.0005","0.002","0.004","0.024","0.0036","0.018","0.032","35000","N/A","5000"
"4 - Other","ID","0.002","0.0001","0.001","0.002","0.005","0.0004","0.004","0.006","0.322","0.0185","0.287","0.359","469000","N/A","35000"
"99 - 12-14 year olds","ID","0","0","0","0","0.006","0.0006","0.005","0.008","0.053","0.0051","0.044","0.064","78000","N/A","8000"
"Overall","IL","0.039","0.0011","0.037","0.041","0.039","0.0011","0.037","0.041","1","0","N/A","N/A","10672000","N/A","299000"
"1 - Employed full time","IL","0.017","0.0006","0.016","0.019","0.038","0.0013","0.036","0.041","0.447","0.01","0.428","0.467","4772000","N/A","165000"
"2 - Employed part time","IL","0.005","0.0003","0.005","0.006","0.042","0.0024","0.038","0.047","0.139","0.0068","0.127","0.153","1487000","N/A","85000"
"3 - Unemployed","IL","0.002","0.0002","0.002","0.002","0.048","0.0052","0.039","0.06","0.051","0.0054","0.041","0.063","545000","N/A","61000"
"4 - Other","IL","0.012","0.0006","0.011","0.014","0.037","0.0017","0.034","0.041","0.318","0.011","0.297","0.34","3398000","N/A","155000"
"99 - 12-14 year olds","IL","0.002","0.0001","0.002","0.002","0.038","0.0024","0.034","0.043","0.044","0.0028","0.039","0.05","470000","N/A","30000"
"Overall","IN","0.02","0.0008","0.019","0.022","0.02","0.0008","0.019","0.022","1","0","N/A","N/A","5586000","N/A","209000"
"1 - Employed full time","IN","0.01","0.0005","0.009","0.011","0.021","0.0012","0.019","0.024","0.477","0.0148","0.448","0.506","2665000","N/A","151000"
"2 - Employed part time","IN","0.003","0.0002","0.002","0.003","0.021","0.0017","0.018","0.025","0.134","0.0115","0.113","0.158","747000","N/A","62000"
"3 - Unemployed","IN","0.001","0.0001","0.001","0.001","0.018","0.0026","0.014","0.024","0.037","0.0055","0.027","0.049","205000","N/A","30000"
"4 - Other","IN","0.006","0.0004","0.006","0.007","0.019","0.0012","0.017","0.021","0.306","0.0153","0.276","0.336","1707000","N/A","106000"
"99 - 12-14 year olds","IN","0.001","0.0001","0.001","0.001","0.021","0.0019","0.018","0.025","0.047","0.004","0.04","0.056","263000","N/A","23000"
"Overall","KS","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.009","1","0","N/A","N/A","2384000","N/A","103000"
"1 - Employed full time","KS","0.004","0.0003","0.004","0.005","0.009","0.0006","0.008","0.011","0.492","0.0184","0.456","0.528","1172000","N/A","72000"
"2 - Employed part time","KS","0.001","0.0001","0.001","0.001","0.009","0.0007","0.007","0.01","0.129","0.0087","0.113","0.147","308000","N/A","23000"
"3 - Unemployed","KS","0","0","0","0","0.006","0.0009","0.005","0.008","0.029","0.0043","0.021","0.038","68000","N/A","10000"
"4 - Other","KS","0.003","0.0002","0.002","0.003","0.008","0.0006","0.007","0.009","0.302","0.0176","0.268","0.337","720000","N/A","54000"
"99 - 12-14 year olds","KS","0","0","0","0","0.009","0.0007","0.008","0.011","0.049","0.004","0.041","0.057","116000","N/A","9000"
"Overall","KY","0.014","0.0006","0.012","0.015","0.014","0.0006","0.012","0.015","1","0","N/A","N/A","3719000","N/A","168000"
"1 - Employed full time","KY","0.006","0.0003","0.005","0.007","0.013","0.0007","0.012","0.015","0.447","0.0172","0.413","0.48","1661000","N/A","90000"
"2 - Employed part time","KY","0.001","0.0001","0.001","0.002","0.01","0.001","0.008","0.013","0.099","0.0088","0.083","0.117","367000","N/A","37000"
"3 - Unemployed","KY","0","0.0001","0","0.001","0.011","0.0016","0.009","0.015","0.034","0.0043","0.027","0.044","128000","N/A","18000"
"4 - Other","KY","0.005","0.0004","0.004","0.006","0.015","0.0011","0.013","0.018","0.375","0.0167","0.343","0.408","1394000","N/A","96000"
"99 - 12-14 year olds","KY","0.001","0","0.001","0.001","0.014","0.0011","0.012","0.016","0.046","0.0036","0.039","0.053","169000","N/A","13000"
"Overall","LA","0.014","0.0007","0.013","0.015","0.014","0.0007","0.013","0.015","1","0","N/A","N/A","3821000","N/A","200000"
"1 - Employed full time","LA","0.006","0.0004","0.005","0.006","0.013","0.0008","0.011","0.014","0.412","0.0191","0.375","0.45","1575000","N/A","99000"
"2 - Employed part time","LA","0.002","0.0002","0.001","0.002","0.013","0.0013","0.011","0.016","0.119","0.0109","0.1","0.142","456000","N/A","47000"
"3 - Unemployed","LA","0.001","0.0001","0.001","0.001","0.016","0.0021","0.013","0.021","0.048","0.0055","0.038","0.06","184000","N/A","24000"
"4 - Other","LA","0.005","0.0004","0.004","0.006","0.016","0.0013","0.013","0.018","0.373","0.0187","0.337","0.411","1426000","N/A","118000"
"99 - 12-14 year olds","LA","0.001","0.0001","0.001","0.001","0.015","0.0012","0.012","0.017","0.047","0.004","0.04","0.055","179000","N/A","15000"
"Overall","MA","0.022","0.0008","0.02","0.023","0.022","0.0008","0.02","0.023","1","0","N/A","N/A","5947000","N/A","212000"
"1 - Employed full time","MA","0.01","0.0005","0.009","0.011","0.022","0.0011","0.02","0.024","0.46","0.0172","0.427","0.494","2738000","N/A","132000"
"2 - Employed part time","MA","0.004","0.0003","0.003","0.004","0.03","0.0024","0.025","0.035","0.177","0.0135","0.152","0.205","1050000","N/A","87000"
"3 - Unemployed","MA","0.001","0.0001","0.001","0.001","0.024","0.0033","0.018","0.031","0.045","0.0062","0.034","0.058","266000","N/A","38000"
"4 - Other","MA","0.006","0.0005","0.005","0.007","0.018","0.0014","0.016","0.021","0.278","0.0176","0.245","0.314","1654000","N/A","129000"
"99 - 12-14 year olds","MA","0.001","0.0001","0.001","0.001","0.019","0.002","0.016","0.024","0.04","0.0041","0.033","0.049","239000","N/A","25000"
"Overall","MD","0.018","0.0008","0.017","0.02","0.018","0.0008","0.017","0.02","1","0","N/A","N/A","5059000","N/A","209000"
"1 - Employed full time","MD","0.009","0.0005","0.008","0.01","0.021","0.0011","0.019","0.023","0.507","0.0204","0.467","0.547","2566000","N/A","139000"
"2 - Employed part time","MD","0.002","0.0002","0.002","0.003","0.017","0.0015","0.014","0.02","0.116","0.0094","0.099","0.136","587000","N/A","54000"
"3 - Unemployed","MD","0.001","0.0001","0.001","0.001","0.02","0.003","0.015","0.027","0.046","0.007","0.034","0.061","231000","N/A","34000"
"4 - Other","MD","0.005","0.0004","0.004","0.006","0.016","0.0013","0.014","0.019","0.288","0.0185","0.253","0.325","1455000","N/A","123000"
"99 - 12-14 year olds","MD","0.001","0.0001","0.001","0.001","0.018","0.0016","0.015","0.021","0.044","0.0037","0.037","0.052","221000","N/A","19000"
"Overall","ME","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1166000","N/A","50000"
"1 - Employed full time","ME","0.002","0.0001","0.002","0.002","0.004","0.0003","0.004","0.005","0.463","0.02","0.424","0.502","539000","N/A","32000"
"2 - Employed part time","ME","0.001","0.0001","0.001","0.001","0.005","0.0005","0.004","0.006","0.144","0.011","0.124","0.167","168000","N/A","17000"
"3 - Unemployed","ME","0","0","0","0","0.003","0.0005","0.002","0.004","0.03","0.0049","0.021","0.041","35000","N/A","6000"
"4 - Other","ME","0.001","0.0001","0.001","0.002","0.004","0.0003","0.004","0.005","0.325","0.0175","0.292","0.36","379000","N/A","26000"
"99 - 12-14 year olds","ME","0","0","0","0","0.004","0.0003","0.003","0.004","0.039","0.0035","0.032","0.046","45000","N/A","4000"
"Overall","MI","0.031","0.0007","0.03","0.032","0.031","0.0007","0.03","0.032","1","0","N/A","N/A","8488000","N/A","201000"
"1 - Employed full time","MI","0.014","0.0005","0.013","0.015","0.03","0.001","0.028","0.033","0.447","0.0102","0.427","0.467","3796000","N/A","130000"
"2 - Employed part time","MI","0.004","0.0002","0.004","0.005","0.033","0.0018","0.029","0.036","0.136","0.0068","0.123","0.15","1156000","N/A","64000"
"3 - Unemployed","MI","0.001","0.0001","0.001","0.002","0.03","0.003","0.025","0.037","0.041","0.004","0.033","0.049","344000","N/A","35000"
"4 - Other","MI","0.01","0.0004","0.009","0.011","0.031","0.0013","0.029","0.034","0.331","0.0112","0.309","0.354","2811000","N/A","116000"
"99 - 12-14 year olds","MI","0.001","0.0001","0.001","0.002","0.031","0.0015","0.028","0.034","0.045","0.0021","0.041","0.049","381000","N/A","18000"
"Overall","MN","0.017","0.0007","0.016","0.019","0.017","0.0007","0.016","0.019","1","0","N/A","N/A","4706000","N/A","192000"
"1 - Employed full time","MN","0.009","0.0005","0.008","0.01","0.02","0.001","0.018","0.022","0.519","0.0166","0.486","0.551","2441000","N/A","131000"
"2 - Employed part time","MN","0.002","0.0002","0.002","0.003","0.019","0.0015","0.016","0.022","0.141","0.0099","0.123","0.162","663000","N/A","53000"
"3 - Unemployed","MN","0","0.0001","0","0.001","0.011","0.0017","0.008","0.015","0.026","0.0041","0.019","0.035","122000","N/A","19000"
"4 - Other","MN","0.005","0.0003","0.004","0.005","0.014","0.001","0.012","0.016","0.27","0.0149","0.242","0.3","1272000","N/A","90000"
