"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - Income More Than 2X Fed Pov Thresh","AR","0.005","0.0003","0.005","0.006","0.008","0.0004","0.007","0.009","0.574","0.0214","0.532","0.615","1434000","N/A","80000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6042000","N/A","425000"
"1 - Living in Poverty","AZ","0.003","0.0004","0.003","0.004","0.024","0.0025","0.019","0.029","0.151","0.0171","0.12","0.188","913000","N/A","98000"
"2 - Income Up to 2X Fed Pov Thresh","AZ","0.004","0.0004","0.004","0.005","0.022","0.0018","0.018","0.025","0.191","0.0178","0.159","0.229","1156000","N/A","99000"
"3 - Income More Than 2X Fed Pov Thresh","AZ","0.015","0.0015","0.012","0.018","0.022","0.0022","0.018","0.027","0.658","0.0296","0.597","0.713","3974000","N/A","402000"
"Overall","CA","0.121","0.0023","0.117","0.126","0.121","0.0023","0.117","0.126","1","0","N/A","N/A","33110000","N/A","679000"
"1 - Living in Poverty","CA","0.017","0.0009","0.016","0.019","0.123","0.0058","0.112","0.135","0.144","0.0077","0.129","0.159","4754000","N/A","247000"
"2 - Income Up to 2X Fed Pov Thresh","CA","0.024","0.0009","0.022","0.025","0.12","0.0041","0.113","0.129","0.195","0.0072","0.181","0.21","6460000","N/A","234000"
"3 - Income More Than 2X Fed Pov Thresh","CA","0.08","0.0024","0.075","0.085","0.121","0.0035","0.114","0.128","0.661","0.0121","0.637","0.685","21896000","N/A","703000"
"Overall","CO","0.018","0.0009","0.016","0.019","0.018","0.0009","0.016","0.019","1","0","N/A","N/A","4806000","N/A","245000"
"1 - Living in Poverty","CO","0.002","0.0002","0.002","0.002","0.013","0.0016","0.011","0.017","0.108","0.013","0.085","0.136","518000","N/A","61000"
"2 - Income Up to 2X Fed Pov Thresh","CO","0.003","0.0003","0.002","0.003","0.014","0.0013","0.011","0.017","0.152","0.0142","0.127","0.183","733000","N/A","72000"
"3 - Income More Than 2X Fed Pov Thresh","CO","0.013","0.0009","0.011","0.015","0.02","0.0013","0.017","0.022","0.74","0.0229","0.692","0.782","3555000","N/A","236000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3007000","N/A","134000"
"1 - Living in Poverty","CT","0.001","0.0001","0.001","0.001","0.006","0.0008","0.005","0.008","0.082","0.0103","0.064","0.105","246000","N/A","31000"
"2 - Income Up to 2X Fed Pov Thresh","CT","0.002","0.0002","0.001","0.002","0.008","0.0009","0.006","0.01","0.143","0.0157","0.115","0.177","430000","N/A","50000"
"3 - Income More Than 2X Fed Pov Thresh","CT","0.009","0.0005","0.008","0.009","0.013","0.0007","0.012","0.014","0.775","0.0212","0.731","0.814","2331000","N/A","129000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","590000","N/A","28000"
"1 - Living in Poverty","DC","0","0","0","0","0.003","0.0003","0.002","0.003","0.177","0.0178","0.145","0.215","105000","N/A","11000"
"2 - Income Up to 2X Fed Pov Thresh","DC","0","0","0","0","0.002","0.0001","0.001","0.002","0.138","0.0101","0.119","0.159","81000","N/A","6000"
"3 - Income More Than 2X Fed Pov Thresh","DC","0.001","0.0001","0.001","0.002","0.002","0.0001","0.002","0.003","0.685","0.0217","0.641","0.726","404000","N/A","25000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","813000","N/A","45000"
"1 - Living in Poverty","DE","0","0","0","0","0.002","0.0003","0.002","0.003","0.116","0.0139","0.091","0.146","94000","N/A","11000"
"2 - Income Up to 2X Fed Pov Thresh","DE","0.001","0","0","0.001","0.003","0.0002","0.002","0.003","0.173","0.0133","0.148","0.201","141000","N/A","12000"
"3 - Income More Than 2X Fed Pov Thresh","DE","0.002","0.0002","0.002","0.002","0.003","0.0002","0.003","0.004","0.712","0.0213","0.668","0.752","579000","N/A","41000"
"Overall","FL","0.066","0.0019","0.063","0.07","0.066","0.0019","0.063","0.07","1","0","N/A","N/A","18151000","N/A","546000"
"1 - Living in Poverty","FL","0.01","0.0006","0.008","0.011","0.067","0.0039","0.06","0.075","0.143","0.0083","0.128","0.16","2603000","N/A","155000"
"2 - Income Up to 2X Fed Pov Thresh","FL","0.017","0.0008","0.015","0.018","0.084","0.0038","0.077","0.092","0.249","0.0102","0.23","0.27","4523000","N/A","215000"
"3 - Income More Than 2X Fed Pov Thresh","FL","0.04","0.0017","0.037","0.044","0.061","0.0025","0.056","0.066","0.607","0.015","0.578","0.636","11024000","N/A","468000"
"Overall","GA","0.032","0.0012","0.03","0.034","0.032","0.0012","0.03","0.034","1","0","N/A","N/A","8675000","N/A","324000"
"1 - Living in Poverty","GA","0.005","0.0004","0.005","0.006","0.039","0.003","0.033","0.045","0.173","0.0114","0.152","0.197","1503000","N/A","121000"
"2 - Income Up to 2X Fed Pov Thresh","GA","0.007","0.0004","0.007","0.008","0.037","0.0022","0.033","0.042","0.231","0.0111","0.21","0.253","2004000","N/A","120000"
"3 - Income More Than 2X Fed Pov Thresh","GA","0.019","0.0008","0.017","0.021","0.029","0.0013","0.026","0.031","0.596","0.0164","0.563","0.628","5168000","N/A","230000"
"Overall","HI","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1156000","N/A","59000"
"1 - Living in Poverty","HI","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.124","0.0166","0.095","0.16","143000","N/A","20000"
"2 - Income Up to 2X Fed Pov Thresh","HI","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.189","0.0152","0.161","0.221","219000","N/A","20000"
"3 - Income More Than 2X Fed Pov Thresh","HI","0.003","0.0002","0.003","0.003","0.004","0.0003","0.004","0.005","0.687","0.0235","0.639","0.731","794000","N/A","51000"
"Overall","IA","0.01","0.0004","0.009","0.01","0.01","0.0004","0.009","0.01","1","0","N/A","N/A","2625000","N/A","118000"
"1 - Living in Poverty","IA","0.001","0.0001","0.001","0.001","0.007","0.0009","0.005","0.009","0.101","0.0134","0.078","0.131","266000","N/A","35000"
"2 - Income Up to 2X Fed Pov Thresh","IA","0.002","0.0002","0.001","0.002","0.008","0.0008","0.007","0.01","0.165","0.0164","0.136","0.2","434000","N/A","45000"
"3 - Income More Than 2X Fed Pov Thresh","IA","0.007","0.0004","0.006","0.008","0.011","0.0006","0.009","0.012","0.733","0.0252","0.681","0.78","1926000","N/A","118000"
"Overall","ID","0.005","0.0002","0.005","0.006","0.005","0.0002","0.005","0.006","1","0","N/A","N/A","1458000","N/A","61000"
"1 - Living in Poverty","ID","0.001","0.0001","0.001","0.001","0.004","0.0005","0.004","0.005","0.117","0.0132","0.094","0.146","171000","N/A","18000"
"2 - Income Up to 2X Fed Pov Thresh","ID","0.001","0.0001","0.001","0.001","0.006","0.0004","0.005","0.007","0.221","0.0128","0.197","0.247","322000","N/A","22000"
"3 - Income More Than 2X Fed Pov Thresh","ID","0.004","0.0002","0.003","0.004","0.005","0.0003","0.005","0.006","0.662","0.0195","0.622","0.699","965000","N/A","56000"
"Overall","IL","0.039","0.0011","0.037","0.041","0.039","0.0011","0.037","0.041","1","0","N/A","N/A","10656000","N/A","300000"
"1 - Living in Poverty","IL","0.005","0.0004","0.004","0.006","0.034","0.0028","0.029","0.04","0.123","0.01","0.104","0.144","1308000","N/A","110000"
"2 - Income Up to 2X Fed Pov Thresh","IL","0.007","0.0004","0.007","0.008","0.038","0.0019","0.034","0.042","0.19","0.0091","0.173","0.208","2024000","N/A","103000"
"3 - Income More Than 2X Fed Pov Thresh","IL","0.027","0.001","0.025","0.029","0.04","0.0015","0.038","0.044","0.687","0.0151","0.657","0.716","7325000","N/A","279000"
"Overall","IN","0.02","0.0008","0.019","0.022","0.02","0.0008","0.019","0.022","1","0","N/A","N/A","5586000","N/A","209000"
"1 - Living in Poverty","IN","0.003","0.0003","0.002","0.003","0.018","0.0019","0.015","0.022","0.126","0.0137","0.101","0.155","704000","N/A","74000"
"2 - Income Up to 2X Fed Pov Thresh","IN","0.004","0.0003","0.004","0.005","0.022","0.0016","0.02","0.026","0.215","0.0139","0.189","0.244","1203000","N/A","85000"
"3 - Income More Than 2X Fed Pov Thresh","IN","0.013","0.0007","0.012","0.015","0.02","0.0011","0.018","0.023","0.659","0.0206","0.617","0.698","3679000","N/A","202000"
"Overall","KS","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.009","1","0","N/A","N/A","2370000","N/A","105000"
"1 - Living in Poverty","KS","0.001","0.0001","0.001","0.001","0.008","0.001","0.006","0.01","0.13","0.0164","0.101","0.165","307000","N/A","38000"
"2 - Income Up to 2X Fed Pov Thresh","KS","0.001","0.0001","0.001","0.002","0.008","0.0007","0.006","0.009","0.173","0.016","0.144","0.206","409000","N/A","39000"
"3 - Income More Than 2X Fed Pov Thresh","KS","0.006","0.0004","0.005","0.007","0.009","0.0006","0.008","0.01","0.698","0.024","0.649","0.743","1653000","N/A","103000"
"Overall","KY","0.014","0.0006","0.012","0.015","0.014","0.0006","0.012","0.015","1","0","N/A","N/A","3719000","N/A","168000"
"1 - Living in Poverty","KY","0.002","0.0002","0.002","0.003","0.018","0.0017","0.014","0.021","0.182","0.0169","0.151","0.218","678000","N/A","66000"
"2 - Income Up to 2X Fed Pov Thresh","KY","0.003","0.0003","0.002","0.003","0.015","0.0013","0.013","0.018","0.217","0.0163","0.186","0.25","806000","N/A","68000"
"3 - Income More Than 2X Fed Pov Thresh","KY","0.008","0.0005","0.007","0.009","0.012","0.0008","0.011","0.014","0.601","0.025","0.551","0.649","2235000","N/A","146000"
"Overall","LA","0.014","0.0007","0.013","0.015","0.014","0.0007","0.013","0.015","1","0","N/A","N/A","3802000","N/A","199000"
"1 - Living in Poverty","LA","0.003","0.0003","0.003","0.004","0.022","0.0021","0.018","0.027","0.225","0.0191","0.19","0.264","854000","N/A","83000"
"2 - Income Up to 2X Fed Pov Thresh","LA","0.003","0.0003","0.002","0.004","0.015","0.0016","0.012","0.018","0.206","0.0153","0.178","0.238","784000","N/A","89000"
"3 - Income More Than 2X Fed Pov Thresh","LA","0.008","0.0005","0.007","0.009","0.012","0.0007","0.011","0.013","0.569","0.0257","0.518","0.619","2163000","N/A","124000"
"Overall","MA","0.022","0.0008","0.02","0.023","0.022","0.0008","0.02","0.023","1","0","N/A","N/A","5882000","N/A","214000"
"1 - Living in Poverty","MA","0.002","0.0002","0.001","0.002","0.014","0.0017","0.011","0.017","0.089","0.0114","0.069","0.114","523000","N/A","65000"
"2 - Income Up to 2X Fed Pov Thresh","MA","0.003","0.0003","0.002","0.004","0.015","0.0016","0.013","0.019","0.141","0.0134","0.116","0.169","827000","N/A","85000"
"3 - Income More Than 2X Fed Pov Thresh","MA","0.017","0.0008","0.015","0.018","0.025","0.0012","0.023","0.027","0.771","0.0192","0.731","0.806","4532000","N/A","210000"
"Overall","MD","0.018","0.0008","0.017","0.02","0.018","0.0008","0.017","0.02","1","0","N/A","N/A","5059000","N/A","209000"
"1 - Living in Poverty","MD","0.002","0.0002","0.001","0.002","0.014","0.0017","0.011","0.017","0.103","0.0121","0.082","0.13","522000","N/A","66000"
"2 - Income Up to 2X Fed Pov Thresh","MD","0.003","0.0003","0.002","0.003","0.014","0.0015","0.011","0.017","0.144","0.0154","0.116","0.177","726000","N/A","82000"
"3 - Income More Than 2X Fed Pov Thresh","MD","0.014","0.0007","0.013","0.015","0.021","0.0011","0.019","0.023","0.753","0.0225","0.706","0.795","3811000","N/A","194000"
"Overall","ME","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1153000","N/A","51000"
"1 - Living in Poverty","ME","0","0.0001","0","0.001","0.004","0.0004","0.003","0.004","0.118","0.0143","0.092","0.149","136000","N/A","17000"
"2 - Income Up to 2X Fed Pov Thresh","ME","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.188","0.0152","0.16","0.219","216000","N/A","19000"
"3 - Income More Than 2X Fed Pov Thresh","ME","0.003","0.0002","0.003","0.003","0.004","0.0003","0.004","0.005","0.695","0.0197","0.655","0.732","801000","N/A","46000"
"Overall","MI","0.031","0.0007","0.03","0.032","0.031","0.0007","0.03","0.032","1","0","N/A","N/A","8459000","N/A","201000"
"1 - Living in Poverty","MI","0.004","0.0003","0.004","0.005","0.03","0.0022","0.026","0.035","0.138","0.0102","0.119","0.159","1166000","N/A","87000"
"2 - Income Up to 2X Fed Pov Thresh","MI","0.006","0.0003","0.005","0.006","0.029","0.0016","0.026","0.032","0.184","0.0096","0.165","0.203","1552000","N/A","84000"
"3 - Income More Than 2X Fed Pov Thresh","MI","0.021","0.0008","0.02","0.023","0.032","0.0011","0.03","0.034","0.679","0.0153","0.648","0.708","5740000","N/A","206000"
"Overall","MN","0.017","0.0007","0.016","0.019","0.017","0.0007","0.016","0.019","1","0","N/A","N/A","4701000","N/A","193000"
"1 - Living in Poverty","MN","0.002","0.0002","0.001","0.002","0.012","0.0015","0.009","0.015","0.097","0.0131","0.074","0.126","455000","N/A","60000"
"2 - Income Up to 2X Fed Pov Thresh","MN","0.002","0.0003","0.002","0.003","0.012","0.0014","0.01","0.015","0.137","0.0156","0.109","0.171","645000","N/A","75000"
"3 - Income More Than 2X Fed Pov Thresh","MN","0.013","0.0007","0.012","0.015","0.02","0.0011","0.018","0.022","0.766","0.0214","0.721","0.805","3601000","N/A","198000"
"Overall","MO","0.019","0.0007","0.017","0.02","0.019","0.0007","0.017","0.02","1","0","N/A","N/A","5079000","N/A","202000"
"1 - Living in Poverty","MO","0.002","0.0003","0.002","0.003","0.017","0.0022","0.014","0.022","0.133","0.0167","0.104","0.169","676000","N/A","85000"
"2 - Income Up to 2X Fed Pov Thresh","MO","0.003","0.0003","0.003","0.004","0.017","0.0015","0.014","0.02","0.179","0.0152","0.151","0.211","908000","N/A","84000"
"3 - Income More Than 2X Fed Pov Thresh","MO","0.013","0.0007","0.011","0.014","0.019","0.0011","0.017","0.022","0.688","0.0244","0.638","0.734","3495000","N/A","198000"
"Overall","MS","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2421000","N/A","103000"
"1 - Living in Poverty","MS","0.002","0.0002","0.001","0.002","0.013","0.0013","0.01","0.015","0.202","0.0216","0.163","0.247","489000","N/A","50000"
"2 - Income Up to 2X Fed Pov Thresh","MS","0.002","0.0002","0.002","0.003","0.012","0.001","0.01","0.014","0.255","0.0191","0.22","0.294","618000","N/A","52000"
"3 - Income More Than 2X Fed Pov Thresh","MS","0.005","0.0004","0.004","0.006","0.007","0.0006","0.006","0.008","0.543","0.0291","0.486","0.599","1315000","N/A","101000"
"Overall","MT","0.003","0.0001","0.003","0.004","0.003","0.0001","0.003","0.004","1","0","N/A","N/A","898000","N/A","30000"
"1 - Living in Poverty","MT","0","0","0","0.001","0.003","0.0003","0.003","0.004","0.134","0.0133","0.11","0.162","120000","N/A","13000"
"2 - Income Up to 2X Fed Pov Thresh","MT","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.005","0.234","0.0156","0.205","0.266","210000","N/A","16000"
"3 - Income More Than 2X Fed Pov Thresh","MT","0.002","0.0001","0.002","0.002","0.003","0.0001","0.003","0.003","0.632","0.0206","0.591","0.671","568000","N/A","26000"
"Overall","NC","0.032","0.0012","0.029","0.034","0.032","0.0012","0.029","0.034","1","0","N/A","N/A","8641000","N/A","339000"
"1 - Living in Poverty","NC","0.005","0.0005","0.004","0.006","0.035","0.0032","0.03","0.042","0.159","0.0159","0.13","0.193","1371000","N/A","128000"
"2 - Income Up to 2X Fed Pov Thresh","NC","0.006","0.0004","0.005","0.007","0.031","0.0018","0.027","0.035","0.191","0.0115","0.17","0.215","1652000","N/A","97000"
"3 - Income More Than 2X Fed Pov Thresh","NC","0.021","0.0013","0.018","0.023","0.031","0.0019","0.027","0.035","0.65","0.0244","0.601","0.696","5618000","N/A","363000"
"Overall","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","619000","N/A","26000"
"1 - Living in Poverty","ND","0","0","0","0","0.002","0.0002","0.001","0.002","0.116","0.0123","0.094","0.143","72000","N/A","8000"
"2 - Income Up to 2X Fed Pov Thresh","ND","0","0","0","0","0.002","0.0002","0.001","0.002","0.15","0.0135","0.126","0.179","93000","N/A","9000"
"3 - Income More Than 2X Fed Pov Thresh","ND","0.002","0.0001","0.002","0.002","0.003","0.0001","0.002","0.003","0.734","0.018","0.697","0.768","454000","N/A","23000"
"Overall","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1574000","N/A","60000"
"1 - Living in Poverty","NE","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.099","0.0129","0.077","0.127","156000","N/A","21000"
"2 - Income Up to 2X Fed Pov Thresh","NE","0.001","0.0001","0.001","0.001","0.005","0.0005","0.005","0.006","0.184","0.0156","0.156","0.217","290000","N/A","26000"
"3 - Income More Than 2X Fed Pov Thresh","NE","0.004","0.0002","0.004","0.005","0.006","0.0003","0.006","0.007","0.717","0.0204","0.675","0.755","1128000","N/A","54000"
"Overall","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1180000","N/A","47000"
"1 - Living in Poverty","NH","0","0.0001","0","0.001","0.003","0.0006","0.002","0.004","0.097","0.019","0.066","0.141","114000","N/A","24000"
"2 - Income Up to 2X Fed Pov Thresh","NH","0.001","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.133","0.0149","0.106","0.165","157000","N/A","19000"
"3 - Income More Than 2X Fed Pov Thresh","NH","0.003","0.0001","0.003","0.004","0.005","0.0002","0.005","0.005","0.77","0.0219","0.724","0.81","908000","N/A","37000"
"Overall","NJ","0.028","0.001","0.026","0.03","0.028","0.001","0.026","0.03","1","0","N/A","N/A","7526000","N/A","278000"
"1 - Living in Poverty","NJ","0.003","0.0004","0.003","0.004","0.023","0.0028","0.018","0.029","0.116","0.0138","0.092","0.146","877000","N/A","109000"
"2 - Income Up to 2X Fed Pov Thresh","NJ","0.004","0.0003","0.003","0.004","0.02","0.0015","0.017","0.023","0.141","0.0101","0.122","0.162","1061000","N/A","80000"
"3 - Income More Than 2X Fed Pov Thresh","NJ","0.02","0.0009","0.019","0.022","0.031","0.0014","0.028","0.034","0.743","0.0189","0.704","0.778","5588000","N/A","259000"
"Overall","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","1","0","N/A","N/A","1745000","N/A","87000"
"1 - Living in Poverty","NM","0.001","0.0001","0.001","0.001","0.009","0.0008","0.007","0.011","0.196","0.0184","0.162","0.234","341000","N/A","31000"
"2 - Income Up to 2X Fed Pov Thresh","NM","0.001","0.0001","0.001","0.002","0.007","0.0006","0.006","0.008","0.209","0.0159","0.18","0.242","365000","N/A","31000"
"3 - Income More Than 2X Fed Pov Thresh","NM","0.004","0.0003","0.003","0.004","0.006","0.0004","0.005","0.007","0.595","0.0271","0.541","0.647","1039000","N/A","79000"
"Overall","NV","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2561000","N/A","126000"
"1 - Living in Poverty","NV","0.001","0.0001","0.001","0.001","0.008","0.0007","0.007","0.01","0.126","0.0114","0.105","0.15","323000","N/A","28000"
"2 - Income Up to 2X Fed Pov Thresh","NV","0.002","0.0002","0.002","0.003","0.011","0.001","0.009","0.013","0.234","0.0177","0.201","0.271","599000","N/A","56000"
"3 - Income More Than 2X Fed Pov Thresh","NV","0.006","0.0004","0.005","0.007","0.009","0.0006","0.008","0.01","0.64","0.0225","0.595","0.683","1639000","N/A","105000"
"Overall","NY","0.061","0.0015","0.058","0.064","0.061","0.0015","0.058","0.064","1","0","N/A","N/A","16568000","N/A","425000"
"1 - Living in Poverty","NY","0.01","0.0006","0.009","0.011","0.068","0.0038","0.061","0.076","0.159","0.0093","0.142","0.178","2639000","N/A","153000"
"2 - Income Up to 2X Fed Pov Thresh","NY","0.011","0.0006","0.01","0.013","0.058","0.003","0.052","0.064","0.188","0.0086","0.171","0.205","3110000","N/A","163000"
"3 - Income More Than 2X Fed Pov Thresh","NY","0.04","0.0014","0.037","0.042","0.06","0.002","0.056","0.064","0.653","0.0137","0.626","0.679","10819000","N/A","388000"
"Overall","OH","0.036","0.0009","0.034","0.038","0.036","0.0009","0.034","0.038","1","0","N/A","N/A","9797000","N/A","263000"
"1 - Living in Poverty","OH","0.005","0.0004","0.005","0.006","0.038","0.0026","0.034","0.044","0.151","0.011","0.131","0.174","1480000","N/A","99000"
"2 - Income Up to 2X Fed Pov Thresh","OH","0.008","0.0004","0.007","0.009","0.04","0.0021","0.036","0.044","0.22","0.0102","0.2","0.241","2154000","N/A","114000"
"3 - Income More Than 2X Fed Pov Thresh","OH","0.023","0.0009","0.021","0.024","0.034","0.0014","0.031","0.037","0.629","0.0163","0.597","0.66","6164000","N/A","260000"
"Overall","OK","0.012","0.0006","0.011","0.013","0.012","0.0006","0.011","0.013","1","0","N/A","N/A","3223000","N/A","154000"
"1 - Living in Poverty","OK","0.002","0.0002","0.002","0.003","0.016","0.0016","0.014","0.02","0.197","0.019","0.163","0.237","636000","N/A","60000"
"2 - Income Up to 2X Fed Pov Thresh","OK","0.003","0.0002","0.002","0.003","0.013","0.0009","0.011","0.015","0.217","0.0154","0.189","0.249","701000","N/A","46000"
"3 - Income More Than 2X Fed Pov Thresh","OK","0.007","0.0005","0.006","0.008","0.01","0.0008","0.009","0.012","0.585","0.0249","0.536","0.633","1886000","N/A","147000"
"Overall","OR","0.013","0.0004","0.012","0.014","0.013","0.0004","0.012","0.014","1","0","N/A","N/A","3561000","N/A","118000"
"1 - Living in Poverty","OR","0.001","0.0002","0.001","0.002","0.009","0.0011","0.007","0.012","0.099","0.0115","0.078","0.123","351000","N/A","43000"
"2 - Income Up to 2X Fed Pov Thresh","OR","0.002","0.0002","0.002","0.003","0.011","0.0009","0.01","0.013","0.173","0.0125","0.149","0.199","615000","N/A","49000"
"3 - Income More Than 2X Fed Pov Thresh","OR","0.009","0.0004","0.009","0.01","0.014","0.0006","0.013","0.016","0.729","0.0191","0.69","0.765","2595000","N/A","108000"
"Overall","PA","0.04","0.0012","0.037","0.042","0.04","0.0012","0.037","0.042","1","0","N/A","N/A","10855000","N/A","324000"
"1 - Living in Poverty","PA","0.005","0.0004","0.004","0.006","0.037","0.003","0.031","0.043","0.13","0.0099","0.112","0.151","1412000","N/A","118000"
"2 - Income Up to 2X Fed Pov Thresh","PA","0.007","0.0004","0.006","0.008","0.035","0.0021","0.031","0.039","0.172","0.0098","0.154","0.192","1868000","N/A","118000"
"3 - Income More Than 2X Fed Pov Thresh","PA","0.028","0.001","0.026","0.03","0.042","0.0015","0.039","0.045","0.698","0.0145","0.669","0.726","7575000","N/A","272000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","898000","N/A","43000"
"1 - Living in Poverty","RI","0","0","0","0.001","0.003","0.0003","0.003","0.004","0.132","0.0136","0.108","0.162","119000","N/A","12000"
"2 - Income Up to 2X Fed Pov Thresh","RI","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.003","0.161","0.0144","0.135","0.191","145000","N/A","14000"
"3 - Income More Than 2X Fed Pov Thresh","RI","0.002","0.0001","0.002","0.003","0.003","0.0002","0.003","0.004","0.706","0.0206","0.664","0.745","634000","N/A","39000"
"Overall","SC","0.016","0.0008","0.014","0.017","0.016","0.0008","0.014","0.017","1","0","N/A","N/A","4289000","N/A","210000"
"1 - Living in Poverty","SC","0.002","0.0002","0.002","0.003","0.017","0.0017","0.014","0.021","0.158","0.0137","0.133","0.186","676000","N/A","66000"
"2 - Income Up to 2X Fed Pov Thresh","SC","0.004","0.0003","0.003","0.004","0.019","0.0015","0.016","0.022","0.237","0.016","0.207","0.27","1016000","N/A","79000"
"3 - Income More Than 2X Fed Pov Thresh","SC","0.009","0.0006","0.008","0.011","0.014","0.001","0.013","0.016","0.606","0.0242","0.557","0.652","2597000","N/A","173000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","709000","N/A","40000"
"1 - Living in Poverty","SD","0","0","0","0","0.002","0.0003","0.002","0.003","0.123","0.0128","0.1","0.15","87000","N/A","11000"
"2 - Income Up to 2X Fed Pov Thresh","SD","0","0","0","0.001","0.002","0.0002","0.002","0.003","0.18","0.0154","0.151","0.212","127000","N/A","13000"
"3 - Income More Than 2X Fed Pov Thresh","SD","0.002","0.0001","0.002","0.002","0.003","0.0002","0.002","0.003","0.697","0.0195","0.658","0.734","494000","N/A","31000"
