"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","280926000","N/A","3041000"
"0 - Did not misuse in the past year","Overall","0.97","0.0009","0.968","0.971","1","0","N/A","N/A","0.97","0.0009","0.968","0.971","272364000","N/A","2975000"
"1 - Misused within the past year","Overall","0.03","0.0009","0.029","0.032","1","0","N/A","N/A","0.03","0.0009","0.029","0.032","8561000","N/A","264000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","40000"
"0 - Did not misuse in the past year","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.97","0.008","0.95","0.982","569000","N/A","39000"
"1 - Misused within the past year","AK","0","0","0","0","0.002","0.0006","0.001","0.004","0.03","0.008","0.018","0.05","17000","N/A","5000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4260000","N/A","214000"
"0 - Did not misuse in the past year","AL","0.014","0.0007","0.013","0.016","0.015","0.0008","0.013","0.016","0.951","0.0081","0.933","0.965","4052000","N/A","204000"
"1 - Misused within the past year","AL","0.001","0.0001","0.001","0.001","0.024","0.0042","0.017","0.034","0.049","0.0081","0.035","0.067","208000","N/A","37000"
"Overall","AR","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2535000","N/A","197000"
"0 - Did not misuse in the past year","AR","0.009","0.0007","0.007","0.01","0.009","0.0007","0.008","0.01","0.957","0.0066","0.942","0.968","2426000","N/A","193000"
"1 - Misused within the past year","AR","0","0.0001","0","0.001","0.013","0.002","0.009","0.017","0.043","0.0066","0.032","0.058","109000","N/A","17000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6201000","N/A","429000"
"0 - Did not misuse in the past year","AZ","0.021","0.0015","0.019","0.024","0.022","0.0015","0.019","0.025","0.966","0.0081","0.946","0.979","5990000","N/A","420000"
"1 - Misused within the past year","AZ","0.001","0.0002","0","0.001","0.025","0.006","0.015","0.04","0.034","0.0081","0.021","0.054","211000","N/A","52000"
"Overall","CA","0.118","0.0043","0.11","0.127","0.118","0.0043","0.11","0.127","1","0","N/A","N/A","33113000","N/A","1333000"
"0 - Did not misuse in the past year","CA","0.114","0.0042","0.106","0.123","0.118","0.0043","0.11","0.127","0.97","0.0032","0.963","0.976","32126000","N/A","1297000"
"1 - Misused within the past year","CA","0.004","0.0004","0.003","0.004","0.115","0.0123","0.093","0.142","0.03","0.0032","0.024","0.037","987000","N/A","115000"
"Overall","CO","0.018","0.0014","0.015","0.021","0.018","0.0014","0.015","0.021","1","0","N/A","N/A","4950000","N/A","388000"
"0 - Did not misuse in the past year","CO","0.017","0.0014","0.015","0.02","0.018","0.0014","0.015","0.021","0.969","0.0059","0.955","0.978","4795000","N/A","384000"
"1 - Misused within the past year","CO","0.001","0.0001","0","0.001","0.018","0.0033","0.013","0.026","0.031","0.0059","0.022","0.045","154000","N/A","29000"
"Overall","CT","0.011","0.0008","0.01","0.013","0.011","0.0008","0.01","0.013","1","0","N/A","N/A","3116000","N/A","235000"
"0 - Did not misuse in the past year","CT","0.011","0.0008","0.009","0.013","0.011","0.0009","0.01","0.013","0.973","0.0062","0.958","0.983","3034000","N/A","235000"
"1 - Misused within the past year","CT","0","0.0001","0","0","0.01","0.0022","0.006","0.015","0.027","0.0062","0.017","0.042","83000","N/A","19000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","572000","N/A","35000"
"0 - Did not misuse in the past year","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.971","0.0088","0.948","0.984","555000","N/A","35000"
"1 - Misused within the past year","DC","0","0","0","0","0.002","0.0006","0.001","0.004","0.029","0.0088","0.016","0.052","16000","N/A","5000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","863000","N/A","53000"
"0 - Did not misuse in the past year","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","0.969","0.0064","0.954","0.979","836000","N/A","53000"
"1 - Misused within the past year","DE","0","0","0","0","0.003","0.0006","0.002","0.005","0.031","0.0064","0.021","0.046","27000","N/A","5000"
"Overall","FL","0.067","0.0028","0.062","0.073","0.067","0.0028","0.062","0.073","1","0","N/A","N/A","18944000","N/A","822000"
