"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"94 - DON T KNOW","AL","0","0","0","0","0.013","0.0067","0.005","0.035","0.003","0.0018","0.001","0.01","15000","N/A","8000"
"97 - REFUSED","AL","0","0","0","0","0.01","0.0092","0.002","0.058","0.001","0.0005","0","0.003","2000","N/A","2000"
"98 - BLANK","AL","0","0.0001","0","0","0.011","0.0025","0.007","0.017","0.02","0.0044","0.013","0.031","86000","N/A","20000"
"Overall","AR","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2535000","N/A","197000"
"1 - Yes","AR","0.002","0.0002","0.002","0.003","0.01","0.0012","0.008","0.013","0.23","0.0218","0.19","0.275","582000","N/A","68000"
"2 - No","AR","0.007","0.0006","0.005","0.008","0.009","0.0008","0.007","0.01","0.725","0.0244","0.675","0.77","1838000","N/A","168000"
"85 - BAD DATA Logically assigned","AR","0","0.0001","0","0","0.046","0.0435","0.007","0.254","0.006","0.0062","0.001","0.042","16000","N/A","16000"
"94 - DON T KNOW","AR","0","0","0","0","0.008","0.0038","0.003","0.02","0.004","0.0017","0.001","0.009","9000","N/A","4000"
"97 - REFUSED","AR","0","0","0","0","0.002","0.0023","0","0.017","0","0.0002","0","0.002","1000","N/A","1000"
"98 - BLANK","AR","0","0.0001","0","0","0.011","0.0019","0.008","0.016","0.035","0.0064","0.025","0.05","89000","N/A","15000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6201000","N/A","429000"
"1 - Yes","AZ","0.006","0.0007","0.005","0.007","0.029","0.0035","0.023","0.037","0.267","0.0244","0.222","0.318","1658000","N/A","203000"
"2 - No","AZ","0.015","0.0012","0.013","0.018","0.02","0.0015","0.017","0.023","0.701","0.025","0.65","0.748","4348000","N/A","331000"
"85 - BAD DATA Logically assigned","AZ","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","AZ","0","0","0","0","0.019","0.0079","0.008","0.043","0.004","0.0015","0.002","0.008","22000","N/A","9000"
"97 - REFUSED","AZ","0","0","0","0","0.061","0.0488","0.012","0.258","0.002","0.002","0","0.012","15000","N/A","12000"
"98 - BLANK","AZ","0.001","0.0001","0","0.001","0.02","0.0046","0.013","0.031","0.026","0.0063","0.016","0.041","159000","N/A","36000"
"Overall","CA","0.118","0.0043","0.11","0.127","0.118","0.0043","0.11","0.127","1","0","N/A","N/A","33113000","N/A","1333000"
"1 - Yes","CA","0.031","0.0017","0.028","0.035","0.154","0.008","0.139","0.171","0.263","0.0115","0.241","0.286","8716000","N/A","509000"
"2 - No","CA","0.083","0.0035","0.076","0.09","0.108","0.0046","0.1","0.117","0.702","0.0121","0.677","0.725","23234000","N/A","1066000"
"85 - BAD DATA Logically assigned","CA","0","0","0","0","0.005","0.0046","0.001","0.033","0","0","0","0","2000","N/A","2000"
"94 - DON T KNOW","CA","0","0.0001","0","0.001","0.115","0.026","0.072","0.176","0.004","0.001","0.002","0.006","132000","N/A","32000"
"97 - REFUSED","CA","0","0.0001","0","0","0.188","0.0619","0.094","0.339","0.001","0.0005","0.001","0.003","45000","N/A","17000"
"98 - BLANK","CA","0.004","0.0004","0.003","0.004","0.125","0.0126","0.102","0.152","0.03","0.0035","0.024","0.038","985000","N/A","111000"
"Overall","CO","0.018","0.0014","0.015","0.021","0.018","0.0014","0.015","0.021","1","0","N/A","N/A","4950000","N/A","388000"
"1 - Yes","CO","0.004","0.0005","0.003","0.005","0.019","0.0023","0.015","0.024","0.214","0.0231","0.173","0.263","1061000","N/A","129000"
"2 - No","CO","0.014","0.0012","0.011","0.016","0.018","0.0016","0.015","0.021","0.767","0.0225","0.719","0.808","3794000","N/A","338000"
"85 - BAD DATA Logically assigned","CO","0","0","0","0","0.033","0.0294","0.006","0.171","0.002","0.0021","0","0.013","12000","N/A","10000"
"94 - DON T KNOW","CO","0","0","0","0","0.002","0.0016","0","0.009","0","0.0004","0","0.002","2000","N/A","2000"
"97 - REFUSED","CO","0","0","0","0","0.006","0.0063","0.001","0.044","0","0.0003","0","0.002","2000","N/A","2000"
"98 - BLANK","CO","0","0.0001","0","0.001","0.01","0.0033","0.005","0.019","0.016","0.0053","0.008","0.031","79000","N/A","26000"
"Overall","CT","0.011","0.0008","0.01","0.013","0.011","0.0008","0.01","0.013","1","0","N/A","N/A","3116000","N/A","235000"
"1 - Yes","CT","0.002","0.0003","0.002","0.003","0.011","0.0014","0.009","0.015","0.207","0.0216","0.168","0.253","645000","N/A","81000"
"2 - No","CT","0.008","0.0007","0.007","0.01","0.011","0.0009","0.009","0.013","0.761","0.022","0.715","0.802","2372000","N/A","199000"
"85 - BAD DATA Logically assigned","CT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","CT","0","0","0","0","0.002","0.001","0.001","0.005","0.001","0.0003","0","0.002","2000","N/A","1000"
"97 - REFUSED","CT","0","0","0","0","0","0.0003","0","0.003","0","0","0","0","0","N/A","0"
"98 - BLANK","CT","0","0.0001","0","0.001","0.012","0.0033","0.007","0.021","0.031","0.0085","0.018","0.053","97000","N/A","26000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","572000","N/A","35000"
"1 - Yes","DC","0.001","0","0","0.001","0.003","0.0002","0.002","0.003","0.263","0.0212","0.223","0.306","150000","N/A","13000"
"2 - No","DC","0.001","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.661","0.0239","0.612","0.706","378000","N/A","28000"
"85 - BAD DATA Logically assigned","DC","0","0","0","0","0.059","0.0265","0.024","0.138","0.036","0.0149","0.016","0.08","21000","N/A","9000"
"94 - DON T KNOW","DC","0","0","0","0","0.004","0.0016","0.002","0.009","0.008","0.0031","0.004","0.017","5000","N/A","2000"
"97 - REFUSED","DC","0","0","0","0","0.011","0.0077","0.002","0.043","0.004","0.0032","0.001","0.018","3000","N/A","2000"
"98 - BLANK","DC","0","0","0","0","0.002","0.0004","0.001","0.003","0.028","0.0054","0.019","0.04","16000","N/A","3000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","863000","N/A","53000"
"1 - Yes","DE","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.194","0.0151","0.166","0.226","168000","N/A","15000"
"2 - No","DE","0.002","0.0002","0.002","0.003","0.003","0.0002","0.003","0.004","0.77","0.0163","0.737","0.801","665000","N/A","47000"
"85 - BAD DATA Logically assigned","DE","0","0","0","0","0.005","0.0026","0.002","0.014","0.002","0.001","0.001","0.005","2000","N/A","1000"
"94 - DON T KNOW","DE","0","0","0","0","0.002","0.0013","0.001","0.007","0.003","0.0018","0.001","0.009","3000","N/A","2000"
"97 - REFUSED","DE","0","0","0","0","0.011","0.0063","0.003","0.034","0.003","0.0017","0.001","0.009","3000","N/A","1000"
"98 - BLANK","DE","0","0","0","0","0.003","0.0008","0.002","0.005","0.027","0.0074","0.016","0.046","23000","N/A","6000"
"Overall","FL","0.067","0.0028","0.062","0.073","0.067","0.0028","0.062","0.073","1","0","N/A","N/A","18944000","N/A","822000"
"1 - Yes","FL","0.011","0.0009","0.009","0.013","0.055","0.0044","0.047","0.064","0.165","0.0116","0.143","0.189","3122000","N/A","255000"
"2 - No","FL","0.054","0.0025","0.05","0.06","0.071","0.0032","0.065","0.078","0.808","0.0119","0.783","0.83","15302000","N/A","721000"
"85 - BAD DATA Logically assigned","FL","0","0.0001","0","0","0.115","0.0572","0.041","0.281","0.002","0.0011","0.001","0.006","40000","N/A","21000"
"94 - DON T KNOW","FL","0","0.0001","0","0","0.048","0.0126","0.028","0.079","0.003","0.0008","0.002","0.005","55000","N/A","14000"
"97 - REFUSED","FL","0","0","0","0","0.087","0.0528","0.025","0.26","0.001","0.0007","0","0.004","21000","N/A","14000"
"98 - BLANK","FL","0.001","0.0002","0.001","0.002","0.051","0.0069","0.04","0.067","0.021","0.003","0.016","0.028","405000","N/A","56000"
"Overall","GA","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9064000","N/A","548000"
"1 - Yes","GA","0.005","0.0004","0.004","0.006","0.026","0.0021","0.022","0.03","0.162","0.0092","0.144","0.181","1464000","N/A","118000"
"2 - No","GA","0.026","0.0016","0.023","0.03","0.034","0.0021","0.03","0.039","0.81","0.0104","0.789","0.83","7346000","N/A","467000"
"85 - BAD DATA Logically assigned","GA","0","0","0","0","0.02","0.016","0.004","0.091","0.001","0.0006","0","0.004","7000","N/A","5000"
"94 - DON T KNOW","GA","0","0.0001","0","0","0.056","0.0204","0.027","0.113","0.007","0.0027","0.003","0.015","65000","N/A","24000"
"97 - REFUSED","GA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","GA","0.001","0.0001","0","0.001","0.023","0.0049","0.015","0.035","0.02","0.0043","0.013","0.031","182000","N/A","39000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1186000","N/A","91000"
"1 - Yes","HI","0.001","0.0001","0.001","0.001","0.005","0.0007","0.003","0.006","0.217","0.0257","0.17","0.271","257000","N/A","38000"
"2 - No","HI","0.003","0.0003","0.003","0.004","0.004","0.0003","0.004","0.005","0.759","0.0255","0.706","0.806","901000","N/A","74000"
"85 - BAD DATA Logically assigned","HI","0","0","0","0","0","0.0003","0","0.002","0","0.0001","0","0.001","0","N/A","0"
"94 - DON T KNOW","HI","0","0","0","0","0.003","0.0009","0.002","0.005","0.003","0.0008","0.002","0.005","4000","N/A","1000"
"97 - REFUSED","HI","0","0","0","0","0.003","0.0033","0","0.023","0.001","0.0007","0","0.005","1000","N/A","1000"
"98 - BLANK","HI","0","0","0","0","0.003","0.0006","0.002","0.005","0.02","0.0043","0.013","0.03","24000","N/A","5000"
"Overall","IA","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2687000","N/A","146000"
"1 - Yes","IA","0.002","0.0002","0.002","0.002","0.01","0.0011","0.008","0.012","0.204","0.0226","0.163","0.252","548000","N/A","63000"
"2 - No","IA","0.007","0.0005","0.006","0.008","0.01","0.0007","0.009","0.011","0.776","0.0237","0.726","0.819","2085000","N/A","140000"
"85 - BAD DATA Logically assigned","IA","0","0","0","0","0.001","0.0007","0","0.005","0","0.0001","0","0.001","0","N/A","0"
"94 - DON T KNOW","IA","0","0","0","0","0.009","0.0031","0.004","0.018","0.004","0.0013","0.002","0.008","10000","N/A","4000"
"97 - REFUSED","IA","0","0","0","0","0.002","0.0011","0","0.006","0","0.0001","0","0.001","0","N/A","0"
"98 - BLANK","IA","0","0","0","0","0.006","0.0013","0.003","0.009","0.016","0.0039","0.01","0.026","44000","N/A","10000"
"Overall","ID","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","1","0","N/A","N/A","1602000","N/A","153000"
"1 - Yes","ID","0.001","0.0001","0.001","0.001","0.005","0.0007","0.004","0.007","0.179","0.0188","0.145","0.219","286000","N/A","41000"
"2 - No","ID","0.005","0.0005","0.004","0.006","0.006","0.0006","0.005","0.007","0.802","0.0209","0.758","0.84","1285000","N/A","131000"
"85 - BAD DATA Logically assigned","ID","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","ID","0","0","0","0","0.003","0.0015","0.001","0.008","0.002","0.001","0.001","0.006","3000","N/A","2000"
"97 - REFUSED","ID","0","0","0","0","0.001","0.0011","0","0.008","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","ID","0","0","0","0","0.004","0.0015","0.002","0.008","0.018","0.0079","0.007","0.042","28000","N/A","12000"
"Overall","IL","0.038","0.002","0.034","0.042","0.038","0.002","0.034","0.042","1","0","N/A","N/A","10700000","N/A","591000"
"1 - Yes","IL","0.006","0.0007","0.005","0.008","0.032","0.0036","0.026","0.04","0.169","0.0161","0.14","0.203","1810000","N/A","205000"
"2 - No","IL","0.03","0.0018","0.027","0.034","0.04","0.0023","0.035","0.044","0.796","0.0164","0.762","0.826","8519000","N/A","504000"
"85 - BAD DATA Logically assigned","IL","0","0","0","0","0.029","0.0212","0.007","0.115","0.001","0.0007","0","0.004","10000","N/A","7000"
"94 - DON T KNOW","IL","0","0.0001","0","0","0.052","0.0183","0.026","0.102","0.006","0.002","0.003","0.011","60000","N/A","22000"
"97 - REFUSED","IL","0","0","0","0","0.004","0.0045","0.001","0.032","0","0.0001","0","0.001","1000","N/A","1000"
"98 - BLANK","IL","0.001","0.0001","0.001","0.001","0.038","0.0047","0.03","0.048","0.028","0.0037","0.022","0.036","300000","N/A","38000"
"Overall","IN","0.02","0.0015","0.018","0.023","0.02","0.0015","0.018","0.023","1","0","N/A","N/A","5711000","N/A","414000"
"1 - Yes","IN","0.004","0.0005","0.003","0.005","0.02","0.0027","0.015","0.026","0.199","0.0179","0.166","0.236","1136000","N/A","153000"
"2 - No","IN","0.016","0.0011","0.014","0.018","0.02","0.0014","0.018","0.023","0.764","0.0178","0.727","0.797","4362000","N/A","305000"
"85 - BAD DATA Logically assigned","IN","0","0","0","0","0.006","0.0033","0.002","0.017","0","0.0002","0","0.001","2000","N/A","1000"
"94 - DON T KNOW","IN","0","0","0","0","0.007","0.0037","0.003","0.02","0.001","0.0007","0.001","0.004","9000","N/A","4000"
"97 - REFUSED","IN","0","0","0","0","0.049","0.0325","0.013","0.169","0.002","0.0014","0.001","0.008","12000","N/A","8000"
"98 - BLANK","IN","0.001","0.0001","0.001","0.001","0.024","0.003","0.019","0.031","0.033","0.0045","0.026","0.043","191000","N/A","24000"
"Overall","KS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2428000","N/A","144000"
"1 - Yes","KS","0.001","0.0002","0.001","0.002","0.006","0.0008","0.005","0.008","0.138","0.0146","0.111","0.169","334000","N/A","42000"
"2 - No","KS","0.007","0.0004","0.006","0.008","0.009","0.0006","0.008","0.011","0.833","0.0155","0.8","0.861","2021000","N/A","124000"
"85 - BAD DATA Logically assigned","KS","0","0","0","0","0.004","0.0032","0.001","0.018","0.001","0.0004","0","0.002","2000","N/A","1000"
"94 - DON T KNOW","KS","0","0","0","0","0.019","0.006","0.01","0.035","0.009","0.0027","0.005","0.016","21000","N/A","7000"
"97 - REFUSED","KS","0","0","0","0","0.028","0.0261","0.004","0.159","0.003","0.0026","0","0.018","7000","N/A","6000"
"98 - BLANK","KS","0","0","0","0","0.005","0.0013","0.003","0.009","0.017","0.0043","0.011","0.028","42000","N/A","10000"
"Overall","KY","0.013","0.0009","0.012","0.015","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","3775000","N/A","253000"
"1 - Yes","KY","0.004","0.0004","0.003","0.005","0.019","0.0019","0.016","0.023","0.285","0.0205","0.247","0.327","1077000","N/A","106000"
"2 - No","KY","0.009","0.0007","0.008","0.011","0.012","0.0009","0.01","0.014","0.672","0.0206","0.631","0.712","2538000","N/A","199000"
"85 - BAD DATA Logically assigned","KY","0","0","0","0","0.029","0.0289","0.004","0.182","0.003","0.0027","0","0.019","10000","N/A","10000"
"94 - DON T KNOW","KY","0","0","0","0","0.014","0.0064","0.006","0.034","0.004","0.0019","0.002","0.01","16000","N/A","7000"
"97 - REFUSED","KY","0","0","0","0","0.001","0.0007","0","0.005","0","0","0","0","0","N/A","0"
"98 - BLANK","KY","0","0.0001","0","0.001","0.017","0.0021","0.013","0.021","0.035","0.0053","0.026","0.047","133000","N/A","16000"
"Overall","LA","0.014","0.0012","0.011","0.016","0.014","0.0012","0.011","0.016","1","0","N/A","N/A","3815000","N/A","333000"
"1 - Yes","LA","0.005","0.0007","0.004","0.006","0.023","0.0032","0.018","0.03","0.343","0.0256","0.295","0.395","1310000","N/A","185000"
"2 - No","LA","0.009","0.0007","0.007","0.01","0.011","0.0009","0.01","0.013","0.64","0.0248","0.59","0.687","2442000","N/A","188000"
"85 - BAD DATA Logically assigned","LA","0","0","0","0","0.002","0.0022","0","0.016","0","0.0002","0","0.002","1000","N/A","1000"
"94 - DON T KNOW","LA","0","0","0","0","0.009","0.0035","0.004","0.019","0.003","0.001","0.001","0.006","10000","N/A","4000"
"97 - REFUSED","LA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","LA","0","0","0","0","0.007","0.0017","0.004","0.011","0.014","0.0037","0.008","0.023","52000","N/A","13000"
"Overall","MA","0.022","0.0014","0.019","0.025","0.022","0.0014","0.019","0.025","1","0","N/A","N/A","6059000","N/A","401000"
"1 - Yes","MA","0.005","0.0006","0.004","0.006","0.023","0.003","0.018","0.029","0.212","0.0246","0.167","0.264","1282000","N/A","169000"
"2 - No","MA","0.016","0.0012","0.014","0.019","0.021","0.0016","0.018","0.025","0.749","0.0246","0.698","0.794","4539000","N/A","348000"
"85 - BAD DATA Logically assigned","MA","0","0","0","0","0.042","0.0315","0.009","0.17","0.002","0.0018","0.001","0.01","15000","N/A","11000"
"94 - DON T KNOW","MA","0","0.0001","0","0","0.036","0.018","0.013","0.094","0.007","0.0035","0.002","0.019","42000","N/A","21000"
"97 - REFUSED","MA","0","0","0","0","0.022","0.0222","0.003","0.144","0.001","0.0009","0","0.006","5000","N/A","5000"
"98 - BLANK","MA","0.001","0.0001","0","0.001","0.022","0.005","0.015","0.035","0.029","0.0065","0.019","0.045","177000","N/A","39000"
"Overall","MD","0.018","0.001","0.017","0.021","0.018","0.001","0.017","0.021","1","0","N/A","N/A","5196000","N/A","293000"
"1 - Yes","MD","0.004","0.0004","0.003","0.005","0.019","0.0019","0.015","0.023","0.205","0.0155","0.177","0.238","1068000","N/A","111000"
"2 - No","MD","0.014","0.0008","0.013","0.016","0.018","0.0011","0.016","0.021","0.762","0.0162","0.729","0.792","3960000","N/A","228000"
"85 - BAD DATA Logically assigned","MD","0","0","0","0","0.004","0.0036","0.001","0.022","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","MD","0","0","0","0","0.038","0.0117","0.02","0.069","0.008","0.0027","0.004","0.016","43000","N/A","14000"
"97 - REFUSED","MD","0","0","0","0","0.012","0.0095","0.002","0.056","0.001","0.0004","0","0.003","3000","N/A","2000"
"98 - BLANK","MD","0","0.0001","0","0.001","0.015","0.0042","0.009","0.026","0.023","0.0063","0.013","0.039","120000","N/A","33000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1207000","N/A","111000"
"1 - Yes","ME","0.001","0.0001","0.001","0.001","0.005","0.0006","0.004","0.006","0.226","0.017","0.194","0.261","273000","N/A","36000"
"2 - No","ME","0.003","0.0003","0.003","0.004","0.004","0.0004","0.004","0.005","0.762","0.0169","0.727","0.794","919000","N/A","83000"
"85 - BAD DATA Logically assigned","ME","0","0","0","0","0.002","0.0017","0","0.01","0.001","0.0005","0","0.003","1000","N/A","1000"
"94 - DON T KNOW","ME","0","0","0","0","0.001","0.0012","0","0.007","0.001","0.0011","0","0.007","2000","N/A","1000"
"97 - REFUSED","ME","0","0","0","0","0.002","0.0011","0.001","0.006","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","ME","0","0","0","0","0.001","0.0004","0.001","0.002","0.01","0.0025","0.006","0.016","11000","N/A","3000"
"Overall","MI","0.031","0.0014","0.028","0.033","0.031","0.0014","0.028","0.033","1","0","N/A","N/A","8578000","N/A","398000"
"1 - Yes","MI","0.007","0.0006","0.006","0.008","0.036","0.0028","0.031","0.042","0.237","0.0136","0.211","0.265","2032000","N/A","157000"
"2 - No","MI","0.022","0.0011","0.02","0.025","0.029","0.0014","0.027","0.032","0.732","0.0135","0.704","0.757","6276000","N/A","308000"
"85 - BAD DATA Logically assigned","MI","0","0","0","0","0.019","0.0118","0.006","0.063","0.001","0.0005","0","0.003","7000","N/A","4000"
"94 - DON T KNOW","MI","0","0","0","0","0.037","0.0113","0.02","0.067","0.005","0.0015","0.003","0.009","42000","N/A","13000"
"97 - REFUSED","MI","0","0","0","0","0.029","0.0159","0.01","0.083","0.001","0.0004","0","0.002","7000","N/A","4000"
"98 - BLANK","MI","0.001","0.0001","0.001","0.001","0.027","0.0037","0.021","0.036","0.025","0.0035","0.019","0.033","213000","N/A","29000"
"Overall","MN","0.017","0.0012","0.015","0.02","0.017","0.0012","0.015","0.02","1","0","N/A","N/A","4815000","N/A","330000"
"1 - Yes","MN","0.002","0.0003","0.002","0.003","0.011","0.0016","0.008","0.015","0.13","0.0155","0.102","0.164","626000","N/A","90000"
"2 - No","MN","0.014","0.001","0.012","0.016","0.018","0.0013","0.016","0.021","0.809","0.0188","0.769","0.843","3896000","N/A","281000"
"85 - BAD DATA Logically assigned","MN","0","0","0","0","0.014","0.0144","0.002","0.097","0.001","0.001","0","0.007","5000","N/A","5000"
"94 - DON T KNOW","MN","0","0","0","0","0.014","0.0067","0.006","0.036","0.003","0.0016","0.001","0.008","17000","N/A","8000"
"97 - REFUSED","MN","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","MN","0.001","0.0002","0.001","0.001","0.035","0.0069","0.023","0.051","0.057","0.0114","0.038","0.084","272000","N/A","56000"
"Overall","MO","0.018","0.0018","0.015","0.022","0.018","0.0018","0.015","0.022","1","0","N/A","N/A","5193000","N/A","521000"
"1 - Yes","MO","0.003","0.0004","0.002","0.004","0.015","0.0021","0.011","0.02","0.163","0.0181","0.131","0.202","847000","N/A","122000"
"2 - No","MO","0.015","0.0016","0.012","0.018","0.02","0.0021","0.016","0.024","0.808","0.0195","0.767","0.843","4195000","N/A","454000"
"85 - BAD DATA Logically assigned","MO","0","0","0","0","0.001","0.0006","0","0.004","0","0","0","0","0","N/A","0"
"94 - DON T KNOW","MO","0","0","0","0","0.008","0.0055","0.002","0.03","0.002","0.0013","0","0.007","10000","N/A","6000"
"97 - REFUSED","MO","0","0","0","0","0.003","0.0028","0.001","0.018","0","0.0001","0","0.001","1000","N/A","1000"
"98 - BLANK","MO","0","0.0001","0","0.001","0.018","0.0049","0.01","0.03","0.027","0.0079","0.015","0.048","140000","N/A","39000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2447000","N/A","153000"
"1 - Yes","MS","0.002","0.0002","0.001","0.002","0.009","0.0009","0.007","0.011","0.203","0.017","0.172","0.239","498000","N/A","51000"
"2 - No","MS","0.007","0.0005","0.006","0.008","0.009","0.0006","0.008","0.01","0.759","0.0164","0.725","0.789","1856000","N/A","129000"
"85 - BAD DATA Logically assigned","MS","0","0","0","0","0.014","0.0096","0.004","0.053","0.002","0.0013","0.001","0.007","5000","N/A","3000"
"94 - DON T KNOW","MS","0","0","0","0","0.007","0.0034","0.003","0.018","0.003","0.0016","0.001","0.009","8000","N/A","4000"
"97 - REFUSED","MS","0","0","0","0","0.007","0.006","0.001","0.038","0.001","0.0006","0","0.004","2000","N/A","1000"
"98 - BLANK","MS","0","0","0","0","0.01","0.0016","0.007","0.014","0.032","0.0055","0.023","0.045","78000","N/A","13000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","948000","N/A","91000"
"1 - Yes","MT","0.001","0.0001","0.001","0.001","0.004","0.0006","0.003","0.005","0.222","0.0219","0.182","0.268","210000","N/A","32000"
"2 - No","MT","0.002","0.0002","0.002","0.003","0.003","0.0003","0.003","0.004","0.718","0.0244","0.668","0.764","681000","N/A","68000"
"85 - BAD DATA Logically assigned","MT","0","0","0","0","0.002","0.0017","0.001","0.01","0.001","0.0006","0","0.003","1000","N/A","1000"
"94 - DON T KNOW","MT","0","0","0","0","0.001","0.0004","0","0.002","0.001","0.0004","0","0.002","1000","N/A","0"
"97 - REFUSED","MT","0","0","0","0","0.001","0.0005","0","0.004","0","0.0001","0","0.001","0","N/A","0"
"98 - BLANK","MT","0","0","0","0","0.007","0.0014","0.005","0.01","0.058","0.0122","0.038","0.087","55000","N/A","11000"
"Overall","NC","0.032","0.0017","0.029","0.035","0.032","0.0017","0.029","0.035","1","0","N/A","N/A","8950000","N/A","481000"
"1 - Yes","NC","0.005","0.0006","0.004","0.007","0.027","0.0027","0.022","0.033","0.171","0.0157","0.143","0.205","1535000","N/A","158000"
"2 - No","NC","0.025","0.0014","0.022","0.028","0.033","0.0019","0.029","0.037","0.786","0.0165","0.752","0.816","7034000","N/A","409000"
"85 - BAD DATA Logically assigned","NC","0","0","0","0","0.014","0.0084","0.004","0.045","0.001","0.0003","0","0.002","5000","N/A","3000"
