"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"5 - 12-17 Years Old","AR","0.001","0.0001","0.001","0.001","0.01","0.0009","0.008","0.012","0.097","0.0094","0.08","0.117","248000","N/A","24000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6286000","N/A","461000"
"1 - 18-25 Years Old","AZ","0.003","0.0003","0.002","0.003","0.023","0.0025","0.018","0.028","0.126","0.0114","0.105","0.15","789000","N/A","88000"
"2 - 26-34 Years Old","AZ","0.003","0.0005","0.002","0.004","0.022","0.0033","0.017","0.03","0.143","0.0182","0.111","0.182","897000","N/A","134000"
"3 - 35-49 Years Old","AZ","0.005","0.0005","0.004","0.006","0.021","0.0024","0.017","0.027","0.212","0.0189","0.177","0.252","1333000","N/A","153000"
"4 - 50 or Older","AZ","0.01","0.001","0.008","0.012","0.023","0.0024","0.018","0.028","0.428","0.0319","0.367","0.492","2692000","N/A","291000"
"5 - 12-17 Years Old","AZ","0.002","0.0002","0.002","0.002","0.022","0.0021","0.018","0.027","0.091","0.0075","0.077","0.107","574000","N/A","56000"
"Overall","CA","0.117","0.004","0.11","0.125","0.117","0.004","0.11","0.125","1","0","N/A","N/A","33130000","N/A","1234000"
"1 - 18-25 Years Old","CA","0.014","0.0008","0.013","0.016","0.117","0.0059","0.106","0.129","0.122","0.0054","0.111","0.133","4031000","N/A","222000"
"2 - 26-34 Years Old","CA","0.018","0.0011","0.016","0.02","0.127","0.0071","0.113","0.141","0.154","0.0082","0.138","0.171","5093000","N/A","319000"
"3 - 35-49 Years Old","CA","0.027","0.0013","0.025","0.03","0.123","0.0057","0.112","0.135","0.233","0.0075","0.219","0.248","7724000","N/A","395000"
"4 - 50 or Older","CA","0.047","0.0022","0.043","0.051","0.111","0.005","0.101","0.121","0.399","0.0123","0.376","0.424","13234000","N/A","644000"
"5 - 12-17 Years Old","CA","0.011","0.0007","0.01","0.012","0.118","0.007","0.105","0.133","0.092","0.0047","0.083","0.102","3047000","N/A","200000"
"Overall","CO","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","4993000","N/A","315000"
"1 - 18-25 Years Old","CO","0.002","0.0002","0.002","0.003","0.018","0.0019","0.014","0.022","0.122","0.0113","0.102","0.146","610000","N/A","66000"
"2 - 26-34 Years Old","CO","0.003","0.0003","0.002","0.004","0.02","0.0022","0.016","0.025","0.163","0.0177","0.131","0.2","812000","N/A","88000"
"3 - 35-49 Years Old","CO","0.004","0.0004","0.004","0.005","0.019","0.0017","0.016","0.023","0.239","0.015","0.211","0.27","1193000","N/A","110000"
"4 - 50 or Older","CO","0.007","0.0007","0.006","0.008","0.016","0.0016","0.013","0.02","0.389","0.0277","0.336","0.444","1941000","N/A","193000"
"5 - 12-17 Years Old","CO","0.002","0.0002","0.001","0.002","0.017","0.0021","0.013","0.022","0.088","0.0083","0.073","0.105","437000","N/A","55000"
"Overall","CT","0.011","0.0006","0.01","0.012","0.011","0.0006","0.01","0.012","1","0","N/A","N/A","3123000","N/A","182000"
"1 - 18-25 Years Old","CT","0.001","0.0002","0.001","0.002","0.011","0.0014","0.009","0.014","0.122","0.0128","0.099","0.15","382000","N/A","47000"
"2 - 26-34 Years Old","CT","0.001","0.0001","0.001","0.002","0.01","0.001","0.008","0.012","0.129","0.0102","0.11","0.151","404000","N/A","38000"
"3 - 35-49 Years Old","CT","0.002","0.0002","0.002","0.003","0.011","0.0009","0.009","0.013","0.213","0.0132","0.189","0.24","666000","N/A","57000"
"4 - 50 or Older","CT","0.005","0.0004","0.004","0.006","0.012","0.0009","0.01","0.014","0.449","0.02","0.41","0.489","1404000","N/A","103000"
"5 - 12-17 Years Old","CT","0.001","0.0001","0.001","0.001","0.01","0.0009","0.009","0.012","0.086","0.0059","0.075","0.098","268000","N/A","23000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","577000","N/A","36000"
"1 - 18-25 Years Old","DC","0","0","0","0","0.002","0.0003","0.002","0.003","0.138","0.0134","0.114","0.167","80000","N/A","9000"
"2 - 26-34 Years Old","DC","0","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.227","0.0212","0.189","0.272","131000","N/A","15000"
"3 - 35-49 Years Old","DC","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.255","0.0198","0.218","0.296","147000","N/A","15000"
"4 - 50 or Older","DC","0.001","0.0001","0.001","0.001","0.002","0.0001","0.001","0.002","0.318","0.0243","0.272","0.367","183000","N/A","17000"
"5 - 12-17 Years Old","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.061","0.0067","0.049","0.076","35000","N/A","4000"
"Overall","DE","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","877000","N/A","61000"
"1 - 18-25 Years Old","DE","0","0","0","0","0.003","0.0004","0.002","0.004","0.11","0.0116","0.089","0.135","96000","N/A","12000"
"2 - 26-34 Years Old","DE","0","0","0","0","0.003","0.0002","0.002","0.003","0.129","0.0111","0.109","0.153","113000","N/A","9000"
"3 - 35-49 Years Old","DE","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.003","0.202","0.0139","0.176","0.231","177000","N/A","18000"
"4 - 50 or Older","DE","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.474","0.0242","0.427","0.521","416000","N/A","40000"
"5 - 12-17 Years Old","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.085","0.0075","0.071","0.101","75000","N/A","8000"
"Overall","FL","0.068","0.003","0.063","0.075","0.068","0.003","0.063","0.075","1","0","N/A","N/A","19317000","N/A","896000"
"1 - 18-25 Years Old","FL","0.007","0.0005","0.006","0.008","0.059","0.0036","0.053","0.067","0.106","0.0065","0.094","0.119","2045000","N/A","131000"
"2 - 26-34 Years Old","FL","0.009","0.0005","0.008","0.01","0.062","0.0035","0.055","0.069","0.129","0.0063","0.117","0.142","2493000","N/A","144000"
"3 - 35-49 Years Old","FL","0.014","0.0008","0.013","0.016","0.065","0.0036","0.058","0.072","0.211","0.0081","0.196","0.228","4083000","N/A","236000"
"4 - 50 or Older","FL","0.032","0.002","0.029","0.037","0.077","0.0046","0.068","0.086","0.474","0.0149","0.445","0.504","9161000","N/A","585000"
"5 - 12-17 Years Old","FL","0.005","0.0003","0.005","0.006","0.059","0.0037","0.053","0.067","0.079","0.0038","0.072","0.087","1535000","N/A","97000"
"Overall","GA","0.032","0.002","0.029","0.037","0.032","0.002","0.029","0.037","1","0","N/A","N/A","9173000","N/A","577000"
"1 - 18-25 Years Old","GA","0.004","0.0005","0.003","0.005","0.034","0.0037","0.027","0.042","0.126","0.0133","0.102","0.154","1156000","N/A","129000"
"2 - 26-34 Years Old","GA","0.005","0.0005","0.004","0.006","0.033","0.0032","0.027","0.04","0.144","0.0104","0.125","0.166","1323000","N/A","133000"
"3 - 35-49 Years Old","GA","0.007","0.0006","0.006","0.009","0.033","0.0026","0.029","0.039","0.228","0.0108","0.208","0.25","2095000","N/A","168000"
"4 - 50 or Older","GA","0.013","0.0011","0.011","0.015","0.031","0.0025","0.026","0.036","0.402","0.017","0.369","0.435","3685000","N/A","301000"
"5 - 12-17 Years Old","GA","0.003","0.0003","0.003","0.004","0.035","0.0027","0.03","0.041","0.1","0.0065","0.088","0.113","915000","N/A","71000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1189000","N/A","82000"
"1 - 18-25 Years Old","HI","0","0","0","0.001","0.003","0.0004","0.003","0.004","0.1","0.0104","0.081","0.122","118000","N/A","14000"
"2 - 26-34 Years Old","HI","0.001","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.131","0.0125","0.108","0.157","155000","N/A","15000"
"3 - 35-49 Years Old","HI","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.221","0.0194","0.186","0.262","263000","N/A","27000"
"4 - 50 or Older","HI","0.002","0.0002","0.002","0.002","0.005","0.0005","0.004","0.006","0.467","0.032","0.405","0.53","555000","N/A","63000"
"5 - 12-17 Years Old","HI","0","0","0","0","0.004","0.0004","0.003","0.005","0.082","0.0084","0.066","0.1","97000","N/A","11000"
"Overall","IA","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2693000","N/A","162000"
"1 - 18-25 Years Old","IA","0.001","0.0001","0.001","0.001","0.01","0.0009","0.009","0.012","0.134","0.0099","0.116","0.154","361000","N/A","29000"
"2 - 26-34 Years Old","IA","0.001","0.0002","0.001","0.002","0.009","0.0012","0.007","0.012","0.132","0.0168","0.102","0.168","355000","N/A","50000"
"3 - 35-49 Years Old","IA","0.002","0.0002","0.002","0.002","0.009","0.0008","0.008","0.011","0.214","0.0142","0.187","0.243","575000","N/A","50000"
"4 - 50 or Older","IA","0.004","0.0003","0.003","0.005","0.01","0.0008","0.008","0.011","0.425","0.021","0.384","0.467","1144000","N/A","97000"
"5 - 12-17 Years Old","IA","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.096","0.0079","0.082","0.113","258000","N/A","27000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1633000","N/A","111000"
"1 - 18-25 Years Old","ID","0.001","0.0001","0.001","0.001","0.006","0.0007","0.005","0.008","0.132","0.0133","0.108","0.161","216000","N/A","25000"
"2 - 26-34 Years Old","ID","0.001","0.0001","0.001","0.001","0.006","0.0006","0.004","0.007","0.136","0.0133","0.112","0.165","223000","N/A","25000"
"3 - 35-49 Years Old","ID","0.001","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.222","0.0132","0.197","0.249","362000","N/A","30000"
"4 - 50 or Older","ID","0.002","0.0002","0.002","0.003","0.006","0.0005","0.005","0.007","0.405","0.0253","0.357","0.456","662000","N/A","64000"
"5 - 12-17 Years Old","ID","0.001","0.0001","0","0.001","0.007","0.001","0.005","0.009","0.104","0.0123","0.082","0.131","170000","N/A","25000"
"Overall","IL","0.038","0.0019","0.034","0.042","0.038","0.0019","0.034","0.042","1","0","N/A","N/A","10679000","N/A","547000"
"1 - 18-25 Years Old","IL","0.005","0.0003","0.004","0.005","0.038","0.0028","0.033","0.043","0.121","0.0077","0.107","0.137","1293000","N/A","95000"
"2 - 26-34 Years Old","IL","0.005","0.0004","0.005","0.006","0.037","0.0026","0.033","0.043","0.141","0.0081","0.126","0.158","1507000","N/A","108000"
"3 - 35-49 Years Old","IL","0.008","0.0006","0.007","0.01","0.038","0.0025","0.034","0.044","0.225","0.0103","0.205","0.246","2402000","N/A","162000"
"4 - 50 or Older","IL","0.016","0.0011","0.014","0.018","0.038","0.0026","0.033","0.043","0.421","0.016","0.39","0.452","4492000","N/A","310000"
"5 - 12-17 Years Old","IL","0.003","0.0003","0.003","0.004","0.038","0.003","0.033","0.044","0.092","0.0054","0.082","0.103","985000","N/A","78000"
"Overall","IN","0.02","0.0015","0.018","0.024","0.02","0.0015","0.018","0.024","1","0","N/A","N/A","5738000","N/A","435000"
"1 - 18-25 Years Old","IN","0.003","0.0003","0.002","0.003","0.022","0.0024","0.018","0.027","0.13","0.0123","0.108","0.156","749000","N/A","84000"
"2 - 26-34 Years Old","IN","0.003","0.0003","0.002","0.003","0.02","0.0018","0.016","0.024","0.139","0.0096","0.121","0.159","797000","N/A","75000"
"3 - 35-49 Years Old","IN","0.004","0.0004","0.004","0.005","0.02","0.0016","0.017","0.023","0.217","0.0103","0.198","0.238","1247000","N/A","100000"
"4 - 50 or Older","IN","0.008","0.0008","0.007","0.01","0.02","0.002","0.016","0.024","0.416","0.0198","0.378","0.455","2387000","N/A","238000"
"5 - 12-17 Years Old","IN","0.002","0.0002","0.002","0.002","0.022","0.0024","0.017","0.027","0.097","0.0075","0.084","0.113","559000","N/A","61000"
"Overall","KS","0.009","0.0007","0.007","0.01","0.009","0.0007","0.007","0.01","1","0","N/A","N/A","2434000","N/A","207000"
"1 - 18-25 Years Old","KS","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.135","0.013","0.111","0.163","329000","N/A","34000"
"2 - 26-34 Years Old","KS","0.001","0.0001","0.001","0.001","0.008","0.001","0.006","0.01","0.134","0.0117","0.112","0.158","325000","N/A","41000"
"3 - 35-49 Years Old","KS","0.002","0.0002","0.002","0.002","0.008","0.0009","0.007","0.01","0.218","0.0137","0.192","0.246","530000","N/A","58000"
"4 - 50 or Older","KS","0.004","0.0004","0.003","0.004","0.008","0.0009","0.007","0.01","0.412","0.021","0.371","0.454","1003000","N/A","109000"
"5 - 12-17 Years Old","KS","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.101","0.0106","0.083","0.124","247000","N/A","30000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3780000","N/A","200000"
"1 - 18-25 Years Old","KY","0.002","0.0002","0.001","0.002","0.013","0.0013","0.011","0.016","0.121","0.0128","0.098","0.148","456000","N/A","46000"
"2 - 26-34 Years Old","KY","0.002","0.0002","0.002","0.002","0.013","0.0011","0.011","0.015","0.136","0.0122","0.114","0.162","515000","N/A","43000"
"3 - 35-49 Years Old","KY","0.003","0.0002","0.003","0.003","0.013","0.0009","0.011","0.015","0.215","0.0131","0.191","0.242","814000","N/A","57000"
"4 - 50 or Older","KY","0.006","0.0005","0.005","0.007","0.014","0.0013","0.011","0.016","0.434","0.0227","0.39","0.479","1639000","N/A","154000"
"5 - 12-17 Years Old","KY","0.001","0.0001","0.001","0.001","0.014","0.0011","0.012","0.016","0.094","0.006","0.083","0.106","354000","N/A","27000"
"Overall","LA","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3797000","N/A","208000"
"1 - 18-25 Years Old","LA","0.002","0.0002","0.001","0.002","0.014","0.0013","0.011","0.016","0.122","0.0089","0.106","0.141","465000","N/A","43000"
"2 - 26-34 Years Old","LA","0.002","0.0002","0.002","0.002","0.013","0.0012","0.011","0.016","0.138","0.0106","0.119","0.16","525000","N/A","48000"
"3 - 35-49 Years Old","LA","0.003","0.0002","0.003","0.003","0.013","0.001","0.012","0.015","0.222","0.0125","0.198","0.247","841000","N/A","60000"
"4 - 50 or Older","LA","0.006","0.0004","0.005","0.007","0.013","0.001","0.012","0.015","0.42","0.0166","0.388","0.453","1596000","N/A","117000"
"5 - 12-17 Years Old","LA","0.001","0.0001","0.001","0.002","0.014","0.0012","0.012","0.017","0.097","0.0063","0.086","0.111","370000","N/A","31000"
"Overall","MA","0.021","0.0015","0.019","0.025","0.021","0.0015","0.019","0.025","1","0","N/A","N/A","6074000","N/A","436000"
"1 - 18-25 Years Old","MA","0.003","0.0003","0.002","0.003","0.023","0.0023","0.019","0.028","0.128","0.0099","0.11","0.149","779000","N/A","80000"
"2 - 26-34 Years Old","MA","0.003","0.0003","0.003","0.004","0.022","0.002","0.018","0.026","0.143","0.0114","0.123","0.167","872000","N/A","80000"
"3 - 35-49 Years Old","MA","0.005","0.0004","0.004","0.005","0.021","0.0018","0.018","0.025","0.216","0.0149","0.188","0.247","1311000","N/A","111000"
"4 - 50 or Older","MA","0.009","0.0009","0.008","0.011","0.022","0.0022","0.018","0.027","0.433","0.0236","0.388","0.48","2633000","N/A","265000"
"5 - 12-17 Years Old","MA","0.002","0.0002","0.001","0.002","0.019","0.0026","0.014","0.025","0.079","0.0091","0.063","0.099","480000","N/A","69000"
"Overall","MD","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5208000","N/A","376000"
"1 - 18-25 Years Old","MD","0.002","0.0002","0.002","0.002","0.017","0.0013","0.015","0.02","0.113","0.0079","0.098","0.129","587000","N/A","43000"
"2 - 26-34 Years Old","MD","0.003","0.0003","0.002","0.003","0.018","0.0018","0.014","0.022","0.137","0.0127","0.114","0.164","712000","N/A","74000"
"3 - 35-49 Years Old","MD","0.004","0.0003","0.004","0.005","0.019","0.0015","0.016","0.022","0.228","0.0149","0.2","0.258","1187000","N/A","96000"
"4 - 50 or Older","MD","0.008","0.0009","0.006","0.01","0.019","0.0021","0.015","0.023","0.431","0.0241","0.384","0.479","2244000","N/A","254000"
"5 - 12-17 Years Old","MD","0.002","0.0001","0.001","0.002","0.018","0.0015","0.016","0.022","0.092","0.0064","0.08","0.105","477000","N/A","39000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1217000","N/A","110000"
"1 - 18-25 Years Old","ME","0","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.102","0.0082","0.088","0.12","125000","N/A","15000"
"2 - 26-34 Years Old","ME","0.001","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.124","0.0125","0.102","0.151","151000","N/A","18000"
"3 - 35-49 Years Old","ME","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.203","0.0114","0.181","0.226","247000","N/A","28000"
"4 - 50 or Older","ME","0.002","0.0002","0.002","0.003","0.005","0.0005","0.004","0.006","0.495","0.0229","0.451","0.54","603000","N/A","64000"
"5 - 12-17 Years Old","ME","0","0","0","0","0.004","0.0004","0.003","0.004","0.075","0.005","0.065","0.085","91000","N/A","10000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8581000","N/A","377000"
"1 - 18-25 Years Old","MI","0.004","0.0002","0.003","0.004","0.031","0.0019","0.027","0.035","0.123","0.006","0.111","0.135","1053000","N/A","66000"
"2 - 26-34 Years Old","MI","0.004","0.0003","0.004","0.005","0.029","0.0022","0.025","0.034","0.137","0.008","0.122","0.153","1175000","N/A","88000"
"3 - 35-49 Years Old","MI","0.006","0.0003","0.006","0.007","0.028","0.0016","0.025","0.031","0.205","0.0082","0.19","0.222","1762000","N/A","98000"
"4 - 50 or Older","MI","0.014","0.0008","0.012","0.015","0.032","0.0018","0.029","0.036","0.447","0.0151","0.418","0.477","3835000","N/A","218000"
"5 - 12-17 Years Old","MI","0.003","0.0002","0.002","0.003","0.029","0.0022","0.025","0.034","0.088","0.0053","0.078","0.099","756000","N/A","57000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4833000","N/A","362000"
"1 - 18-25 Years Old","MN","0.002","0.0003","0.002","0.003","0.017","0.0023","0.013","0.022","0.119","0.0142","0.094","0.15","576000","N/A","78000"
"2 - 26-34 Years Old","MN","0.002","0.0002","0.002","0.003","0.017","0.0017","0.014","0.02","0.137","0.0135","0.113","0.166","664000","N/A","67000"
"3 - 35-49 Years Old","MN","0.004","0.0004","0.003","0.005","0.017","0.0018","0.014","0.021","0.226","0.0176","0.194","0.263","1094000","N/A","117000"
"4 - 50 or Older","MN","0.007","0.0008","0.006","0.009","0.017","0.0018","0.014","0.021","0.422","0.0264","0.372","0.475","2041000","N/A","223000"
"5 - 12-17 Years Old","MN","0.002","0.0002","0.001","0.002","0.018","0.0019","0.014","0.022","0.095","0.0081","0.08","0.112","459000","N/A","50000"
"Overall","MO","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5211000","N/A","385000"
"1 - 18-25 Years Old","MO","0.002","0.0002","0.002","0.003","0.019","0.0019","0.015","0.023","0.122","0.0124","0.1","0.149","637000","N/A","64000"
"2 - 26-34 Years Old","MO","0.003","0.0003","0.002","0.003","0.018","0.0021","0.014","0.022","0.138","0.0134","0.113","0.166","718000","N/A","85000"
"3 - 35-49 Years Old","MO","0.004","0.0004","0.003","0.005","0.018","0.0016","0.015","0.021","0.216","0.0143","0.19","0.246","1127000","N/A","100000"
"4 - 50 or Older","MO","0.008","0.0008","0.007","0.01","0.019","0.0019","0.015","0.023","0.431","0.0178","0.396","0.466","2245000","N/A","225000"
"5 - 12-17 Years Old","MO","0.002","0.0002","0.001","0.002","0.019","0.0019","0.015","0.023","0.093","0.0072","0.08","0.108","484000","N/A","51000"
"Overall","MS","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2444000","N/A","157000"
"1 - 18-25 Years Old","MS","0.001","0.0001","0.001","0.001","0.009","0.0009","0.008","0.011","0.128","0.0098","0.11","0.149","314000","N/A","31000"
"2 - 26-34 Years Old","MS","0.001","0.0001","0.001","0.001","0.008","0.0007","0.007","0.009","0.132","0.0091","0.115","0.151","323000","N/A","26000"
"3 - 35-49 Years Old","MS","0.002","0.0002","0.002","0.002","0.008","0.0007","0.007","0.01","0.213","0.0147","0.186","0.243","520000","N/A","45000"
"4 - 50 or Older","MS","0.004","0.0003","0.003","0.004","0.009","0.0008","0.007","0.01","0.425","0.0197","0.387","0.464","1039000","N/A","90000"
"5 - 12-17 Years Old","MS","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.101","0.0092","0.084","0.121","247000","N/A","29000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","961000","N/A","80000"
"1 - 18-25 Years Old","MT","0","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.12","0.0128","0.097","0.147","115000","N/A","14000"
"2 - 26-34 Years Old","MT","0","0","0","0.001","0.003","0.0003","0.003","0.004","0.135","0.0121","0.113","0.161","130000","N/A","13000"
"3 - 35-49 Years Old","MT","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.213","0.0146","0.186","0.243","205000","N/A","21000"
"4 - 50 or Older","MT","0.002","0.0002","0.001","0.002","0.004","0.0004","0.003","0.004","0.444","0.0256","0.395","0.495","427000","N/A","48000"
"5 - 12-17 Years Old","MT","0","0","0","0","0.003","0.0004","0.003","0.004","0.087","0.0064","0.075","0.1","84000","N/A","10000"
"Overall","NC","0.032","0.002","0.028","0.036","0.032","0.002","0.028","0.036","1","0","N/A","N/A","9074000","N/A","578000"
"1 - 18-25 Years Old","NC","0.004","0.0004","0.003","0.005","0.032","0.0029","0.027","0.038","0.122","0.0103","0.103","0.144","1106000","N/A","102000"
"2 - 26-34 Years Old","NC","0.004","0.0004","0.004","0.005","0.031","0.0029","0.026","0.038","0.139","0.0116","0.118","0.163","1260000","N/A","118000"
"3 - 35-49 Years Old","NC","0.007","0.0006","0.006","0.008","0.031","0.0025","0.027","0.037","0.218","0.0107","0.197","0.239","1975000","N/A","162000"
"4 - 50 or Older","NC","0.014","0.0012","0.012","0.016","0.033","0.0028","0.028","0.039","0.431","0.0206","0.391","0.472","3908000","N/A","344000"
"5 - 12-17 Years Old","NC","0.003","0.0003","0.002","0.004","0.032","0.0031","0.026","0.039","0.091","0.0071","0.078","0.106","825000","N/A","81000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","641000","N/A","59000"
"1 - 18-25 Years Old","ND","0","0.0001","0","0","0.003","0.0004","0.002","0.004","0.149","0.0209","0.112","0.195","95000","N/A","15000"
"2 - 26-34 Years Old","ND","0","0","0","0","0.002","0.0003","0.002","0.003","0.148","0.0134","0.124","0.176","95000","N/A","10000"
"3 - 35-49 Years Old","ND","0","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.217","0.0174","0.184","0.253","139000","N/A","19000"
"4 - 50 or Older","ND","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.392","0.0279","0.339","0.448","251000","N/A","29000"
"5 - 12-17 Years Old","ND","0","0","0","0","0.002","0.0004","0.002","0.003","0.094","0.0114","0.074","0.119","60000","N/A","10000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1635000","N/A","102000"
"1 - 18-25 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0006","0.005","0.008","0.133","0.0111","0.112","0.156","217000","N/A","20000"
