"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"0 - Did not misuse in the past year","CA","0.116","0.0022","0.112","0.121","0.12","0.0023","0.116","0.125","0.963","0.003","0.956","0.968","31880000","N/A","654000"
"1 - Misused within the past year","CA","0.004","0.0004","0.004","0.005","0.125","0.0095","0.108","0.145","0.037","0.003","0.032","0.044","1231000","N/A","104000"
"Overall","CO","0.018","0.0009","0.016","0.019","0.018","0.0009","0.016","0.019","1","0","N/A","N/A","4806000","N/A","245000"
"0 - Did not misuse in the past year","CO","0.017","0.0009","0.015","0.019","0.017","0.0009","0.016","0.019","0.954","0.0105","0.929","0.971","4586000","N/A","239000"
"1 - Misused within the past year","CO","0.001","0.0002","0.001","0.001","0.022","0.0052","0.014","0.035","0.046","0.0105","0.029","0.071","220000","N/A","52000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3060000","N/A","137000"
"0 - Did not misuse in the past year","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","0.969","0.0054","0.956","0.978","2965000","N/A","132000"
"1 - Misused within the past year","CT","0","0.0001","0","0","0.01","0.0018","0.007","0.014","0.031","0.0054","0.022","0.044","95000","N/A","17000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","598000","N/A","29000"
"0 - Did not misuse in the past year","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.96","0.0066","0.944","0.971","574000","N/A","28000"
"1 - Misused within the past year","DC","0","0","0","0","0.002","0.0004","0.002","0.003","0.04","0.0066","0.029","0.056","24000","N/A","4000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","822000","N/A","45000"
"0 - Did not misuse in the past year","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","0.966","0.0064","0.951","0.977","794000","N/A","43000"
"1 - Misused within the past year","DE","0","0","0","0","0.003","0.0006","0.002","0.004","0.034","0.0064","0.023","0.049","28000","N/A","6000"
"Overall","FL","0.067","0.0019","0.063","0.071","0.067","0.0019","0.063","0.071","1","0","N/A","N/A","18293000","N/A","544000"
"0 - Did not misuse in the past year","FL","0.064","0.0019","0.061","0.068","0.066","0.0019","0.063","0.07","0.961","0.0038","0.953","0.968","17581000","N/A","525000"
"1 - Misused within the past year","FL","0.003","0.0003","0.002","0.003","0.072","0.0071","0.06","0.088","0.039","0.0038","0.032","0.047","712000","N/A","73000"
"Overall","GA","0.032","0.0011","0.03","0.034","0.032","0.0011","0.03","0.034","1","0","N/A","N/A","8732000","N/A","317000"
"0 - Did not misuse in the past year","GA","0.031","0.0011","0.029","0.033","0.032","0.0012","0.03","0.034","0.965","0.0043","0.955","0.972","8425000","N/A","311000"
"1 - Misused within the past year","GA","0.001","0.0001","0.001","0.001","0.031","0.0038","0.025","0.04","0.035","0.0043","0.028","0.045","308000","N/A","38000"
"Overall","HI","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1156000","N/A","59000"
"0 - Did not misuse in the past year","HI","0.004","0.0002","0.004","0.004","0.004","0.0002","0.004","0.005","0.958","0.0074","0.94","0.97","1107000","N/A","58000"
"1 - Misused within the past year","HI","0","0","0","0","0.005","0.0009","0.003","0.007","0.042","0.0074","0.03","0.06","49000","N/A","9000"
"Overall","IA","0.01","0.0004","0.009","0.01","0.01","0.0004","0.009","0.01","1","0","N/A","N/A","2632000","N/A","119000"
"0 - Did not misuse in the past year","IA","0.009","0.0004","0.008","0.01","0.01","0.0004","0.009","0.01","0.956","0.0063","0.942","0.967","2517000","N/A","119000"
"1 - Misused within the past year","IA","0","0.0001","0","0.001","0.012","0.0017","0.009","0.015","0.044","0.0063","0.033","0.058","115000","N/A","16000"
"Overall","ID","0.005","0.0002","0.005","0.006","0.005","0.0002","0.005","0.006","1","0","N/A","N/A","1458000","N/A","61000"
"0 - Did not misuse in the past year","ID","0.005","0.0002","0.005","0.006","0.005","0.0002","0.005","0.006","0.956","0.0059","0.943","0.966","1394000","N/A","60000"
"1 - Misused within the past year","ID","0","0","0","0","0.007","0.0009","0.005","0.009","0.044","0.0059","0.034","0.057","64000","N/A","9000"
"Overall","IL","0.039","0.0011","0.037","0.041","0.039","0.0011","0.037","0.041","1","0","N/A","N/A","10672000","N/A","299000"
"0 - Did not misuse in the past year","IL","0.038","0.0011","0.036","0.04","0.039","0.0011","0.037","0.042","0.976","0.0027","0.97","0.981","10420000","N/A","300000"
"1 - Misused within the past year","IL","0.001","0.0001","0.001","0.001","0.026","0.0028","0.021","0.032","0.024","0.0027","0.019","0.03","252000","N/A","28000"
"Overall","IN","0.02","0.0008","0.019","0.022","0.02","0.0008","0.019","0.022","1","0","N/A","N/A","5586000","N/A","209000"
"0 - Did not misuse in the past year","IN","0.02","0.0007","0.018","0.021","0.02","0.0008","0.019","0.022","0.963","0.005","0.952","0.972","5383000","N/A","201000"
"1 - Misused within the past year","IN","0.001","0.0001","0.001","0.001","0.021","0.003","0.016","0.027","0.037","0.005","0.028","0.048","204000","N/A","30000"
"Overall","KS","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.009","1","0","N/A","N/A","2384000","N/A","103000"
"0 - Did not misuse in the past year","KS","0.008","0.0004","0.008","0.009","0.009","0.0004","0.008","0.009","0.96","0.0054","0.948","0.97","2290000","N/A","103000"
"1 - Misused within the past year","KS","0","0","0","0","0.01","0.0013","0.007","0.013","0.04","0.0054","0.03","0.052","95000","N/A","13000"
"Overall","KY","0.014","0.0006","0.012","0.015","0.014","0.0006","0.012","0.015","1","0","N/A","N/A","3719000","N/A","168000"
"0 - Did not misuse in the past year","KY","0.013","0.0006","0.012","0.014","0.013","0.0006","0.012","0.015","0.954","0.0062","0.94","0.965","3549000","N/A","164000"
"1 - Misused within the past year","KY","0.001","0.0001","0","0.001","0.017","0.0024","0.013","0.023","0.046","0.0062","0.035","0.06","170000","N/A","23000"
"Overall","LA","0.014","0.0007","0.013","0.015","0.014","0.0007","0.013","0.015","1","0","N/A","N/A","3821000","N/A","200000"
"0 - Did not misuse in the past year","LA","0.013","0.0007","0.012","0.015","0.014","0.0007","0.012","0.015","0.957","0.0053","0.946","0.967","3658000","N/A","189000"
"1 - Misused within the past year","LA","0.001","0.0001","0","0.001","0.017","0.0024","0.013","0.022","0.043","0.0053","0.033","0.054","163000","N/A","23000"
"Overall","MA","0.022","0.0008","0.02","0.023","0.022","0.0008","0.02","0.023","1","0","N/A","N/A","5947000","N/A","212000"
"0 - Did not misuse in the past year","MA","0.021","0.0008","0.02","0.023","0.022","0.0008","0.02","0.023","0.972","0.004","0.963","0.979","5779000","N/A","215000"
"1 - Misused within the past year","MA","0.001","0.0001","0","0.001","0.017","0.0023","0.013","0.022","0.028","0.004","0.021","0.037","168000","N/A","23000"
"Overall","MD","0.018","0.0008","0.017","0.02","0.018","0.0008","0.017","0.02","1","0","N/A","N/A","5059000","N/A","209000"
"0 - Did not misuse in the past year","MD","0.018","0.0007","0.016","0.019","0.018","0.0008","0.017","0.02","0.966","0.0065","0.95","0.976","4886000","N/A","204000"
"1 - Misused within the past year","MD","0.001","0.0001","0","0.001","0.018","0.0034","0.012","0.026","0.034","0.0065","0.024","0.05","174000","N/A","33000"
"Overall","ME","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1166000","N/A","50000"
"0 - Did not misuse in the past year","ME","0.004","0.0002","0.004","0.004","0.004","0.0002","0.004","0.005","0.972","0.0051","0.96","0.981","1134000","N/A","48000"
"1 - Misused within the past year","ME","0","0","0","0","0.003","0.0006","0.002","0.005","0.028","0.0051","0.019","0.04","32000","N/A","6000"
"Overall","MI","0.031","0.0007","0.03","0.032","0.031","0.0007","0.03","0.032","1","0","N/A","N/A","8488000","N/A","201000"
"0 - Did not misuse in the past year","MI","0.03","0.0007","0.028","0.031","0.031","0.0007","0.029","0.032","0.961","0.0039","0.953","0.968","8160000","N/A","198000"
"1 - Misused within the past year","MI","0.001","0.0001","0.001","0.001","0.033","0.0034","0.027","0.041","0.039","0.0039","0.032","0.047","328000","N/A","34000"
"Overall","MN","0.017","0.0007","0.016","0.019","0.017","0.0007","0.016","0.019","1","0","N/A","N/A","4706000","N/A","192000"
"0 - Did not misuse in the past year","MN","0.017","0.0007","0.015","0.018","0.017","0.0007","0.016","0.019","0.965","0.0052","0.953","0.974","4542000","N/A","194000"
"1 - Misused within the past year","MN","0.001","0.0001","0","0.001","0.017","0.0023","0.013","0.022","0.035","0.0052","0.026","0.047","164000","N/A","23000"
"Overall","MO","0.019","0.0007","0.017","0.02","0.019","0.0007","0.017","0.02","1","0","N/A","N/A","5116000","N/A","192000"
"0 - Did not misuse in the past year","MO","0.018","0.0007","0.017","0.019","0.019","0.0007","0.017","0.02","0.966","0.0054","0.954","0.975","4942000","N/A","189000"
"1 - Misused within the past year","MO","0.001","0.0001","0","0.001","0.018","0.0028","0.013","0.024","0.034","0.0054","0.025","0.046","174000","N/A","28000"
"Overall","MS","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2453000","N/A","96000"
"0 - Did not misuse in the past year","MS","0.009","0.0003","0.008","0.009","0.009","0.0003","0.008","0.01","0.956","0.0064","0.942","0.967","2345000","N/A","90000"
"1 - Misused within the past year","MS","0","0.0001","0","0.001","0.011","0.0017","0.008","0.015","0.044","0.0064","0.033","0.058","108000","N/A","17000"
"Overall","MT","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","1","0","N/A","N/A","898000","N/A","30000"
"0 - Did not misuse in the past year","MT","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","0.955","0.0073","0.938","0.967","858000","N/A","28000"
"1 - Misused within the past year","MT","0","0","0","0","0.004","0.0007","0.003","0.006","0.045","0.0073","0.033","0.062","40000","N/A","7000"
"Overall","NC","0.032","0.0012","0.029","0.034","0.032","0.0012","0.029","0.034","1","0","N/A","N/A","8726000","N/A","344000"
"0 - Did not misuse in the past year","NC","0.031","0.0012","0.028","0.033","0.032","0.0012","0.029","0.034","0.965","0.0041","0.956","0.972","8421000","N/A","335000"
"1 - Misused within the past year","NC","0.001","0.0001","0.001","0.001","0.031","0.0038","0.024","0.039","0.035","0.0041","0.028","0.044","305000","N/A","38000"
"Overall","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","619000","N/A","26000"
"0 - Did not misuse in the past year","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.964","0.0073","0.947","0.976","597000","N/A","25000"
"1 - Misused within the past year","ND","0","0","0","0","0.002","0.0005","0.002","0.003","0.036","0.0073","0.024","0.053","22000","N/A","5000"
"Overall","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1584000","N/A","60000"
"0 - Did not misuse in the past year","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","0.976","0.0031","0.969","0.981","1546000","N/A","60000"
"1 - Misused within the past year","NE","0","0","0","0","0.004","0.0005","0.003","0.005","0.024","0.0031","0.019","0.031","38000","N/A","5000"
"Overall","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1180000","N/A","47000"
"0 - Did not misuse in the past year","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","0.969","0.0057","0.956","0.979","1144000","N/A","47000"
"1 - Misused within the past year","NH","0","0","0","0","0.004","0.0007","0.003","0.005","0.031","0.0057","0.021","0.044","36000","N/A","7000"
"Overall","NJ","0.027","0.001","0.026","0.029","0.027","0.001","0.026","0.029","1","0","N/A","N/A","7526000","N/A","278000"
"0 - Did not misuse in the past year","NJ","0.027","0.001","0.025","0.029","0.028","0.001","0.026","0.03","0.972","0.0037","0.964","0.979","7316000","N/A","271000"
"1 - Misused within the past year","NJ","0.001","0.0001","0.001","0.001","0.021","0.003","0.016","0.028","0.028","0.0037","0.021","0.036","210000","N/A","29000"
"Overall","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","1","0","N/A","N/A","1747000","N/A","87000"
"0 - Did not misuse in the past year","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","0.963","0.0051","0.952","0.972","1683000","N/A","84000"
"1 - Misused within the past year","NM","0","0","0","0","0.007","0.001","0.005","0.009","0.037","0.0051","0.028","0.048","65000","N/A","10000"
"Overall","NV","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2561000","N/A","126000"
"0 - Did not misuse in the past year","NV","0.009","0.0004","0.008","0.01","0.009","0.0005","0.008","0.01","0.959","0.0052","0.947","0.968","2457000","N/A","120000"
"1 - Misused within the past year","NV","0","0.0001","0","0.001","0.011","0.0015","0.008","0.014","0.041","0.0052","0.032","0.053","105000","N/A","15000"
"Overall","NY","0.06","0.0015","0.058","0.063","0.06","0.0015","0.058","0.063","1","0","N/A","N/A","16572000","N/A","424000"
"0 - Did not misuse in the past year","NY","0.059","0.0015","0.056","0.062","0.061","0.0015","0.058","0.064","0.973","0.0025","0.968","0.978","16131000","N/A","419000"
"1 - Misused within the past year","NY","0.002","0.0002","0.001","0.002","0.045","0.0042","0.037","0.054","0.027","0.0025","0.022","0.032","440000","N/A","42000"
"Overall","OH","0.036","0.0009","0.034","0.038","0.036","0.0009","0.034","0.038","1","0","N/A","N/A","9825000","N/A","260000"
"0 - Did not misuse in the past year","OH","0.034","0.0009","0.033","0.036","0.036","0.001","0.034","0.038","0.959","0.0041","0.95","0.966","9419000","N/A","257000"
"1 - Misused within the past year","OH","0.001","0.0001","0.001","0.002","0.041","0.004","0.034","0.05","0.041","0.0041","0.034","0.05","406000","N/A","40000"
"Overall","OK","0.012","0.0006","0.011","0.013","0.012","0.0006","0.011","0.013","1","0","N/A","N/A","3234000","N/A","152000"
"0 - Did not misuse in the past year","OK","0.011","0.0005","0.01","0.012","0.012","0.0006","0.011","0.013","0.96","0.0066","0.945","0.971","3105000","N/A","148000"
"1 - Misused within the past year","OK","0","0.0001","0","0.001","0.013","0.0022","0.009","0.018","0.04","0.0066","0.029","0.055","129000","N/A","22000"
"Overall","OR","0.013","0.0004","0.012","0.014","0.013","0.0004","0.012","0.014","1","0","N/A","N/A","3591000","N/A","108000"
"0 - Did not misuse in the past year","OR","0.012","0.0004","0.012","0.013","0.013","0.0004","0.012","0.014","0.949","0.0068","0.934","0.961","3409000","N/A","108000"
"1 - Misused within the past year","OR","0.001","0.0001","0.001","0.001","0.019","0.0025","0.014","0.024","0.051","0.0068","0.039","0.066","182000","N/A","24000"
"Overall","PA","0.04","0.0011","0.037","0.042","0.04","0.0011","0.037","0.042","1","0","N/A","N/A","10878000","N/A","319000"
"0 - Did not misuse in the past year","PA","0.038","0.0011","0.036","0.041","0.04","0.0011","0.038","0.042","0.97","0.0031","0.963","0.975","10548000","N/A","311000"
"1 - Misused within the past year","PA","0.001","0.0001","0.001","0.001","0.034","0.0035","0.027","0.041","0.03","0.0031","0.025","0.037","330000","N/A","35000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","910000","N/A","43000"
"0 - Did not misuse in the past year","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","0.969","0.0054","0.957","0.978","882000","N/A","42000"
"1 - Misused within the past year","RI","0","0","0","0","0.003","0.0005","0.002","0.004","0.031","0.0054","0.022","0.043","28000","N/A","5000"
"Overall","SC","0.016","0.0008","0.014","0.017","0.016","0.0008","0.014","0.017","1","0","N/A","N/A","4289000","N/A","210000"
"0 - Did not misuse in the past year","SC","0.015","0.0007","0.014","0.017","0.016","0.0008","0.014","0.017","0.965","0.0057","0.952","0.975","4140000","N/A","206000"
"1 - Misused within the past year","SC","0.001","0.0001","0","0.001","0.015","0.0025","0.011","0.021","0.035","0.0057","0.025","0.048","149000","N/A","25000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","718000","N/A","41000"
"0 - Did not misuse in the past year","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","0.976","0.0038","0.967","0.982","701000","N/A","39000"
"1 - Misused within the past year","SD","0","0","0","0","0.002","0.0003","0.001","0.002","0.024","0.0038","0.018","0.033","17000","N/A","3000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5699000","N/A","267000"
"0 - Did not misuse in the past year","TN","0.02","0.001","0.018","0.022","0.021","0.001","0.019","0.023","0.967","0.0053","0.955","0.976","5511000","N/A","264000"
"1 - Misused within the past year","TN","0.001","0.0001","0","0.001","0.019","0.0031","0.014","0.026","0.033","0.0053","0.024","0.045","188000","N/A","31000"
"Overall","TX","0.085","0.0022","0.081","0.09","0.085","0.0022","0.081","0.09","1","0","N/A","N/A","23465000","N/A","649000"
"0 - Did not misuse in the past year","TX","0.082","0.0022","0.078","0.087","0.086","0.0023","0.081","0.09","0.965","0.0033","0.958","0.971","22645000","N/A","635000"
"1 - Misused within the past year","TX","0.003","0.0003","0.002","0.004","0.083","0.0076","0.07","0.1","0.035","0.0033","0.029","0.042","820000","N/A","79000"
"Overall","UT","0.009","0.0003","0.009","0.01","0.009","0.0003","0.009","0.01","1","0","N/A","N/A","2540000","N/A","93000"
"0 - Did not misuse in the past year","UT","0.009","0.0003","0.008","0.01","0.009","0.0004","0.009","0.01","0.964","0.0053","0.952","0.973","2450000","N/A","93000"
"1 - Misused within the past year","UT","0","0","0","0","0.009","0.0014","0.007","0.012","0.036","0.0053","0.027","0.048","91000","N/A","13000"
"Overall","VA","0.026","0.001","0.024","0.028","0.026","0.001","0.024","0.028","1","0","N/A","N/A","7081000","N/A","284000"
"0 - Did not misuse in the past year","VA","0.025","0.001","0.023","0.027","0.026","0.001","0.024","0.028","0.966","0.0039","0.957","0.973","6839000","N/A","278000"
"1 - Misused within the past year","VA","0.001","0.0001","0.001","0.001","0.025","0.0029","0.019","0.031","0.034","0.0039","0.027","0.043","242000","N/A","29000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","546000","N/A","25000"
"0 - Did not misuse in the past year","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.968","0.0062","0.953","0.978","528000","N/A","25000"
"1 - Misused within the past year","VT","0","0","0","0","0.002","0.0003","0.001","0.003","0.032","0.0062","0.022","0.047","18000","N/A","3000"
"Overall","WA","0.023","0.0009","0.021","0.025","0.023","0.0009","0.021","0.025","1","0","N/A","N/A","6350000","N/A","262000"
"0 - Did not misuse in the past year","WA","0.022","0.0009","0.02","0.024","0.023","0.001","0.021","0.025","0.957","0.0064","0.943","0.968","6077000","N/A","258000"
"1 - Misused within the past year","WA","0.001","0.0001","0.001","0.001","0.028","0.0041","0.021","0.037","0.043","0.0064","0.032","0.057","273000","N/A","41000"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4920000","N/A","226000"
"0 - Did not misuse in the past year","WI","0.017","0.0008","0.016","0.019","0.018","0.0008","0.016","0.02","0.96","0.0067","0.944","0.971","4723000","N/A","224000"
"1 - Misused within the past year","WI","0.001","0.0001","0.001","0.001","0.02","0.0033","0.014","0.028","0.04","0.0067","0.029","0.056","197000","N/A","33000"
"Overall","WV","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","1","0","N/A","N/A","1534000","N/A","74000"
"0 - Did not misuse in the past year","WV","0.005","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","0.973","0.0037","0.965","0.979","1493000","N/A","73000"
"1 - Misused within the past year","WV","0","0","0","0","0.004","0.0006","0.003","0.006","0.027","0.0037","0.021","0.035","42000","N/A","6000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","479000","N/A","19000"
"0 - Did not misuse in the past year","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.974","0.0045","0.964","0.981","467000","N/A","19000"
"1 - Misused within the past year","WY","0","0","0","0","0.001","0.0002","0.001","0.002","0.026","0.0045","0.019","0.036","12000","N/A","2000"
